player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Rashid Shaheed,WR,NO,1,5.4,3.4,47,47,13.8,0.3,0.5,2.5,5,0,0,5.8,5.8,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,5,3.4,40.3,40.3,11.9,0.3,0,0.4,0,0,0,5.8,5.8,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,7.1,4,52.2,52.2,13.1,0.1,0,0,0,0,0,5.6,5.6,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,5.8,4.3,42.6,42.6,9.9,0.2,0.1,0.2,2,0,0,5.2,5.2,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,4.2,2.6,40.3,40.3,15.5,0.2,0,0.1,0,0,0,5.2,5.2,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,4.2,2.6,43,43,16.5,0.2,0.1,0.7,7,0,0,5.2,5.2,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,6.2,4.2,45,45,10.7,0.2,0,0.1,0,0,0,5.2,5.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,6.5,4.4,45.8,45.8,10.4,0.2,0.2,1.4,7,0,0,5.2,5.2,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,1,8,5,49.5,49.5,9.9,0.2,0.2,1.2,6,0,0,5.2,5.2,2818150,CBS,13163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,1,3.5,2.2,32.6,32.6,14.8,0.3,0,0.2,0,0,0,4.8,4.8,2960940,CBS,15293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,4.6,2.8,37.9,37.9,13.5,0.3,0.7,3.6,5.1,0,0,4.8,4.8,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,1,5.5,3.2,44,44,13.8,0.1,0,0.1,0,0,0,4.6,4.6,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,1,4.6,2.8,35.9,35.9,12.8,0.3,0.1,0.4,4,0,0.1,4.6,4.6,3165177,CBS,17098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,1,5.4,3,38.1,38.1,12.7,0.3,0.1,0.4,4,0,0.1,4.6,4.6,28900714,CBS,17073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,1,4.3,2.5,28.3,28.3,11.3,0.4,0,0.3,0,0,0,4.4,4.4,2965181,CBS,16206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,3.5,2.4,35.3,35.3,14.7,0.2,0.1,0.4,4,0,0,4.2,4.2,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,KC,1,6.4,3.9,38.5,38.5,9.9,0.2,0,0.4,0,0,0,4.2,4.2,2804128,CBS,14105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KC,1,3.6,2.6,31.2,31.2,12,0.2,0,0,0,0,0,4.2,4.2,2139620,CBS,13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,3.9,2.5,34.9,34.9,14,0.2,0,0,0,0,0,4.2,4.2,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Hunter,WR,JAC,1,4.9,3.2,38.9,38.9,12.2,0.2,0.1,0.4,4,0,0.1,4,4,28909849,CBS,17074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Moore,WR,BUF,1,3.5,2.1,24.9,24.9,11.9,0.2,0.5,2.6,5.2,0.1,0,3.8,3.8,2963569,CBS,15288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,1,2.7,1.6,23.1,23.1,14.4,0.3,0,0,0,0,0,3.8,3.8,2141655,CBS,13632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims,WR,DEN,1,3.1,2.3,24.1,24.1,10.5,0.2,0.7,3.2,4.6,0.1,0.1,3.6,3.6,3162586,CBS,16189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,1,5.7,3.6,28.5,28.5,7.9,0.2,1.1,9.3,8.5,0.1,0.1,3.6,3.6,3124729,CBS,16684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dont'e Thornton Jr.,WR,LV,1,4.6,2.3,31.3,31.3,13.6,0.1,0.1,0.3,3,0,0,3.6,3.6,26694424,CBS,17087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,WAS,1,4.5,2.5,34.4,34.4,13.8,0.1,0,0,0,0,0,3.6,3.6,2139270,CBS,13172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,1,2.8,1.5,20.5,20.5,13.7,0.2,0.1,0.5,5,0,0,3.2,3.2,2966908,CBS,16207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,1,3.1,2.1,29.9,29.9,14.2,0.2,1.2,6.1,5.1,0,0,3.2,3.2,2180870,CBS,15981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,NO,1,4.3,2.6,28.2,28.2,10.9,0.2,0.1,0.5,5,0,0,3.2,3.2,1880880,CBS,11674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,MIN,1,3.2,2.4,29.8,29.8,12.4,0.2,0,0.1,0,0,0,3.2,3.2,2059362,CBS,11938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,1,4.7,3,26.5,26.5,8.8,0.2,0.3,1.4,4.7,0,0,3.2,3.2,3126241,CBS,16342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,1,3.6,2.1,25,25,11.9,0.2,0,0,0,0,0,3.2,3.2,2868238,CBS,15788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,4.6,2.9,29,29,10,0.2,0.2,1.4,7,0,0,3.2,3.2,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,2.9,1.9,27,27,14.2,0.2,0.1,0.1,1,0,0,3.2,3.2,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,IND,1,3.8,1.9,33.8,33.8,17.8,0.1,0.1,0,0,0,0.2,3.2,3.2,26701928,CBS,16626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,1,2.9,1.6,22.4,22.4,14,0.2,0.1,-0.3,-3,0,0,3.2,3.2,2967232,CBS,15786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrick Wilson Jr.,WR,NO,1,3.1,2,23.3,23.3,11.7,0.2,0,0,0,0,0,3.2,3.2,2240685,CBS,13652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,SF,1,3.2,1.6,28,28,17.5,0.2,0,0.4,0,0,0,3.2,3.2,2061095,CBS,12785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,CAR,1,3.2,2,14.4,14.4,7.2,0.3,0,0,0,0,0,2.8,2.8,2144726,CBS,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,1,3.7,2.4,24.9,24.9,10.4,0.1,0.4,3,7.5,0,0,2.6,2.6,1996786,CBS,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre Harris,WR,LAC,1,3,1.7,27.1,27.1,15.9,0.1,0.1,0.5,5,0,0,2.6,2.6,3162525,CBS,17072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,1,3.2,2.2,28.6,28.6,13,0.1,0.1,0.4,4,0,0,2.6,2.6,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brycen Tremayne,WR,CAR,1,2.6,1.7,20,20,11.8,0.1,0.1,0.3,3,0,0,2.6,2.6,2967463,CBS,16949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,TEN,1,3.2,2,21.3,21.3,10.7,0.1,0,0,0,0,0,2.6,2.6,1860834,CBS,12187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Valdes-Scantling,WR,SF,1,2.1,1.1,23.2,23.2,21.1,0.1,0.1,0.2,2,0,0,2.6,2.6,2071540,CBS,13793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,WR,NYJ,1,2.9,1.8,24.7,24.7,13.7,0.1,0,0,0,0,0,2.6,2.6,1620002,CBS,14864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,JAC,1,3.1,2.2,25.9,25.9,11.8,0.1,0.3,1.8,6,0,0.1,2.4,2.4,2965973,CBS,15292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Williams,WR,NE,1,3.3,2.2,26,26,11.8,0.1,0.2,0.3,1.5,0,0.1,2.4,2.4,3167684,CBS,17134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,1,4.3,2.5,28,28,11.2,0.1,0.2,1.4,7,0,0.1,2.4,2.4,28910521,CBS,17076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,1,2.7,1.5,17.8,17.8,11.9,0.2,0,0,0,0,0,2.2,2.2,2185954,CBS,15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,2.7,1.8,17.6,17.6,9.8,0.2,0,0,0,0,0,2.2,2.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,1,4.7,2.3,18.5,18.5,8,0.2,0.4,1.1,2.8,0,0,2.2,2.2,3131575,CBS,16639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke McCaffrey,WR,WAS,1,1.9,1.4,18.1,18.1,12.9,0.2,0,0,0,0,0,2.2,2.2,3121502,CBS,16635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Reynolds,WR,NYJ,1,2.5,1.3,19,19,14.6,0.2,0,0,0,0,0,2.2,2.2,2131796,CBS,13168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,1,1.6,1,17.2,17.2,17.2,0.2,0,0.1,0,0,0,2.2,2.2,1737078,CBS,11232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derius Davis,WR,LAC,1,1.8,1.4,13.9,13.9,9.9,0.2,1,4,4,0,0.2,1.8,1.8,2966544,CBS,16299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Gould,WR,IND,1,0.8,0.6,10.3,10.3,17.2,0.1,0.1,0.3,3,0,0,1.6,1.6,3122031,CBS,16732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,1,2.4,1.5,16.9,16.9,11.3,0.1,0.1,0.9,9,0,0,1.6,1.6,3161943,CBS,16201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braxton Berrios,WR,HOU,1,2,1.4,12.5,12.5,8.9,0.1,0.1,0.9,9,0,0,1.6,1.6,2130981,CBS,13638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,1,1.8,1.5,18.1,18.1,12.1,0.1,0.5,2.1,4.2,0,0,1.6,1.6,3122843,CBS,16633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominic Lovett,WR,DET,1,0.9,0.7,10.2,10.2,14.6,0.1,0.1,0.3,3,0,0,1.6,1.6,26696063,CBS,17255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tylan Wallace,WR,BAL,1,1.2,0.9,15.6,15.6,17.3,0.1,0,0,0,0,0,1.6,1.6,2866424,CBS,15285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,1,2.3,1.3,19.9,19.9,15.3,0.1,0.1,0.7,7,0,0,1.6,1.6,29122587,CBS,17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,1,2.1,1.6,13.4,13.4,8.4,0.1,0.4,2.1,5.3,0,0,1.6,1.6,2223207,CBS,14108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devontez Walker,WR,BAL,1,1.4,1,16.6,16.6,16.6,0.1,0.1,0.5,5,0,0,1.6,1.6,26702084,CBS,16621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,9,6,78,NA,NA,0,0,1,NA,0,NA,NA,NA,4362628,ESPN,15281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,9,6,74,NA,NA,0,0,1,NA,0,NA,NA,NA,4262921,ESPN,14836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241389,ESPN,14832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Nabers,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4595348,ESPN,16615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,12,9,107,NA,NA,0,1,5,NA,0,NA,NA,NA,4426515,ESPN,16211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,8,6,69,NA,NA,1,0,1,NA,0,NA,NA,NA,4374302,ESPN,15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,9,6,81,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4258173,ESPN,15290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,NA,8,4,62,NA,NA,0,0,2,NA,0,NA,NA,NA,4432773,ESPN,16618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,8,5,68,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4047646,ESPN,14104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426502,ESPN,15751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,NA,8,5,64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4239993,ESPN,14835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3116406,ESPN,12801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,NA,7,5,60,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4612826,ESPN,16627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,NA,9,5,72,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16800,ESPN,11675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,NA,8,6,76,NA,NA,0,0,2,NA,0,NA,NA,NA,4430878,ESPN,16185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,NA,7,5,61,NA,NA,0,0,1,NA,0,NA,NA,NA,3121422,ESPN,14109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,NA,9,6,76,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4569618,ESPN,15753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,NA,7,4,54,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4432708,ESPN,16614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4047650,ESPN,14102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,NA,8,5,62,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4685472,ESPN,17071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KCC,NA,8,5,68,NA,NA,0,1,7,NA,0,NA,NA,NA,4683062,ESPN,16620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16737,ESPN,11671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3915416,ESPN,13635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,8,5,60,NA,NA,0,0,3,NA,0,NA,NA,NA,4429615,ESPN,16190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,8,5,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3128429,ESPN,13630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,NA,7,4,55,NA,NA,0,0,1,NA,0,NA,NA,NA,3925357,ESPN,13629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,6,5,46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241478,ESPN,15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
