player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Tyler Loop,K,BAL,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4697745,ESPN,17222,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4249087,ESPN,14244,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2971573,ESPN,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4566192,ESPN,16775,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,1,NA,NA,10621,ESPN,8851,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,4,NA,NA,16339,ESPN,11947,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,3,NA,NA,2473037,ESPN,12437,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4686361,ESPN,16680,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,2985659,ESPN,12956,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567104,ESPN,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4360234,ESPN,15368,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
