player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,fg_0019,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Ryan Fitzgerald,K,CAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,10.75,NA,19685,FleaFlicker,17277,NA,NA,NA,NA,4,SEASun 1:00 PM,NA,NA,2/1,1/1,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.46,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,5,@SFSun 8:20 PM,NA,K22,2/2,2/2,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.46,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,9,@MIASun 1:00 PM,NA,K3,2/2,2/2,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.18,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,5,@CLESun 1:00 PM,NA,K10,2/2,2/2,88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,10.09,NA,19378,FleaFlicker,17220,NA,NA,NA,NA,4,@NYJSun 1:00 PM,NA,K20,2/1,3/3,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,9.88,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,4,CHISun 8:20 PM,NA,K11,2/2,2/2,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,9.87,NA,18786,FleaFlicker,16843,NA,NA,NA,NA,8,@ATLMon 8:15 PM,NA,K14,2/1,2/2,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,9.78,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,0,NOSun 1:00 PM,NA,NA,2/2,1/1,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,BUF,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.68,NA,14050,FleaFlicker,13980,NA,NA,NA,NA,7,PHISun 4:25 PM,NA,K29,2/1,2/2,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sauls,K,NYG,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.52,NA,19784,FleaFlicker,17434,NA,NA,NA,NA,4,@LVSun 4:05 PM,NA,NA,2/1,2/2,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.32,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,5,BALL 24-41,9.32,K21,2/1,2/2,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.25,NA,16587,FleaFlicker,15369,NA,NA,NA,NA,2,TBSun 1:00 PM,NA,NA,2/2,2/2,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,WAS,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.24,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,2,DALL 23-30,9.24,K27,2/1,2/2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
