player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,fg_0019,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Brandon Aubrey,K,DAL,NA,NA,NA,NA,0.49,NA,0.56,NA,0.63,NA,0.63,NA,2.65,NA,10.84,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,NA,NA,NA,0.33,NA,0.53,NA,0.53,NA,0.4,NA,3.11,NA,9.28,NA,2571759,NFL,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAX,NA,NA,NA,NA,0.51,NA,0.58,NA,0.51,NA,0.36,NA,2.68,NA,9.28,NA,2572147,NFL,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,0.41,NA,0.55,NA,0.55,NA,0.34,NA,2.96,NA,9.19,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,NA,NA,NA,0.4,NA,0.53,NA,0.53,NA,0.4,NA,2.79,NA,9.17,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,0.52,NA,0.6,NA,0.6,NA,0.3,NA,2.47,NA,9.13,NA,2553112,NFL,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,0.46,NA,0.52,NA,0.46,NA,0.39,NA,2.35,NA,8.62,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,NA,NA,NA,0.44,NA,0.59,NA,0.59,NA,0.22,NA,2.58,NA,8.54,NA,2574365,NFL,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,NA,NA,NA,NA,0.3,NA,0.61,NA,0.61,NA,0.3,NA,2.42,NA,8.48,NA,2572932,NFL,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,0.44,NA,0.44,NA,0.5,NA,0.44,NA,2.13,NA,8.47,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,0.35,NA,0.53,NA,0.53,NA,0.35,NA,2.28,NA,8.44,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,0.43,NA,0.56,NA,0.5,NA,0.37,NA,2.1,NA,8.42,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,NA,NA,NA,0.26,NA,0.79,NA,0.52,NA,0.26,NA,2.36,NA,8.37,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.36,NA,2.22,NA,8.34,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,0.42,NA,0.48,NA,0.48,NA,0.24,NA,2.67,NA,8.01,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,IND,NA,NA,NA,NA,0.4,NA,0.54,NA,0.47,NA,0.34,NA,2.08,NA,8.01,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,NA,NA,NA,0.38,NA,0.5,NA,0.5,NA,0.31,NA,2.13,NA,7.82,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,0.42,NA,0.48,NA,0.48,NA,0.3,NA,2.17,NA,7.81,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,WAS,NA,NA,NA,NA,0.3,NA,0.54,NA,0.48,NA,0.24,NA,2.64,NA,7.8,NA,2570308,NFL,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,0.44,NA,0.5,NA,0.56,NA,0.25,NA,1.94,NA,7.69,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,NA,NA,NA,0.39,NA,0.59,NA,0.39,NA,0.2,NA,2.55,NA,7.66,NA,2567013,NFL,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,NA,NA,NA,NA,0.24,NA,0.71,NA,0.48,NA,0.24,NA,2.14,NA,7.63,NA,2558178,NFL,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,0.34,NA,0.46,NA,0.46,NA,0.34,NA,2.12,NA,7.6,NA,2572273,NFL,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,NA,NA,NA,0.29,NA,0.46,NA,0.51,NA,0.23,NA,2.57,NA,7.5,NA,2573940,NFL,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,BUF,NA,NA,NA,NA,0.33,NA,0.5,NA,0.58,NA,0.17,NA,2.32,NA,7.4,NA,2560965,NFL,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,NA,0.31,NA,0.41,NA,0.36,NA,0.31,NA,2.23,NA,7.17,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Smyth,K,NO,NA,NA,NA,NA,0.33,NA,0.5,NA,0.67,NA,0.17,NA,1.33,NA,6.68,NA,2572330,NFL,17424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,NA,NA,NA,0.35,NA,0.41,NA,0.41,NA,0.29,NA,1.69,NA,6.65,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,NA,NA,NA,0.34,NA,0.51,NA,0.45,NA,0.17,NA,1.82,NA,6.57,NA,2573979,NFL,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sauls,K,NYG,NA,NA,NA,NA,0.32,NA,0.64,NA,0.32,NA,NA,NA,2.56,NA,6.4,NA,2574499,NFL,17434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,NA,NA,NA,0.32,NA,0.48,NA,0.43,NA,0.16,NA,1.77,NA,6.26,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,2.15,3.4,NA,0.83,NA,0.51,NA,0.56,NA,0.14,NA,3.35,2.23,10.37,NA,54195,FanDuel,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Brandon Aubrey,K,DAL,NA,1.92,3.62,NA,0.41,NA,0.66,NA,0.52,NA,0.25,NA,3.51,2.17,10.11,NA,55648,FanDuel,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,2,31,9,Dallas Cowboys,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Andy Borregales,K,NE,NA,1.88,3.7,NA,0.6,NA,0.53,NA,0.53,NA,0.18,NA,3.61,2.03,10.08,NA,56311,FanDuel,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,3,28,19,New England Patriots,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Evan McPherson,K,CIN,NA,2.06,3.01,NA,0.58,NA,0.87,NA,0.56,NA,0.07,NA,2.95,2.34,9.89,NA,54904,FanDuel,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,26,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Chase McLaughlin,K,TB,NA,2.06,2.73,NA,0.39,NA,0.72,NA,0.65,NA,0.21,NA,2.71,2.35,9.84,NA,54352,FanDuel,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,5,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Jason Myers,K,SEA,NA,1.81,3.39,NA,0.5,NA,0.57,NA,0.44,NA,0.26,NA,3.38,2.18,9.77,NA,52814,FanDuel,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,6,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Wil Lutz,K,DEN,NA,1.96,2.42,NA,0.52,NA,0.54,NA,0.68,NA,0.25,NA,2.21,2.25,9.57,NA,53178,FanDuel,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,7,12,10,Denver Broncos,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Jake Bates,K,DET,NA,1.76,3.58,NA,0.68,NA,0.54,NA,0.34,NA,0.15,NA,3.56,2.07,9.42,NA,55997,FanDuel,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,8,7,11,Detroit Lions,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Cameron Dicker,K,LAC,NA,2.01,2.13,NA,0.59,NA,0.69,NA,0.51,NA,0.23,NA,2.08,2.25,9.11,NA,55437,FanDuel,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,2,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Riley Patterson,K,MIA,NA,1.98,2.08,NA,0.66,NA,0.57,NA,0.68,NA,0.11,NA,2.05,2.11,9.07,NA,55158,FanDuel,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,10,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Cam Little,K,JAC,NA,1.93,2.94,NA,0.66,NA,0.73,NA,0.42,NA,0.05,NA,2.89,2.41,9.05,NA,55987,FanDuel,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,11,20,15,Jacksonville Jaguars,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Will Reichard,K,MIN,NA,1.93,1.83,NA,0.41,NA,0.53,NA,0.7,NA,0.28,NA,1.78,2.1,8.8,NA,55919,FanDuel,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,22,18,Minnesota Vikings,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Ka'imi Fairbairn,K,HOU,NA,2,2.11,NA,0.61,NA,0.53,NA,0.48,NA,0.26,NA,2.01,2.66,8.8,NA,53463,FanDuel,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,12,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Cairo Santos,K,CHI,NA,1.77,2.79,NA,0.63,NA,0.85,NA,0.16,NA,0.12,NA,2.77,2.09,8.6,NA,52487,FanDuel,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,14,21,6,Chicago Bears,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Mike Badgley,K,BUF,NA,1.52,3.25,NA,0.48,NA,0.69,NA,0.31,NA,0.1,NA,3.2,1.85,8.45,NA,54004,FanDuel,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Harrison Mevis,K,LA,NA,1.61,2.86,NA,0.69,NA,0.4,NA,0.29,NA,0.21,NA,2.82,1.81,8.36,NA,56286,FanDuel,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,16,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Daniel Carlson,K,LV,NA,1.7,2.46,NA,0.42,NA,0.68,NA,0.37,NA,0.22,NA,2.38,2.09,8.35,NA,53818,FanDuel,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,17,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Charlie Smyth,K,NO,NA,1.74,2.45,NA,0.56,NA,0.63,NA,0.44,NA,0.12,NA,2.35,1.96,8.34,NA,56576,FanDuel,17424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,18,27,20,New Orleans Saints,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Matt Prater,K,BUF,NA,1.76,2.02,NA,0.5,NA,0.59,NA,0.41,NA,0.28,NA,1.94,2.1,8.31,NA,2866,FanDuel,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,19,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Zane Gonzalez,K,ATL,NA,1.81,1.94,NA,0.54,NA,0.48,NA,0.53,NA,0.2,NA,1.92,1.98,8.22,NA,53462,FanDuel,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,20,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Chris Boswell,K,PIT,NA,1.84,2.42,NA,0.57,NA,0.41,NA,0.49,NA,0.18,NA,2.3,2.12,8.19,NA,52927,FanDuel,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,21,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Brandon McManus,K,GB,NA,1.55,2.51,NA,0.37,NA,0.54,NA,0.55,NA,0.13,NA,2.47,1.83,8.05,NA,52489,FanDuel,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,14,12,Green Bay Packers,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Joey Slye,K,TEN,NA,1.8,1.82,NA,0.54,NA,0.59,NA,0.44,NA,0.19,NA,1.8,2.08,8.02,NA,54202,FanDuel,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,23,10,31,Tennessee Titans,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Ryan Fitzgerald,K,CAR,NA,1.66,1.66,NA,0.34,NA,0.56,NA,0.52,NA,0.29,NA,1.66,1.96,7.95,NA,56309,FanDuel,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,24,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Ben Sauls,K,NYG,NA,1.59,2.68,NA,0.66,NA,0.44,NA,0.35,NA,0.1,NA,2.65,1.89,7.91,NA,56591,FanDuel,17434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,25,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Younghoe Koo,K,NYG,NA,1.45,2.92,NA,0.34,NA,0.5,NA,0.43,NA,0.15,NA,2.85,2.21,7.9,NA,53464,FanDuel,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,26,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Nick Folk,K,NYJ,NA,1.81,1.46,NA,0.58,NA,0.45,NA,0.61,NA,0.14,NA,1.45,2.01,7.74,NA,2816,FanDuel,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,27,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Jake Moody,K,WSH,NA,1.54,2.4,NA,0.53,NA,0.46,NA,0.39,NA,0.13,NA,2.36,1.95,7.66,NA,55704,FanDuel,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,28,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Tyler Loop,K,BAL,NA,1.39,2.66,NA,0.55,NA,0.42,NA,0.33,NA,0.13,NA,2.63,1.86,7.51,NA,56289,FanDuel,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Chad Ryland,K,ARI,NA,1.49,2.04,NA,0.46,NA,0.67,NA,0.28,NA,0.17,NA,1.98,1.83,7.34,NA,55627,FanDuel,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Andre Szmyt,K,CLE,NA,1.82,1.5,NA,0.45,NA,0.59,NA,0.4,NA,0.18,NA,1.41,1.99,7.21,NA,56310,FanDuel,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,31,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Blake Grupe,K,IND,NA,1.49,2.43,NA,0.45,NA,0.45,NA,0.38,NA,0.11,NA,2.34,2.09,7.17,NA,55655,FanDuel,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,32,6,14,Indianapolis Colts,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Jake Elliott,K,PHI,NA,1.13,2.66,NA,0.51,NA,0.37,NA,0.23,NA,0.11,NA,2.6,1.55,6.71,NA,53569,FanDuel,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,16,24,Philadelphia Eagles,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Harrison Butker,K,KC,NA,1.47,1.87,NA,0.42,NA,0.56,NA,0.34,NA,0.1,NA,1.74,1.82,6.6,NA,53628,FanDuel,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,34,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
