player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Tyrone Tracy Jr.,RB,NYG,NA,7,30,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4360516,ESPN,16747,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,16,67,NA,0,4,4,24,NA,NA,0,NA,NA,NA,4569987,ESPN,15742,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,15,65,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4575131,ESPN,17256,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068267,ESPN,13404,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,NA,16,77,NA,1,2,1,8,NA,NA,0,NA,NA,NA,4241985,ESPN,14800,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,NA,16,60,NA,1,2,2,11,NA,NA,0,NA,NA,NA,4569173,ESPN,15259,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,NA,16,65,NA,1,5,4,21,NA,NA,0,NA,NA,NA,4361579,ESPN,15256,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,NA,1,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4819231,ESPN,17048,NA,NA,NA,NA,NA,NA,NA,NA
Cam Skattebo,RB,NYG,NA,13,56,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4696981,ESPN,17045,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,NA,17,84,NA,1,2,1,9,NA,NA,0,NA,NA,NA,4360569,ESPN,15972,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne Jr.,RB,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4239996,ESPN,15253,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,PHI,NA,1,3,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4429013,ESPN,16164,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4882093,ESPN,17052,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426385,ESPN,16169,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,HOU,NA,10,44,NA,0,2,2,14,NA,NA,0,NA,NA,NA,3128720,ESPN,13610,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,NA,1,5,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4372019,ESPN,15713,NA,NA,NA,NA,NA,NA,NA,NA
Trey Benson,RB,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429275,ESPN,16594,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,NA,17,71,NA,1,4,3,22,NA,NA,0,NA,NA,NA,4697815,ESPN,15721,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,NA,4,15,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4685279,ESPN,17069,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,NA,8,41,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4373626,ESPN,15712,NA,NA,NA,NA,NA,NA,NA,NA
Braelon Allen,RB,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685247,ESPN,16596,NA,NA,NA,NA,NA,NA,NA,NA
Najee Harris,RB,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241457,ESPN,15254,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Sampson,RB,CLE,NA,2,6,NA,0,1,1,6,NA,NA,0,NA,NA,NA,5081397,ESPN,17047,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,NA,19,70,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4685702,ESPN,17051,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3116385,ESPN,13131,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,NA,2,7,NA,0,1,0,3,NA,NA,0,NA,NA,NA,4429501,ESPN,16603,NA,NA,NA,NA,NA,NA,NA,NA
Will Shipley,RB,PHI,NA,2,8,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4431545,ESPN,16601,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,NA,5,25,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4711533,ESPN,17059,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,NA,11,45,NA,0,3,2,19,NA,NA,0,NA,NA,NA,4429059,ESPN,17053,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360238,ESPN,15717,NA,NA,NA,NA,NA,NA,NA,NA
Kendre Miller,RB,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4599739,ESPN,16171,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,SF,NA,5,21,NA,0,1,0,4,NA,NA,0,NA,NA,NA,4241474,ESPN,15716,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,NA,3,13,NA,0,4,3,27,NA,NA,0,NA,NA,NA,4038441,ESPN,14086,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,NA,6,26,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4428557,ESPN,16165,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,NA,13,72,NA,0,2,2,14,NA,NA,0,NA,NA,NA,4038815,ESPN,14823,NA,NA,NA,NA,NA,NA,NA,NA
