player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Brashard Smith,RB,KC,1,5.7,25.6,4.5,0.1,2.4,1.9,16.1,16.1,8.5,0,0,3.6,3.6,26694196,CBS,17049,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,1,4.2,32.4,7.7,0.1,0.5,0.5,4.5,4.5,9,0,0,3.6,3.6,3164710,CBS,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,1,2.8,15.3,5.5,0.1,2.3,1.8,14.9,14.9,8.3,0.1,0,3.2,3.2,2250388,CBS,14086,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Corum,RB,LAR,1,6,27.7,4.6,0.2,0.4,0.2,1.3,1.3,6.5,0,0,3.2,3.2,3169252,CBS,16593,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,1,5,17.6,3.5,0.2,1.2,1,7.2,7.2,7.2,0.1,0,2.8,2.8,2174957,CBS,12447,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,1,4.6,29.4,6.4,0.2,1.4,1.1,9.9,9.9,9,0,0.2,2.8,2.8,2131148,CBS,13133,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,1,5.4,18.4,3.4,0.2,0.6,0.5,3.4,3.4,6.8,0.1,0,2.8,2.8,28873887,CBS,17059,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Singletary,RB,NYG,1,6.2,22.5,3.6,0.1,0.6,0.5,2.9,2.9,5.8,0,0,2.6,2.6,2241251,CBS,14080,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,1,3.3,25,7.6,0.1,1.1,0.7,5.4,5.4,7.7,0.1,0.3,2.6,2.6,2964372,CBS,16385,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,SF,1,5,25.9,5.2,0.1,0.4,0.4,2.9,2.9,7.3,0,0,2.6,2.6,2741207,CBS,15716,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,IND,1,1.9,10.6,5.6,0.1,0.6,0.5,3.9,3.9,7.8,0,0,1.6,1.6,1824308,CBS,12155,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,ARI,1,3.3,14.1,4.3,0.1,1.5,1.2,9,9,7.5,0,0,1.6,1.6,2804075,CBS,15258,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,1,1.9,11.6,6.1,0.1,0.2,0.2,2.3,2.3,11.5,0,0,1.6,1.6,2964154,CBS,16688,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,BUF,1,2.9,13.2,4.6,0,1,0.6,6.3,6.3,10.5,0.1,0,1.6,1.6,2179323,CBS,14095,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,1,4,15,3.8,0.1,1.3,1.1,8.4,8.4,7.6,0,0,1.6,1.6,26703005,CBS,17046,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,FB,SF,1,0.3,0.4,1.3,0,1.9,1.5,14.6,14.6,9.7,0.1,0,1.6,1.6,1683145,CBS,11367,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,1,2.7,10.7,4,0.1,0,0,0.2,0.2,0,0,0,1.6,1.6,2964667,CBS,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA
