player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Christian McCaffrey,RB,SF,NA,17.3,80.9,NA,0.6,5.7,5.7,53.3,NA,NA,0.4,0.1,18.8,NA,12892,FleaFlicker,13130,4,@NYGSun 1:00 PM,NA,RB3,0.9,134.2,99%,NA,NA
Jahmyr Gibbs,RB,DET,NA,15.4,76.3,NA,0.8,3.5,3.5,27.5,NA,NA,0.2,0.1,16.04,NA,17612,FleaFlicker,16162,8,MINSun 1:00 PM,NA,RB4,1,103.8,98%,NA,NA
Josh Jacobs,RB,GB,NA,17.3,72.4,NA,1,2.5,2.5,20.8,NA,NA,0.1,0.1,15.5,NA,14673,FleaFlicker,14073,5,CARSun 1:00 PM,NA,RB7,1.1,93.1,98%,NA,NA
Bijan Robinson,RB,ATL,NA,15.5,71.7,NA,0.4,4.7,4.7,44.7,NA,NA,0.2,0.1,15.36,NA,17603,FleaFlicker,16161,5,@NESun 1:00 PM,NA,RB2,0.7,116.4,98%,NA,NA
Derrick Henry,RB,BAL,NA,16.4,86.4,NA,0.9,1.1,1.1,9.9,NA,NA,0.1,0.1,15.08,NA,12042,FleaFlicker,12626,7,@MIAW 28-6,15.08,RB5,0.9,96.4,98%,NA,NA
De'Von Achane,RB,MIA,NA,14,65.4,NA,0.4,5.2,5.2,35.6,NA,NA,0.4,0.1,14.6,NA,17617,FleaFlicker,16167,2,BALL 6-28,14.6,RB8,0.8,101,98%,NA,NA
James Cook,RB,BUF,NA,17,83.6,NA,0.7,2,2,16,NA,NA,0.1,0.1,14.4,NA,16839,FleaFlicker,15715,7,KCSun 4:25 PM,NA,RB6,0.8,99.6,98%,NA,NA
Javonte Williams,RB,DAL,NA,16.5,73.2,NA,0.7,2.6,2.6,13.5,NA,NA,0.1,0.1,13.53,NA,16282,FleaFlicker,15256,0,ARIMon 8:15 PM,NA,RB11,0.8,86.6,97%,NA,NA
Kyren Williams,RB,LAR,NA,16.3,73.2,NA,0.6,2.3,2.3,17.1,NA,NA,0.2,0.1,13.37,NA,17004,FleaFlicker,15710,8,NOSun 4:05 PM,NA,RB10,0.8,90.3,98%,NA,NA
Ashton Jeanty,RB,LV,NA,16.8,71,NA,0.5,2.2,2.2,15.7,NA,NA,0.2,0.1,12.51,NA,19247,FleaFlicker,17042,8,JACSun 4:05 PM,NA,RB12,0.7,86.7,95%,NA,NA
D'Andre Swift,RB,CHI,NA,15.1,67.7,NA,0.5,2.4,2.4,20.8,NA,NA,0.1,0.1,12.49,NA,15601,FleaFlicker,14797,5,@CINSun 1:00 PM,NA,RB17,0.6,88.4,97%,NA,NA
Kimani Vidal,RB,LAC,NA,16,72.8,NA,0.5,1.9,1.9,12.6,NA,NA,0.1,0.1,11.84,NA,18523,FleaFlicker,16757,2,@TENSun 1:00 PM,NA,NA,0.6,85.4,81%,NA,NA
Jaylen Warren,RB,PIT,NA,14.2,63,NA,0.3,3.1,3.1,24.9,NA,NA,0.1,0.1,11.27,NA,17137,FleaFlicker,15742,5,INDSun 1:00 PM,NA,RB19,0.4,87.9,94%,NA,NA
Travis Etienne,RB,JAC,NA,16,67.2,NA,0.4,2.3,2.3,16.2,NA,NA,0.1,0.1,11.06,NA,16241,FleaFlicker,15253,8,@LVSun 4:05 PM,NA,RB21,0.5,83.4,95%,NA,NA
Chase Brown,RB,CIN,NA,13.6,57.6,NA,0.4,2.9,2.9,19.1,NA,NA,0.1,0.1,10.39,NA,17756,FleaFlicker,16181,0,CHISun 1:00 PM,NA,RB16,0.5,76.8,96%,NA,NA
Tyrone Tracy,RB,NYG,NA,14.5,58.6,NA,0.4,2.4,2.4,18.9,NA,NA,0.1,0.1,10.22,NA,18534,FleaFlicker,16747,4,SFSun 1:00 PM,NA,RB23,0.4,77.5,87%,NA,NA
Kenneth Walker,RB,SEA,NA,13.7,60.2,NA,0.5,1.4,1.4,11.9,NA,NA,0,0.1,10.13,NA,16890,FleaFlicker,15711,8,@WASSun 8:20 PM,NA,RB24,0.5,72.1,96%,NA,NA
J.K. Dobbins,RB,DEN,NA,14.4,65.2,NA,0.4,1.2,1.2,6.4,NA,NA,0,0.1,9.88,NA,15555,FleaFlicker,14800,2,@HOUSun 1:00 PM,NA,RB18,0.5,71.6,95%,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,13.5,55.7,NA,0.5,1.3,1.3,10.2,NA,NA,0.1,0.1,9.35,NA,19509,FleaFlicker,17256,2,SEASun 8:20 PM,NA,RB22,0.5,65.9,86%,NA,NA
Bam Knight,RB,ARI,NA,12.5,53.8,NA,0.4,1.5,1.5,12.2,NA,NA,0.1,0.1,9.19,NA,17486,FleaFlicker,15727,8,@DALMon 8:15 PM,NA,NA,0.5,66,56%,NA,NA
David Montgomery,RB,DET,NA,10.8,44,NA,0.5,1.5,1.5,13.3,NA,NA,0.1,0,9.03,NA,14716,FleaFlicker,14071,8,MINSun 1:00 PM,NA,RB25,0.6,57.3,96%,NA,NA
Rico Dowdle,RB,CAR,NA,13.1,57.4,NA,0.3,1.9,1.9,11.8,NA,NA,0.1,0.1,8.86,NA,15904,FleaFlicker,14823,4,@GBSun 1:00 PM,NA,RB26,0.3,69.2,91%,NA,NA
Zach Charbonnet,RB,SEA,NA,10.3,42.3,NA,0.6,1.2,1.2,10.2,NA,NA,0,0,8.73,NA,17667,FleaFlicker,16169,8,@WASSun 8:20 PM,NA,NA,0.6,52.5,87%,NA,NA
Kareem Hunt,RB,KC,NA,11.2,44.4,NA,0.5,1.4,1.4,9.5,NA,NA,0.1,0,8.73,NA,12934,FleaFlicker,13138,0,@BUFSun 4:25 PM,NA,NA,0.6,53.9,68%,NA,NA
Alvin Kamara,RB,NO,NA,13.7,50.8,NA,0.2,3.1,3.1,20,NA,NA,0.1,0.1,8.44,NA,12965,FleaFlicker,13132,1,@LARSun 4:05 PM,NA,RB27,0.2,70.8,95%,NA,NA
Woody Marks,RB,HOU,NA,10.3,39.4,NA,0.2,2.3,2.3,21.2,NA,NA,0.1,0.1,8.26,NA,19351,FleaFlicker,17053,6,DENSun 1:00 PM,NA,NA,0.4,60.6,72%,NA,NA
Tony Pollard,RB,TEN,NA,11.1,47.5,NA,0.2,2.1,2.1,12.9,NA,NA,0,0.1,7.39,NA,14759,FleaFlicker,14085,0,LACSun 1:00 PM,NA,NA,0.2,60.3,92%,NA,NA
Tyjae Spears,RB,TEN,NA,8.6,38.6,NA,0.2,2.3,2.3,15.6,NA,NA,0.1,0,7.26,NA,17624,FleaFlicker,16165,0,LACSun 1:00 PM,NA,NA,0.3,54.3,70%,NA,NA
Aaron Jones,RB,MIN,NA,8.8,39.4,NA,0.2,2.4,2.4,18.6,NA,NA,0.1,0.1,7.24,NA,13111,FleaFlicker,13319,6,@DETSun 1:00 PM,NA,NA,0.3,57.9,88%,NA,NA
Jordan Mason,RB,MIN,NA,9.6,42.3,NA,0.3,0.9,0.9,5.3,NA,NA,0,0.1,6.48,NA,17167,FleaFlicker,15972,6,@DETSun 1:00 PM,NA,NA,0.3,47.6,89%,NA,NA
Nick Chubb,RB,HOU,NA,10.3,40.8,NA,0.2,1.1,1.1,7.5,NA,NA,0,0,6.44,NA,13802,FleaFlicker,13610,6,DENSun 1:00 PM,NA,NA,0.3,48.2,80%,NA,NA
Chuba Hubbard,RB,CAR,NA,9.6,35.9,NA,0.2,1.8,1.8,9.5,NA,NA,0.1,0,6.16,NA,16361,FleaFlicker,15261,4,@GBSun 1:00 PM,NA,NA,0.3,45.4,93%,NA,NA
TreVeyon Henderson,RB,NE,NA,7.7,33.4,NA,0.2,1.6,1.6,12.5,NA,NA,0.1,0.1,6.08,NA,19272,FleaFlicker,17043,4,ATLSun 1:00 PM,NA,NA,0.3,45.8,85%,NA,NA
Kenneth Gainwell,RB,PIT,NA,7.1,29.7,NA,0.3,2.1,2.1,12.9,NA,NA,0.1,0.1,6.02,NA,16480,FleaFlicker,15255,5,INDSun 1:00 PM,NA,NA,0.3,42.6,58%,NA,NA
Kyle Monangai,RB,CHI,NA,6.7,30.9,NA,0.2,1,1,8.5,NA,NA,0,0,5.5,NA,19543,FleaFlicker,17066,5,@CINSun 1:00 PM,NA,NA,0.3,39.4,50%,NA,NA
Samaje Perine,RB,CIN,NA,7.2,34.6,NA,0.2,1.1,1.1,8.6,NA,NA,0,0.1,5.44,NA,13011,FleaFlicker,13133,0,CHISun 1:00 PM,NA,NA,0.2,43.2,28%,NA,NA
Brashard Smith,RB,KC,NA,6.5,26,NA,0.1,2.1,2.1,15.8,NA,NA,0.1,0,5.34,NA,19486,FleaFlicker,17049,0,@BUFSun 4:25 PM,NA,NA,0.2,41.8,42%,NA,NA
RJ Harvey,RB,DEN,NA,5.4,23,NA,0.1,1.7,1.7,12,NA,NA,0.1,0,5.14,NA,19290,FleaFlicker,17068,2,@HOUSun 1:00 PM,NA,NA,0.3,35,86%,NA,NA
Tyler Allgeier,RB,ATL,NA,7.9,29.7,NA,0.3,0.5,0.5,3.9,NA,NA,0,0,5.11,NA,16993,FleaFlicker,15712,5,@NESun 1:00 PM,NA,NA,0.3,33.5,70%,NA,NA
Emanuel Wilson,RB,GB,NA,6.3,29.5,NA,0.2,1,1,7,NA,NA,0,0,4.85,NA,18234,FleaFlicker,16432,5,CARSun 1:00 PM,NA,NA,0.2,36.5,27%,NA,NA
Blake Corum,RB,LAR,NA,7.6,30.4,NA,0.2,0.6,0.6,4.2,NA,NA,0,0,4.8,NA,18441,FleaFlicker,16593,8,NOSun 4:05 PM,NA,NA,0.2,34.5,42%,NA,NA
Michael Carter,RB,ARI,NA,4.3,22.1,NA,0.1,1.6,1.6,12.8,NA,NA,0,0,4.59,NA,16618,FleaFlicker,15258,8,@DALMon 8:15 PM,NA,NA,0.2,34.9,33%,NA,NA
Bhayshul Tuten,RB,JAC,NA,5.5,22.9,NA,0.2,1,1,8.6,NA,NA,0.1,0,4.49,NA,19349,FleaFlicker,17052,8,@LVSun 4:05 PM,NA,NA,0.2,31.5,55%,NA,NA
Devin Singletary,RB,NYG,NA,6.2,26.3,NA,0.1,1.1,1.1,7.5,NA,NA,0,0,4.34,NA,14736,FleaFlicker,14080,4,SFSun 1:00 PM,NA,NA,0.2,33.7,26%,NA,NA
Justice Hill,RB,BAL,NA,2.4,11.9,NA,0.1,2.4,2.4,20,NA,NA,0.1,0,4.21,NA,14767,FleaFlicker,14086,7,@MIAW 28-6,4.21,NA,0.2,31.8,41%,NA,NA
Jeremy McNichols,RB,WAS,NA,2.8,14.1,NA,0.1,2.1,2.1,16.4,NA,NA,0.1,0.1,4.14,NA,12999,FleaFlicker,13143,2,SEASun 8:20 PM,NA,NA,0.2,30.4,27%,NA,NA
Ollie Gordon,RB,MIA,NA,5.8,23.1,NA,0.1,0.9,0.9,5.9,NA,NA,0.1,0,4.12,NA,19380,FleaFlicker,17059,2,BALL 6-28,4.12,NA,0.2,29,43%,NA,NA
Emari Demercado,RB,ARI,NA,3.5,18,NA,0.1,1.2,1.2,8.4,NA,NA,0.1,0.1,3.62,NA,17978,FleaFlicker,16385,8,@DALMon 8:15 PM,NA,NA,0.2,26.4,19%,NA,NA
Jaydon Blue,RB,DAL,NA,5.1,20.6,NA,0.1,0.8,0.8,6,NA,NA,0,0.1,3.58,NA,19421,FleaFlicker,17069,0,ARIMon 8:15 PM,NA,NA,0.2,26.6,48%,NA,NA
Brian Robinson,RB,SF,NA,5.6,23.2,NA,0.1,0.4,0.4,3.4,NA,NA,0,0,3.52,NA,16875,FleaFlicker,15716,4,@NYGSun 1:00 PM,NA,NA,0.1,26.6,62%,NA,NA
Raheem Mostert,RB,LV,NA,3.9,16.8,NA,0.1,0.7,0.7,5,NA,NA,0.1,0,3.36,NA,11455,FleaFlicker,12447,8,JACSun 4:05 PM,NA,NA,0.2,21.8,19%,NA,NA
Jaret Patterson,RB,LAC,NA,4,17.9,NA,0.1,0.8,0.8,5.5,NA,NA,0,0,3.24,NA,16630,FleaFlicker,15260,2,@TENSun 1:00 PM,NA,NA,0.2,23.5,1%,NA,NA
Devin Neal,RB,NO,NA,3.2,15.4,NA,0.1,0.8,0.8,5.8,NA,NA,0,0,2.76,NA,19434,FleaFlicker,17046,1,@LARSun 4:05 PM,NA,NA,0.1,21.2,29%,NA,NA
Ty Johnson,RB,BUF,NA,2.1,10.8,NA,0,0.8,0.8,7.8,NA,NA,0.1,0,2.5,NA,14842,FleaFlicker,14095,7,KCSun 4:25 PM,NA,NA,0.1,18.7,12%,NA,NA
Hassan Haskins,RB,LAC,NA,3.4,14.8,NA,0.1,0.5,0.5,3,NA,NA,0,0.1,2.4,NA,16913,FleaFlicker,15720,2,@TENSun 1:00 PM,NA,NA,0.1,17.7,21%,NA,NA
Keaton Mitchell,RB,BAL,NA,2.4,14.6,NA,0.1,0.3,0.3,3.1,NA,NA,0,0,2.23,NA,18174,FleaFlicker,16178,7,@MIAW 28-6,2.23,NA,0.1,17.7,20%,NA,NA
Ameer Abdullah,RB,IND,NA,2,9.4,NA,0.1,0.6,0.6,3.9,NA,NA,0,0,1.99,NA,11207,FleaFlicker,12155,1,@PITSun 1:00 PM,NA,NA,0.1,13.4,5%,NA,NA
Ray Davis,RB,BUF,NA,2.1,8.8,NA,0.1,0.5,0.5,4,NA,NA,0.1,0,1.92,NA,18460,FleaFlicker,16603,7,KCSun 4:25 PM,NA,NA,0.1,12.8,49%,NA,NA
Elijah Mitchell,RB,KC,NA,3.1,11.5,NA,0.1,0.2,0.2,1.4,NA,NA,0,0,1.9,NA,13728,FleaFlicker,15263,0,@BUFSun 4:25 PM,NA,NA,0.1,12.9,9%,NA,NA
Chris Rodriguez,RB,WAS,NA,2.7,10.1,NA,0.1,0.1,0.1,0.6,NA,NA,0,0,1.55,NA,17762,FleaFlicker,16174,2,SEASun 8:20 PM,NA,NA,0.1,10.7,20%,NA,NA
IRPhil Mafah,RB,DAL,NA,1.7,7.5,NA,0.1,0.2,0.2,1.5,NA,NA,0,0,1.5,NA,19507,FleaFlicker,17063,0,ARIMon 8:15 PM,NA,NA,0.1,9,11%,NA,NA
LeQuint Allen,RB,JAC,NA,1,5.7,NA,0,0.8,0.8,5.8,NA,NA,0,0,1.43,NA,19471,FleaFlicker,17061,8,@LVSun 4:05 PM,NA,NA,0.1,11.6,13%,NA,NA
Kyle Juszczyk,RB,SF,NA,0.4,1.4,NA,0,1,1,9.2,NA,NA,0.1,0,1.4,NA,9410,FleaFlicker,11367,4,@NYGSun 1:00 PM,NA,NA,0.1,10.6,5%,NA,NA
Chris Brooks,RB,GB,NA,1.5,6.5,NA,0,0.6,0.6,4,NA,NA,0,0,1.35,NA,18169,FleaFlicker,16387,5,CARSun 1:00 PM,NA,NA,0.1,10.6,6%,NA,NA
Tyler Badie,RB,DEN,NA,1.4,6.2,NA,0,0.8,0.8,6.1,NA,NA,0,0.1,1.33,NA,16972,FleaFlicker,15718,2,@HOUSun 1:00 PM,NA,NA,0.1,12.3,5%,NA,NA
Kaleb Johnson,RB,PIT,NA,1.8,6.1,NA,0,0.1,0.1,0.8,NA,NA,0,0,0.99,NA,19300,FleaFlicker,17048,5,INDSun 1:00 PM,NA,NA,0.1,6.9,56%,NA,NA
Roschon Johnson,RB,CHI,NA,1.4,5.1,NA,0.1,0.1,0.1,0.8,NA,NA,0,0,0.95,NA,17716,FleaFlicker,16175,5,@CINSun 1:00 PM,NA,NA,0.1,5.9,19%,NA,NA
Zavier Scott,RB,MIN,NA,1.5,5.8,NA,0,0.2,0.2,1.6,NA,NA,0,0,0.86,NA,18092,FleaFlicker,17337,6,@DETSun 1:00 PM,NA,NA,0,7.4,13%,NA,NA
Isaac Guerendo,RB,SF,NA,0.9,4.5,NA,0,0.1,0.1,0.8,NA,NA,0,0,0.78,NA,18482,FleaFlicker,16688,4,@NYGSun 1:00 PM,NA,NA,0,5.4,32%,NA,NA
George Holani,RB,SEA,NA,1.2,4.5,NA,0,0.3,0.3,2.1,NA,NA,0,0,0.78,NA,18889,FleaFlicker,16608,8,@WASSun 8:20 PM,NA,NA,0,6.6,5%,NA,NA
IRTy Chandler,RB,MIN,NA,0.9,4,NA,0.1,0.1,0.1,0.5,NA,NA,0,0,0.75,NA,17020,FleaFlicker,15723,6,@DETSun 1:00 PM,NA,NA,0.1,4.5,7%,NA,NA
Rasheen Ali,RB,BAL,NA,0.7,3.8,NA,0.1,0.1,0.1,0.3,NA,NA,0,0,0.72,NA,18527,FleaFlicker,16746,7,@MIAW 28-6,0.72,NA,0.1,4.1,7%,NA,NA
DJ Giddens,RB,IND,NA,0.9,4,NA,0,0.1,0.1,0.4,NA,NA,0,0,0.68,NA,19390,FleaFlicker,17060,1,@PITSun 1:00 PM,NA,NA,0,4.5,28%,NA,NA
Trevor Etienne,RB,CAR,NA,1,4,NA,0,0.3,0.3,1.6,NA,NA,0,0,0.68,NA,19365,FleaFlicker,17056,4,@GBSun 1:00 PM,NA,NA,0,5.6,24%,NA,NA
Alec Ingold,RB,MIA,NA,0.3,0.9,NA,0,0.5,0.5,4,NA,NA,0,0,0.65,NA,15279,FleaFlicker,14420,2,BALL 6-28,NA,NA,0,4.9,1%,NA,NA
Jarquez Hunter,RB,LAR,NA,0.9,3.5,NA,0,0.1,0.1,0.4,NA,NA,0,0,0.63,NA,19372,FleaFlicker,17064,8,NOSun 4:05 PM,NA,NA,0,3.9,20%,NA,NA
Craig Reynolds,RB,DET,NA,1,3.7,NA,0,0.1,0.1,0.7,NA,NA,0,0,0.62,NA,15434,FleaFlicker,14727,8,MINSun 1:00 PM,NA,NA,0,4.4,2%,NA,NA
Julius Chestnut,RB,TEN,NA,0.7,4.6,NA,0,0,0,0.4,NA,NA,0,0,0.62,NA,17227,FleaFlicker,15965,0,LACSun 1:00 PM,NA,NA,0,5,3%,NA,NA
Jordan James,RB,SF,NA,0.9,3.4,NA,0,0.1,0.1,0.7,NA,NA,0,0,0.59,NA,19436,FleaFlicker,17055,4,@NYGSun 1:00 PM,NA,NA,0,4.1,15%,NA,NA
Christian McCaffrey,RB,SF,NA,NA,80.69,NA,0.71,NA,5.38,48.82,NA,NA,0.39,0.11,24.71,NA,2557997,NFL,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,NA,87.5,NA,1.1,NA,3.38,24.83,NA,NA,0.19,0.09,22.17,NA,2564148,NFL,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,NA,72.97,NA,0.86,NA,3.61,27.77,NA,NA,0.26,0.09,20.22,NA,2569747,NFL,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,NA,78.85,NA,1.18,NA,2.23,19.49,NA,NA,0.12,0.09,19.68,NA,2562377,NFL,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,NA,74.67,NA,0.37,NA,4.51,38.27,NA,NA,0.27,0.08,19.48,NA,2569558,NFL,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,NA,57.14,NA,0.27,NA,5.54,34.88,NA,NA,0.5,0.08,19.2,NA,2570062,NFL,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,NA,NA,81.15,NA,0.79,NA,3.08,15.12,NA,NA,0.16,0.11,18.19,NA,2566049,NFL,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,NA,94.66,NA,1.02,NA,1.03,9.28,NA,NA,0.09,0.09,17.9,NA,2556075,NFL,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,NA,83.66,NA,0.75,NA,2.27,15.01,NA,NA,0.18,0.1,17.52,NA,2567862,NFL,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,NA,81.25,NA,0.53,NA,2.63,19.25,NA,NA,0.21,0.08,16.96,NA,2574298,NFL,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,NA,NA,76.09,NA,0.64,NA,2.55,19.29,NA,NA,0.19,0.09,16.89,NA,2567328,NFL,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kimani Vidal,RB,LAC,NA,NA,71.88,NA,0.66,NA,2.16,17.17,NA,NA,0.18,0.09,15.93,NA,2572486,NFL,16757,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,NA,63.35,NA,0.44,NA,2.71,20.39,NA,NA,0.17,0.07,14.6,NA,2568493,NFL,15742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,NA,NA,59.7,NA,0.21,NA,2.78,20.13,NA,NA,0.19,0.07,13.02,NA,2572351,NFL,16747,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,NA,NA,51.02,NA,0.28,NA,2.85,19.64,NA,NA,0.24,0.07,12.9,NA,2569642,NFL,16181,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,NA,NA,54.95,NA,0.51,NA,2.03,16.06,NA,NA,0.12,0.05,12.81,NA,2563965,NFL,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,NA,NA,57.15,NA,0.57,NA,1.72,9.54,NA,NA,0.1,0.1,12.21,NA,2563548,NFL,14800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,NA,61.19,NA,0.48,NA,1.41,11.94,NA,NA,0.12,0.08,12.16,NA,2574608,NFL,17256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAX,NA,NA,62.58,NA,0.31,NA,2.14,14.69,NA,NA,0.06,0.08,11.93,NA,2566157,NFL,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,NA,51.65,NA,0.37,NA,1.83,15.31,NA,NA,0.13,0.08,11.37,NA,2568282,NFL,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KC,NA,NA,42.46,NA,0.52,NA,1.96,13.09,NA,NA,0.13,0.07,11.28,NA,2557917,NFL,13138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,NA,NA,40.83,NA,0.58,NA,1.56,13.13,NA,NA,0.11,0.06,10.98,NA,2570335,NFL,16169,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bam Knight,RB,ARI,NA,NA,51.95,NA,0.44,NA,1.42,12.09,NA,NA,0.1,0.07,10.92,NA,2568036,NFL,15727,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,NA,43.7,NA,0.17,NA,2.99,17.39,NA,NA,0.12,0.06,10.72,NA,2558019,NFL,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,NA,NA,37.55,NA,0.6,NA,1.7,13.51,NA,NA,0.06,0.05,10.67,NA,2562502,NFL,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,NA,NA,36.58,NA,0.27,NA,2.21,22.12,NA,NA,0.18,0.06,10.66,NA,2574174,NFL,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,NA,NA,51.71,NA,0.21,NA,2.08,13.16,NA,NA,0.14,0.09,10.49,NA,2565295,NFL,14823,NA,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,NA,NA,43.73,NA,0.2,NA,2.28,17.59,NA,NA,0.16,0.05,10.47,NA,2574374,NFL,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,NA,NA,40.78,NA,0.22,NA,2.02,13.61,NA,NA,0.14,0.07,9.48,NA,2558116,NFL,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,NA,NA,39.17,NA,0.31,NA,1.9,12.02,NA,NA,0.09,0.08,9.26,NA,2569795,NFL,16165,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,NA,NA,43.09,NA,0.24,NA,1.54,12.6,NA,NA,0.09,0.15,8.85,NA,2558138,NFL,13133,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Tony Pollard,RB,TEN,NA,NA,46.55,NA,0.22,NA,1.63,8.93,NA,NA,0.02,0.04,8.54,NA,2562699,NFL,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,NA,NA,44.5,NA,0.35,NA,0.92,6.29,NA,NA,0.05,0.05,8.3,NA,2569257,NFL,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,NA,NA,37.38,NA,0.28,NA,1.22,11.24,NA,NA,0.09,0.05,8.2,NA,2574015,NFL,17066,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PIT,NA,NA,29.49,NA,0.33,NA,1.55,9.16,NA,NA,0.09,0.06,7.82,NA,2566397,NFL,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,NA,27.23,NA,0.1,NA,2.07,10.72,NA,NA,0.12,0.04,7.11,NA,2565899,NFL,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,ARI,NA,NA,29.79,NA,0.2,NA,1.42,10.03,NA,NA,0.08,0.04,7,NA,2566382,NFL,15258,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brashard Smith,RB,KC,NA,NA,22.79,NA,0.16,NA,1.68,13.56,NA,NA,0.12,0.04,6.92,NA,2574256,NFL,17049,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,HOU,NA,NA,37.97,NA,0.19,NA,0.93,6.99,NA,NA,0.06,0.05,6.83,NA,2561021,NFL,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,NA,NA,11.86,NA,0.07,NA,2.28,17.61,NA,NA,0.2,0.06,6.73,NA,2562407,NFL,14086,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,NA,NA,26.86,NA,0.43,NA,0.71,5.64,NA,NA,0.04,0.04,6.7,NA,2567232,NFL,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,NA,NA,23.77,NA,0.15,NA,1.53,11.11,NA,NA,0.14,0.04,6.68,NA,2574090,NFL,17068,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Singletary,RB,NYG,NA,NA,33.35,NA,0.21,NA,1.15,5.82,NA,NA,0.06,0.05,6.59,NA,2562734,NFL,14080,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAX,NA,NA,23.68,NA,0.19,NA,1.31,11.99,NA,NA,0.09,0.04,6.48,NA,2574235,NFL,17052,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,NA,NA,31.47,NA,0.17,NA,1.05,8.38,NA,NA,0.08,0.04,6.46,NA,2570912,NFL,16432,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrell Jennings,RB,NE,NA,NA,32.26,NA,0.21,NA,0.77,7.42,NA,NA,0.06,0.05,6.26,NA,2573767,NFL,16957,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,NA,NA,24.68,NA,0.16,NA,1.14,8.54,NA,NA,0.07,0.03,5.78,NA,2574402,NFL,17046,NA,NA,NA,NA,NA,NA,NA,NA,NA
