player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Sterling Shepard,WR,TB,NA,2,2,23.7,NA,NA,0.2,0.3,1.8,NA,0,0,3.49,NA,12058,FleaFlicker,12658,NA,NA,NA,NA,NA,9,@HOUMon 7:00 PM,NA,0.2,25.5,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTNoah Brown,WR,WAS,NA,2.2,2.2,27.5,NA,NA,0.1,0,0,NA,0,0,3.45,NA,13120,FleaFlicker,13172,NA,NA,NA,NA,NA,2,@GBL 18-27,WR117,0.1,27.5,10%,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,NA,1.7,1.7,20.9,NA,NA,0.2,0,0,NA,0,0,3.41,NA,16872,FleaFlicker,15788,NA,NA,NA,NA,NA,0,NYGSun 1:00 PM,WR104,0.2,20.9,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,NO,NA,2.1,2.1,23.6,NA,NA,0.2,0.1,0.2,NA,0,0,3.38,NA,10242,FleaFlicker,11674,NA,NA,NA,NA,NA,1,SFSun 1:00 PM,WR99,0.2,23.9,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,NA,2.1,2.1,27.6,NA,NA,0.1,0.1,0.4,NA,0,0,3.32,NA,19439,FleaFlicker,17098,NA,NA,NA,NA,NA,8,@PITSun 1:00 PM,WR80,0.1,28,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,NA,1.4,1.4,24.4,NA,NA,0.1,0,0,NA,0,0,3.31,NA,16842,FleaFlicker,15768,NA,NA,NA,NA,NA,1,DENSun 4:05 PM,WR75,0.1,24.4,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,NA,1.6,1.6,19.5,NA,NA,0.2,0,0,NA,0,0,3.27,NA,17754,FleaFlicker,16207,NA,NA,NA,NA,NA,0,JACSun 1:00 PM,WR89,0.2,19.5,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,TEN,NA,1.9,1.9,23.3,NA,NA,0.1,0,0,NA,0,0,3.03,NA,11242,FleaFlicker,12187,NA,NA,NA,NA,NA,0,LARSun 1:00 PM,WR84,0.1,23.3,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,NA,1.9,1.9,23.1,NA,NA,0.1,0,0.3,NA,0,0,2.98,NA,15107,FleaFlicker,14592,NA,NA,NA,NA,NA,5,@DETSun 1:00 PM,WR109,0.1,23.4,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,WR,NYJ,NA,2,2,22.3,NA,NA,0.1,0,0,NA,0,0,2.93,NA,15729,FleaFlicker,14864,NA,NA,NA,NA,NA,9,BUFSun 1:00 PM,NA,0.1,22.3,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,NA,1.5,1.5,20.2,NA,NA,0.1,0.2,0.8,NA,0,0,2.8,NA,17740,FleaFlicker,16201,NA,NA,NA,NA,NA,6,TBMon 7:00 PM,NA,0.1,20.9,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dareke Young,WR,SEA,NA,1.6,1.6,20.9,NA,NA,0.1,0.1,0.3,NA,0,0,2.72,NA,17046,FleaFlicker,15941,NA,NA,NA,NA,NA,8,@PITSun 1:00 PM,NA,0.1,21.2,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
