player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Olamide Zaccheaus,WR,CHI,NA,NA,1.59,22.09,NA,NA,0.11,NA,0.54,NA,NA,0.01,4.49,NA,2562808,NFL,14592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,NA,NA,1.49,20.76,NA,NA,0.14,NA,NA,NA,NA,0.01,4.39,NA,2540165,NFL,11232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,NA,NA,1.63,18.81,NA,NA,0.11,NA,0.8,NA,0.01,0.01,4.29,NA,2574561,NFL,17098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,NA,NA,1.36,19.67,NA,NA,0.16,NA,0.23,NA,NA,0.01,4.29,NA,2565477,NFL,15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,NO,NA,NA,1.51,19.63,NA,NA,0.13,NA,0.32,NA,NA,0.01,4.27,NA,2543498,NFL,11674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,NA,NA,1.41,18.95,NA,NA,0.15,NA,NA,NA,NA,0.01,4.19,NA,2569657,NFL,16207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,NA,NA,1.65,18.43,NA,NA,0.11,NA,0.29,NA,NA,0.01,4.16,NA,2574170,NFL,17083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,PHI,NA,NA,1.46,19,NA,NA,0.11,NA,0.33,NA,NA,0.01,4.03,NA,2568321,NFL,15755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,NA,NA,1.39,18.17,NA,NA,0.13,NA,0.42,NA,NA,0.01,4.01,NA,2569759,NFL,16195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,NA,NA,1.46,17.21,NA,NA,0.09,NA,0.7,NA,0.01,0.01,3.83,NA,2555295,NFL,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,WR,DET,NA,NA,1.1,15.19,NA,NA,0.07,NA,0.86,NA,NA,0.04,3.47,NA,2556661,NFL,13066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,NA,NA,1.22,15.56,NA,NA,0.1,NA,NA,NA,NA,0.01,3.36,NA,2567508,NFL,15788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,NA,NA,1.29,14.42,NA,NA,0.08,NA,NA,NA,NA,0.01,3.19,NA,2572459,NFL,16629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,NA,NA,1,14.05,NA,NA,0.08,NA,NA,NA,NA,0.01,2.87,NA,2558914,NFL,13418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,NA,NA,0.91,11.93,NA,NA,0.09,NA,0.27,NA,NA,0.01,2.65,NA,2558262,NFL,13289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Noel,WR,HOU,NA,NA,0.99,10.89,NA,NA,0.07,NA,0.98,NA,0.01,0.01,2.64,NA,2574176,NFL,17080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,NA,NA,0.86,12.02,NA,NA,0.08,NA,NA,NA,NA,NA,2.54,NA,2560787,NFL,13632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,NA,0.94,12.34,NA,NA,0.04,NA,0.69,NA,0.01,0.01,2.52,NA,2566196,NFL,15301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,NA,NA,0.97,10.27,NA,NA,0.06,NA,1,NA,0.01,0.01,2.5,NA,2562645,NFL,14108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,NA,NA,0.92,11.01,NA,NA,0.08,NA,NA,NA,NA,NA,2.5,NA,2569825,NFL,16201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,NA,NA,0.88,10.04,NA,NA,0.06,NA,1.64,NA,0.01,0.01,2.45,NA,2574004,NFL,17070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arian Smith,WR,NYJ,NA,NA,0.96,10.64,NA,NA,0.06,NA,0.14,NA,NA,0.01,2.38,NA,2574450,NFL,17175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,HOU,NA,NA,0.77,11.47,NA,NA,0.05,NA,NA,NA,NA,NA,2.22,NA,2560051,NFL,13776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,NA,NA,0.85,9.95,NA,NA,0.06,NA,0.08,NA,NA,NA,2.21,NA,2574120,NFL,17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,NA,0.81,9.64,NA,NA,0.05,NA,0.24,NA,NA,NA,2.1,NA,2572006,NFL,16788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Gage,WR,SF,NA,NA,0.78,9.49,NA,NA,0.06,NA,NA,NA,NA,NA,2.09,NA,2561061,NFL,13809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dee Eskridge,WR,MIA,NA,NA,0.79,8.85,NA,NA,0.04,NA,NA,NA,NA,0.01,1.9,NA,2566553,NFL,15302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,NA,NA,0.71,8.24,NA,NA,0.03,NA,1.52,NA,NA,NA,1.87,NA,2572216,NFL,16633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamari Thrash,WR,CLE,NA,NA,0.68,8.13,NA,NA,0.06,NA,NA,NA,NA,NA,1.85,NA,2571955,NFL,16624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,NA,NA,0.69,8.01,NA,NA,0.05,NA,0.46,NA,NA,NA,1.84,NA,2574147,NFL,17171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,NA,NA,0.69,8.01,NA,NA,0.05,NA,NA,NA,NA,NA,1.79,NA,2574663,NFL,17076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KeAndre Lambert-Smith,WR,LAC,NA,NA,0.68,7.75,NA,NA,0.05,NA,0.26,NA,NA,NA,1.78,NA,2574521,NFL,17205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tai Felton,WR,MIN,NA,NA,0.68,7.53,NA,NA,0.05,NA,0.19,NA,NA,NA,1.75,NA,2574344,NFL,17097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Bech,WR,LV,NA,NA,0.63,7.24,NA,NA,0.04,NA,0.31,NA,NA,NA,1.63,NA,2574285,NFL,17078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,ARI,NA,NA,0.57,6.62,NA,NA,0.03,NA,0.55,NA,NA,NA,1.47,NA,2557863,NFL,13176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,IND,NA,NA,0.5,6.45,NA,NA,0.03,NA,0.37,NA,0.01,NA,1.42,NA,2572129,NFL,16626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAX,NA,NA,0.47,5.67,NA,NA,0.04,NA,0.66,NA,NA,NA,1.34,NA,2569888,NFL,16192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Valdes-Scantling,WR,SF,NA,NA,0.37,7.21,NA,NA,0.04,NA,NA,NA,NA,NA,1.33,NA,2560907,NFL,13793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Williams,WR,NE,NA,NA,0.48,5.36,NA,NA,0.03,NA,0.75,NA,0.01,NA,1.33,NA,2574387,NFL,17134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Moore,WR,CAR,NA,NA,0.44,5.41,NA,NA,0.04,NA,NA,NA,NA,NA,1.22,NA,2558856,NFL,13348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tylan Wallace,WR,BAL,NA,NA,0.44,5.55,NA,NA,0.03,NA,0.34,NA,NA,NA,1.21,NA,2565857,NFL,15285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Jones,WR,CIN,NA,NA,0.61,6.34,NA,NA,-0.01,NA,0.19,NA,NA,NA,1.2,NA,2569645,NFL,16203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,NA,NA,0.41,4.87,NA,NA,0.03,NA,0.13,NA,NA,NA,1.09,NA,2574589,NFL,17079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre Harris,WR,LAC,NA,NA,0.41,4.57,NA,NA,0.03,NA,0.37,NA,NA,NA,1.08,NA,2574515,NFL,17072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,WAS,NA,NA,0.41,5.2,NA,NA,0.02,NA,NA,NA,NA,NA,1.05,NA,2555209,NFL,12773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Bryant,WR,DEN,NA,NA,0.39,4.45,NA,NA,0.03,NA,0.04,NA,NA,NA,1.02,NA,2574086,NFL,17082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,BUF,NA,NA,0.31,3.36,NA,NA,0.02,NA,1.28,NA,0.02,NA,1.01,NA,2558066,NFL,13157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Heath,WR,GB,NA,NA,0.37,3.96,NA,NA,0.03,NA,0.29,NA,NA,NA,0.98,NA,2570518,NFL,16413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savion Williams,WR,GB,NA,NA,0.34,3.96,NA,NA,0.03,NA,0.43,NA,NA,NA,0.96,NA,2574141,NFL,17096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Brownlee,WR,KC,NA,NA,0.35,3.88,NA,NA,0.03,NA,NA,NA,NA,NA,0.92,NA,2570608,NFL,16423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Metchie III,WR,PHI,NA,NA,0.36,3.99,NA,NA,0.02,NA,NA,NA,NA,NA,0.88,NA,2567682,NFL,15759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van Jefferson,WR,TEN,NA,NA,0.28,3.95,NA,NA,0.02,NA,NA,NA,NA,NA,0.8,NA,2564358,NFL,14858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derius Davis,WR,LAC,NA,NA,0.22,2.12,NA,NA,0.01,NA,0.14,NA,NA,0.07,0.79,NA,2570272,NFL,16299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KhaDarel Hodge,WR,ATL,NA,NA,0.26,3.81,NA,NA,0.02,NA,0.26,NA,NA,NA,0.79,NA,2561653,NFL,13963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalin Hyatt,WR,NYG,NA,NA,0.29,4.02,NA,NA,0.01,NA,NA,NA,NA,NA,0.75,NA,2570152,NFL,16183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Watkins,WR,SF,NA,NA,0.29,3.42,NA,NA,0.02,NA,NA,NA,NA,NA,0.75,NA,2574550,NFL,17192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devontez Walker,WR,BAL,NA,NA,0.25,3.12,NA,NA,0.02,NA,0.34,NA,NA,NA,0.72,NA,2571844,NFL,16621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Patrick,WR,JAX,NA,NA,0.22,3.02,NA,NA,0.02,NA,NA,NA,NA,NA,0.64,NA,2558985,NFL,13377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bobo,WR,SEA,NA,NA,0.24,2.73,NA,NA,0.02,NA,NA,NA,NA,NA,0.63,NA,2571378,NFL,16393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jermaine Burton,WR,CIN,NA,NA,0.2,2.94,NA,NA,0.02,NA,0.19,NA,NA,NA,0.63,NA,2571922,NFL,16632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Moore,WR,BUF,NA,NA,0.26,3.04,NA,NA,0.01,NA,NA,NA,NA,NA,0.62,NA,2566385,NFL,15288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Sherfield,WR,DEN,NA,NA,0.23,2.69,NA,NA,0.02,NA,NA,NA,NA,NA,0.62,NA,2561272,NFL,13893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Carter,WR,CLE,NA,NA,0.22,2.72,NA,NA,0.02,NA,0.11,NA,NA,0.02,0.58,NA,2553502,NFL,12394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Duvernay,WR,CHI,NA,NA,0.09,0.9,NA,NA,0.01,NA,0.43,NA,NA,0.03,0.58,NA,2563551,NFL,14847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Dulin,WR,IND,NA,NA,0.19,2.62,NA,NA,0.01,NA,0.55,NA,NA,NA,0.57,NA,2562646,NFL,14315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke McCaffrey,WR,WAS,NA,NA,0.23,2.44,NA,NA,0.01,NA,0.31,NA,NA,NA,0.57,NA,2572576,NFL,16635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nikko Remigio,WR,KC,NA,NA,0.23,2.74,NA,NA,0.01,NA,NA,NA,NA,NA,0.56,NA,2570692,NFL,16422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Tinsley,WR,CIN,NA,NA,0.2,2.29,NA,NA,0.01,NA,NA,NA,NA,NA,0.49,NA,2571650,NFL,16403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Gould,WR,IND,NA,NA,0.17,1.89,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,2572120,NFL,16732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Smith,WR,LAR,NA,NA,0.21,2.32,NA,NA,0.01,NA,0.38,NA,NA,0.09,0.36,NA,2570002,NFL,16428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,9.51,6.73,88.08,NA,NA,0.7,0.55,2.38,NA,0.03,NA,16.77,NA,54864,FanDuel,15281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,19,2,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Justin Jefferson,WR,MIN,NA,9.51,6.4,84.12,NA,NA,0.67,0,0,NA,0,NA,15.57,NA,54532,FanDuel,14836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,29,20,18,Minnesota Vikings,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
CeeDee Lamb,WR,DAL,NA,9.68,6.52,81.97,NA,NA,0.62,0,0,NA,0,NA,15.14,NA,54517,FanDuel,14832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,34,30,9,Dallas Cowboys,9,Dallas Cowboys,DAL,21,New York Giants,NYG,WEEKLY
Malik Nabers,WR,NYG,NA,9.68,5.89,74.47,NA,NA,0.55,0,0,NA,0,NA,13.65,NA,55922,FanDuel,16615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,45,27,21,New York Giants,9,Dallas Cowboys,DAL,21,New York Giants,NYG,WEEKLY
Brian Thomas Jr.,WR,JAC,NA,8.3,4.93,72.46,NA,NA,0.53,0.55,2.92,NA,0.02,NA,13.3,NA,55916,FanDuel,16618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5,47,12,15,Jacksonville Jaguars,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Nico Collins,WR,HOU,NA,8.54,5.54,78.94,NA,NA,0.41,0,0,NA,0,NA,13.1,NA,54887,FanDuel,15290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6,50,22,13,Houston Texans,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Puka Nacua,WR,LA,NA,8.79,6,70.34,NA,NA,0.36,0.59,3.1,NA,0.02,NA,12.6,NA,55652,FanDuel,16211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7,56,3,33,Los Angeles Rams,31,Tennessee Titans,TEN,33,Los Angeles Rams,LA,WEEKLY
Zay Flowers,WR,BAL,NA,6.76,4.34,66.35,NA,NA,0.36,1.49,7.86,NA,0.09,NA,12.31,NA,55585,FanDuel,16190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,61,8,3,Baltimore Ravens,3,Baltimore Ravens,BAL,8,Cleveland Browns,CLE,WEEKLY
Courtland Sutton,WR,DEN,NA,9.44,5.5,69.59,NA,NA,0.44,0,0,NA,0,NA,12.25,NA,53781,FanDuel,13630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,62,6,10,Denver Broncos,14,Indianapolis Colts,IND,10,Denver Broncos,DEN,WEEKLY
Tee Higgins,WR,CIN,NA,8.15,5.13,64.89,NA,NA,0.53,0,0,NA,0,NA,12.23,NA,54512,FanDuel,14835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,63,2,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Tyreek Hill,WR,MIA,NA,8.6,5.92,59.92,NA,NA,0.46,0,0,NA,0,NA,11.69,NA,53108,FanDuel,12801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,11,66,17,17,Miami Dolphins,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Ladd McConkey,WR,LAC,NA,7.9,5.12,67.62,NA,NA,0.39,0,0,NA,0,NA,11.6,NA,55930,FanDuel,16627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,12,68,13,34,Los Angeles Chargers,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
