player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Travis Kelce,TE,KC,NA,6.89,5.02,45.94,NA,NA,0.37,NA,9.26,NA,52104,FanDuel,11244,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5,85,2,16,Kansas City Chiefs,15,Jacksonville Jaguars,JAC,16,Kansas City Chiefs,KC,WEEKLY
Sam LaPorta,TE,DET,NA,5.42,3.9,44.56,NA,NA,0.35,NA,8.53,NA,55608,FanDuel,16214,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6,99,25,11,Detroit Lions,7,Cincinnati Bengals,CIN,11,Detroit Lions,DET,WEEKLY
Theo Johnson,TE,NYG,NA,6.43,4.34,47.94,NA,NA,0.25,NA,8.44,NA,56025,FanDuel,16649,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7,101,26,21,New York Giants,20,New Orleans Saints,NO,21,New York Giants,NYG,WEEKLY
Hunter Henry,TE,NE,NA,5.95,3.95,44.75,NA,NA,0.33,NA,8.43,NA,53079,FanDuel,12676,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,102,15,19,New England Patriots,4,Buffalo Bills,BUF,19,New England Patriots,NE,WEEKLY
Darren Waller,TE,MIA,NA,5.99,4.15,46.3,NA,NA,0.26,NA,8.27,NA,52802,FanDuel,12263,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,105,19,17,Miami Dolphins,5,Carolina Panthers,CAR,17,Miami Dolphins,MIA,WEEKLY
Juwan Johnson,TE,NO,NA,6.63,4.13,36.88,NA,NA,0.35,NA,7.81,NA,54742,FanDuel,14861,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,108,28,20,New Orleans Saints,20,New Orleans Saints,NO,21,New York Giants,NYG,WEEKLY
Zach Ertz,TE,WSH,NA,5.71,4.02,39.62,NA,NA,0.31,NA,7.81,NA,52077,FanDuel,11247,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,108,3,32,Washington Commanders,34,Los Angeles Chargers,LAC,32,Washington Commanders,WSH,WEEKLY
Dalton Kincaid,TE,BUF,NA,5.06,3.4,37.18,NA,NA,0.26,NA,6.94,NA,55586,FanDuel,16213,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,12,121,18,4,Buffalo Bills,4,Buffalo Bills,BUF,19,New England Patriots,NE,WEEKLY
Dalton Schultz,TE,HOU,NA,5.66,3.57,32.26,NA,NA,0.24,NA,6.43,NA,54022,FanDuel,13772,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,13,129,30,13,Houston Texans,3,Baltimore Ravens,BAL,13,Houston Texans,HOU,WEEKLY
Harold Fannin Jr.,TE,CLE,NA,5.41,3.53,34.34,NA,NA,0.14,NA,6.22,NA,56414,FanDuel,17103,0.28,1.41,0.01,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,14,132,1,8,Cleveland Browns,8,Cleveland Browns,CLE,18,Minnesota Vikings,MIN,WEEKLY
T.J. Hockenson,TE,MIN,NA,5.41,3.6,32.81,NA,NA,0.17,NA,6.08,NA,54137,FanDuel,14138,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,15,135,7,18,Minnesota Vikings,8,Cleveland Browns,CLE,18,Minnesota Vikings,MIN,WEEKLY
Dallas Goedert,TE,PHI,NA,4.2,3.13,32.13,NA,NA,0.17,NA,5.78,NA,53795,FanDuel,13674,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,16,141,4,24,Philadelphia Eagles,24,Philadelphia Eagles,PHI,10,Denver Broncos,DEN,WEEKLY
