player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Matthew Golden,WR,GB,1,4.1,2.9,36.1,36.1,12.5,0.2,0.7,4.5,6.4,0,0,4.2,4.2,28874927,CBS,17075,NA,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,1,4.2,2.7,35.2,35.2,13,0.2,0.3,1.2,4,0,0,4.2,4.2,3126241,CBS,16342,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,1,5.4,3.2,37.6,37.6,11.8,0.2,0,0,0,0,0,4.2,4.2,2180514,CBS,14860,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,4.6,3.2,35.1,35.1,11,0.2,0,0.1,0,0,0,4.2,4.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,1,6.1,4.2,32.1,32.1,7.6,0.2,1.1,8.2,7.5,0,0.1,4,4,3124729,CBS,16684,NA,NA,NA,NA,NA,NA,NA,NA
Jalen McMillan,WR,TB,1,3.3,2.1,26.5,26.5,12.6,0.3,0.2,1.9,9.5,0,0,3.8,3.8,3162347,CBS,16628,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,1,3.6,2.2,26.8,26.8,12.2,0.3,0.1,0.2,2,0,0,3.8,3.8,3165177,CBS,17098,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,1,3.6,2.3,29.6,29.6,12.9,0.3,0.2,1,5,0,0,3.8,3.8,2866214,CBS,15777,NA,NA,NA,NA,NA,NA,NA,NA
Cedric Tillman,WR,CLE,1,4.4,2.4,25.1,25.1,10.5,0.3,0.1,0.1,1,0,0,3.8,3.8,2962120,CBS,16191,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims,WR,DEN,1,3.5,2.5,29.3,29.3,11.7,0.2,0.8,4.9,6.1,0.1,0.1,3.6,3.6,3162586,CBS,16189,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,LV,1,4.2,2.8,33.2,33.2,11.9,0.1,0.1,0.8,8,0,0,3.6,3.6,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,5,2.6,39.5,39.5,15.2,0.1,0,0.1,0,0,0,3.6,3.6,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,1,4.2,2.8,25,25,8.9,0.2,0.3,2,6.7,0,0,3.2,3.2,2186266,CBS,14592,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,1,3.8,2.1,20.5,20.5,9.8,0.2,0.2,0.4,2,0,0,3.2,3.2,3131575,CBS,16639,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,3.3,2,26.4,26.4,13.2,0.2,0,0.2,0,0,0,3.2,3.2,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,2.8,2.1,24.6,24.6,11.7,0.2,0.1,0.2,2,0,0,3.2,3.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,WR,NYJ,1,2.6,1.7,27.8,27.8,16.4,0.2,0,0,0,0,0,3.2,3.2,1620002,CBS,14864,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,2.1,1.4,25.3,25.3,18.1,0.2,0,0,0,0,0,3.2,3.2,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,1,3.5,2,27.6,27.6,13.8,0.2,0,0.2,0,0,0,3.2,3.2,2960940,CBS,15293,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,1,2.3,1.7,23,23,13.5,0.2,0.2,1,5,0,0,3.2,3.2,28874444,CBS,17070,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,1,3,1.5,20.2,20.2,13.5,0.2,0.1,1.3,13,0,0,3.2,3.2,2967232,CBS,15786,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,NO,1,2.7,1.7,26.4,26.4,15.5,0.2,0.3,1.4,4.7,0,0.1,3,3,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,ARI,1,3.8,2.5,29.7,29.7,11.9,0.1,0,0,0,0,0,2.6,2.6,2080270,CBS,13176,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,1,4.3,2.6,29.6,29.6,11.4,0.1,0,0.1,0,0,0,2.6,2.6,2965181,CBS,16206,NA,NA,NA,NA,NA,NA,NA,NA
Dont'e Thornton Jr.,WR,LV,1,3,1.5,20.2,20.2,13.5,0.1,0.1,0.2,2,0,0,2.6,2.6,26694424,CBS,17087,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,1,3.2,2,28.6,28.6,14.3,0.1,0,0,0,0,0,2.6,2.6,3163990,CBS,16809,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,JAC,1,3.1,1.9,23,23,12.1,0.1,0.4,1.9,4.8,0,0,2.6,2.6,2965973,CBS,15292,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,1,4.1,2.1,25.4,25.4,12.1,0.1,0.1,1.1,11,0,0,2.6,2.6,28910521,CBS,17076,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,2.7,1.9,29.6,29.6,15.6,0.1,0.3,0.9,3,0,0,2.6,2.6,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,NO,1,3.4,2.3,23.9,23.9,10.4,0.1,0.1,0.6,6,0,0,2.6,2.6,1880880,CBS,11674,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,LV,1,3.5,2,20.2,20.2,10.1,0.1,0,0,0,0,0,2.6,2.6,1860834,CBS,12187,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,1,3.4,2.1,23.9,23.9,11.4,0.1,0,0,0,0,0,2.6,2.6,3122375,CBS,16195,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,WAS,1,2.1,1.1,20.9,20.9,19,0.1,0.1,1.6,16,0,0,2.6,2.6,1871375,CBS,12773,NA,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,1,2.3,1.5,20.4,20.4,13.6,0.1,0.1,0.4,4,0,0.1,2.4,2.4,3169495,CBS,16629,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,1,3.2,2.3,23.3,23.3,10.1,0.1,0.3,1.1,3.7,0,0.1,2.4,2.4,1996786,CBS,12658,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,BUF,1,2.3,1.6,16.6,16.6,10.4,0.2,0.3,1.3,4.3,0,0,2.2,2.2,2131252,CBS,13157,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,1,1.7,1.1,17.5,17.5,15.9,0.2,0,0.1,0,0,0,2.2,2.2,1737078,CBS,11232,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,1,1.9,1.1,13.2,13.2,12,0.2,0,0,0,0,0,2.2,2.2,2141655,CBS,13632,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,1,2.7,1.8,19.7,19.7,10.9,0.2,0.1,0.9,9,0,0,2.2,2.2,3161943,CBS,16201,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,1,2.4,1.5,17.1,17.1,11.4,0.2,0,0,0,0,0,2.2,2.2,3121113,CBS,16788,NA,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,PHI,1,2.5,1.5,19.6,19.6,13.1,0.1,0,0.2,0,0,0,1.6,1.6,2962944,CBS,15755,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,WR,DET,1,1.7,1.2,15.5,15.5,12.9,0.1,0.2,2,10,0,0,1.6,1.6,1999329,CBS,13066,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Noel,WR,HOU,1,2,1.3,17.8,17.8,13.7,0.1,0.3,0.5,1.7,0,0,1.6,1.6,26697286,CBS,17080,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,1,2.7,2.1,14.9,14.9,7.1,0.1,0.3,1.9,6.3,0,0,1.6,1.6,2223207,CBS,14108,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,1,1.7,1.2,12.4,12.4,10.3,0.1,0.4,1.6,4,0,0,1.6,1.6,3122843,CBS,16633,NA,NA,NA,NA,NA,NA,NA,NA
Cedrick Wilson Jr.,WR,MIA,1,2.4,1.6,16.4,16.4,10.3,0.1,0,0,0,0,0,1.6,1.6,2240685,CBS,13652,NA,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,HOU,1,1.2,0.7,10.9,10.9,15.6,0.1,0,0,0,0,0,1.6,1.6,2137198,CBS,13776,NA,NA,NA,NA,NA,NA,NA,NA
Scott Miller,WR,PIT,1,2.2,1.3,17,17,13.1,0.1,0,0,0,0,0,1.6,1.6,2180075,CBS,14280,NA,NA,NA,NA,NA,NA,NA,NA
Braxton Berrios,WR,HOU,1,2.5,1.8,15.2,15.2,8.4,0.1,0.1,0.6,6,0,0,1.6,1.6,2130981,CBS,13638,NA,NA,NA,NA,NA,NA,NA,NA
Kameron Johnson,WR,TB,1,0.9,0.7,10.2,10.2,14.6,0.1,0.1,0.5,5,0,0,1.6,1.6,29380891,CBS,16883,NA,NA,NA,NA,NA,NA,NA,NA
Jamari Thrash,WR,CLE,1,2.2,1.5,17.8,17.8,11.9,0.1,0,0,0,0,0,1.6,1.6,3127827,CBS,16624,NA,NA,NA,NA,NA,NA,NA,NA
Dominic Lovett,WR,DET,1,0.9,0.7,10.4,10.4,14.9,0.1,0.1,0.3,3,0,0,1.6,1.6,26696063,CBS,17255,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,1,1.4,0.8,12.7,12.7,15.9,0.1,0.1,0.5,5,0,0,1.6,1.6,29122587,CBS,17157,NA,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,MIN,1,2,1.4,15.5,15.5,11.1,0.1,0,0.1,0,0,0,1.6,1.6,2059362,CBS,11938,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362628,ESPN,15281,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,11,7,95,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4262921,ESPN,14836,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241389,ESPN,14832,NA,NA,NA,NA,NA,NA,NA,NA
Malik Nabers,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4595348,ESPN,16615,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,11,9,102,NA,NA,1,1,3,NA,0,NA,NA,NA,4426515,ESPN,16211,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,10,8,100,NA,NA,1,0,1,NA,0,NA,NA,NA,4374302,ESPN,15287,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,9,6,70,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4258173,ESPN,15290,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,NA,8,4,60,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4432773,ESPN,16618,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,9,6,82,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4047646,ESPN,14104,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,NA,12,7,94,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4426502,ESPN,15751,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4239993,ESPN,14835,NA,NA,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3116406,ESPN,12801,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,NA,8,6,68,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4612826,ESPN,16627,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,NA,8,5,71,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16800,ESPN,11675,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,NA,11,8,109,NA,NA,1,0,2,NA,0,NA,NA,NA,4430878,ESPN,16185,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3121422,ESPN,14109,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,NA,8,5,65,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4569618,ESPN,15753,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,NA,8,5,65,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4432708,ESPN,16614,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,NA,7,4,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4047650,ESPN,14102,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,NA,7,4,51,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4685472,ESPN,17071,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4683062,ESPN,16620,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16737,ESPN,11671,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,NA,5,4,46,NA,NA,0,2,11,NA,0,NA,NA,NA,3915416,ESPN,13635,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,7,5,76,NA,NA,0,1,3,NA,0,NA,NA,NA,4429615,ESPN,16190,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,7,4,52,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3128429,ESPN,13630,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3925357,ESPN,13629,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,8,6,64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241478,ESPN,15282,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,8,5,67,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4372016,ESPN,15284,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,NA,6,3,49,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241463,ESPN,14833,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,5,3,64,NA,NA,0,0,2,NA,0,NA,NA,NA,4426388,ESPN,15756,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4428331,ESPN,16194,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426354,ESPN,15762,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,NA,7,4,66,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4431299,ESPN,16616,NA,NA,NA,NA,NA,NA,NA,NA
Travis Hunter,WR,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685415,ESPN,17074,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,NA,5,3,27,NA,NA,0,0,1,NA,0,NA,NA,NA,3916433,ESPN,14127,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,NA,5,3,40,NA,NA,0,1,3,NA,0,NA,NA,NA,4701936,ESPN,17075,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,NA,8,5,74,NA,NA,0,0,1,NA,0,NA,NA,NA,4567750,ESPN,17081,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,10,6,68,NA,NA,0,0,1,NA,0,NA,NA,NA,4361370,ESPN,15754,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4428209,ESPN,16622,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman Jr.,WR,IND,NA,8,6,67,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4035687,ESPN,14842,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,NA,7,5,65,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2976212,ESPN,12186,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,NA,3,2,23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2977187,ESPN,13164,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,NA,7,4,57,NA,NA,0,0,1,NA,0,NA,NA,NA,4429205,ESPN,16186,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,NA,8,4,69,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3886598,ESPN,14860,NA,NA,NA,NA,NA,NA,NA,NA
