team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,curr_site_pts,idp_solo,pct_owned,return_tds
NA,0.6,0,3.5,NA,0.6,0.9,0.1,24.9,NA,NA,NA,336.3,NA,6.7,NA,FantasyPros,0526,DST,8010,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,3.2,NA,0.5,0.7,0.2,22.4,NA,NA,NA,309.2,NA,6.6,NA,FantasyPros,0515,DST,8260,Seattle Seahawks,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2,NA,0.5,0.7,0.2,18.9,NA,NA,NA,351,NA,6.6,NA,FantasyPros,0504,DST,8180,New England Patriots,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.9,NA,0.5,0.8,0.2,25.4,NA,NA,NA,358.8,NA,6.3,NA,FantasyPros,0516,DST,8080,Dallas Cowboys,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.6,1,0.2,24.3,NA,NA,NA,315.4,NA,6.2,NA,FantasyPros,0521,DST,8050,Chicago Bears,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.5,0.8,0.2,23.9,NA,NA,NA,388.1,NA,6,NA,FantasyPros,0517,DST,8200,New York Giants,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.5,0.7,0.2,23.2,NA,NA,NA,325.4,NA,6,NA,FantasyPros,0531,DST,8020,Baltimore Ravens,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.7,NA,0.5,0.8,0.1,22.9,NA,NA,NA,318.5,NA,6,NA,FantasyPros,0530,DST,8270,San Francisco 49ers,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.8,NA,0.6,1,0.1,28.1,NA,NA,NA,397.4,NA,5.9,NA,FantasyPros,0503,DST,8160,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.5,0.8,0.2,24.5,NA,NA,NA,378.8,NA,5.9,NA,FantasyPros,0520,DST,8310,Washington Commanders,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.5,0.9,0.1,22.5,NA,NA,NA,324.6,NA,5.8,NA,FantasyPros,0513,DST,8220,Las Vegas Raiders,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.4,NA,0.6,1,0.2,25.5,NA,NA,NA,359.4,NA,5.6,NA,FantasyPros,0501,DST,8030,Buffalo Bills,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.5,0.6,0.1,24.5,NA,NA,NA,331.9,NA,5.6,NA,FantasyPros,0502,DST,8130,Indianapolis Colts,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0.1,2.5,NA,0.5,0.9,0.1,28.6,NA,NA,NA,373.5,NA,5.5,NA,FantasyPros,0524,DST,8170,Minnesota Vikings,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.6,NA,0.5,0.7,0.1,27.2,NA,NA,NA,370.6,NA,5.4,NA,FantasyPros,0508,DST,8300,Tennessee Titans,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.1,NA,0.5,0.9,0.2,26.6,NA,NA,NA,373.5,NA,5.4,NA,FantasyPros,0510,DST,8240,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.5,0.7,0.1,25.5,NA,NA,NA,359.2,NA,5.3,NA,FantasyPros,0512,DST,8150,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.9,NA,0.5,0.8,0.1,20.3,NA,NA,NA,315.2,NA,5.2,NA,FantasyPros,0532,DST,8120,Houston Texans,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.4,0.6,0.1,26.7,NA,NA,NA,375.7,NA,5.1,NA,FantasyPros,0506,DST,8060,Cincinnati Bengals,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.7,NA,0.5,0.7,0.1,27,NA,NA,NA,348.9,NA,4.9,NA,FantasyPros,0519,DST,8000,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2,NA,0.4,0.8,0.1,27.3,NA,NA,NA,356.8,NA,4.5,NA,FantasyPros,0529,DST,8190,New Orleans Saints,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.6,NA,0.4,0.5,0.1,29.1,NA,NA,NA,370.8,NA,4.1,NA,FantasyPros,0527,DST,8040,Carolina Panthers,NA,NA,NA,NA,NA,NA,NA
DET,1,NA,3.7,NA,0.7,1.1,0.2,19.6,NA,NA,NA,320.2,NA,13.46,NA,FleaFlicker,0522,DST,2338,Detroit Lions,NA,8,MINSun 1:00 PM,NA,0,92%,NA
LAC,0.8,NA,3.6,NA,0.6,0.9,0.2,16.4,NA,NA,NA,280.6,NA,12.41,NA,FleaFlicker,0514,DST,2353,Los Angeles Chargers,NA,12,@TENSun 1:00 PM,NA,0,79%,NA
LAR,1,NA,3.1,NA,0.6,1,0.2,15,NA,NA,NA,291.1,NA,11.77,NA,FleaFlicker,0528,DST,2356,Los Angeles Rams,NA,8,NOSun 4:05 PM,NA,0,86%,NA
DEN,0.7,NA,3.5,NA,0.5,0.8,0.1,19.9,NA,NA,NA,305.2,NA,11.66,NA,FleaFlicker,0511,DST,2337,Denver Broncos,NA,12,@HOUSun 1:00 PM,NA,0,97%,NA
ATL,0.6,NA,3.5,NA,0.7,0.9,0.1,24.9,NA,NA,NA,336.3,NA,11.33,NA,FleaFlicker,0526,DST,2329,Atlanta Falcons,NA,5,@NESun 1:00 PM,NA,0,30%,NA
SEA,0.7,NA,3.2,NA,0.5,0.7,0.2,22.4,NA,NA,NA,309.2,NA,10.87,NA,FleaFlicker,0515,DST,2354,Seattle Seahawks,NA,8,@WASSun 8:20 PM,NA,0,80%,NA
DAL,0.7,NA,2.9,NA,0.5,0.8,0.1,25.4,NA,NA,NA,358.8,NA,10.38,NA,FleaFlicker,0516,DST,2336,Dallas Cowboys,NA,10,ARIMon 8:15 PM,NA,0,26%,NA
GB,0.8,NA,2.6,NA,0.6,0.9,0.2,16.8,NA,NA,NA,281,NA,10.37,NA,FleaFlicker,0523,DST,2339,Green Bay Packers,NA,5,CARSun 1:00 PM,NA,0,73%,NA
MIA,0.5,NA,2.8,NA,0.6,1,0.1,28.1,NA,NA,NA,397.4,NA,10.12,NA,FleaFlicker,0503,DST,2344,Miami Dolphins,NA,12,BALL 6-28,10.12,0,13%,NA
CHI,0.9,NA,2.3,NA,0.6,1,0.2,24.3,NA,NA,NA,315.4,NA,9.93,NA,FleaFlicker,0521,DST,2333,Chicago Bears,NA,5,@CINSun 1:00 PM,NA,0,41%,NA
JAC,1,NA,2.4,NA,0.5,0.8,0.1,19.9,NA,NA,NA,308.6,NA,9.84,NA,FleaFlicker,0509,DST,2342,Jacksonville Jaguars,NA,8,@LVSun 4:05 PM,NA,0,40%,NA
SF,0.7,NA,2.7,NA,0.5,0.8,0.1,22.9,NA,NA,NA,318.5,NA,9.68,NA,FleaFlicker,0530,DST,2355,San Francisco 49ers,NA,14,@NYGSun 1:00 PM,NA,0,33%,NA
NYG,0.8,NA,2.4,NA,0.5,0.8,0.2,23.9,NA,NA,NA,388.1,NA,9.63,NA,FleaFlicker,0517,DST,2348,New York Giants,NA,14,SFSun 1:00 PM,NA,0,13%,NA
LV,0.7,NA,2.5,NA,0.5,0.9,0.1,22.5,NA,NA,NA,324.5,NA,9.54,NA,FleaFlicker,0513,DST,2350,Las Vegas Raiders,NA,8,JACSun 4:05 PM,NA,0,7%,NA
BUF,0.6,NA,2.4,NA,0.6,1,0.1,25.5,NA,NA,NA,359.4,NA,9.5,NA,FleaFlicker,0501,DST,2331,Buffalo Bills,NA,7,KCSun 4:25 PM,NA,0,72%,NA
MIN,0.6,NA,2.5,NA,0.5,0.9,0.1,28.6,NA,NA,NA,373.5,NA,9.41,NA,FleaFlicker,0524,DST,2345,Minnesota Vikings,NA,6,@DETSun 1:00 PM,NA,0,80%,NA
WAS,0.8,NA,2.3,NA,0.5,0.8,0.2,24.5,NA,NA,NA,378.8,NA,9.38,NA,FleaFlicker,0520,DST,2359,Washington Commanders,NA,12,SEASun 8:20 PM,NA,0,28%,NA
BAL,0.9,NA,2.1,NA,0.5,0.7,0.2,23.2,NA,NA,NA,325.4,NA,8.99,NA,FleaFlicker,0531,DST,2330,Baltimore Ravens,NA,7,@MIAW 28-6,8.99,0,57%,NA
TEN,0.6,NA,2.6,NA,0.5,0.7,0.1,27.2,NA,NA,NA,370.6,NA,8.83,NA,FleaFlicker,0508,DST,2358,Tennessee Titans,NA,10,LACSun 1:00 PM,NA,0,5%,NA
PIT,0.6,NA,2.1,NA,0.5,0.9,0.2,26.6,NA,NA,NA,373.5,NA,8.81,NA,FleaFlicker,0510,DST,2352,Pittsburgh Steelers,NA,5,INDSun 1:00 PM,NA,0,79%,NA
IND,0.7,NA,2.5,NA,0.5,0.6,0.1,24.5,NA,NA,NA,331.9,NA,8.77,NA,FleaFlicker,0502,DST,2341,Indianapolis Colts,NA,11,@PITSun 1:00 PM,NA,0,69%,NA
NE,0.7,NA,2,NA,0.5,0.7,0.2,18.9,NA,NA,NA,351,NA,8.69,NA,FleaFlicker,0504,DST,2346,New England Patriots,NA,14,ATLSun 1:00 PM,NA,0,72%,NA
KC,0.7,NA,2.2,NA,0.5,0.7,0.1,25.5,NA,NA,NA,359.2,NA,8.53,NA,FleaFlicker,0512,DST,2343,Kansas City Chiefs,NA,10,@BUFSun 4:25 PM,NA,0,74%,NA
HOU,0.7,NA,1.9,NA,0.5,0.8,0.1,20.3,NA,NA,NA,315.2,NA,8.18,NA,FleaFlicker,0532,DST,2340,Houston Texans,NA,6,DENSun 1:00 PM,NA,0,78%,NA
CIN,0.7,NA,2.2,NA,0.4,0.6,0.1,26.7,NA,NA,NA,375.6,NA,8.03,NA,FleaFlicker,0506,DST,2334,Cincinnati Bengals,NA,10,CHISun 1:00 PM,NA,0,14%,NA
ARI,0.7,NA,1.7,NA,0.5,0.7,0.1,27,NA,NA,NA,348.9,NA,7.68,NA,FleaFlicker,0519,DST,2328,Arizona Cardinals,NA,8,@DALMon 8:15 PM,NA,0,13%,NA
NO,0.5,NA,2,NA,0.4,0.8,0.1,27.3,NA,NA,NA,356.8,NA,7.68,NA,FleaFlicker,0529,DST,2347,New Orleans Saints,NA,11,@LARSun 4:05 PM,NA,0,14%,NA
CAR,0.6,NA,1.6,NA,0.4,0.5,0.1,29.1,NA,NA,NA,370.8,NA,6.14,NA,FleaFlicker,0527,DST,2332,Carolina Panthers,NA,14,@GBSun 1:00 PM,NA,0,6%,NA
Green Bay Packers,0.84,NA,3.03,NA,0.64,NA,0.19,17,NA,NA,NA,NA,NA,7.13,NA,NFL,0523,DST,100011,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,0.85,NA,3.21,NA,0.64,NA,0.14,17,NA,NA,NA,NA,NA,7.03,NA,NFL,0528,DST,100017,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers,0.83,NA,2.7,NA,0.55,NA,0.14,17.75,NA,NA,NA,NA,NA,6.72,NA,NFL,0514,DST,100028,NA,NA,NA,NA,NA,NA,NA,0.07
Baltimore Ravens,0.85,0.06,2.56,NA,0.57,NA,0.17,21,NA,NA,NA,NA,NA,6.54,NA,NFL,0531,DST,100002,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Lions,0.77,0.06,2.59,NA,0.59,NA,0.18,20.75,NA,NA,NA,NA,NA,6.51,NA,NFL,0522,DST,100010,NA,NA,NA,NA,NA,NA,NA,NA
Houston Texans,0.77,0.05,2.52,NA,0.55,NA,0.16,22.75,NA,NA,NA,NA,NA,6.22,NA,NFL,0532,DST,100013,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,0.81,NA,2.62,NA,0.56,NA,0.12,23,NA,NA,NA,NA,NA,6.08,NA,NFL,0530,DST,100029,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,0.79,NA,2.63,NA,0.53,NA,0.13,25,NA,NA,NA,NA,NA,6.05,NA,NFL,0521,DST,100005,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Colts,0.78,NA,2.61,NA,0.52,NA,0.13,24,NA,NA,NA,NA,NA,5.99,NA,NFL,0502,DST,100014,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,0.73,0.05,2.4,NA,0.52,NA,0.16,19.25,NA,NA,NA,NA,NA,5.96,NA,NFL,0511,DST,100009,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,0.78,NA,2.7,NA,0.57,NA,0.07,22.75,NA,NA,NA,NA,NA,5.82,NA,NFL,0509,DST,100015,NA,NA,NA,NA,NA,NA,NA,NA
New England Patriots,0.75,NA,2.5,NA,0.5,NA,0.13,21.5,NA,NA,NA,NA,NA,5.78,NA,NFL,0504,DST,100021,NA,NA,NA,NA,NA,NA,NA,NA
Washington Commanders DEF  View News,0.76,NA,2.47,NA,0.53,NA,0.12,22.75,NA,NA,NA,NA,NA,5.77,NA,NFL,0520,DST,100032,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,0.71,0.05,2.28,NA,0.51,NA,0.15,22.75,NA,NA,NA,NA,NA,5.72,NA,NFL,0510,DST,100027,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks DEF  View News,0.75,NA,2.42,NA,0.52,NA,0.12,22,NA,NA,NA,NA,NA,5.68,NA,NFL,0515,DST,100030,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Cowboys DEF  View News,0.71,NA,2.18,NA,0.47,NA,0.12,22.75,NA,NA,NA,NA,NA,5.62,NA,NFL,0516,DST,100008,NA,NA,NA,NA,NA,NA,NA,0.06
Cincinnati Bengals,0.72,NA,2.44,NA,0.48,NA,0.12,25,NA,NA,NA,NA,NA,5.56,NA,NFL,0506,DST,100006,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs DEF  View News,0.65,0.05,2.14,NA,0.5,NA,0.15,24.5,NA,NA,NA,NA,NA,5.44,NA,NFL,0512,DST,100016,NA,NA,NA,NA,NA,NA,NA,NA
New York Giants,0.65,NA,2.29,NA,0.53,NA,0.12,22.75,NA,NA,NA,NA,NA,5.37,NA,NFL,0517,DST,100023,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,0.71,NA,2.37,NA,0.51,NA,0.06,22.75,NA,NA,NA,NA,NA,5.17,NA,NFL,0526,DST,100001,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders,0.7,NA,2.35,NA,0.51,NA,0.06,22.75,NA,NA,NA,NA,NA,5.13,NA,NFL,0513,DST,100018,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals DEF  View News,0.65,NA,2.16,NA,0.43,NA,0.11,22.75,NA,NA,NA,NA,NA,4.98,NA,NFL,0519,DST,100026,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,0.61,0.04,1.95,NA,0.43,NA,0.13,28,NA,NA,NA,NA,NA,4.89,NA,NFL,0524,DST,100020,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills DEF  View News,0.57,0.04,1.99,NA,0.44,NA,0.13,22.75,NA,NA,NA,NA,NA,4.87,NA,NFL,0501,DST,100003,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,0.6,NA,2.1,NA,0.45,NA,0.1,22.75,NA,NA,NA,NA,NA,4.8,NA,NFL,0503,DST,100019,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee Titans,0.57,NA,1.95,NA,0.46,NA,0.06,26.25,NA,NA,NA,NA,NA,4.37,NA,NFL,0508,DST,100012,NA,NA,NA,NA,NA,NA,NA,NA
