player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Marvin Mims,WR,DEN,1,3.6,2.6,33.4,33.4,12.9,0.2,0.6,3.8,6.3,0.1,0.1,4.6,4.6,3162586,CBS,16189,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,1,4.9,3,30.5,30.5,10.2,0.3,0.7,1.6,2.3,0,0.1,4.6,4.6,3162452,CBS,17171,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,6.9,3.6,48.4,48.4,13.4,0.1,0,0,0,0,0,4.6,4.6,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,4.5,2.8,43,43,15.4,0.1,0,0.3,0,0,0.1,4.4,4.4,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,1,5,2.9,38.3,38.3,13.2,0.2,0,0,0,0,0,4.2,4.2,2180514,CBS,14860,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,3.6,2.3,31.2,31.2,13.6,0.2,0.1,0.7,7,0,0,4.2,4.2,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA
Josh Reynolds,WR,NYJ,1,4.5,2.5,32.3,32.3,12.9,0.2,0,0,0,0,0,4.2,4.2,2131796,CBS,13168,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,1,3.4,2.4,31.2,31.2,13,0.2,0.2,0.8,4,0,0.1,4,4,28874444,CBS,17070,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,1,3.5,2,28.2,28.2,14.1,0.3,0,0.3,0,0,0,3.8,3.8,2960940,CBS,15293,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,BUF,1,2.9,2,21.6,21.6,10.8,0.3,0.3,1.4,4.7,0,0,3.8,3.8,2131252,CBS,13157,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,1,5.2,2.9,25.3,25.3,8.7,0.3,0.3,0.6,2,0,0,3.8,3.8,3131575,CBS,16639,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,3.3,2.3,39.4,39.4,17.1,0.1,0.3,0.8,2.7,0,0,3.6,3.6,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,WR,NYJ,1,2.8,1.9,30,30,15.8,0.1,0,0,0,0,0,3.6,3.6,1620002,CBS,14864,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,1,3.7,2.1,30.6,30.6,14.6,0.1,0,0,0,0,0,3.6,3.6,3163990,CBS,16809,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,1,1.9,1.2,20.5,20.5,17.1,0.2,0,0.2,0,0,0,3.2,3.2,1737078,CBS,11232,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,1,5.9,3.8,26.2,26.2,6.9,0.2,1.1,7.3,6.6,0,0,3.2,3.2,3124729,CBS,16684,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,1,2.9,1.6,22.3,22.3,13.9,0.2,0.1,0.4,4,0,0,3.2,3.2,2966908,CBS,16207,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,1,3.9,2.5,26.3,26.3,10.5,0.2,0.2,1.1,5.5,0,0,3.2,3.2,3126241,CBS,16342,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,SF,1,2.5,1.3,23.3,23.3,17.9,0.2,0,0.4,0,0,0,3.2,3.2,2061095,CBS,12785,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,3.2,2.1,27.2,27.2,13,0.2,0.1,0.2,2,0,0,3.2,3.2,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA
Luke McCaffrey,WR,WAS,1,2,1.4,21.7,21.7,15.5,0.2,0,0,0,0,0,3.2,3.2,3121502,CBS,16635,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KC,1,1.9,1,23.1,23.1,23.1,0.2,0.1,1.1,11,0,0,3.2,3.2,2965066,CBS,15787,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,1,3.3,1.8,24.6,24.6,13.7,0.2,0.2,1.8,9,0,0,3.2,3.2,2967232,CBS,15786,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,1,3.6,2.5,27.5,27.5,11,0.2,0.3,1.3,4.3,0,0.1,3,3,1996786,CBS,12658,NA,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KC,1,2.1,1.6,21.3,21.3,13.3,0.1,0,0,0,0,0,2.6,2.6,2139620,CBS,13156,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,WAS,1,3,1.6,25.3,25.3,15.8,0.1,0.1,1.6,16,0,0,2.6,2.6,1871375,CBS,12773,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,1,2.6,1.6,21.1,21.1,13.2,0.1,0,0.1,0,0,0,2.6,2.6,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,1.9,1.2,20.3,20.3,16.9,0.1,0,0.1,0,0,0,2.6,2.6,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA
Arian Smith,WR,NYJ,1,3.2,1.9,22.4,22.4,11.8,0.1,0.1,-0.5,-5,0,0,2.6,2.6,3163930,CBS,17175,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,1,3.5,2.1,26.6,26.6,12.7,0.1,0,0,0,0,0,2.6,2.6,3122375,CBS,16195,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,NO,1,3.6,2.4,25,25,10.4,0.1,0.1,0.7,7,0,0,2.6,2.6,1880880,CBS,11674,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,PHI,1,2.6,1.5,20.6,20.6,13.7,0.1,0,0.3,0,0,0,2.6,2.6,2962944,CBS,15755,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,2.7,1.9,20.3,20.3,10.7,0.1,0,0.2,0,0,0,2.6,2.6,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,1,4.5,2.3,28,28,12.2,0.1,0.1,1,10,0,0,2.6,2.6,28910521,CBS,17076,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,MIN,1,2.8,2,22.9,22.9,11.5,0.1,0,0.1,0,0,0,2.6,2.6,2059362,CBS,11938,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,IND,1,3,1.5,24.6,24.6,16.4,0.1,0.1,0.1,1,0,0.1,2.4,2.4,26701928,CBS,16626,NA,NA,NA,NA,NA,NA,NA
Mitchell Tinsley,WR,CIN,1,2.1,1.2,15,15,12.5,0.2,0.1,0.3,3,0,0,2.2,2.2,3162481,CBS,16403,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,2.3,1.6,18.7,18.7,11.7,0.2,0.1,0.3,3,0,0,2.2,2.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA
Cedrick Wilson Jr.,WR,MIA,1,2.8,1.8,18.1,18.1,10.1,0.2,0,0,0,0,0,2.2,2.2,2240685,CBS,13652,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,1,2.5,1.4,18.6,18.6,13.3,0.2,0.2,0.9,4.5,0,0,2.2,2.2,2866214,CBS,15777,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,1,2.4,1.4,17.8,17.8,12.7,0.2,0,0,0,0,0,2.2,2.2,2141655,CBS,13632,NA,NA,NA,NA,NA,NA,NA
Tylan Wallace,WR,BAL,1,1.4,1,15.7,15.7,15.7,0.2,0,0,0,0,0,2.2,2.2,2866424,CBS,15285,NA,NA,NA,NA,NA,NA,NA
Devontez Walker,WR,BAL,1,1.4,1,16.3,16.3,16.3,0.2,0.1,0.5,5,0,0,2.2,2.2,26702084,CBS,16621,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,CAR,1,3.1,1.8,13.3,13.3,7.4,0.2,0,0,0,0,0,2.2,2.2,2144726,CBS,14123,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,1,2.2,1.3,14.9,14.9,11.5,0.1,0,0,0,0,0,1.6,1.6,2868238,CBS,15788,NA,NA,NA,NA,NA,NA,NA
Casey Washington,WR,ATL,1,2.1,1,14.2,14.2,14.2,0.1,0.1,0.4,4,0,0,1.6,1.6,3126493,CBS,16760,NA,NA,NA,NA,NA,NA,NA
Van Jefferson,WR,TEN,1,2.4,1.7,18.8,18.8,11.1,0.1,0,0.1,0,0,0,1.6,1.6,2186342,CBS,14858,NA,NA,NA,NA,NA,NA,NA
Malik Heath,WR,GB,1,1.9,1.3,17.9,17.9,13.8,0.1,0,0,0,0,0,1.6,1.6,3171033,CBS,16413,NA,NA,NA,NA,NA,NA,NA
Ryan Flournoy,WR,DAL,1,1.6,1.1,14.7,14.7,13.4,0.1,0.5,2.8,5.6,0,0,1.6,1.6,28891456,CBS,16778,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,1,2.3,1.5,13.7,13.7,9.1,0.1,0.2,1,5,0,0,1.6,1.6,3161943,CBS,16201,NA,NA,NA,NA,NA,NA,NA
Jalen Royals,WR,KC,1,0.9,0.7,10.6,10.6,15.1,0.1,0,0.2,0,0,0,1.6,1.6,28924106,CBS,17086,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,1,1.4,0.9,11,11,12.2,0.1,0.1,0.4,4,0,0,1.6,1.6,3169495,CBS,16629,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,1,1.5,1.1,16,16,14.6,0.1,1,5.3,5.3,0,0,1.6,1.6,2180870,CBS,15981,NA,NA,NA,NA,NA,NA,NA
Scott Miller,WR,PIT,1,2.3,1.4,16.1,16.1,11.5,0.1,0,0,0,0,0,1.6,1.6,2180075,CBS,14280,NA,NA,NA,NA,NA,NA,NA
Jaylin Lane,WR,WAS,1,2.9,1.5,18.1,18.1,12.1,0.1,0.1,0.8,8,0,0,1.6,1.6,3162484,CBS,17184,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,1,2.1,1.2,11,11,9.2,0.1,0,0,0,0,0,1.6,1.6,2185954,CBS,15109,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,11,7,82,NA,NA,1,0,2,NA,0,NA,NA,NA,4362628,ESPN,15281,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,10,7,88,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4262921,ESPN,14836,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,9,6,78,NA,NA,0,0,1,NA,0,NA,NA,NA,4241389,ESPN,14832,NA,NA,NA,NA,NA,NA,NA
Malik Nabers,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4595348,ESPN,16615,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426515,ESPN,16211,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4374302,ESPN,15287,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4258173,ESPN,15290,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4432773,ESPN,16618,NA,NA,NA,NA,NA,NA,NA
