player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,pass_comp_pct,pct_owned,fumble_TD
Justin Herbert,QB,LAC,1,32.7,22.8,244,244,1.6,0.6,99.9,3.8,17.9,4.7,0.1,0.1,18.8,18.8,2221960,CBS,14779,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,1,28.4,19.2,241,241,1.5,0.7,101.1,3.2,14.8,4.6,0.1,0.1,18,18,2239997,CBS,14782,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,1,33.9,21.9,228,228,1.5,0.6,91.3,2.8,9.5,3.4,0.1,0,17.4,17.4,1824864,CBS,12620,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,CIN,1,35,22.1,222,222,2,1.1,87.1,1.5,2.2,1.5,0,0.3,17.2,17.2,1250697,CBS,9064,NA,NA,NA,NA,NA,NA
Carson Wentz,QB,MIN,1,30.9,19.7,233,233,1.4,1.3,84.2,3.8,20.4,5.4,0.1,0.1,17.2,17.2,1907522,CBS,12610,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,1,33.2,20.5,263,263,1.3,1.1,85.8,3.4,12.7,3.7,0.1,0.2,16.8,16.8,2961306,CBS,15698,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,1,32.4,20.5,211,211,1.4,0.6,88.6,3.1,15.4,5,0,0.1,16,16,3163079,CBS,16150,NA,NA,NA,NA,NA,NA
Andy Dalton,QB,CAR,1,32,21.2,202,202,1.6,0.8,89.8,1.7,5.1,3,0,0,16,16,1125961,CBS,10313,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,1,32.4,18.8,195,195,1.2,0.9,76.3,8,37.8,4.7,0.2,0.3,16,16,26694019,CBS,17032,NA,NA,NA,NA,NA,NA
Aaron Rodgers,QB,PIT,1,29.7,20.1,198,198,1.5,0.5,96.1,1.9,4.2,2.2,0,0,15,15,419780,CBS,7836,NA,NA,NA,NA,NA,NA
Spencer Rattler,QB,NO,1,33.3,20.7,207,207,1.1,0.8,80.8,4.1,25.4,6.2,0,0.2,14.6,14.6,3125863,CBS,16586,NA,NA,NA,NA,NA,NA
Dillon Gabriel,QB,CLE,1,34.7,21.7,211,211,1.1,0.8,80.5,3.1,10.4,3.4,0.1,0.1,14.4,14.4,3121534,CBS,17037,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,1,31.9,21.5,192,192,1.5,1.3,82,1.8,5.4,3,0,0.2,13,13,2741209,CBS,14778,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,WAS,1,24.3,15.9,153,153,1,0.5,88,2.9,19.1,6.6,0.1,0.2,12.2,12.2,1880862,CBS,12141,NA,NA,NA,NA,NA,NA
Justin Fields,QB,NYJ,1,18.3,12.1,129,129,0.9,0.3,96.1,2.3,16.9,7.4,0.2,0.1,11.8,11.8,1273205,CBS,15238,NA,NA,NA,NA,NA,NA
Cam Ward,QB,TEN,1,29.9,18.2,187,187,1.1,0.8,80,2.6,8.8,3.4,0,0.3,11.4,11.4,3168422,CBS,17030,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYJ,1,12.2,8.1,86.3,86.3,0.6,0.2,96.4,1.7,11.2,6.6,0,0.1,7,7,1243338,CBS,10413,NA,NA,NA,NA,NA,NA
Jayden Daniels,QB,WAS,1,6.1,4,38.2,38.2,0.3,0.1,92.4,1.7,8.8,5.2,0,0,2.6,2.6,3123337,CBS,16581,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,1,1,0.7,8.5,8.5,0.1,0,129.2,0.3,1.6,5.3,0,0,0.6,0.6,3159137,CBS,14789,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,1,1.3,0.8,7.9,7.9,0.1,0,104.3,0.2,0.9,4.5,0,0,0.6,0.6,2867381,CBS,15252,NA,NA,NA,NA,NA,NA
Will Howard,QB,PIT,1,0.9,0.6,6,6,0.1,0,122.5,0.1,0.4,4,0,0,0.6,0.6,3162310,CBS,17036,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,NYG,1,1.3,0.8,8,8,0.1,0,104.6,0.3,1.2,4,0,0,0.6,0.6,1272242,CBS,10703,NA,NA,NA,NA,NA,NA
Malik Willis,QB,GB,1,1.1,0.7,8.8,8.8,0.1,0,118.7,0.3,1.3,4.3,0,0,0.6,0.6,2804167,CBS,15694,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,DEN,1,1.4,0.9,10,10,0.1,0,109.2,0.3,1.3,4.3,0,0,0.6,0.6,2180697,CBS,14063,NA,NA,NA,NA,NA,NA
Tyson Bagent,QB,CHI,1,1.3,0.8,8.7,8.7,0.1,0,106.9,0.3,1.2,4,0,0,0.6,0.6,29081346,CBS,16384,NA,NA,NA,NA,NA,NA
Mason Rudolph,QB,PIT,1,1.2,0.8,8.1,8.1,0.1,0,113.5,0.3,0.9,3,0,0,0.6,0.6,2131167,CBS,13595,NA,NA,NA,NA,NA,NA
Gardner Minshew,QB,KC,1,1.4,1,11.4,11.4,0.1,0,119.3,0.3,1.2,4,0,0,0.6,0.6,2183083,CBS,14067,NA,NA,NA,NA,NA,NA
Brandon Allen,QB,TEN,1,1.2,0.7,7.5,7.5,0.1,0,104.5,0.2,0.5,2.5,0,0,0.6,0.6,1852876,CBS,12621,NA,NA,NA,NA,NA,NA
Tanner McKee,QB,PHI,1,1.1,0.7,7.6,7.6,0.1,0,114.2,0.3,0.5,1.7,0,0,0.6,0.6,2963945,CBS,15702,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,1,1.3,0.9,10.2,10.2,0.1,0,118.1,0.3,1.2,4,0,0,0.6,0.6,1272574,CBS,10700,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,BUF,1,1.2,0.8,9.5,9.5,0.1,0,118.4,0.3,1.4,4.7,0,0,0.6,0.6,2060476,CBS,13115,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,BAL,1,1,0.7,8.8,8.8,0.1,0,130.4,0.3,0.3,1,0,0,0.6,0.6,2000176,CBS,13124,NA,NA,NA,NA,NA,NA
Jameis Winston,QB,NYG,1,1.3,0.8,8,8,0.1,0,104.6,0.3,1.2,4,0,0,0.6,0.6,1998197,CBS,12140,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,1,1.8,1.1,11.4,11.4,0.1,0,97.9,0.2,0.9,4.5,0,0,0.6,0.6,2964064,CBS,17039,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,NE,1,1.2,0.8,8.4,8.4,0.1,0,114.6,0.3,1,3.3,0,0,0.6,0.6,2071844,CBS,13119,NA,NA,NA,NA,NA,NA
Joe Milton III,QB,DAL,1,1.4,0.9,9.3,9.3,0.1,0,107.1,0.3,0.8,2.7,0,0,0.6,0.6,2962193,CBS,16585,NA,NA,NA,NA,NA,NA
Brett Rypien,QB,IND,1,1.4,0.8,8.3,8.3,0.1,0.1,68.5,0.2,0.7,3.5,0,0,0.4,0.4,2181392,CBS,14065,NA,NA,NA,NA,NA,NA
Jake Browning,QB,CIN,1,1.4,0.8,8.6,8.6,0.1,0.1,69.3,0.2,0.9,4.5,0,0,0.4,0.4,2180355,CBS,14358,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,MIA,1,1.3,0.9,7.8,7.8,0.1,0.1,78.4,0.2,1.3,6.5,0,0,0.4,0.4,2960892,CBS,15239,NA,NA,NA,NA,NA,NA
Mac Jones,QB,SF,1,1.4,0.8,10.7,10.7,0.1,0.1,75.6,0.3,1,3.3,0,0,0.4,0.4,2741202,CBS,15241,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,30,20,227,NA,2,1,NA,7,33,NA,1,NA,NA,NA,3918298,ESPN,13589,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,31,22,261,NA,2,1,NA,8,56,NA,0,NA,NA,NA,3916387,ESPN,13593,NA,NA,NA,NA,NA,NA
Jayden Daniels,QB,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426348,ESPN,16581,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,32,22,239,NA,2,0,NA,8,32,NA,1,NA,NA,NA,4040715,ESPN,14783,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3915511,ESPN,14777,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,KCC,NA,34,23,272,NA,2,1,NA,6,34,NA,0,NA,NA,NA,3139477,ESPN,13116,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,NA,32,21,241,NA,2,1,NA,3,17,NA,0,NA,NA,NA,3052587,ESPN,13590,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,NA,35,23,248,NA,2,1,NA,5,27,NA,0,NA,NA,NA,4426338,ESPN,16582,NA,NA,NA,NA,NA,NA
Kyler Murray,QB,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3917315,ESPN,14056,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,34,22,269,NA,1,1,NA,4,13,NA,0,NA,NA,NA,4361741,ESPN,15698,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,37,26,298,NA,2,1,NA,4,20,NA,0,NA,NA,NA,4038941,ESPN,14779,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,NA,31,20,230,NA,2,1,NA,6,28,NA,0,NA,NA,NA,4431611,ESPN,16579,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,NA,29,21,223,NA,2,1,NA,6,31,NA,0,NA,NA,NA,4431452,ESPN,16580,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,37,26,262,NA,2,1,NA,3,11,NA,0,NA,NA,NA,2577417,ESPN,12620,NA,NA,NA,NA,NA,NA
Justin Fields,QB,NYJ,NA,0,0,2,NA,0,0,NA,1,5,NA,0,NA,NA,NA,4362887,ESPN,15238,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,33,21,253,NA,2,1,NA,4,16,NA,0,NA,NA,NA,4036378,ESPN,14782,NA,NA,NA,NA,NA,NA
J.J. McCarthy,QB,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433970,ESPN,16584,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,NA,35,22,245,NA,2,1,NA,3,17,NA,0,NA,NA,NA,4432577,ESPN,16150,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3046779,ESPN,12611,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,35,23,224,NA,1,1,NA,2,7,NA,0,NA,NA,NA,4241479,ESPN,14778,NA,NA,NA,NA,NA,NA
Matthew Stafford,QB,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12483,ESPN,9431,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360310,ESPN,15237,NA,NA,NA,NA,NA,NA
Cam Ward,QB,TEN,NA,39,25,269,NA,1,1,NA,2,9,NA,0,NA,NA,NA,4688380,ESPN,17030,NA,NA,NA,NA,NA,NA
Michael Penix Jr.,QB,ATL,NA,31,21,247,NA,1,1,NA,3,11,NA,0,NA,NA,NA,4360423,ESPN,16583,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685720,ESPN,16148,NA,NA,NA,NA,NA,NA
Geno Smith,QB,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15864,ESPN,11150,NA,NA,NA,NA,NA,NA
Sam Darnold,QB,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3912547,ESPN,13592,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,IND,NA,30,22,239,NA,2,1,NA,5,23,NA,1,NA,NA,NA,3917792,ESPN,14059,NA,NA,NA,NA,NA,NA
Aaron Rodgers,QB,PIT,NA,34,23,229,NA,2,1,NA,2,7,NA,0,NA,NA,NA,8439,ESPN,7836,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14881,ESPN,10703,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,CIN,NA,38,24,231,NA,2,1,NA,1,4,NA,0,NA,NA,NA,11252,ESPN,9064,NA,NA,NA,NA,NA,NA
Spencer Rattler,QB,NO,NA,34,23,238,NA,1,1,NA,4,23,NA,0,NA,NA,NA,4426339,ESPN,16586,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,NA,32,20,212,NA,1,1,NA,7,34,NA,0,NA,NA,NA,4689114,ESPN,17032,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360689,ESPN,17039,NA,NA,NA,NA,NA,NA
Anthony Richardson Sr.,QB,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429084,ESPN,16152,NA,NA,NA,NA,NA,NA
Dillon Gabriel,QB,CLE,NA,34,23,246,NA,1,0,NA,2,8,NA,0,NA,NA,NA,4427238,ESPN,17037,NA,NA,NA,NA,NA,NA
Shedeur Sanders,QB,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4432762,ESPN,17031,NA,NA,NA,NA,NA,NA
Jalen Milroe,QB,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4432734,ESPN,17033,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,QB,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16760,ESPN,11760,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14880,ESPN,10700,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYJ,NA,31,21,229,NA,1,1,NA,7,39,NA,0,NA,NA,NA,14163,ESPN,10413,NA,NA,NA,NA,NA,NA
Mason Rudolph,QB,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3116407,ESPN,13595,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,28.4,19.3,243.5,NA,1.9,0.5,NA,7.4,50,NA,0.3,0.3,22.9,NA,17233,FantasyPros,13593,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,30.3,20.1,234,NA,1.8,0.6,NA,7.4,38.8,NA,0.6,0.2,22.7,NA,17298,FantasyPros,13589,NA,NA,NA,NA,NA,NA
Patrick Mahomes II,QB,KC,NA,34.8,23.5,260.8,NA,2,0.5,NA,5.4,29.3,NA,0.3,0.2,22.4,NA,16413,FantasyPros,13116,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,30.1,20.6,227.6,NA,1.5,0.4,NA,7.7,34.1,NA,0.7,0.2,22.1,NA,19275,FantasyPros,14783,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,NA,35.1,22.7,239.7,NA,1.8,0.7,NA,5.7,26.7,NA,0.3,0.2,20.2,NA,22910,FantasyPros,16582,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,34.4,23.5,263.2,NA,1.7,0.6,NA,4.9,23.4,NA,0.1,0.2,19.6,NA,18635,FantasyPros,14779,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,IND,NA,30.6,21.4,236.8,NA,1.6,0.5,NA,4.7,22.4,NA,0.4,0.2,19.5,NA,18232,FantasyPros,14059,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,NA,32.2,21.6,255.5,NA,1.8,0.7,NA,4,20,NA,0.1,0.2,19.1,NA,17237,FantasyPros,13590,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,NA,29.4,20.4,224.7,NA,1.6,0.6,NA,6.5,31.8,NA,0.3,0.2,19,NA,23046,FantasyPros,16580,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,35.9,24.2,252.5,NA,1.8,0.6,NA,2.3,8.8,NA,0.1,0.2,17.9,NA,15600,FantasyPros,12620,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,NA,32.8,20.8,222.7,NA,1.5,0.5,NA,4.8,23.8,NA,0.2,0.2,17.5,NA,23084,FantasyPros,16579,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,NA,32,19.7,204.7,NA,1.2,0.8,NA,7.5,33.3,NA,0.3,0.3,17.3,NA,23160,FantasyPros,17032,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,33.3,21.3,264,NA,1.4,0.9,NA,3.4,14,NA,0.1,0.2,17,NA,19797,FantasyPros,15698,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,30.5,20.1,239.9,NA,1.5,0.6,NA,3.8,15.6,NA,0.1,0.2,16.8,NA,19246,FantasyPros,14782,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,WAS,NA,29.8,19.1,210.6,NA,1.2,0.7,NA,5.3,30,NA,0.2,0.3,16.2,NA,13890,FantasyPros,12141,NA,NA,NA,NA,NA,NA
Michael Penix Jr.,QB,ATL,NA,31.8,20.3,235.7,NA,1.4,0.6,NA,2.6,10.2,NA,0.1,0.2,15.9,NA,22973,FantasyPros,16583,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,NA,32.5,20.7,221.5,NA,1.4,0.5,NA,4,17.4,NA,0.1,0.2,15.8,NA,23071,FantasyPros,16150,NA,NA,NA,NA,NA,NA
Carson Wentz,QB,MIN,NA,32.9,21.6,232.8,NA,1.4,0.9,NA,3.2,14.6,NA,0.1,0.2,15.6,NA,15520,FantasyPros,12610,NA,NA,NA,NA,NA,NA
Aaron Rodgers,QB,PIT,NA,31.7,21.3,215.1,NA,1.6,0.5,NA,1.8,6.2,NA,0,0.1,15.3,NA,9001,FantasyPros,7836,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,CIN,NA,35.3,22.2,227.3,NA,1.7,0.9,NA,1.2,3.7,NA,0,0.3,15.1,NA,9300,FantasyPros,9064,NA,NA,NA,NA,NA,NA
Spencer Rattler,QB,NO,NA,33.5,21.9,215,NA,1.2,0.7,NA,4.1,21.9,NA,0.1,0.3,14.7,NA,23081,FantasyPros,16586,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYJ,NA,24.8,16.5,180.3,NA,1.1,0.6,NA,5.2,26.2,NA,0.1,0.3,13.8,NA,10007,FantasyPros,10413,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,31.5,21,209.4,NA,1.4,0.9,NA,1.7,5.7,NA,0,0.3,13.4,NA,19198,FantasyPros,14778,NA,NA,NA,NA,NA,NA
Andy Dalton,QB,CAR,NA,27.9,17.9,194.7,NA,1.4,0.8,NA,2,6.7,NA,0,0.2,13.1,NA,9907,FantasyPros,10313,NA,NA,NA,NA,NA,NA
Dillon Gabriel,QB,CLE,NA,32.5,20.7,211,NA,1,0.6,NA,2.7,10,NA,0.1,0.1,12.9,NA,23150,FantasyPros,17037,NA,NA,NA,NA,NA,NA
Cam Ward,QB,TEN,NA,34.1,20.5,211.9,NA,1,0.8,NA,2.3,9.7,NA,0.1,0.3,12.5,NA,24755,FantasyPros,17030,NA,NA,NA,NA,NA,NA
Justin Fields,QB,NYJ,NA,9.3,6.2,65.6,NA,0.5,0.2,NA,1.5,11,NA,0.1,0.1,6,NA,19781,FantasyPros,15238,NA,NA,NA,NA,NA,NA
Mac Jones,QB,SF,NA,11.8,7.6,86.9,NA,0.5,0.3,NA,1.1,2.3,NA,0,0,5.4,NA,20156,FantasyPros,15241,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,8.4,5.3,52.1,NA,0.3,0.2,NA,0.7,3.2,NA,0,0,3.5,NA,22900,FantasyPros,16148,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,1,0.7,8.5,NA,0.1,0,NA,0.3,1.6,NA,0,0,0.9,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA
Brett Rypien,QB,IND,NA,1.4,0.8,8.3,NA,0.1,0.1,NA,0.2,0.7,NA,0,0,0.7,NA,18323,FantasyPros,14065,NA,NA,NA,NA,NA,NA
Will Howard,QB,PIT,NA,0.9,0.6,6,NA,0.1,0,NA,0.1,0.4,NA,0,0,0.7,NA,25972,FantasyPros,17036,NA,NA,NA,NA,NA,NA
Gardner Minshew II,QB,KC,NA,0.7,0.5,5.7,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.5,NA,18562,FantasyPros,14067,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,NA,0.9,0.6,5.7,NA,0.1,0,NA,0.1,0.5,NA,0,0,0.5,NA,23096,FantasyPros,17039,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,DEN,NA,0.7,0.5,5,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.5,NA,18604,FantasyPros,14063,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,NA,0.7,0.5,5.1,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.5,NA,11177,FantasyPros,10700,NA,NA,NA,NA,NA,NA
Mitchell Trubisky,QB,BUF,NA,0.6,0.4,4.8,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.5,NA,16381,FantasyPros,13115,NA,NA,NA,NA,NA,NA
Malik Willis,QB,GB,NA,0.6,0.4,4.4,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.4,NA,23499,FantasyPros,15694,NA,NA,NA,NA,NA,NA
Tyson Bagent,QB,CHI,NA,0.7,0.4,4.4,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,25321,FantasyPros,16384,NA,NA,NA,NA,NA,NA
Joe Milton III,QB,DAL,NA,0.7,0.5,4.7,NA,0.1,0,NA,0.2,0.4,NA,0,0,0.4,NA,25967,FantasyPros,16585,NA,NA,NA,NA,NA,NA
Jameis Winston,QB,NYG,NA,0.7,0.4,4,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,13891,FantasyPros,12140,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,NYG,NA,0.7,0.4,4,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,11180,FantasyPros,10703,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,NE,NA,0.6,0.4,4.2,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.4,NA,16417,FantasyPros,13119,NA,NA,NA,NA,NA,NA
Mason Rudolph,QB,PIT,NA,0.6,0.4,4.1,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.4,NA,17234,FantasyPros,13595,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,0.7,0.4,4,NA,0.1,0,NA,0.1,0.5,NA,0,0,0.4,NA,22799,FantasyPros,15252,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,BAL,NA,0.5,0.4,4.4,NA,0.1,0,NA,0.2,0.2,NA,0,0,0.4,NA,16477,FantasyPros,13124,NA,NA,NA,NA,NA,NA
Tanner McKee,QB,PHI,NA,0.6,0.4,3.8,NA,0.1,0,NA,0.2,0.3,NA,0,0,0.4,NA,24740,FantasyPros,15702,NA,NA,NA,NA,NA,NA
Max Brosmer,QB,MIN,NA,1.1,0.7,8.4,NA,0,0,NA,0.2,0.4,NA,0,0,0.4,NA,27580,FantasyPros,17282,NA,NA,NA,NA,NA,NA
Brandon Allen,QB,TEN,NA,0.6,0.4,3.8,NA,0.1,0,NA,0.1,0.3,NA,0,0,0.4,NA,15745,FantasyPros,12621,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,MIA,NA,0.7,0.5,3.9,NA,0.1,0.1,NA,0.1,0.7,NA,0,0,0.4,NA,22679,FantasyPros,15239,NA,NA,NA,NA,NA,NA
Jake Browning,QB,CIN,NA,0.7,0.4,4.3,NA,0.1,0.1,NA,0.1,0.5,NA,0,0,0.4,NA,18557,FantasyPros,14358,NA,NA,NA,NA,NA,NA
Graham Mertz,QB,HOU,NA,1,0.6,6.5,NA,0,0,NA,0.1,0.4,NA,0,0,0.3,NA,23186,FantasyPros,17227,NA,NA,NA,NA,NA,NA
Josh Johnson,QB,WAS,NA,1,0.6,5.1,NA,0,0,NA,0.3,0.5,NA,0,0,0.3,NA,9326,FantasyPros,9207,NA,NA,NA,NA,NA,NA
Trey Lance,QB,LAC,NA,0.7,0.4,4.6,NA,0,0,NA,0.1,0.5,NA,0,0,0.2,NA,20082,FantasyPros,15240,NA,NA,NA,NA,NA,NA
Shedeur Sanders,QB,CLE,NA,0.6,0.4,3.2,NA,0,0,NA,0.1,0.2,NA,0,0,0.1,NA,25968,FantasyPros,17031,NA,NA,NA,NA,NA,NA
