player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,fg_pct,xp_pct,pct_owned
Nick Folk,K,NYJ,1,1.4,1.5,0,0,0.3,0.3,0.4,0.4,0.4,0.4,0.2,0.2,2,2.1,6.2,6.2,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,1,1.4,1.6,0,0,0.3,0.3,0.5,0.5,0.4,0.5,0.2,0.2,1.7,1.9,5.9,5.9,3126649,CBS,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.3,1.5,0,0,0.4,0.4,0.5,0.5,0.3,0.4,0.2,0.2,1.9,1.9,5.8,5.8,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,1,1.2,1.5,0,0,0.3,0.3,0.4,0.5,0.3,0.4,0.2,0.2,1.7,1.8,5.3,5.3,2868551,CBS,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,1,1.2,1.5,0,0,0.3,0.3,0.4,0.4,0.3,0.5,0.2,0.2,1.2,1.3,4.8,4.8,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,1,0.8,1.1,0,0,0.2,0.2,0.3,0.3,0.2,0.3,0.1,0.1,1.3,1.6,3.7,3.7,3162619,CBS,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,1,0.5,0.8,0,0,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.8,1.1,2.3,2.3,3163734,CBS,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4689936,ESPN,16846,0,1,1,1,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,3150744,ESPN,14717,0,1,1,1,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4362081,ESPN,15979,0,1,1,1,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3953687,ESPN,16414,0,1,1,1,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3917232,ESPN,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA
