player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,fg_pct,xp_pct,pct_owned
Cameron Dicker,K,LAC,NA,NA,NA,0.06,NA,0.38,NA,0.56,NA,0.56,NA,0.38,NA,2.44,NA,9.02,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,NA,NA,NA,NA,0.34,NA,0.55,NA,0.61,NA,0.27,NA,3.07,NA,8.92,NA,2573940,NFL,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,NA,0.39,NA,0.52,NA,0.52,NA,0.33,NA,2.82,NA,8.76,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.46,NA,0.4,NA,2.38,NA,8.73,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.45,NA,0.52,NA,0.52,NA,0.26,NA,2.86,NA,8.63,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,ATL,NA,NA,NA,NA,NA,0.35,NA,0.7,NA,0.35,NA,0.35,NA,2.47,NA,8.42,NA,2569101,NFL,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.36,NA,2.2,NA,8.32,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,NA,NA,NA,NA,NA,0.37,NA,0.55,NA,0.64,NA,0.18,NA,2.57,NA,8.15,NA,2560965,NFL,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.36,NA,2.03,NA,8.15,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.5,NA,0.31,NA,2.25,NA,8.12,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,NA,0.36,NA,0.47,NA,0.47,NA,0.36,NA,2.19,NA,7.89,NA,2572273,NFL,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.56,NA,0.25,NA,1.94,NA,7.69,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,NA,NA,NA,NA,0.4,NA,0.45,NA,0.4,NA,0.28,NA,2.48,NA,7.63,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,NA,NA,NA,NA,0.24,NA,0.71,NA,0.47,NA,0.24,NA,2.12,NA,7.58,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,NA,0.38,NA,0.5,NA,0.44,NA,0.31,NA,1.94,NA,7.45,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,NA,NA,NA,NA,0.38,NA,0.57,NA,0.38,NA,0.19,NA,2.47,NA,7.41,NA,2567013,NFL,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,NA,NA,NA,NA,0.36,NA,0.54,NA,0.48,NA,0.18,NA,1.91,NA,6.95,NA,2573979,NFL,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,NA,NA,NA,NA,0.34,NA,0.51,NA,0.45,NA,0.17,NA,1.86,NA,6.61,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,NA,NA,NA,NA,0.34,NA,0.45,NA,0.45,NA,0.17,NA,1.97,NA,6.54,NA,2574365,NFL,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,NA,NA,NA,NA,0.34,NA,0.39,NA,0.39,NA,0.28,NA,1.63,NA,6.39,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA
