player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Marquise Brown,WR,KC,NA,8.35,4.79,53.55,NA,NA,0.38,0,0,NA,0,NA,9.95,NA,54127,FanDuel,14105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,33,100,19,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Jakobi Meyers,WR,LV,NA,7.48,4.99,55.16,NA,NA,0.3,0,0,NA,0,NA,9.81,NA,54193,FanDuel,14127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,34,101,18,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
Jerry Jeudy,WR,CLE,NA,7.76,4.56,61.11,NA,NA,0.23,0,0,NA,0,NA,9.79,NA,54518,FanDuel,14833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,35,102,32,8,Cleveland Browns,3,Baltimore Ravens,BAL,8,Cleveland Browns,CLE,WEEKLY
Rome Odunze,WR,CHI,NA,7.5,4.38,56.31,NA,NA,0.33,0,0,NA,0,NA,9.74,NA,55911,FanDuel,16616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,36,104,25,6,Chicago Bears,11,Detroit Lions,DET,6,Chicago Bears,CHI,WEEKLY
Rashid Shaheed,WR,NO,NA,7.4,4.22,57.34,NA,NA,0.28,0.26,1.41,NA,0.01,NA,9.67,NA,55472,FanDuel,16080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,37,105,7,20,New Orleans Saints,20,New Orleans Saints,NO,27,San Francisco 49ers,SF,WEEKLY
Keenan Allen,WR,LAC,NA,6.95,4.54,49.95,NA,NA,0.32,0,0,NA,0,NA,9.15,NA,52114,FanDuel,11222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,38,107,13,34,Los Angeles Chargers,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
Ricky Pearsall,WR,SF,NA,6.7,3.96,51.87,NA,NA,0.28,0.3,1.54,NA,0.02,NA,9.1,NA,55925,FanDuel,16622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,39,108,16,27,San Francisco 49ers,20,New Orleans Saints,NO,27,San Francisco 49ers,SF,WEEKLY
Travis Hunter,WR,JAC,NA,6.7,4.06,51.86,NA,NA,0.31,0,0,NA,0,NA,9.06,NA,56246,FanDuel,17074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,40,109,12,15,Jacksonville Jaguars,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
DeVonta Smith,WR,PHI,NA,6.11,4.28,50.03,NA,NA,0.31,0,0,NA,0,NA,9,NA,54877,FanDuel,15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,41,110,29,24,Philadelphia Eagles,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Jameson Williams,WR,DET,NA,5.01,3.17,50.42,NA,NA,0.27,0.88,4.17,NA,0.03,NA,8.82,NA,55245,FanDuel,15756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,42,111,9,11,Detroit Lions,11,Detroit Lions,DET,6,Chicago Bears,CHI,WEEKLY
