player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned
Mo Alie-Cox,TE,IND,NA,0.5,0.5,5.4,NA,NA,0,0,0.76,NA,12887,FleaFlicker,13246,0,0,0,1,@PITSun 1:00 PM,NA,NA,0,5.4,1%
Tyler Conklin,TE,LAC,NA,0.5,0.5,5.8,NA,NA,0,0,0.76,NA,13980,FleaFlicker,13847,0,0,0,2,@TENSun 1:00 PM,NA,NA,0,5.8,12%
John Bates,TE,WAS,NA,0.5,0.5,5.2,NA,NA,0,0,0.76,NA,16360,FleaFlicker,15344,0,0,0,2,SEASun 8:20 PM,NA,NA,0,5.2,1%
Luke Farrell,TE,SF,NA,0.4,0.4,4.1,NA,NA,0,0,0.59,NA,16417,FleaFlicker,15335,0,0,0,4,@NYGSun 1:00 PM,NA,NA,0,4.1,1%
Thomas Fidone,TE,NYG,NA,0.6,0.6,5.8,NA,NA,0,0,0.58,NA,19504,FleaFlicker,17243,0,0,0,4,SFSun 1:00 PM,NA,NA,0,5.8,2%
Ben Sims,TE,MIN,NA,0.3,0.3,2.7,NA,NA,0.1,0,0.57,NA,17886,FleaFlicker,16483,0,0,0,6,@DETSun 1:00 PM,NA,NA,0.1,2.7,0%
Durham Smythe,TE,CHI,NA,0.3,0.3,3.2,NA,NA,0,0,0.5,NA,13905,FleaFlicker,13676,0,0,0,5,@CINSun 1:00 PM,NA,NA,0,3.2,0%
Ben Sinnott,TE,WAS,NA,0.4,0.4,4.1,NA,NA,0,0,0.47,NA,18427,FleaFlicker,16644,0,0,0,2,SEASun 8:20 PM,NA,NA,0,4.1,15%
Jared Wiley,TE,KC,NA,0.3,0.3,2.9,NA,NA,0,0,0.47,NA,18468,FleaFlicker,16648,0,0,0,0,@BUFSun 4:25 PM,NA,NA,0,2.9,4%
Teagan Quitoriano,TE,ATL,NA,0.3,0.3,3.8,NA,NA,0,0,0.38,NA,16959,FleaFlicker,15905,0,0,0,5,@NESun 1:00 PM,NA,NA,0,3.8,0%
Trey McBride,TE,ARI,NA,NA,6.92,73.35,NA,NA,0.48,0.03,17.21,NA,2568117,NFL,15794,NA,0.77,0.01,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,NA,NA,4.79,67.7,NA,NA,0.51,0.03,14.56,NA,2558266,NFL,13299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Warren,TE,IND,NA,NA,5.26,64.03,NA,NA,0.38,0.07,14.09,NA,2574204,NFL,17102,NA,1.69,0.02,NA,NA,NA,NA,NA,NA,NA
Brock Bowers,TE,LV,NA,NA,5.5,60.97,NA,NA,0.39,0.02,13.9,NA,2572219,NFL,16641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucker Kraft,TE,GB,NA,NA,4.21,58.56,NA,NA,0.62,0.03,13.73,NA,2569768,NFL,16222,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA
Oronde Gadsden II,TE,LAC,NA,NA,4.85,54.69,NA,NA,0.32,0.02,12.21,NA,2574511,NFL,17099,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,NA,NA,4.72,50.48,NA,NA,0.39,0.03,12.07,NA,2540258,NFL,11244,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,NA,NA,4.39,50.25,NA,NA,0.45,0.03,12.07,NA,2569726,NFL,16214,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,NA,NA,5.19,40.96,NA,NA,0.39,0.04,11.55,NA,2567496,NFL,15799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,NA,NA,3.83,44.15,NA,NA,0.39,0.03,10.53,NA,2555341,NFL,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,NA,NA,4.02,48.09,NA,NA,0.27,0.02,10.41,NA,2565830,NFL,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,NA,NA,3.22,37.03,NA,NA,0.43,0.03,9.48,NA,2560957,NFL,13671,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,WAS,NA,NA,3.73,33.15,NA,NA,0.39,0.02,9.35,NA,2540158,NFL,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,NA,NA,3.6,38.84,NA,NA,0.31,0.03,9.28,NA,2569594,NFL,16213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,PIT,NA,NA,3.41,33.65,NA,NA,0.38,0.02,9.09,NA,2558207,NFL,13193,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,NA,NA,3.75,37,NA,NA,0.25,0.02,8.91,NA,2564676,NFL,14861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,CIN,NA,NA,3.51,36.87,NA,NA,0.29,0.02,8.9,NA,2562383,NFL,14137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,NA,NA,3.55,36.64,NA,NA,0.23,0.02,8.55,NA,2562378,NFL,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Johnson,TE,NYG,NA,NA,3.37,33.02,NA,NA,0.32,0.02,8.55,NA,2572333,NFL,16649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Schultz,TE,HOU,NA,NA,3.41,36.31,NA,NA,0.24,0.04,8.4,NA,2560866,NFL,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ Barner,TE,SEA,NA,NA,2.71,30.99,NA,NA,0.35,0.01,7.89,NA,2572513,NFL,16723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,DEN,NA,NA,3.42,30.61,NA,NA,0.24,0.02,7.88,NA,2557858,NFL,13189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colston Loveland,TE,CHI,NA,NA,2.64,28.92,NA,NA,0.19,0.02,6.65,NA,2574014,NFL,17104,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
Chig Okonkwo,TE,TEN,NA,NA,3.13,28.68,NA,NA,0.11,0.02,6.64,NA,2567658,NFL,15889,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Long,TE,JAX,NA,NA,2.54,23.84,NA,NA,0.21,0.01,6.16,NA,2566286,NFL,15334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,NA,NA,2.28,23.84,NA,NA,0.25,0.02,6.12,NA,2566442,NFL,15331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,NA,NA,1.99,22.35,NA,NA,0.26,0.02,5.75,NA,2567283,NFL,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Tavion Sanders,TE,CAR,NA,NA,2.63,22.96,NA,NA,0.13,0.01,5.69,NA,2571892,NFL,16643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnar Helm,TE,TEN,NA,NA,2.08,19.14,NA,NA,0.13,0.01,4.75,NA,2574152,NFL,17105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,NA,NA,1.71,19.36,NA,NA,0.18,0.01,4.71,NA,2562681,NFL,14143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Arroyo,TE,SEA,NA,NA,1.65,21.25,NA,NA,0.15,0.01,4.66,NA,2574554,NFL,17108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,NA,NA,1.01,8.01,NA,NA,0.06,0.01,4.34,NA,2558954,NFL,13424,NA,14.12,0.13,NA,NA,NA,NA,NA,NA,NA
Tanner Conner,TE,MIA,NA,NA,1.71,16.97,NA,NA,0.14,0.01,4.23,NA,2569017,NFL,15991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Washington,TE,PIT,NA,NA,1.65,16.4,NA,NA,0.16,0.01,4.23,NA,2570257,NFL,16216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,NA,NA,1.59,16.86,NA,NA,0.12,0.01,3.98,NA,2555364,NFL,12678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Higgins,TE,ARI,NA,NA,1.55,16.09,NA,NA,0.12,0.01,3.86,NA,2570068,NFL,16333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Sample,TE,CIN,NA,NA,1.58,13.12,NA,NA,0.12,0.01,3.59,NA,2562720,NFL,14146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Hooper,TE,NE,NA,NA,1.37,14.98,NA,NA,0.12,0.01,3.57,NA,2555415,NFL,12677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Mayer,TE,LV,NA,NA,1.57,14.74,NA,NA,0.08,0.01,3.5,NA,2570032,NFL,16212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Mundt,TE,JAX,NA,NA,1.48,13.8,NA,NA,0.1,0.01,3.44,NA,2558875,NFL,13940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,NA,NA,1.23,12.93,NA,NA,0.09,0.02,3.02,NA,2563704,NFL,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Gray,TE,KC,NA,NA,1.13,11.29,NA,NA,0.12,0.01,2.97,NA,2566178,NFL,15337,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,NA,NA,1.24,11.78,NA,NA,0.09,0.01,2.94,NA,2565914,NFL,15332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Musgrave,TE,GB,NA,NA,1.01,9.85,NA,NA,0.06,NA,2.36,NA,2569780,NFL,16215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Bellinger,TE,NYG,NA,NA,0.88,8.97,NA,NA,0.06,NA,2.14,NA,2567985,NFL,15873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrance Ferguson,TE,LAR,NA,NA,0.68,8.05,NA,NA,0.06,NA,1.85,NA,2574267,NFL,17107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Allen,TE,LAR,NA,NA,0.68,6.86,NA,NA,0.07,NA,1.79,NA,2570017,NFL,16219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Adkins,TE,DEN,NA,NA,0.72,6.44,NA,NA,0.07,NA,1.78,NA,2570930,NFL,16474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Evans,TE,CAR,NA,NA,0.77,6.68,NA,NA,0.05,NA,1.74,NA,2573978,NFL,17109,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,NA,NA,0.63,6.68,NA,NA,0.06,NA,1.66,NA,2564703,NFL,14870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Bates,TE,WAS,NA,NA,0.62,6.04,NA,NA,0.05,NA,1.52,NA,2566580,NFL,15344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Bryant,TE,HOU,NA,NA,0.6,5.41,NA,NA,0.04,NA,1.38,NA,2563767,NFL,14875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Kolar,TE,BAL,NA,NA,0.46,5.26,NA,NA,0.05,NA,1.3,NA,2567280,NFL,15795,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
Luke Schoonmaker,TE,DAL,NA,NA,0.54,4.67,NA,NA,0.03,NA,1.19,NA,2569690,NFL,16221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Tonges,TE,SF,NA,NA,0.45,5.04,NA,NA,0.03,NA,1.13,NA,2567439,NFL,16036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby Parkinson,TE,LAR,NA,NA,0.43,4.97,NA,NA,0.03,NA,1.11,NA,2565180,NFL,14871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Yurosek,TE,MIN,NA,NA,0.42,4.53,NA,NA,0.03,NA,1.05,NA,2574362,NFL,17285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dulcich,TE,MIA,NA,NA,0.4,4.01,NA,NA,0.03,NA,0.98,NA,2567520,NFL,15797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Ogletree,TE,IND,NA,NA,0.39,4.52,NA,NA,0.02,NA,0.96,NA,2567712,NFL,15916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jackson Hawes,TE,BUF,NA,NA,0.34,3.43,NA,NA,0.02,NA,0.8,NA,2573962,NFL,17213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
