player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Omarion Hampton,RB,LAC,1,12.9,48.9,3.8,0.4,2.2,1.7,16.4,16.4,9.7,0.1,0.2,7.6,7.6,28908905,CBS,17044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,1,11.1,48.8,4.4,0.4,2.2,1.7,14.3,14.3,8.4,0.1,0.2,7.6,7.6,3121207,CBS,17068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,12.8,51.3,4,0.3,3.1,2.5,19.7,19.7,7.9,0,0.1,7.6,7.6,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,12.5,47.9,3.8,0.4,2,1.8,15.5,15.5,8.6,0,0.1,7.2,7.2,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,9.6,39,4.1,0.3,3.6,2.7,23.5,23.5,8.7,0.1,0.1,7.2,7.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,WAS,1,6.5,35.3,5.4,0.3,3.8,3.1,26.9,26.9,8.7,0.1,0.1,7.2,7.2,2820090,CBS,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,1,10.5,49.3,4.7,0.2,4.2,3.4,25.6,25.6,7.5,0,0.1,7,7,3126535,CBS,15742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,1,7.2,31.2,4.3,0.4,2.7,2.2,16.7,16.7,7.6,0.1,0,7,7,3123810,CBS,16169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,9.1,42.5,4.7,0.3,3.1,2.3,18.4,18.4,8,0,0.1,6.6,6.6,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,1,9.4,41.8,4.5,0.3,1.2,0.9,8.6,8.6,9.6,0.1,0.1,6.2,6.2,28873887,CBS,17059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAC,1,7.8,37.9,4.9,0.3,1.8,1.4,13.9,13.9,9.9,0.1,0.1,6.2,6.2,26732838,CBS,17052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Sampson,RB,CLE,1,9.2,39.9,4.3,0.3,1.9,1.5,13.2,13.2,8.8,0.1,0.1,6.2,6.2,28912068,CBS,17047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KC,1,11.3,45.7,4,0.2,2.1,1.7,10.7,10.7,6.3,0,0.1,6,6,2966551,CBS,15749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,1,10,51.5,5.2,0.2,1,0.8,6.5,6.5,8.1,0,0.1,6,6,2967536,CBS,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,1,7.7,31.6,4.1,0.2,1.7,1.3,11.4,11.4,8.8,0.1,0.1,5.6,5.6,28875227,CBS,17069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,6.5,28.7,4.4,0.2,2.1,1.9,14.2,14.2,7.5,0.2,0.1,5.2,5.2,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Benson,RB,ARI,1,8.2,45,5.5,0.2,0.3,0.3,2.9,2.9,9.7,0,0,5.2,5.2,3176915,CBS,16594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tahj Brooks,RB,CIN,1,6.2,25.3,4.1,0.3,1.8,1.4,14.5,14.5,10.4,0.1,0.1,5.2,5.2,3168518,CBS,17058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,1,5.6,31.2,5.6,0.3,0.1,0.1,0.9,0.9,9,0,0,4.8,4.8,2964667,CBS,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,1,6.8,22.4,3.3,0.3,1.8,1.4,10.8,10.8,7.7,0,0.1,4.6,4.6,2174957,CBS,12447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendre Miller,RB,NO,1,7,28.9,4.1,0.4,0.9,0.6,4.8,4.8,8,0,0,4.4,4.4,3162256,CBS,16171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,1,4.6,22.1,4.8,0.2,1.2,1.1,10.3,10.3,9.4,0,0.1,4,4,2964154,CBS,16688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
