player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jahdae Walker,WR,CHI,NA,3.49,1.8,25.29,NA,NA,0.17,0,0,NA,0,NA,4.43,NA,56427,FanDuel,17353,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,74,191,21,6,Chicago Bears,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Tre Harris,WR,LAC,NA,3.42,2.13,24.98,NA,NA,0.13,0,0,NA,0,NA,4.32,NA,56287,FanDuel,17072,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,75,194,2,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Darnell Mooney,WR,ATL,NA,3.34,1.81,27.32,NA,NA,0.11,0,0,NA,0,NA,4.28,NA,54612,FanDuel,14974,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,76,196,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Dont'e Thornton Jr.,WR,LV,NA,3.39,1.97,25.78,NA,NA,0.12,0,0,NA,0,NA,4.26,NA,56295,FanDuel,17087,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,77,197,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Jalen McMillan,WR,TB,NA,3.2,1.88,21.15,NA,NA,0.17,0.3,1.25,NA,0.01,NA,4.24,NA,55980,FanDuel,16628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,78,198,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Marquise Brown,WR,KC,NA,4.71,2.47,22.93,NA,NA,0.1,0,0,NA,0,NA,4.11,NA,54127,FanDuel,14105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,79,201,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
John Metchie III,WR,NYJ,NA,3.73,2.12,21.11,NA,NA,0.11,0.57,2.37,NA,0.02,NA,4.11,NA,55250,FanDuel,15759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,79,201,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Jack Bech,WR,LV,NA,3.08,1.9,23.77,NA,NA,0.11,0,0,NA,0,NA,3.97,NA,56314,FanDuel,17078,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,81,206,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
JuJu Smith-Schuster,WR,KC,NA,4.09,2.58,22.24,NA,NA,0.08,0,0,NA,0,NA,3.95,NA,53422,FanDuel,13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,82,207,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Rashod Bateman,WR,BAL,NA,3.75,2.16,23.27,NA,NA,0.09,0,0,NA,0,NA,3.93,NA,54860,FanDuel,15293,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,83,208,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Lil'Jordan Humphrey,WR,DEN,NA,2.93,1.7,20.96,NA,NA,0.16,0,0,NA,0,NA,3.87,NA,54340,FanDuel,14118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,84,210,12,10,Denver Broncos,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Matthew Golden,WR,GB,NA,3.06,1.92,21.99,NA,NA,0.11,0,0,NA,0,NA,3.8,NA,56262,FanDuel,17075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,85,212,14,12,Green Bay Packers,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Keon Coleman,WR,BUF,NA,2.94,1.7,21.25,NA,NA,0.14,0,0,NA,0,NA,3.8,NA,55908,FanDuel,16617,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,85,212,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
