player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Ricky White III,WR,SEA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56547,FanDuel,17084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Mecole Hardman,WR,BUF,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54140,FanDuel,14113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Gabriel Davis,WR,BUF,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54620,FanDuel,14845,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Trent Taylor,WR,SF,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53484,FanDuel,13316,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Ricky Pearsall,WR,SF,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55925,FanDuel,16622,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Jacob Cowing,WR,SF,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56051,FanDuel,16640,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Luther Burden III,WR,CHI,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56269,FanDuel,17070,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,21,6,Chicago Bears,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Jamal Agnew,WR,ATL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53506,FanDuel,13308,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Khadarel Hodge,WR,ATL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53964,FanDuel,13963,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Casey Washington,WR,ATL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56153,FanDuel,16760,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Brennan Presley,WR,LA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56569,FanDuel,17321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
