player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Christopher Brooks,RB,GB,1,3.5,16,4.6,0.1,1,0.8,5.7,5.7,7.1,0,0,1.6,1.6,2962350,CBS,16387,NA,NA,NA,NA,NA,NA,NA
Devin Singletary,RB,NYG,1,3.6,13.6,3.8,0.1,0.5,0.5,2.3,2.3,4.6,0,0,1.6,1.6,2241251,CBS,14080,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,1,1.9,12.1,6.4,0.1,0.7,0.5,2.8,2.8,5.6,0,0,1.6,1.6,2964372,CBS,16385,NA,NA,NA,NA,NA,NA,NA
Julius Chestnut,RB,TEN,1,2.9,11.9,4.1,0.1,0.4,0.3,2.4,2.4,8,0,0,1.6,1.6,2967664,CBS,15965,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,1,2.1,10.4,5,0.1,0.3,0.2,1.2,1.2,6,0,0,1.6,1.6,3122473,CBS,15730,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PIT,1,5.6,16.3,2.9,0.1,1.8,1.3,8.1,8.1,6.2,0,0,1.6,1.6,2968948,CBS,15255,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,PHI,1,2.5,12.3,4.9,0.1,0,0,0.2,0.2,0,0,0,1.6,1.6,3162021,CBS,16164,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,1,2.5,10.6,4.2,0.1,1.2,1,9.9,9.9,9.9,0,0.1,1.4,1.4,2131148,CBS,13133,NA,NA,NA,NA,NA,NA,NA
Dylan Sampson,RB,CLE,1,5.4,17.7,3.3,0.1,1.3,1.1,8.1,8.1,7.4,0,0.1,1.4,1.4,28912068,CBS,17047,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,1,3.5,12.6,3.6,0.1,1,0.7,5.6,5.6,8,0,0.1,1.4,1.4,2963641,CBS,15714,NA,NA,NA,NA,NA,NA,NA
AJ Dillon,RB,PHI,1,2.5,11.5,4.6,0,0.1,0.1,1.2,1.2,12,0,0,1,1,2867083,CBS,14805,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,1,1.9,11,5.8,0,0.2,0.2,1.6,1.6,8,0,0,1,1,2964494,CBS,15718,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,1,1.9,11,5.8,0,0.3,0.2,0.9,0.9,4.5,0,0,1,1,26725939,CBS,16390,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,RB,LAC,1,2.3,6.4,2.8,0.1,0.2,0.1,2.1,2.1,21,0.1,0.3,0.6,0.6,2968506,CBS,15720,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KC,1,1.8,6.6,3.7,0.1,0.1,0.1,0.2,0.2,2,0,0,0.6,0.6,2819876,CBS,15263,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,1,1.6,5.6,3.5,0.1,0.2,0.1,1.3,1.3,13,0,0,0.6,0.6,2174957,CBS,12447,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,1,2,9.1,4.6,0.1,0.2,0.2,1.7,1.7,8.5,0,0,0.6,0.6,28916212,CBS,17055,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,1,2,9.3,4.7,0.1,0.2,0.2,2,2,10,0,0,0.6,0.6,2964154,CBS,16688,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,FB,MIA,1,0.5,0.8,1.6,0.1,0.6,0.5,3.4,3.4,6.8,0,0,0.6,0.6,2183930,CBS,14420,NA,NA,NA,NA,NA,NA,NA
Brashard Smith,RB,KC,1,1.8,8,4.4,0.1,0.2,0.2,1.6,1.6,8,0,0,0.6,0.6,26694196,CBS,17049,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,1,2.1,9.2,4.4,0.1,0.1,0.1,1.2,1.2,12,0,0,0.6,0.6,26695679,CBS,17060,NA,NA,NA,NA,NA,NA,NA
Dylan Laube,RB,LV,1,1.6,5.8,3.6,0.1,0.4,0.3,2.9,2.9,9.7,0,0,0.6,0.6,2964322,CBS,16613,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,1,2,9.2,4.6,0.1,0.1,0.1,0.8,0.8,8,0,0,0.6,0.6,29104952,CBS,16432,NA,NA,NA,NA,NA,NA,NA
Trevor Etienne,RB,CAR,1,1.7,7.8,4.6,0.1,0.2,0.2,1.3,1.3,6.5,0,0,0.6,0.6,28901419,CBS,17056,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,1,1.9,8.1,4.3,0.1,0.1,0.1,0.7,0.7,7,0,0,0.6,0.6,26700820,CBS,17064,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,1,1.9,9.2,4.8,0.1,0.2,0.1,1,1,10,0,0,0.6,0.6,3121860,CBS,15727,NA,NA,NA,NA,NA,NA,NA
Kalel Mullings,RB,TEN,1,1.7,7.1,4.2,0.1,0.2,0.1,1.3,1.3,13,0,0,0.6,0.6,3169471,CBS,17050,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,1,1.9,9.8,5.2,0.1,0.1,0.1,0.9,0.9,9,0,0,0.6,0.6,3168416,CBS,16166,NA,NA,NA,NA,NA,NA,NA
LeQuint Allen,RB,JAC,1,1.8,7.5,4.2,0.1,0.2,0.1,1.5,1.5,15,0,0,0.6,0.6,28877884,CBS,17061,NA,NA,NA,NA,NA,NA,NA
Cody Schrader,RB,JAC,1,1.8,7.4,4.1,0.1,0.2,0.2,1.5,1.5,7.5,0,0,0.6,0.6,28876935,CBS,16600,NA,NA,NA,NA,NA,NA,NA
Andrew Beck,RB,NYJ,1,0.2,0.2,1,0.1,0.5,0.3,1.3,1.3,4.3,0,0,0.6,0.6,2131774,CBS,14319,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,1,1.8,7.4,4.1,0.1,0.2,0.1,1.4,1.4,14,0,0,0.6,0.6,3177368,CBS,17066,NA,NA,NA,NA,NA,NA,NA
Zavier Scott,RB,MIN,1,2,9.1,4.6,0.1,0.2,0.1,1.5,1.5,15,0,0,0.6,0.6,2869402,CBS,17337,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,1,2.5,9.1,3.6,0.1,0.5,0.4,4.3,4.3,10.8,0,0,0.6,0.6,28875572,CBS,17048,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,17,80,NA,1,6,4,38,NA,NA,0,NA,NA,NA,4430807,ESPN,16161,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,NA,20,88,NA,1,4,3,21,NA,NA,0,NA,NA,NA,3929630,ESPN,13604,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,12,60,NA,1,5,4,32,NA,NA,0,NA,NA,NA,4429795,ESPN,16162,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,16,69,NA,1,6,5,35,NA,NA,0,NA,NA,NA,3117251,ESPN,13130,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,15,63,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4890973,ESPN,17042,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,12,63,NA,0,6,5,41,NA,NA,0,NA,NA,NA,4429160,ESPN,16167,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,23,112,NA,1,2,2,14,NA,NA,0,NA,NA,NA,4242335,ESPN,14802,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,22,85,NA,1,3,2,17,NA,NA,0,NA,NA,NA,4047365,ESPN,14073,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,19,89,NA,1,2,1,12,NA,NA,0,NA,NA,NA,3043078,ESPN,12626,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,NA,17,81,NA,1,4,3,24,NA,NA,0,NA,NA,NA,4596448,ESPN,16598,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,NA,18,81,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4362238,ESPN,16181,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,17,74,NA,1,3,2,15,NA,NA,0,NA,NA,NA,4430737,ESPN,15710,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,NA,17,82,NA,1,2,2,17,NA,NA,0,NA,NA,NA,4379399,ESPN,15715,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,NA,12,52,NA,0,3,2,15,NA,NA,0,NA,NA,NA,4685382,ESPN,17044,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,16,64,NA,0,5,4,26,NA,NA,0,NA,NA,NA,3054850,ESPN,13132,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,16,68,NA,0,4,3,19,NA,NA,0,NA,NA,NA,4241416,ESPN,15261,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,NA,13,57,NA,0,3,3,17,NA,NA,0,NA,NA,NA,3045147,ESPN,13146,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,NA,6,27,NA,0,3,3,19,NA,NA,0,NA,NA,NA,4432710,ESPN,17043,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,13,57,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4567048,ESPN,15711,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,NA,16,69,NA,0,4,3,28,NA,NA,0,NA,NA,NA,4427366,ESPN,15708,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,NA,17,73,NA,1,3,2,20,NA,NA,0,NA,NA,NA,4259545,ESPN,14797,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,NA,19,84,NA,0,3,2,14,NA,NA,0,NA,NA,NA,3916148,ESPN,14085,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,NA,12,51,NA,1,3,2,17,NA,NA,0,NA,NA,NA,4035538,ESPN,14071,NA,NA,NA,NA,NA,NA,NA
Aaron Jones Sr.,RB,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042519,ESPN,13319,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,NA,5,23,NA,0,2,2,12,NA,NA,0,NA,NA,NA,4568490,ESPN,17068,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KCC,NA,11,50,NA,0,3,2,15,NA,NA,0,NA,NA,NA,4361529,ESPN,15749,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,NA,9,38,NA,0,4,3,20,NA,NA,0,NA,NA,NA,4360516,ESPN,16747,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,16,72,NA,0,4,3,25,NA,NA,0,NA,NA,NA,4569987,ESPN,15742,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,13,54,NA,1,2,1,10,NA,NA,0,NA,NA,NA,4575131,ESPN,17256,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068267,ESPN,13404,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,NA,13,60,NA,0,2,2,11,NA,NA,0,NA,NA,NA,4241985,ESPN,14800,NA,NA,NA,NA,NA,NA,NA
