player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Carlson, Daniel",K,LVR,NA,1.8,2,0,NA,0.6,NA,0.5,NA,0.4,NA,0.3,NA,1.8,1.8,7.6,NA,NA,FantasySharks,13718,NA,NA,NA,NA,NA,DEN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romo, John Parker",K,MIN,NA,1.6,1.8,0,NA,0.4,NA,0.6,NA,0.5,NA,0.2,NA,1.7,1.9,7,NA,NA,FantasySharks,16405,NA,NA,NA,NA,NA,@CHI,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",K,ARI,NA,1.6,1.9,0,NA,0.2,NA,0.7,NA,0.3,NA,0.3,NA,2.2,2.2,7,NA,NA,FantasySharks,16292,NA,NA,NA,NA,NA,@SEA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,NEP,NA,1.7,1.9,0,NA,0.4,NA,0.7,NA,0.4,NA,0.2,NA,1.7,1.8,6.7,NA,NA,FantasySharks,14600,NA,NA,NA,NA,NA,@MIA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.5,1.9,0,NA,0.3,NA,0.5,NA,0.3,NA,0.4,NA,2.2,2.2,6.6,NA,NA,FantasySharks,13832,NA,NA,NA,NA,NA,NEP,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,TEN,NA,1.4,1.5,0,NA,0.5,NA,0.3,NA,0.4,NA,0.2,NA,1.7,1.7,6.5,NA,NA,FantasySharks,8851,NA,NA,NA,NA,NA,@HOU,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shrader, Spencer",K,KCC,NA,1.3,1.5,0,NA,0.5,NA,0.4,NA,0.3,NA,0.1,NA,2,2.1,6.3,NA,NA,FantasySharks,16896,NA,NA,NA,NA,NA,@CAR,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,1.4,1.9,0,NA,0.3,NA,0.5,NA,0.4,NA,0.2,NA,2.8,2.9,6.3,NA,NA,FantasySharks,10976,NA,NA,NA,NA,NA,@LAC,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.5,1.8,0,NA,0.4,NA,0.4,NA,0.2,NA,0.5,NA,1.5,1.6,6.1,NA,NA,FantasySharks,11945,NA,NA,NA,NA,NA,MIN,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,GBP,NA,1.5,2,0,NA,0.3,NA,0.8,NA,0.4,NA,0,NA,2.1,2.2,6,NA,NA,FantasySharks,11947,NA,NA,NA,NA,NA,SFO,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.5,2,0,NA,0.4,NA,0.5,NA,0.4,NA,0.2,NA,1.3,1.3,5.5,NA,NA,FantasySharks,9694,NA,NA,NA,NA,NA,TBB,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karty, Joshua",K,LAR,NA,1.5,2,0,NA,0.5,NA,0.5,NA,0.2,NA,0.3,NA,1.7,1.9,5.3,NA,NA,FantasySharks,16775,NA,NA,NA,NA,NA,PHI,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.2,1.4,0,NA,0.3,NA,0.3,NA,0.4,NA,0.2,NA,1.3,1.4,5.2,NA,NA,FantasySharks,13719,NA,NA,NA,NA,NA,KCC,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,CLE,NA,1.5,2,0,NA,0.2,NA,0.5,NA,0.4,NA,0.3,NA,1.1,1.3,5.1,NA,NA,FantasySharks,11387,NA,NA,NA,NA,NA,PIT,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,10.95,NA,8663,FleaFlicker,10976,NA,NA,NA,NA,NA,@LACMon 8:15 PM,NA,4,NA,K3,2/1,2/2,96%,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,10.81,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,NA,NESun 1:00 PM,NA,6,NA,K14,2/2,2/2,83%,NA,NA,NA,NA,NA,NA,NA
Spencer Shrader,K,KC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.69,NA,18967,FleaFlicker,16896,NA,NA,NA,NA,NA,@CARSun 1:00 PM,NA,6,NA,NA,2/1,2/2,18%,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.62,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,NA,@NYGSun 1:00 PM,NA,1,NA,K21,2/1,2/2,58%,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.57,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,NA,ARISun 4:25 PM,NA,0,NA,K17,2/1,2/2,42%,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.25,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,NA,@CLEL 19-24,NA,9,10.25,K7,2/2,2/2,86%,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,9.93,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,NA,@MIASun 1:00 PM,NA,4,NA,K29,2/1,1/1,14%,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,9.91,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,NA,DETSun 1:00 PM,NA,4,NA,K27,2/1,1/1,47%,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,9.72,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,NA,MINSun 1:00 PM,NA,7,NA,K18,2/2,1/1,28%,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.63,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,NA,@LARSun 8:20 PM,NA,5,NA,K5,2/1,2/2,61%,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.59,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,NA,@LVSun 4:05 PM,NA,4,NA,K8,2/2,2/2,46%,NA,NA,NA,NA,NA,NA,NA
