id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
11644,derek-carr,QB,Derek Carr,NO,34.01,22.88,245.83,1.86,0.67,1.66,6.44,0.06,NumberFire,NA,16.62,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03,24.21,#29,13,13,17.29,7900,2.19,17.5,5800,3.02,17.29,29,0.6
12620,dak-prescott,QB,Dak Prescott,DAL,36.12,23.6,246.55,1.72,0.76,2.53,11.37,0.08,NumberFire,NA,16.56,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.97,24.15,#24,14,14,17.3,7800,2.22,17.5,6600,2.65,17.3,30,0.58
11150,geno-smith-1,QB,Geno Smith,SEA,32.72,21.71,239.57,1.54,0.86,3.7,15.58,0.17,NumberFire,NA,16.36,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,23.94,#17,15,15,17.22,7600,2.27,17.39,5600,3.11,17.22,28,0.62
15698,brock-purdy,QB,Brock Purdy,SF,29.69,19.54,228.42,1.64,0.67,2.81,10.76,0.1,NumberFire,NA,15.69,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,23.23,#32,16,16,16.38,7400,2.21,16.59,6000,2.77,16.38,27,0.61
16579,caleb-williams,QB,Caleb Williams,CHI,33.19,21.28,227.88,1.29,0.74,4.85,20.65,0.2,NumberFire,NA,15.6,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07,23.13,#28,17,17,16.32,7000,2.33,16.61,5600,2.97,16.32,24,0.68
7836,aaron-rodgers,QB,Aaron Rodgers,NYJ,32.06,20.55,215.1,1.54,0.34,2.25,9.71,0.09,NumberFire,NA,15.43,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,22.95,#16,18,18,15.76,7400,2.13,15.9,6000,2.65,15.76,26,0.61
13592,sam-darnold,QB,Sam Darnold,MIN,33.56,21.62,239.24,1.32,0.97,3.59,15.04,0.26,NumberFire,NA,15.4,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,22.92,#9,19,19,16.4,7100,2.31,16.72,5500,3.04,16.4,27,0.61
15237,trevor-lawrence,QB,Trevor Lawrence,JAC,33.99,22.09,235.12,1.27,0.74,3.96,17.57,0.18,NumberFire,NA,15.3,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.79,22.81,#7,20,20,16.02,6900,2.32,16.35,5800,2.82,16.02,26,0.62
10700,kirk-cousins,QB,Kirk Cousins,ATL,33.39,22.13,231.39,1.55,0.63,1.73,6.58,0.08,NumberFire,NA,14.92,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,22.41,#19,22,21,15.52,7200,2.16,15.79,5900,2.68,15.52,25,0.62
14067,gardner-minshew,QB,Gardner Minshew,LV,30.26,19.58,203.88,1.4,0.58,4.12,15.01,0.19,NumberFire,NA,14.77,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,22.25,#30,24,22,15.38,7200,2.14,15.65,5300,2.95,15.38,24,0.64
16582,bo-nix,QB,Bo Nix,DEN,30.99,19.81,209.8,0.94,0.74,5.87,25.64,0.28,NumberFire,NA,14.33,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88,21.78,#25,26,23,15.06,6500,2.32,15.4,5100,3.02,15.06,23,0.65
15238,justin-fields,QB,Justin Fields,PIT,25.01,15.92,177.32,0.87,0.77,8.09,38.93,0.32,NumberFire,NA,14.32,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,21.77,#1,27,24,15.1,6700,2.25,15.39,5400,2.85,15.1,20,0.76
14779,justin-herbert,QB,Justin Herbert,LAC,33.15,21.16,230.04,0.94,0.58,3.95,16.51,0.11,NumberFire,NA,13.85,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,21.27,#5,28,25,14.39,7300,1.97,14.58,5700,2.56,14.39,26,0.55
16149,will-levis,QB,Will Levis,TEN,30.02,18.41,209.92,1.15,0.66,3.9,16.75,0.15,NumberFire,NA,13.74,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33,21.15,#20,29,26,14.41,6800,2.12,14.7,5200,2.83,14.41,23,0.63
9431,matthew-stafford,QB,Matthew Stafford,LA,34.25,22.12,245.67,1.19,0.75,1.28,4.71,0.04,NumberFire,NA,13.66,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,21.06,#18,30,27,14.43,7100,2.03,14.54,5700,2.55,14.43,25,0.58
14059,daniel-jones,QB,Daniel Jones,NYG,30.04,18.74,180.58,0.85,0.65,5.96,28.1,0.24,NumberFire,NA,13.22,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,20.59,#15,34,28,13.88,6800,2.04,14.09,5300,2.66,13.88,24,0.58
10313,andy-dalton,QB,Andy Dalton,CAR,31.98,21.08,229.3,1.04,0.83,2.31,8.47,0.08,NumberFire,NA,12.85,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,20.2,#11,36,29,13.65,6000,2.28,13.78,4800,2.87,13.65,20,0.68
15694,malik-willis,QB,Malik Willis,GB,31.16,19.6,203.47,0.92,0.98,5.44,22.06,0.21,NumberFire,NA,12.81,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,20.15,#8,38,30,13.76,6900,1.99,14.07,5000,2.81,13.76,22,0.63
12616,jacoby-brissett,QB,Jacoby Brissett,NE,29.67,18.78,204.26,0.82,0.59,2.88,12.04,0.1,NumberFire,NA,11.79,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,19.05,#26,49,31,12.38,6700,1.85,12.56,5000,2.51,12.38,23,0.54
15699,skylar-thompson,QB,Skylar Thompson,MIA,33.78,20.96,213.84,0.89,1.04,2.66,11.32,0.1,NumberFire,NA,11.49,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,18.73,#6,52,32,12.55,6600,1.9,12.72,5100,2.49,12.55,23,0.55
13589,2560955,QB,Josh Allen,BUF,NA,NA,248.52,1.66,0.86,NA,33.76,0.55,NFL,0.25,21.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14783,2564832,QB,Jalen Hurts,PHI,NA,NA,221.93,1.41,0.68,NA,39.93,0.68,NFL,0.18,20.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116,2558125,QB,Patrick Mahomes,KC,NA,NA,277.8,2.08,0.76,NA,22.27,0.13,NFL,0.25,20.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13593,2560757,QB,Lamar Jackson,BAL,NA,NA,209.6,1.49,0.66,NA,50.16,0.31,NFL,0.18,19.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14777,2563722,QB,Joe Burrow,CIN,NA,NA,274.53,2.04,0.76,NA,12.07,0.13,NFL,0.25,19.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
