player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned
"Aubrey, Brandon",K,DAL,NA,1.8,2,0,NA,0.4,NA,0.7,NA,0.3,NA,0.5,NA,2.8,3,9,NA,NA,FantasySharks,16414,NA,NA,NA,NA,NA,@CLE,0.2,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,2.1,2.4,0,NA,0.6,NA,0.7,NA,0.5,NA,0.3,NA,2.2,2.2,8.9,NA,NA,FantasySharks,12437,NA,NA,NA,NA,NA,DEN,0.3,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,2.1,2.2,0,NA,0.7,NA,0.7,NA,0.2,NA,0.5,NA,1.8,1.9,8.7,NA,NA,FantasySharks,12860,NA,NA,NA,NA,NA,@IND,0.1,NA,NA,NA,NA,NA,NA,NA
"Zuerlein, Greg",K,NYJ,NA,2.2,2.6,0,NA,0.5,NA,0.6,NA,0.8,NA,0.3,NA,1.4,1.4,8.4,NA,NA,FantasySharks,10868,NA,NA,NA,NA,NA,@SFO,0.3,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,2,2.2,0,NA,0.6,NA,0.7,NA,0.5,NA,0.1,NA,2.5,2.5,8.3,NA,NA,FantasySharks,10976,NA,NA,NA,NA,NA,@KCC,0.3,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,1.8,2,0,NA,0.6,NA,0.6,NA,0.5,NA,0.3,NA,2.3,2.3,8.2,NA,NA,FantasySharks,13718,NA,NA,NA,NA,NA,@LAC,0.2,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.6,1.9,0,NA,0.3,NA,0.5,NA,0.5,NA,0.3,NA,3.1,3.2,8.1,NA,NA,FantasySharks,13832,NA,NA,NA,NA,NA,JAC,0.3,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.8,2,0,NA,0.6,NA,0.5,NA,0.4,NA,0.3,NA,2.2,2.2,8,NA,NA,FantasySharks,13354,NA,NA,NA,NA,NA,BAL,0.2,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",K,PIT,NA,1.9,2.1,0,NA,0.5,NA,0.5,NA,0.4,NA,0.4,NA,1.9,1.9,8,NA,NA,FantasySharks,11936,NA,NA,NA,NA,NA,@ATL,0.2,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",K,NOS,NA,1.7,2.1,0,NA,0.6,NA,0.4,NA,0.4,NA,0.3,NA,2.8,2.8,7.9,NA,NA,FantasySharks,16444,NA,NA,NA,NA,NA,CAR,0.4,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",K,LAC,NA,1.8,1.9,0,NA,0.4,NA,0.5,NA,0.6,NA,0.3,NA,1.9,1.9,7.8,NA,NA,FantasySharks,15979,NA,NA,NA,NA,NA,LVR,0.2,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.5,1.6,0,NA,0.4,NA,0.4,NA,0.3,NA,0.3,NA,2.9,3,7.8,NA,NA,FantasySharks,13303,NA,NA,NA,NA,NA,GBP,0.1,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,CLE,NA,1.8,2,0,NA,0.5,NA,0.5,NA,0.5,NA,0.3,NA,1.7,1.9,7.6,NA,NA,FantasySharks,11387,NA,NA,NA,NA,NA,DAL,0.2,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.5,1.7,0,NA,0.3,NA,0.6,NA,0.4,NA,0.2,NA,2.9,3,7.5,NA,NA,FantasySharks,14983,NA,NA,NA,NA,NA,ARI,0.2,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",K,ARI,NA,1.8,2.2,0,NA,0.3,NA,0.6,NA,0.4,NA,0.5,NA,1.5,1.6,7.3,NA,NA,FantasySharks,8930,NA,NA,NA,NA,NA,@BUF,0.4,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,TBB,NA,1.6,1.8,0,NA,0.4,NA,0.6,NA,0.2,NA,0.4,NA,1.9,1.9,7.2,NA,NA,FantasySharks,14717,NA,NA,NA,NA,NA,WAS,0.2,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,1.8,2.1,0,NA,0.5,NA,0.5,NA,0.5,NA,0.2,NA,1.7,1.8,7.1,NA,NA,FantasySharks,13403,NA,NA,NA,NA,NA,PIT,0.3,NA,NA,NA,NA,NA,NA,NA
"Moody, Jake",K,SFO,NA,1.3,1.6,0,NA,0.4,NA,0.4,NA,0.3,NA,0.2,NA,3.1,3.2,7,NA,NA,FantasySharks,16286,NA,NA,NA,NA,NA,NYJ,0.3,NA,NA,NA,NA,NA,NA,NA
"Narveson, Brayden",K,GBP,NA,1.6,1.9,0,NA,0.4,NA,0.8,NA,0.3,NA,0.1,NA,2.3,2.6,6.9,NA,NA,FantasySharks,16873,NA,NA,NA,NA,NA,@PHI,0.3,NA,NA,NA,NA,NA,NA,NA
"Little, Cam",K,JAC,NA,1.7,2,0,NA,0.4,NA,0.6,NA,0.5,NA,0.2,NA,2,2,6.9,NA,NA,FantasySharks,16680,NA,NA,NA,NA,NA,@MIA,0.3,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,IND,NA,1.8,2.3,0,NA,0.4,NA,0.6,NA,0.4,NA,0.4,NA,1.8,1.8,6.9,NA,NA,FantasySharks,14244,NA,NA,NA,NA,NA,HOU,0.5,NA,NA,NA,NA,NA,NA,NA
"Karty, Joshua",K,LAR,NA,1.7,2.2,0,NA,0.7,NA,0.5,NA,0.3,NA,0.3,NA,1.7,1.9,6.5,NA,NA,FantasySharks,16775,NA,NA,NA,NA,NA,@DET,0.4,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.3,1.6,0,NA,0.3,NA,0.4,NA,0.4,NA,0.3,NA,2.4,2.4,6.5,NA,NA,FantasySharks,15368,NA,NA,NA,NA,NA,NEP,0.3,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,DEN,NA,1.6,1.9,0,NA,0.6,NA,0.5,NA,0.3,NA,0.2,NA,1.8,1.9,6.3,NA,NA,FantasySharks,12956,NA,NA,NA,NA,NA,@SEA,0.3,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.6,1.9,0,NA,0.3,NA,0.5,NA,0.5,NA,0.2,NA,1.2,1.4,6.2,NA,NA,FantasySharks,13719,NA,NA,NA,NA,NA,@NOS,0.3,NA,NA,NA,NA,NA,NA,NA
"Reichard, Will",K,MIN,NA,1.4,1.7,0,NA,0.4,NA,0.5,NA,0.3,NA,0.2,NA,2.2,2.4,6,NA,NA,FantasySharks,16681,NA,NA,NA,NA,NA,@NYG,0.3,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.4,1.7,0,NA,0.2,NA,0.5,NA,0.4,NA,0.3,NA,1.7,1.8,5.9,NA,NA,FantasySharks,9694,NA,NA,NA,NA,NA,MIN,0.3,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,TEN,NA,1.2,1.4,0,NA,0.4,NA,0.4,NA,0.3,NA,0.2,NA,1.5,1.6,5.5,NA,NA,FantasySharks,8851,NA,NA,NA,NA,NA,@CHI,0.1,NA,NA,NA,NA,NA,NA,NA
"Bates, Jake",K,DET,NA,1.1,1.3,0,NA,0.2,NA,0.6,NA,0.3,NA,0.1,NA,2.4,2.6,5.3,NA,NA,FantasySharks,16846,NA,NA,NA,NA,NA,LAR,0.3,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,NEP,NA,1.2,1.5,0,NA,0.2,NA,0.4,NA,0.4,NA,0.2,NA,2.1,2.2,5.3,NA,NA,FantasySharks,14600,NA,NA,NA,NA,NA,@CIN,0.3,NA,NA,NA,NA,NA,NA,NA
"York, Cade",K,WAS,NA,1,1.3,0,NA,0.2,NA,0.3,NA,0.3,NA,0.1,NA,1.5,1.7,4.1,NA,NA,FantasySharks,15882,NA,NA,NA,NA,NA,@TBB,0.3,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,15827,FFToday,13354,NA,NA,NA,NA,NA,BAL,0,0,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,16155,FFToday,13718,NA,NA,NA,NA,NA,LAC,0,0,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,16824,FFToday,14717,NA,NA,NA,NA,NA,WAS,0,0,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,18599,FFToday,16286,NA,NA,NA,NA,NA,NYJ,0,0,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,12674,FFToday,10976,NA,NA,NA,NA,NA,KC,0,0,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,18715,FFToday,16414,NA,NA,NA,NA,NA,CLE,0,0,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,17010,FFToday,14983,NA,NA,NA,NA,NA,ARI,0,0,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,19160,FFToday,16846,NA,NA,NA,NA,NA,LAR,0,0,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,15860,FFToday,13303,NA,NA,NA,NA,NA,GB,0,0,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,14904,FFToday,12860,NA,NA,NA,NA,NA,IND,0,0,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,17642,FFToday,15368,NA,NA,NA,NA,NA,NE,0,0,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,16208,FFToday,13832,NA,NA,NA,NA,NA,JAC,0,0,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14644,FFToday,11936,NA,NA,NA,NA,NA,ATL,0,0,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,18318,FFToday,15979,NA,NA,NA,NA,NA,LV,0,0,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,3188,FFToday,8851,NA,NA,NA,NA,NA,CHI,0,0,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,11369,FFToday,9694,NA,NA,NA,NA,NA,MIN,0,0,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16578,FFToday,14244,NA,NA,NA,NA,NA,HOU,0,0,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,18719,FFToday,16444,NA,NA,NA,NA,NA,CAR,0,0,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,13168,FFToday,11387,NA,NA,NA,NA,NA,DAL,0,0,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16055,FFToday,13719,NA,NA,NA,NA,NA,NO,0,0,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,19090,FFToday,16681,NA,NA,NA,NA,NA,NYG,0,0,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16763,FFToday,14600,NA,NA,NA,NA,NA,CIN,0,0,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,12445,FFToday,10868,NA,NA,NA,NA,NA,SF,0,0,NA,NA,NA,NA,NA,NA
Cade York,K,WAS,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,18258,FFToday,15882,NA,NA,NA,NA,NA,TB,0,0,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,19018,FFToday,16775,NA,NA,NA,NA,NA,DET,0,0,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,14905,FFToday,13403,NA,NA,NA,NA,NA,PIT,0,0,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,19039,FFToday,16680,NA,NA,NA,NA,NA,MIA,0,0,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,14584,FFToday,12437,NA,NA,NA,NA,NA,DEN,0,0,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,19163,FFToday,16873,NA,NA,NA,NA,NA,PHI,0,0,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,14392,FFToday,11945,NA,NA,NA,NA,NA,TEN,0,0,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,14750,FFToday,12956,NA,NA,NA,NA,NA,SEA,0,0,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3192,FFToday,8930,NA,NA,NA,NA,NA,BUF,0,0,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,11.85,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,NA,@CHISun 1:00 PM,NA,NA,5,NA,NA,2/1,1/1,25%
Jason Sanders,K,MIA,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,10.95,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,NA,JACSun 1:00 PM,NA,NA,6,NA,K4,2/1,2/2,90%
Jason Myers,K,SEA,NA,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.68,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,NA,DENSun 4:05 PM,NA,NA,0,NA,K15,2/2,2/2,39%
Justin Tucker,K,BAL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.42,NA,8663,FleaFlicker,10976,NA,NA,NA,NA,NA,@KCL 20-27,NA,NA,4,10.42,K1,2/1,2/2,98%
Chase McLaughlin,K,TB,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.4,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,NA,WASSun 4:25 PM,NA,NA,1,NA,K24,2/2,2/2,16%
Cairo Santos,K,CHI,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.37,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,NA,TENSun 1:00 PM,NA,NA,7,NA,K13,2/2,2/2,42%
Spencer Shrader,K,IND,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.23,NA,18967,FleaFlicker,16896,NA,NA,NA,NA,NA,HOUSun 1:00 PM,NA,NA,4,NA,NA,2/1,2/2,0%
Tyler Bass,K,BUF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,10.12,NA,15626,FleaFlicker,14983,NA,NA,NA,NA,NA,ARISun 1:00 PM,NA,NA,2,NA,K9,2/1,3/3,77%
Dustin Hopkins,K,CLE,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10.05,NA,9416,FleaFlicker,11387,NA,NA,NA,NA,NA,DALSun 4:25 PM,NA,NA,0,NA,K14,2/2,2/2,31%
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10.02,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,NA,@ATLSun 1:00 PM,NA,NA,9,NA,K22,2/1,2/2,17%
Jake Elliott,K,PHI,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,9.87,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,NA,GBW 34-29,NA,NA,5,9.87,K6,2/2,2/2,92%
Greg Zuerlein,K,NYJ,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,9.79,NA,8608,FleaFlicker,10868,NA,NA,NA,NA,NA,@SFMon 8:15 PM,NA,NA,2,NA,K16,2/1,1/1,28%
Joey Slye,K,NE,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,9.79,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,NA,@CINSun 1:00 PM,NA,NA,4,NA,NA,2/1,1/1,4%
Blake Grupe,K,NO,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.52,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,NA,CARSun 1:00 PM,NA,NA,2,NA,K18,2/2,2/2,16%
Jake Moody,K,SF,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.51,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,NA,NYJMon 8:15 PM,NA,NA,9,NA,K7,2/2,2/2,83%
Younghoe Koo,K,ATL,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.48,NA,13324,FleaFlicker,13403,NA,NA,NA,NA,NA,PITSun 1:00 PM,NA,NA,2,NA,K8,2/2,2/2,79%
Harrison Butker,K,KC,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.45,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,NA,BALW 27-20,NA,NA,6,9.45,K3,2/2,2/2,97%
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,NA,LARSun 8:20 PM,NA,NA,5,NA,K19,2/2,3/3,16%
Daniel Carlson,K,LV,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.96,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,NA,@LACSun 4:05 PM,NA,NA,0,NA,K17,2/1,1/1,22%
Evan McPherson,K,CIN,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,8.82,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,NA,NESun 1:00 PM,NA,NA,2,NA,K10,2/2,2/2,74%
Graham Gano,K,NYG,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,8.78,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,NA,MINSun 1:00 PM,NA,NA,1,NA,NA,2/1,1/1,5%
Ka'imi Fairbairn,K,HOU,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,8.77,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,NA,@INDSun 1:00 PM,NA,NA,4,NA,K5,2/2,2/2,83%
Eddy Pineiro,K,CAR,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,8.7,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,NA,@NOSun 1:00 PM,NA,NA,1,NA,NA,2/2,1/1,4%
Brandon Aubrey,K,DAL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,8.46,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,NA,@CLESun 4:25 PM,NA,NA,7,NA,K2,2/1,2/2,97%
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,8.32,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,NA,LVSun 4:05 PM,NA,NA,5,NA,K12,2/2,2/2,55%
Will Reichard,K,MIN,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,8.11,NA,18573,FleaFlicker,16681,NA,NA,NA,NA,NA,@NYGSun 1:00 PM,NA,NA,6,NA,NA,2/1,2/2,10%
Cade York,K,WAS,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,7.83,NA,16929,FleaFlicker,15882,NA,NA,NA,NA,NA,@TBSun 4:25 PM,NA,NA,4,NA,NA,2/1,1/1,2%
Joshua Karty,K,LAR,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,6.41,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,NA,@DETSun 8:20 PM,NA,NA,6,NA,K20,1/1,2/2,7%
Cam Little,K,JAC,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,6.29,NA,18510,FleaFlicker,16680,NA,NA,NA,NA,NA,@MIASun 1:00 PM,NA,NA,2,NA,NA,1/1,2/2,8%
Wil Lutz,K,DEN,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,NA,@SEASun 4:05 PM,NA,NA,4,NA,K23,1/1,2/2,11%
Matt Gay,K,IND,NA,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.73,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,NA,HOUSun 1:00 PM,NA,NA,4,NA,K11,1/1,1/1,56%
Brayden Narveson,K,GB,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,5.62,NA,18718,FleaFlicker,16873,NA,NA,NA,NA,NA,@PHIL 29-34,NA,NA,0,5.62,NA,1/1,2/2,4%
Matt Prater,K,ARI,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,5.09,NA,4221,FleaFlicker,8930,NA,NA,NA,NA,NA,@BUFSun 1:00 PM,NA,NA,1,NA,K21,1/1,2/2,10%
Harrison Butker,K,KC,NA,NA,NA,NA,NA,0.49,NA,0.61,NA,0.42,NA,0.3,NA,3.09,NA,9.15,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,NA,0.43,NA,0.5,NA,0.56,NA,0.31,NA,2.97,NA,8.99,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,0.45,NA,0.57,NA,0.45,NA,0.25,NA,2.8,NA,8.46,NA,2563596,NFL,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,NA,0.51,NA,0.51,NA,0.4,NA,0.28,NA,2.71,NA,8.37,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,0.43,NA,0.55,NA,0.43,NA,0.24,NA,2.87,NA,8.3,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,NA,NA,NA,NA,0.47,NA,0.53,NA,0.41,NA,0.35,NA,2.3,NA,8.28,NA,2559205,NFL,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.44,NA,0.25,NA,2.87,NA,8.26,NA,2561153,NFL,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,NA,NA,NA,NA,0.43,NA,0.49,NA,0.49,NA,0.27,NA,2.62,NA,8.2,NA,2536340,NFL,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,NA,NA,NA,NA,0.41,NA,0.53,NA,0.41,NA,0.24,NA,2.84,NA,8.09,NA,2570308,NFL,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.43,NA,0.49,NA,0.49,NA,0.24,NA,2.5,NA,7.93,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.42,NA,0.55,NA,0.49,NA,0.24,NA,2.3,NA,7.88,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,NA,0.41,NA,0.52,NA,0.52,NA,0.23,NA,2.33,NA,7.83,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,NA,NA,NA,NA,NA,0.41,NA,0.47,NA,0.41,NA,0.24,NA,2.6,NA,7.67,NA,2573470,NFL,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
