player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,fumbles_lost,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,rush_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Julian Hill,TE,MIA,NA,NA,0.3,2.5,NA,NA,0,0.4,NA,25824,FantasyPros,16425,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Allen,TE,LAR,NA,NA,0.3,2.7,NA,NA,0,0.4,NA,23761,FantasyPros,16219,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Martin-Robinson,TE,TEN,NA,NA,0.3,3,NA,NA,0,0.4,NA,26922,FantasyPros,16831,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sinnott,TE,WAS,NA,NA,0.2,2.5,NA,NA,0,0.4,NA,26310,FantasyPros,16644,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dulcich,TE,NYG,NA,NA,0.3,2.9,NA,NA,0,0.4,NA,23153,FantasyPros,15797,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevyn Spann-Ford,TE,DAL,NA,NA,0.3,2.7,NA,NA,0,0.4,NA,26003,FantasyPros,16647,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Long,TE,LAR,NA,NA,0.3,2.6,NA,NA,0,0.3,NA,22783,FantasyPros,15334,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Tomlinson,TE,LAC,NA,NA,0.2,2.1,NA,NA,0,0.3,NA,14339,FantasyPros,13065,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Bryant,TE,LV,NA,NA,0.2,2.1,NA,NA,0,0.3,NA,19389,FantasyPros,14875,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Stoll,TE,MIA,NA,NA,0.1,1.4,NA,NA,0,0.2,NA,23193,FantasyPros,15541,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quintin Morris,TE,BUF,NA,NA,0.1,1.4,NA,NA,0,0.2,NA,22820,FantasyPros,15341,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaheim Bell,TE,NE,NA,NA,0.1,1.3,NA,NA,0,0.2,NA,24747,FantasyPros,16646,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shane Zylstra,TE,DET,NA,NA,0.1,1,NA,NA,0,0.1,NA,23461,FantasyPros,15604,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irv Smith Jr.,TE,HOU,NA,NA,0.1,0.6,NA,NA,0,0.1,NA,18610,FantasyPros,14141,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sims,TE,GB,NA,NA,0.1,0.5,NA,NA,0,0.1,NA,25349,FantasyPros,16483,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner McLachlan,TE,CIN,NA,NA,0.1,0.7,NA,NA,0,0.1,NA,26352,FantasyPros,16765,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Culp,TE,TB,NA,NA,0.1,0.7,NA,NA,0,0.1,NA,26440,FantasyPros,16796,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews, Mark",TE,BAL,NA,5.1,4,46,NA,NA,0.7,9,NA,NA,FantasySharks,13671,NA,0,0,@HOU,1.2,0.4,0.3,0,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kittle, George",TE,SFO,NA,5.4,4.2,64,NA,NA,0.4,8.7,NA,NA,FantasySharks,13299,NA,0,0,DET,1.1,0.2,0.1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowers, Brock",TE,LVR,NA,9,6.6,66,NA,NA,0.3,8.5,NA,NA,FantasySharks,16641,NA,1,0,@NOS,0.9,0.1,0,0.1,0.1,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Jonnu",TE,MIA,NA,6.6,5.2,54,NA,NA,0.4,7.7,NA,NA,FantasySharks,13193,NA,0,0,@CLE,0.9,0.2,0.1,0,0,0,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LaPorta, Sam",TE,DET,NA,6,4,48,NA,NA,0.4,7.6,NA,NA,FantasySharks,16214,NA,0.1,0,@SFO,1.1,0.2,0.1,0.1,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McBride, Trey",TE,ARI,NA,8.2,6.1,63,NA,NA,0.1,6.9,NA,NA,FantasySharks,15794,NA,0,0,@LAR,1.2,0,0,0,0,0,0,0.1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okonkwo, Chigoziem",TE,TEN,NA,7,4.7,48,NA,NA,0.3,6.4,NA,NA,FantasySharks,15889,NA,0,0,@JAC,0.4,0.1,0.1,0,0,0,0.1,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akins, Jordan",TE,CLE,NA,7.1,4.8,41,NA,NA,0.4,6.4,NA,NA,FantasySharks,13753,NA,0,0,MIA,0.9,0.2,0.1,0.1,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelce, Travis",TE,KCC,NA,8.6,6.2,55,NA,NA,0.2,6.4,NA,NA,FantasySharks,11244,NA,0,0.1,@PIT,1.5,0.1,0,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kraft, Tucker",TE,GBP,NA,4.1,2.8,35,NA,NA,0.4,6.1,NA,NA,FantasySharks,16222,NA,0,0.1,@MIN,1,0.1,0.3,0,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hockenson, T.J.",TE,MIN,NA,6.7,4.6,49,NA,NA,0.2,5.9,NA,NA,FantasySharks,14138,NA,0,0,GBP,0.9,0.1,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schultz, Dalton",TE,HOU,NA,6,4,44,NA,NA,0.2,5.8,NA,NA,FantasySharks,13772,NA,0,0,BAL,0.6,0.1,0.1,0.1,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Likely, Isaiah",TE,BAL,NA,4.1,2.8,32,NA,NA,0.4,5.6,NA,NA,FantasySharks,15798,NA,0,0.1,@HOU,0.8,0.2,0.1,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freiermuth, Pat",TE,PIT,NA,4.2,3.3,33,NA,NA,0.4,5.5,NA,NA,FantasySharks,15331,NA,0,0,KCC,0.7,0.2,0,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kmet, Cole",TE,CHI,NA,4.4,3.5,35,NA,NA,0.3,5.4,NA,NA,FantasySharks,14867,NA,0,0,SEA,0.7,0.2,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry, Hunter",TE,NEP,NA,5.7,4,41,NA,NA,0.2,5.3,NA,NA,FantasySharks,12676,NA,0,0,LAC,1,0.2,0,0,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferguson, Jake",TE,DAL,NA,6.3,4.3,41,NA,NA,0.1,4.8,NA,NA,FantasySharks,15799,NA,0,0.1,@PHI,0.7,0.1,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kincaid, Dalton",TE,BUF,NA,6.4,3.9,40,NA,NA,0.1,4.7,NA,NA,FantasySharks,16213,NA,0,0,NYJ,0.8,0,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strange, Brenton",TE,JAC,NA,7,5,40,NA,NA,0.1,4.7,NA,NA,FantasySharks,16269,NA,0,0.1,TEN,0.5,0.1,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreau, Foster",TE,NOS,NA,3.1,2.1,28,NA,NA,0.3,4.6,NA,NA,FantasySharks,14239,NA,0,0,LVR,0.7,0.2,0.1,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ertz, Zach",TE,WAS,NA,4.6,3,29,NA,NA,0.2,4.5,NA,NA,FantasySharks,11247,NA,0,0,ATL,0.8,0.2,0.1,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray, Noah",TE,KCC,NA,3.4,2.4,26,NA,NA,0.3,4.4,NA,NA,FantasySharks,15337,NA,0,0,@PIT,0.6,0.2,0.1,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Juwan",TE,NOS,NA,3.9,2.8,29,NA,NA,0.2,4.4,NA,NA,FantasySharks,14861,NA,0,0,LVR,0.5,0.1,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pitts, Kyle",TE,ATL,NA,4.9,2.7,34,NA,NA,0.2,4.3,NA,NA,FantasySharks,15329,NA,-0.1,0,@WAS,0.6,0,0,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham, Payne",TE,TBB,NA,5.1,3.3,33,NA,NA,0.2,4.2,NA,NA,FantasySharks,16218,NA,-0.1,0,CAR,0.7,0.1,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Luke",TE,GBP,NA,3.3,2.4,27,NA,NA,0.2,4.1,NA,NA,FantasySharks,16215,NA,0.1,0,@MIN,0.7,0.1,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gesicki, Mike",TE,CIN,NA,4.4,3.2,33,NA,NA,0.1,4,NA,NA,FantasySharks,13672,NA,0,0.1,DEN,0.7,0,0.1,0,0,0.1,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barner, AJ",TE,SEA,NA,1.7,1.6,14,NA,NA,0.4,3.9,NA,NA,FantasySharks,16723,NA,0,0,@CHI,0.4,0.3,0.1,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goedert, Dallas",TE,PHI,NA,3.3,2.5,26,NA,NA,0.2,3.7,NA,NA,FantasySharks,13674,NA,0,0,DAL,0.6,0.1,0.1,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellinger, Daniel",TE,NYG,NA,4.3,3.2,34,NA,NA,0,3.6,NA,NA,FantasySharks,15873,NA,0,0,IND,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conklin, Tyler",TE,NYJ,NA,4.9,3.2,30,NA,NA,0.1,3.5,NA,NA,FantasySharks,13675,NA,0,0,@BUF,0.5,0.1,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oliver, Josh",TE,MIN,NA,2.5,2.1,24,NA,NA,0.2,3.5,NA,NA,FantasySharks,14209,NA,0,0,GBP,0.3,0.1,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higbee, Tyler",TE,LAR,NA,3.7,2.3,23,NA,NA,0.2,3.4,NA,NA,FantasySharks,12678,NA,0,0,ARI,0.7,0,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Ja'Tavion",TE,CAR,NA,3.3,2.4,28,NA,NA,0.1,3.3,NA,NA,FantasySharks,16643,NA,0,0,@TBB,0.3,0.1,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hooper, Austin",TE,NEP,NA,2.9,2.2,25,NA,NA,0.1,3.3,NA,NA,FantasySharks,12677,NA,0,0,LAC,0.6,0,0.1,0,0.1,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knox, Dawson",TE,BUF,NA,2.9,1.8,26,NA,NA,0.1,3.2,NA,NA,FantasySharks,14143,NA,0,0,NYJ,0.5,0,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fant, Noah",TE,SEA,NA,4.7,3.1,32,NA,NA,0,3.2,NA,NA,FantasySharks,14137,NA,0,0,@CHI,0.4,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Theo",TE,NYG,NA,3.6,2.5,27,NA,NA,0.1,3.1,NA,NA,FantasySharks,16649,NA,0,0,IND,0.1,0,0,0,0.1,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trautman, Adam",TE,DEN,NA,2.2,1.3,16,NA,NA,0.2,3,NA,NA,FantasySharks,14870,NA,0,0,@CIN,0.5,0,0.2,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adkins, Nate",TE,DEN,NA,1.3,1.2,11,NA,NA,0.3,2.9,NA,NA,FantasySharks,16474,NA,0,0,@CIN,0.3,0.1,0.2,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissly, Will",TE,LAC,NA,3.1,2.4,23,NA,NA,0.1,2.7,NA,NA,FantasySharks,13763,NA,0,0,@NEP,0.4,0,0,0.1,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kolar, Charlie",TE,BAL,NA,1.2,0.9,15,NA,NA,0.1,2.3,NA,NA,FantasySharks,15795,NA,0,0,@HOU,0.2,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremble, Tommy",TE,CAR,NA,2.8,1.8,16,NA,NA,0.1,2.3,NA,NA,FantasySharks,15332,NA,0,0.1,@TBB,0.4,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mundt, Johnny",TE,MIN,NA,2.3,1.4,14,NA,NA,0.1,2.1,NA,NA,FantasySharks,13940,NA,0,0,GBP,0.4,0.1,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schoonmaker, Luke",TE,DAL,NA,2.4,1.6,14,NA,NA,0.1,2.1,NA,NA,FantasySharks,16221,NA,0,0,@PHI,0.2,0,0,0.1,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Granson, Kylen",TE,IND,NA,2.6,1.3,18,NA,NA,0,2.1,NA,NA,FantasySharks,15419,NA,0.1,0,@NYG,0.3,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Elijah",TE,ARI,NA,1.7,1.4,14,NA,NA,0.1,2,NA,NA,FantasySharks,16333,NA,0,0,@LAR,0.2,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calcaterra, Grant",TE,PHI,NA,1.6,1.2,19,NA,NA,0,1.9,NA,NA,FantasySharks,15804,NA,0,0,DAL,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whyle, Josh",TE,TEN,NA,2.2,1.6,15,NA,NA,0.1,1.8,NA,NA,FantasySharks,16312,NA,0,0,@JAC,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manhertz, Chris",TE,NYG,NA,1.6,0.6,5,NA,NA,0.2,1.8,NA,NA,FantasySharks,12955,NA,0,0,IND,0.6,0.2,0,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample, Drew",TE,CIN,NA,2.4,1.8,13,NA,NA,0.1,1.8,NA,NA,FantasySharks,14146,NA,-0.3,0,DEN,0.3,0.1,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayer, Michael",TE,LVR,NA,2.7,1.7,15,NA,NA,0.1,1.7,NA,NA,FantasySharks,16212,NA,0,0,@NOS,0.4,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alie-Cox, Mo",TE,IND,NA,1.9,1.1,12,NA,NA,0.1,1.7,NA,NA,FantasySharks,13246,NA,0,0,@NYG,0.3,0,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkinson, Colby",TE,LAR,NA,2.4,1.5,15,NA,NA,0,1.7,NA,NA,FantasySharks,14871,NA,0,0,ARI,0.3,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krull, Lucas",TE,DEN,NA,2.3,1.7,15,NA,NA,0,1.7,NA,NA,FantasySharks,15970,NA,0,0,@CIN,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wright, Brock",TE,DET,NA,1.2,1,8,NA,NA,0.1,1.7,NA,NA,FantasySharks,15626,NA,0,0,@SFO,0.3,0.1,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vannett, Nick",TE,TEN,NA,2.5,1.8,12,NA,NA,0.1,1.6,NA,NA,FantasySharks,12680,NA,0,0,@JAC,0.3,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington, Darnell",TE,PIT,NA,2,1.4,14,NA,NA,0,1.6,NA,NA,FantasySharks,16216,NA,0,0,KCC,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stover, Cade",TE,HOU,NA,1.8,1.2,11,NA,NA,0.1,1.6,NA,NA,FantasySharks,16642,NA,0,0,BAL,0.3,0,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yeboah, Kenny",TE,NYJ,NA,1,0.6,6,NA,NA,0.2,1.6,NA,NA,FantasySharks,15339,NA,0,0,@BUF,0.2,0,0.2,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pruitt, MyCole",TE,PIT,NA,1.5,0.9,7,NA,NA,0.1,1.5,NA,NA,FantasySharks,12309,NA,0,0,KCC,0.2,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Farrell, Luke",TE,JAC,NA,1.9,1.4,14,NA,NA,0,1.5,NA,NA,FantasySharks,15335,NA,0,0,TEN,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morris, Quintin",TE,BUF,NA,0.6,0.4,3,NA,NA,0.2,1.4,NA,NA,FantasySharks,15341,NA,0,0,NYJ,0.2,0.2,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smartt, Stone",TE,LAC,NA,1.9,1.2,14,NA,NA,0,1.3,NA,NA,FantasySharks,16113,NA,0,0.1,@NEP,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogletree, Andrew",TE,IND,NA,1.9,0.9,10,NA,NA,0,1.2,NA,NA,FantasySharks,15916,NA,0,0,@NYG,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saubert, Eric",TE,SFO,NA,0.8,0.6,5,NA,NA,0.1,1.2,NA,NA,FantasySharks,13315,NA,0,0,DET,0.2,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spann-Ford, Brevyn",TE,DAL,NA,2,1.1,12,NA,NA,0,1.2,NA,NA,FantasySharks,16647,NA,0,0,@PHI,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heyward, Connor",TE,PIT,NA,1.5,1.1,8,NA,NA,0.1,1.1,NA,NA,FantasySharks,15800,NA,0,0,KCC,0.1,0,0.1,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sims, Ben",TE,GBP,NA,0.9,0.5,5,NA,NA,0.1,1.1,NA,NA,FantasySharks,16483,NA,0,0,@MIN,0.3,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Pharaoh",TE,SEA,NA,2,1.3,10,NA,NA,0,1,NA,NA,FantasySharks,13994,NA,0,0,@CHI,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whiteheart, Blake",TE,CLE,NA,1.7,0.8,9,NA,NA,0,1,NA,NA,FantasySharks,16940,NA,0.1,0,MIA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruckert, Jeremy",TE,NYJ,NA,2.2,1.5,10,NA,NA,0,1,NA,NA,FantasySharks,15796,NA,0,0,@BUF,0.2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallory, Will",TE,IND,NA,1.7,0.9,8,NA,NA,0,0.9,NA,NA,FantasySharks,16220,NA,0,0,@NYG,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smythe, Durham",TE,MIA,NA,1.7,1.1,9,NA,NA,0,0.9,NA,NA,FantasySharks,13676,NA,0,0,@CLE,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kieft, Ko",TE,TBB,NA,0.6,0.5,7,NA,NA,0,0.9,NA,NA,FantasySharks,15929,NA,0,0,CAR,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Julian",TE,MIA,NA,1.6,1,8,NA,NA,0,0.8,NA,NA,FantasySharks,16425,NA,0,0,@CLE,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everett, Gerald",TE,CHI,NA,1.8,1.1,7,NA,NA,0,0.8,NA,NA,FantasySharks,13236,NA,0,0,SEA,0.2,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holker, Dallin",TE,NOS,NA,1,0.9,7,NA,NA,0,0.8,NA,NA,FantasySharks,16807,NA,1,0,LVR,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lewis, Marcedes",TE,CHI,NA,0.4,0.4,1,NA,NA,0.1,0.8,NA,NA,FantasySharks,8269,NA,0,0,SEA,0.1,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bates, John",TE,WAS,NA,1.4,0.9,8,NA,NA,0,0.7,NA,NA,FantasySharks,15344,NA,0,0.1,ATL,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woerner, Charlie",TE,ATL,NA,1.6,0.9,6,NA,NA,0,0.6,NA,NA,FantasySharks,14984,NA,0,0,@WAS,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
