team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
ARI,0.44,NA,2.11,NA,0.51,NA,0.15,23.5,NA,NA,NA,345.44,NA,5.45,NA,NumberFire,0519,arizona-dst,D,Arizona D/ST,NA,NA,NA,NA,NYJ,-0.23,11.13,#17,24,5.4,3700,1.46,5.4,2900,1.86,5.4,13,0.42
TB,0.75,NA,2.39,NA,0.44,NA,0.12,27.5,NA,NA,NA,370.78,NA,5.13,NA,NumberFire,0525,tampa-bay-dst,D,Tampa Bay D/ST,NA,NA,NA,NA,SF,-0.48,10.74,#6,26,5.06,3600,1.41,5.06,2600,1.95,5.06,11,0.46
IND,0.76,NA,1.9,NA,0.43,NA,0.13,26,NA,NA,NA,368.28,NA,5.04,NA,NumberFire,0502,indianapolis-dst,D,Indianapolis D/ST,NA,NA,NA,NA,BUF,-0.56,10.64,#3,27,4.97,3000,1.66,4.97,2600,1.91,4.97,14,0.36
CIN,0.58,NA,1.95,NA,0.49,NA,0.13,29.5,NA,NA,NA,396.78,NA,3.95,NA,NumberFire,0506,cincinnati-dst,D,Cincinnati D/ST,NA,NA,NA,NA,BAL,-1.43,9.33,#2,28,3.93,3800,1.03,3.93,2800,1.4,3.93,10,0.39
Los Angeles Chargers,0.88,0.07,2.77,NA,0.61,NA,0.14,18.5,NA,NA,NA,NA,NA,6.73,NA,NFL,0514,100028,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,0.84,0.06,2.75,NA,0.58,NA,0.12,17.25,NA,NA,NA,NA,NA,6.43,NA,NFL,0518,100025,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,0.84,0.06,2.74,NA,0.58,NA,0.12,17,NA,NA,NA,NA,NA,6.42,NA,NFL,0521,100005,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,0.87,0.06,2.6,NA,0.62,NA,0.12,20,NA,NA,NA,NA,NA,6.42,NA,NFL,0501,100003,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,0.83,0.06,2.55,NA,0.57,NA,0.13,21.5,NA,NA,NA,NA,NA,6.25,NA,NFL,0526,100001,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,0.76,0.07,2.73,NA,0.5,NA,0.14,20,NA,NA,NA,NA,NA,6.23,NA,NFL,0524,100020,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs,0.77,0.05,2.49,NA,0.56,NA,0.16,17,NA,NA,NA,NA,NA,6.21,NA,NFL,0512,100016,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Giants,0.7,0.07,2.61,NA,0.57,NA,0.14,20,NA,NA,NA,NA,NA,6.13,NA,NFL,0517,100023,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,0.75,0.05,2.53,NA,0.53,NA,0.14,22,NA,NA,NA,NA,NA,6.03,NA,NFL,0530,100029,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Commanders,0.72,0.06,2.35,NA,0.55,NA,0.12,22.5,NA,NA,NA,NA,NA,5.73,NA,NFL,0520,100032,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,0.7,0.05,2.29,NA,0.5,NA,0.15,23,NA,NA,NA,NA,NA,5.69,NA,NFL,0510,100027,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Jets,0.7,0.05,2.25,NA,0.47,NA,0.15,23.5,NA,NA,NA,NA,NA,5.59,NA,NFL,0505,100024,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,0.69,0.06,2.29,NA,0.51,NA,0.11,23.25,NA,NA,NA,NA,NA,5.47,NA,NFL,0528,100017,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,0.68,0.05,2.23,NA,0.44,NA,0.15,24,NA,NA,NA,NA,NA,5.47,NA,NFL,0531,100002,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,0.66,0.06,2.31,NA,0.5,NA,0.11,23.5,NA,NA,NA,NA,NA,5.41,NA,NFL,0509,100015,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,0.7,0.05,2.24,NA,0.53,NA,0.1,24,NA,NA,NA,NA,NA,5.4,NA,NFL,0511,100009,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Lions,0.74,0.05,2.26,NA,0.48,NA,0.1,24,NA,NA,NA,NA,NA,5.4,NA,NFL,0522,100010,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carolina Panthers,0.68,0.06,2.21,NA,0.51,NA,0.11,21.75,NA,NA,NA,NA,NA,5.37,NA,NFL,0527,100004,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
