player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Chad Ryland,K,ARI,NA,1.73,2.04,0.07,NA,0.51,NA,0.58,NA,0.44,NA,0.14,NA,2.59,NA,8.5,NA,chad-ryland,NumberFire,16292,NA,NA,NA,NA,NA,NYJ,NA,4.37,12.63,#15,16,8.53,8.53,8.53
Eddy Pineiro,K,CAR,NA,1.87,2.03,0.02,NA,0.47,NA,0.7,NA,0.41,NA,0.29,NA,1.84,NA,8.49,NA,eddy-pineiro,NumberFire,13719,NA,NA,NA,NA,NA,NYG,NA,4.64,12.34,#22,17,8.5,8.5,8.5
Ka'imi Fairbairn,K,HOU,NA,1.83,2.06,0,NA,0.59,NA,0.63,NA,0.38,NA,0.22,NA,2.19,NA,8.49,NA,ka-imi-fairbairn,NumberFire,12860,NA,NA,NA,NA,NA,DET,NA,4.17,12.81,#6,17,8.47,8.47,8.47
Joshua Karty,K,LA,NA,1.69,2.4,0,NA,0.47,NA,0.59,NA,0.47,NA,0.12,NA,2.69,NA,8.38,NA,joshua-karty,NumberFire,16775,NA,NA,NA,NA,NA,MIA,NA,4.11,12.65,#14,19,8.35,8.35,8.35
Chase McLaughlin,K,TB,NA,1.68,1.92,0,NA,0.44,NA,0.56,NA,0.53,NA,0.16,NA,2.44,NA,8.35,NA,chase-mclaughlin,NumberFire,14717,NA,NA,NA,NA,NA,SF,NA,4.8,11.9,#13,20,8.36,8.36,8.36
Jake Elliott,K,PHI,NA,1.58,1.94,0.02,NA,0.65,NA,0.49,NA,0.38,NA,0.02,NA,3.2,NA,8.31,NA,jake-elliott,NumberFire,13303,NA,NA,NA,NA,NA,DAL,NA,4.35,12.27,#30,21,8.3,8.3,8.3
Jude McAtamney,K,NYG,NA,1.57,1.82,0.02,NA,0.38,NA,0.58,NA,0.38,NA,0.18,NA,2.54,NA,7.92,NA,jude-mcatamney,NumberFire,16848,NA,NA,NA,NA,NA,CAR,NA,4.64,11.2,#32,22,7.9,7.9,7.9
Cam Little,K,JAC,NA,1.72,2.1,0.07,NA,0.52,NA,0.36,NA,0.63,NA,0.13,NA,1.86,NA,7.89,NA,cam-little,NumberFire,16680,NA,NA,NA,NA,NA,MIN,NA,3.46,12.32,#2,23,7.88,7.88,7.88
Jason Sanders,K,MIA,NA,1.65,2.23,0,NA,0.43,NA,0.59,NA,0.49,NA,0.14,NA,2.11,NA,7.83,NA,jason-sanders,NumberFire,13832,NA,NA,NA,NA,NA,LA,NA,3.4,12.26,#20,24,7.83,7.83,7.83
Wil Lutz,K,DEN,NA,1.76,2.17,0.05,NA,0.57,NA,0.48,NA,0.5,NA,0.19,NA,1.25,NA,7.5,NA,wil-lutz,NumberFire,12956,NA,NA,NA,NA,NA,KC,NA,2.8,12.2,#7,25,7.5,7.5,7.5
Evan McPherson,K,CIN,NA,1.44,1.83,0.02,NA,0.5,NA,0.51,NA,0.28,NA,0.12,NA,2.54,NA,7.36,NA,evan-mcpherson,NumberFire,15368,NA,NA,NA,NA,NA,BAL,NA,3.7,11.02,#25,26,7.35,7.35,7.35
Joey Slye,K,NE,NA,1.66,1.9,0.02,NA,0.5,NA,0.55,NA,0.46,NA,0.14,NA,1.38,NA,7.14,NA,joey-slye,NumberFire,14600,NA,NA,NA,NA,NA,CHI,NA,3.16,11.12,#5,27,7.13,7.13,7.13
Matt Gay,K,IND,NA,1.48,2.02,0.02,NA,0.4,NA,0.57,NA,0.31,NA,0.18,NA,1.98,NA,7.08,NA,matt-gay,NumberFire,14244,NA,NA,NA,NA,NA,BUF,NA,3.6,10.56,#8,28,7.09,7.09,7.09
Justin Tucker,K,BAL,NA,NA,NA,NA,NA,0.51,NA,0.58,NA,0.58,NA,0.32,NA,3.07,NA,9.68,NA,2536340,NFL,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,NA,NA,0.49,NA,0.62,NA,0.43,NA,0.31,NA,3.15,NA,9.32,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,NA,NA,NA,NA,0.49,NA,0.56,NA,0.43,NA,0.37,NA,2.41,NA,8.7,NA,2559205,NFL,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,NA,NA,NA,NA,0.43,NA,0.55,NA,0.43,NA,0.25,NA,2.95,NA,8.43,NA,2570308,NFL,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,NA,0.4,NA,0.46,NA,0.52,NA,0.29,NA,2.76,NA,8.35,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,0.44,NA,0.56,NA,0.44,NA,0.25,NA,2.75,NA,8.32,NA,2563596,NFL,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,0.43,NA,0.55,NA,0.43,NA,0.24,NA,2.86,NA,8.29,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.39,NA,0.28,NA,2.69,NA,8.26,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,NA,0.41,NA,0.53,NA,0.53,NA,0.23,NA,2.34,NA,7.9,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,NA,0.42,NA,0.47,NA,0.42,NA,0.24,NA,2.73,NA,7.86,NA,2561153,NFL,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.41,NA,0.47,NA,0.47,NA,0.24,NA,2.42,NA,7.67,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,NA,NA,NA,NA,0.42,NA,0.48,NA,0.48,NA,0.18,NA,2.63,NA,7.67,NA,2572201,NFL,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,NA,NA,NA,NA,0.49,NA,0.49,NA,0.49,NA,0.25,NA,1.96,NA,7.62,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,NA,0.4,NA,0.52,NA,0.4,NA,0.29,NA,2.19,NA,7.6,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.42,NA,0.48,NA,0.48,NA,0.24,NA,2.23,NA,7.57,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,NA,0.41,NA,0.53,NA,0.41,NA,0.29,NA,2.05,NA,7.55,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,NA,NA,NA,NA,0.35,NA,0.47,NA,0.47,NA,0.18,NA,2.75,NA,7.52,NA,2571759,NFL,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,NA,NA,NA,NA,0.41,NA,0.52,NA,0.41,NA,0.29,NA,2.04,NA,7.51,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,NYJ,NA,NA,NA,NA,NA,0.31,NA,0.62,NA,0.31,NA,0.31,NA,2.17,NA,7.44,NA,2567013,NFL,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,NA,NA,NA,NA,0.4,NA,0.52,NA,0.4,NA,0.29,NA,2,NA,7.41,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,NA,NA,NA,NA,0.46,NA,0.52,NA,0.46,NA,0.17,NA,1.91,NA,7.08,NA,71309,NFL,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAX,NA,NA,NA,NA,NA,0.34,NA,0.52,NA,0.34,NA,0.17,NA,2.29,NA,6.74,NA,2572147,NFL,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,NA,NA,NA,NA,0.39,NA,0.44,NA,0.39,NA,0.22,NA,1.88,NA,6.64,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,NA,0.33,NA,0.49,NA,0.38,NA,0.16,NA,2.17,NA,6.57,NA,2572273,NFL,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,NA,NA,NA,NA,0.34,NA,0.45,NA,0.34,NA,0.23,NA,1.93,NA,6.47,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,NA,0.36,NA,0.42,NA,0.36,NA,0.21,NA,1.88,NA,6.35,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,NA,NA,NA,NA,0.41,NA,0.46,NA,0.41,NA,0.15,NA,1.69,NA,6.28,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,NA,NA,NA,NA,NA,0.18,NA,0.55,NA,0.48,NA,0.12,NA,1.82,NA,6.05,NA,2562729,NFL,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
