player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Matt Gay,K,IND,1,1.7,2,0,0,0.4,0.4,0.6,0.6,0.4,0.4,0.3,0.3,2.3,2.4,7.4,7.4,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.7,1.8,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.1,2.2,7.2,7.2,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.7,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.1,2.1,7.2,7.2,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.6,1.9,0,0,0.5,0.5,0.4,0.5,0.5,0.6,0.2,0.2,2.3,2.4,7.1,7.1,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.4,1.5,0,0,0.4,0.4,0.5,0.5,0.4,0.4,0.1,0.1,2.8,2.8,7,7,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,NYJ,1,1.5,1.8,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.1,0.1,2.4,2.5,6.9,6.9,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.5,1.8,0,0,0.4,0.4,0.4,0.5,0.4,0.6,0.3,0.3,2.2,2.3,6.7,6.7,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.4,1.7,0,0,0.4,0.4,0.5,0.5,0.4,0.4,0.2,0.2,2.4,2.5,6.6,6.6,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.5,1.6,0,0,0.3,0.4,0.5,0.5,0.5,0.6,0.1,0.1,1.9,2,6.4,6.4,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.3,1.4,0,0,0.3,0.3,0.5,0.5,0.4,0.4,0.1,0.1,1.7,1.7,5.6,5.6,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
