player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Patterson, Riley",DET,1.6,1.8,3.4,8,NA,FantasySharks,K,15369,@BAL,3.4,0,0.3,1,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",LVR,1.9,2.1,1.8,7.9,NA,FantasySharks,K,13718,@CHI,1.8,0,0.7,0.5,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moody, Jake",SFO,1.5,1.8,3.4,7.8,NA,FantasySharks,K,16286,@MIN,3.5,0,0.8,0.3,0.3,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",NYG,1.8,2,1.4,7.6,NA,FantasySharks,K,9694,WAS,1.5,0,0.2,0.5,0.5,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",TBB,1.9,2.2,1.4,7.2,NA,FantasySharks,K,14717,ATL,1.4,0,0.5,0.6,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",ATL,1.7,1.9,1.6,7.2,NA,FantasySharks,K,13403,@TBB,1.7,0,0.5,0.5,0.5,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",ARI,1.8,2.1,1.3,7.2,NA,FantasySharks,K,8930,@SEA,1.4,0,0.3,0.7,0.3,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",IND,1.5,1.8,1.7,7,NA,FantasySharks,K,14244,CLE,1.7,0,0.4,0.3,0.3,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Anders",GBP,1.5,1.6,2.2,6.9,NA,FantasySharks,K,16339,@DEN,2.3,0,0.4,0.7,0.1,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",LAC,1.5,1.6,2.3,6.8,NA,FantasySharks,K,15979,@KCC,2.3,0,0.6,0.6,0.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",MIN,1.4,1.6,2.4,6.8,NA,FantasySharks,K,13898,SFO,2.7,0,0.5,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",CHI,1.5,1.6,1.7,6.6,NA,FantasySharks,K,11945,LVR,1.9,0,0.5,0.4,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",NOS,1.8,2.3,1.5,6.4,NA,FantasySharks,K,16444,JAC,1.6,0,0.5,0.5,0.4,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",MIA,1.2,1.6,3.1,6.1,NA,FantasySharks,K,13832,@PHI,3.2,0,0.3,0.3,0.5,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",DEN,1.4,1.6,1.9,6,NA,FantasySharks,K,12956,GBP,2,0,0.6,0.4,0.2,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",WAS,1.4,1.9,1.6,5.5,NA,FantasySharks,K,14600,@NYG,1.7,0,0.4,0.4,0.4,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",NEP,1.1,1.6,1.5,3.9,NA,FantasySharks,K,16292,BUF,1.5,0,0.3,0.2,0.5,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,SEA,3,NA,2,11,14584,FFToday,K,12437,ARI,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,KC,2,NA,3,9,15827,FFToday,K,13354,LAC,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,PHI,2,NA,3,9,15860,FFToday,K,13303,MIA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,2,NA,3,9,18599,FFToday,K,16286,MIN,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,2,NA,2,8,17010,FFToday,K,14983,NE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,2,NA,2,8,14644,FFToday,K,11936,LAR,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,NYG,2,NA,2,8,11369,FFToday,K,9694,WAS,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,CLE,2,NA,2,8,13168,FFToday,K,11387,IND,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,2,NA,2,8,16084,FFToday,K,13898,SF,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,ATL,2,NA,2,8,14905,FFToday,K,13403,TB,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,DEN,2,NA,2,8,14750,FFToday,K,12956,GB,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,JAC,2,NA,2,8,14391,FFToday,K,11947,NO,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,WAS,2,NA,2,8,16763,FFToday,K,14600,NYG,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,BAL,2,NA,2,8,12674,FFToday,K,10976,DET,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,CHI,2,NA,1,7,14392,FFToday,K,11945,LV,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,GB,1,NA,3,6,18493,FFToday,K,16339,DEN,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,LV,1,NA,3,6,16155,FFToday,K,13718,CHI,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,LAC,1,NA,3,6,18318,FFToday,K,15979,KC,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,IND,1,NA,3,6,16578,FFToday,K,14244,CLE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,NO,1,NA,3,6,18719,FFToday,K,16444,JAC,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,LAR,1,NA,3,6,13253,FFToday,K,13909,PIT,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,TB,1,NA,3,6,16824,FFToday,K,14717,ATL,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,DET,1,NA,3,6,17860,FFToday,K,15369,BAL,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,MIA,1,NA,3,6,16208,FFToday,K,13832,PHI,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,ARI,1,NA,2,5,3192,FFToday,K,8930,SEA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,NE,1,NA,2,5,18636,FFToday,K,16292,BUF,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
