id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
12184,jamison-crowder,WR,Jamison Crowder,WSH,0,0,0,16.66,0.1,1.72,NA,NumberFire,NA,2.23,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,6.13,#16,236,104,3.11,4200,0.74,3.98,3000,1.33,3.11,10,0.31,NA
10308,randall-cobb,WR,Randall Cobb,NYJ,0,0,0,16.76,0.09,1.37,NA,NumberFire,NA,2.19,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69,6.07,#13,237,105,2.86,4500,0.64,3.57,3000,1.19,2.86,10,0.29,NA
16005,tim-jones,WR,Tim Jones,JAC,0,0,0,16.21,0.1,1.26,NA,NumberFire,NA,2.18,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,6.06,#6,238,106,2.81,4500,0.62,3.46,3000,1.15,2.81,10,0.28,NA
15777,calvin-austin-iii,WR,Calvin Austin III,PIT,0.28,1.44,0.01,15.24,0.08,1.35,NA,NumberFire,NA,2.13,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73,5.99,#3,239,107,2.84,4400,0.65,3.54,3200,1.11,2.84,13,0.22,NA
14123,hunter-renfrow,WR,Hunter Renfrow,LV,0,0,0,17.47,0.07,1.59,NA,NumberFire,NA,2.11,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74,5.96,#18,241,108,2.88,4700,0.61,3.72,3000,1.24,2.88,10,0.29,NA
13641,ray-ray-mccloud,WR,Ray-Ray McCloud,SF,0.3,1.74,0.01,13.73,0.1,1.37,NA,NumberFire,NA,2.07,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77,5.91,#19,243,109,2.75,5000,0.55,3.51,NA,NA,2.75,NA,NA,NA
13156,juju-smith-schuster,WR,JuJu Smith-Schuster,NE,0,0,0,16.22,0.08,1.58,NA,NumberFire,NA,2.06,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78,5.9,#25,244,110,2.85,5100,0.56,3.66,3100,1.18,2.85,10,0.29,NA
13893,trent-sherfield,WR,Trent Sherfield,BUF,0,0,0,14.53,0.1,1.27,NA,NumberFire,NA,2.02,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,5.84,#10,247,111,2.67,4700,0.57,3.31,3000,1.1,2.67,10,0.27,NA
14849,isaiah-hodgins,WR,Isaiah Hodgins,NYG,0,0,0,15.64,0.07,1.46,NA,NumberFire,NA,1.99,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82,5.8,#8,250,112,2.67,5100,0.52,3.42,3500,0.98,2.67,10,0.27,NA
11239,marquise-goodwin-1,WR,Marquise Goodwin,CLE,0.62,3.65,0.01,12.18,0.04,0.93,NA,NumberFire,NA,1.89,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89,5.67,#12,251,113,2.33,4400,0.53,2.8,3000,0.93,2.33,10,0.23,NA
12773,chris-moore,WR,Chris Moore,TEN,0,0,0,15.35,0.06,1.41,NA,NumberFire,NA,1.88,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89,5.65,#15,252,114,2.58,4500,0.57,3.3,3000,1.1,2.58,10,0.26,NA
14592,olamide-zaccheaus,WR,Olamide Zaccheaus,PHI,0,0,0,14.49,0.07,1.07,NA,NumberFire,NA,1.87,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9,5.64,#29,253,115,2.38,4900,0.49,2.93,3000,0.98,2.38,13,0.18,NA
15761,khalil-shakir,WR,Khalil Shakir,BUF,0,0,0,13.38,0.09,1.21,NA,NumberFire,NA,1.86,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9,5.62,#10,254,116,2.46,4500,0.55,3.08,3100,0.99,2.46,10,0.25,NA
12658,sterling-shepard,WR,Sterling Shepard,NYG,0,0,0,14.43,0.07,1.41,NA,NumberFire,NA,1.85,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91,5.61,#8,255,117,2.57,4400,0.58,3.27,3000,1.09,2.57,10,0.26,NA
15841,samori-toure,WR,Samori Toure,GB,0,0,0,14.09,0.08,1.09,NA,NumberFire,NA,1.84,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92,5.6,#14,256,118,2.39,4500,0.53,2.96,3000,0.99,2.39,10,0.24,NA
16201,xavier-hutchinson,WR,Xavier Hutchinson,HOU,0.29,1.58,0.01,11.51,0.08,0.86,NA,NumberFire,NA,1.79,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95,5.53,#24,259,119,2.24,4100,0.55,2.69,3000,0.9,2.24,10,0.22,NA
13863,byron-pringle,WR,Byron Pringle,WSH,0,0,0,12.7,0.07,1.01,NA,NumberFire,NA,1.65,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04,5.34,#16,263,120,2.18,4300,0.51,2.69,3000,0.9,2.18,10,0.22,NA
15787,tyquan-thornton,WR,Tyquan Thornton,NE,0,0,0,12.47,0.06,1.23,NA,NumberFire,NA,1.59,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08,5.26,#25,265,121,2.2,4400,0.5,2.83,3000,0.94,2.2,10,0.22,NA
16207,andrei-iosivas,WR,Andrei Iosivas,CIN,0,0,0,11.13,0.07,0.98,NA,NumberFire,NA,1.49,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14,5.12,#9,267,122,2,4500,0.44,2.5,3000,0.83,2,10,0.2,NA
13313,isaiah-mckenzie-1,WR,Isaiah McKenzie,IND,0.47,2.4,0.01,8.72,0.05,0.81,NA,NumberFire,NA,1.46,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16,5.08,#7,270,123,1.8,4400,0.41,2.24,3000,0.75,1.8,10,0.18,NA
16195,dontayvion-wicks,WR,Dontayvion Wicks,GB,0,0,0,10.6,0.06,0.83,NA,NumberFire,NA,1.39,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21,4.99,#14,276,124,1.82,4900,0.37,2.24,3000,0.75,1.82,11,0.17,NA
15767,velus-jones,WR,Velus Jones,CHI,0.29,1.69,0.01,8.82,0.04,0.71,NA,NumberFire,NA,1.32,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25,4.89,#28,277,125,1.67,4500,0.37,2.04,3000,0.68,1.67,NA,NA,NA
15759,john-metchie-iii,WR,John Metchie III,HOU,0,0,0,9.76,0.06,0.81,NA,NumberFire,NA,1.3,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27,4.87,#24,278,126,1.72,4500,0.38,2.14,3000,0.71,1.72,10,0.17,NA
16202,ronnie-bell,WR,Ronnie Bell,SF,0,0,0,9.85,0.05,0.83,NA,NumberFire,NA,1.29,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27,4.85,#19,279,127,1.68,4900,0.34,2.11,3300,0.64,1.68,10,0.17,NA
16393,jake-bobo,WR,Jake Bobo,SEA,0,0,0,9.57,0.05,0.75,NA,NumberFire,NA,1.26,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.29,4.81,#1,280,128,1.61,5100,0.32,2,3500,0.57,1.61,13,0.12,NA
16349,antoine-green,WR,Antoine Green,DET,0.56,3.08,0.02,5.34,0.04,0.42,NA,NumberFire,NA,1.18,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.35,4.71,#31,283,129,1.39,4200,0.33,1.61,3000,0.54,1.39,10,0.14,NA
15434,ihmir-smith-marsette,WR,Ihmir Smith-Marsette,CAR,0,0,0,9.49,0.04,0.86,NA,NumberFire,NA,1.18,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.35,4.71,#23,283,129,1.6,4000,0.4,2.04,3000,0.68,1.6,10,0.16,NA
