id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds,two_pts
16175,4426386,RB,Roschon Johnson,CHI,9,36,0,21,0,3,4,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14805,4239934,RB,AJ Dillon,GB,11,41,0,7,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15712,4373626,RB,Tyler Allgeier,ATL,12,48,0,7,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11390,15920,RB,Latavius Murray,BUF,9,37,0,9,0,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15261,4241416,RB,Chuba Hubbard,CAR,9,36,0,13,0,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13134,3125116,RB,D'Onta Foreman,CHI,10,43,0,13,0,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13139,2980453,RB,Jamaal Williams,NO,5,20,0,5,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14852,4360294,RB,Antonio Gibson,WAS,2,7,0,17,0,2,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11761,16782,RB,Jerick McKinnon,KCC,2,8,0,19,0,2,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16169,4426385,RB,Zach Charbonnet,SEA,5,21,0,9,0,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14810,3917612,RB,Ke'Shawn Vaughn,TB,6,29,0,5,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14823,4038815,RB,Rico Dowdle,DAL,5,22,0,8,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16163,4685035,RB,Zach Evans,LAR,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14799,4240021,RB,Cam Akers,MIN,7,31,0,14,0,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15255,4371733,RB,Kenneth Gainwell,PHI,6,25,0,9,0,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14017,3122976,RB,Jeff Wilson Jr.,MIA,6,25,0,14,0,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15734,4362087,RB,Keaontay Ingram,ARI,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13133,3116389,RB,Samaje Perine,DEN,2,7,0,15,0,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11886,17359,RB,Damien Williams,ARI,4,17,0,4,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14807,3910544,RB,Joshua Kelley,LAC,7,26,0,4,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15258,4240657,RB,Michael Carter,NYJ,1,7,0,11,0,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13128,3116593,RB,Dalvin Cook,NYJ,5,24,0,3,0,0,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14803,4242214,RB,Clyde Edwards-Helaire,KCC,3,15,0,7,0,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
