player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Olamide Zaccheaus,WR,PHI,1,3.1,1.9,28.2,28.2,14.8,0.2,0.1,0.3,3,0,0,3.2,3.2,2186266,CBS,14592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Goodwin,WR,CLE,1,2.5,1.3,22.1,22.1,17,0.2,0.1,0.1,1,0,0,3.2,3.2,1691489,CBS,11239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVante Parker,WR,NE,1,2.6,1.6,23.9,23.9,14.9,0.2,0,0,0,0,0,3.2,3.2,1851283,CBS,12176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,NYG,1,3.6,2.2,23.4,23.4,10.6,0.2,0.1,-0.6,-6,0,0,3.2,3.2,1996786,CBS,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,TEN,1,2.6,1.8,23.1,23.1,12.8,0.2,0.1,0.2,2,0,0,3.2,3.2,1871375,CBS,12773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,ATL,1,2.6,1.6,21.4,21.4,13.4,0.2,0.1,1.6,16,0,0,3.2,3.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,4.2,2.8,28.8,28.8,10.3,0.2,0.2,0.3,1.5,0,0,3.2,3.2,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,LV,1,2.9,2.3,21.5,21.5,9.4,0.2,0.1,0.1,1,0,0,3.2,3.2,2144726,CBS,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,DEN,1,3.1,2.1,29.5,29.5,14.1,0.2,0.2,1.5,7.5,0,0,3.2,3.2,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Gallup,WR,DAL,1,4.7,2.5,28.6,28.6,11.4,0.2,0,0,0,0,0,3.2,3.2,2240415,CBS,13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,LV,1,3.7,2.6,28.6,28.6,11,0.2,0.1,-0.1,-1,0,0,3.2,3.2,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalin Hyatt,WR,NYG,1,3.5,2.2,29.8,29.8,13.6,0.2,0.1,0.7,7,0,0.1,3,3,3171911,CBS,16183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecole Hardman,WR,NYJ,1,2.9,2.1,23.8,23.8,11.3,0.1,0.6,3.6,6,0.1,0.1,3,3,2248618,CBS,14113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Claypool,WR,CHI,1,3.4,1.8,26.6,26.6,14.8,0.1,0.7,5.4,7.7,0,0,2.6,2.6,2260676,CBS,14841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,3.5,1.7,26.3,26.3,15.5,0.1,0,0,0,0,0,2.6,2.6,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,LAC,1,4,2.7,28.8,28.8,10.7,0.1,0.1,0.2,2,0,0,2.6,2.6,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,HOU,1,3.3,2.1,21.2,21.2,10.1,0.1,0.1,-0.1,-1,0,0,2.6,2.6,2139270,CBS,13172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Tyreek",WR,MIA,NA,11.8,7.6,103,NA,NA,0.4,NA,3,NA,0.1,0,13.9,NA,NA,FantasySharks,12801,@NEP,1,0.2,0,0.1,0,0.1,0.1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Justin",WR,MIN,NA,10.7,6.8,94,NA,NA,0.5,NA,1,NA,0,0,12.5,NA,NA,FantasySharks,14836,@PHI,1.6,0.2,0.2,0.1,0,0,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waddle, Jaylen",WR,MIA,NA,8.7,5.6,86,NA,NA,0.4,NA,1,NA,0,0,11.5,NA,NA,FantasySharks,15284,@NEP,0.7,0.2,0.1,0,0,0,0.1,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Christian",WR,GBP,NA,5.5,3.6,55,NA,NA,0.8,NA,2,NA,0.1,0,11.3,NA,NA,FantasySharks,15789,@ATL,1.3,0.4,0.2,0.1,0.1,0,0.1,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adams, Davante",WR,LVR,NA,8.8,5.1,73,NA,NA,0.7,NA,0.1,NA,0,0,11.2,NA,NA,FantasySharks,11675,@BUF,1.2,0.2,0.1,0,0.2,0.1,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diggs, Stefon",WR,BUF,NA,10.1,6.1,76,NA,NA,0.6,NA,-0.2,NA,0,0,11.1,NA,NA,FantasySharks,12186,LVR,1.8,0.2,0.2,0,0,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase, Ja'Marr",WR,CIN,NA,9.5,6,77,NA,NA,0.6,NA,2,NA,0,0.1,11.1,NA,NA,FantasySharks,15281,BAL,1.4,0.2,0.1,0.1,0.1,0,0.1,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Deebo",WR,SFO,NA,6.4,3.9,52,NA,NA,0.2,NA,25,NA,0.4,0.1,11,NA,NA,FantasySharks,14136,@LAR,0.7,0.1,0,0,0,0.1,0,5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, A.J.",WR,PHI,NA,8.8,5,79,NA,NA,0.5,NA,0,NA,0,0.1,10.6,NA,NA,FantasySharks,14104,MIN,0.8,0.1,0.1,0.1,0.1,0.1,0.1,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Keenan",WR,LAC,NA,10.1,7,78,NA,NA,0.4,NA,0,NA,0,0.1,10.1,NA,NA,FantasySharks,11222,@TEN,1.4,0.3,0.1,0,0.1,0,0,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamb, CeeDee",WR,DAL,NA,8,5.6,69,NA,NA,0.4,NA,4,NA,0,0,10,NA,NA,FantasySharks,14832,NYJ,1,0.1,0.1,0.1,0.1,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Garrett",WR,NYJ,NA,9.7,5.3,72,NA,NA,0.5,NA,1,NA,0,0.1,9.9,NA,NA,FantasySharks,15753,@DAL,1.1,0.2,0,0,0,0,0.2,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Mike",WR,TBB,NA,8.2,4.7,65,NA,NA,0.6,NA,0,NA,0,0,9.9,NA,NA,FantasySharks,11671,CHI,1.2,0.3,0.1,0,0.1,0.1,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Tee",WR,CIN,NA,7.3,4.7,69,NA,NA,0.5,NA,0,NA,0,0,9.9,NA,NA,FantasySharks,14835,BAL,0.9,0.2,0.1,0.1,0,0.1,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Amon-Ra",WR,DET,NA,8.8,6.1,67,NA,NA,0.4,NA,4,NA,0,0,9.7,NA,NA,FantasySharks,15287,SEA,1.4,0.2,0.1,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olave, Chris",WR,NOS,NA,9.3,5.4,76,NA,NA,0.4,NA,0.1,NA,0,0.1,9.5,NA,NA,FantasySharks,15754,@CAR,0.8,0.1,0.1,0.1,0,0,0.1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockett, Tyler",WR,SEA,NA,7.5,4.7,63,NA,NA,0.5,NA,0,NA,0,0,9.3,NA,NA,FantasySharks,12187,@DET,0.6,0.2,0,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Godwin, Chris",WR,TBB,NA,9.9,7.3,76,NA,NA,0.3,NA,1,NA,0,0.1,9.3,NA,NA,FantasySharks,13163,CHI,1.2,0.2,0.1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk, Christian",WR,JAC,NA,8.6,5.2,64,NA,NA,0.4,NA,2,NA,0,0,9.1,NA,NA,FantasySharks,13633,KCC,1.2,0.2,0.1,0.1,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, D.J.",WR,CHI,NA,6.8,3.9,54,NA,NA,0.5,NA,3,NA,0,0,9,NA,NA,FantasySharks,13635,@TBB,0.7,0.3,0.1,0.1,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins, Nico",WR,HOU,NA,8.2,4.4,60,NA,NA,0.5,NA,1,NA,0,0,8.8,NA,NA,FantasySharks,15290,IND,1.1,0.2,0.3,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metcalf, DK",WR,SEA,NA,8.6,5,60,NA,NA,0.5,NA,0.1,NA,0,0.1,8.6,NA,NA,FantasySharks,14102,@DET,1.5,0.2,0.2,0,0,0,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, DeVonta",WR,PHI,NA,7.8,5.1,67,NA,NA,0.3,NA,0.1,NA,0,0,8.6,NA,NA,FantasySharks,15282,MIN,0.9,0.2,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, DeAndre",WR,TEN,NA,8.5,5.6,64,NA,NA,0.4,NA,0,NA,0,0.1,8.5,NA,NA,FantasySharks,11232,LAC,0.7,0.2,0,0.1,0.1,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Gabriel",WR,BUF,NA,6.8,3.4,54,NA,NA,0.5,NA,0,NA,0,0.1,8.4,NA,NA,FantasySharks,14845,LVR,1.5,0.1,0.2,0.1,0,0,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaurin, Terry",WR,WAS,NA,7.5,4.4,66,NA,NA,0.3,NA,2,NA,0,0,8.4,NA,NA,FantasySharks,14109,@DEN,0.7,0.1,0.1,0,0,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Mike",WR,LAC,NA,7.4,4.7,67,NA,NA,0.3,NA,0,NA,0,0,8.4,NA,NA,FantasySharks,13154,@TEN,1.2,0,0.2,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Schuster, JuJu",WR,NEP,NA,7.5,5.3,63,NA,NA,0.4,NA,-0.2,NA,0,0.1,8.4,NA,NA,FantasySharks,13156,MIA,1.2,0.2,0,0,0.1,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper, Amari",WR,CLE,NA,6.9,3.9,58,NA,NA,0.4,NA,0.1,NA,0,0,8.2,NA,NA,FantasySharks,12175,@PIT,0.9,0.1,0.1,0,0.1,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyers, Jakobi",WR,LVR,NA,7,4.5,49,NA,NA,0.5,NA,0,NA,0,0.1,8.1,NA,NA,FantasySharks,14127,@BUF,1.3,0.4,0,0,0.1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdes-Scantling, Marquez",WR,KCC,NA,5.2,3.4,50,NA,NA,0.4,NA,1,NA,0.1,0,8,NA,NA,FantasySharks,13793,@JAC,1.1,0.3,0.1,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London, Drake",WR,ATL,NA,7.9,4.8,58,NA,NA,0.3,NA,4,NA,0.1,0.2,7.9,NA,NA,FantasySharks,15751,GBP,1.2,0.2,0.1,0,0,0,0,2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiyuk, Brandon",WR,SFO,NA,6.4,4.1,58,NA,NA,0.3,NA,1,NA,0,0,7.7,NA,NA,FantasySharks,14840,@LAR,0.7,0.2,0.1,0,0.1,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dotson, Jahan",WR,WAS,NA,6.1,3.7,49,NA,NA,0.4,NA,3,NA,0,0,7.6,NA,NA,FantasySharks,15755,@DEN,0.6,0.2,0.1,0.2,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Addison, Jordan",WR,MIN,NA,6.3,4,49,NA,NA,0.4,NA,0,NA,0,0,7.4,NA,NA,FantasySharks,16186,@PHI,1.1,0.2,0.1,0.1,0,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beckham, Odell",WR,BAL,NA,8.1,4.3,49,NA,NA,0.4,NA,2,NA,0,0,7.4,NA,NA,FantasySharks,11679,@CIN,1.3,0.3,0,0,0,0,0.1,13,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittman, Michael",WR,IND,NA,7.7,5.2,54,NA,NA,0.3,NA,2,NA,0,0,7.3,NA,NA,FantasySharks,14842,@HOU,0.9,0.2,0.1,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazard, Allen",WR,NYJ,NA,6.2,3.5,48,NA,NA,0.4,NA,-0.1,NA,0,0,7.3,NA,NA,FantasySharks,13632,@DAL,0.9,0.2,0,0.1,0,0,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeudy, Jerry",WR,DEN,NA,6.1,4,54,NA,NA,0.3,NA,2,NA,0,0,7.1,NA,NA,FantasySharks,14833,WAS,0.6,0.2,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Njigba, Jaxon",WR,SEA,NA,5.3,3.2,40,NA,NA,0.5,NA,2,NA,0,0,7.1,NA,NA,FantasySharks,16185,@DET,0.6,0,0.2,0.1,0.1,0,0,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Zay",WR,JAC,NA,7.6,5.1,53,NA,NA,0.2,NA,1,NA,0,0,6.8,NA,NA,FantasySharks,13176,KCC,0.9,0.1,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Van",WR,LAR,NA,6.2,3.6,50,NA,NA,0.3,NA,1,NA,0,0,6.7,NA,NA,FantasySharks,14858,SFO,0.6,0.2,0,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickens, George",WR,PIT,NA,6.2,3.5,49,NA,NA,0.2,NA,2,NA,0,0,6.7,NA,NA,FantasySharks,15762,CLE,1,0,0.1,0,0.1,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flowers, Zay",WR,BAL,NA,6.3,2.8,34,NA,NA,0.5,NA,1,NA,0,0,6.7,NA,NA,FantasySharks,16190,@CIN,0.6,0.1,0.1,0.1,0.1,0.1,0,23,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doubs, Romeo",WR,GBP,NA,4.9,3.3,35,NA,NA,0.5,NA,1,NA,0,0.1,6.6,NA,NA,FantasySharks,15779,@ATL,0.9,0.3,0.2,0,0,0,0,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Marquise",WR,ARI,NA,7.6,4.8,51,NA,NA,0.2,NA,1,NA,0,0,6.4,NA,NA,FantasySharks,14105,NYG,0.8,0.1,0,0.1,0,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Courtland",WR,DEN,NA,7.6,4.2,52,NA,NA,0.2,NA,0,NA,0,0,6.4,NA,NA,FantasySharks,13630,WAS,1,0.1,0,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chark, D.J.",WR,CAR,NA,5.1,2.7,43,NA,NA,0.3,NA,1,NA,0,0,6.3,NA,NA,FantasySharks,13668,NOS,0.4,0.1,0,0.1,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas, Michael",WR,NOS,NA,5.4,3.5,45,NA,NA,0.2,NA,1,NA,0,0,6.2,NA,NA,FantasySharks,12652,@CAR,0.4,0.1,0,0.1,0,0,0,7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Diontae",WR,PIT,NA,9.1,4.9,52,NA,NA,0.1,NA,2,NA,0,0.1,6.1,NA,NA,FantasySharks,14208,CLE,1.3,0,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raymond, Kalif",WR,DET,NA,5.1,3.5,52,NA,NA,0.1,NA,2,NA,0,0.1,6.1,NA,NA,FantasySharks,13066,SEA,0.7,0.1,0,0,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parker, DeVante",WR,NEP,NA,4.7,3,44,NA,NA,0.3,NA,0,NA,0,0,6,NA,NA,FantasySharks,12176,MIA,0.4,0.1,0,0.1,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bateman, Rashod",WR,BAL,NA,5.7,3.8,48,NA,NA,0.2,NA,1,NA,0,0.1,6,NA,NA,FantasySharks,15293,@CIN,0.5,0.1,0,0,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Curtis",WR,WAS,NA,4.9,3.3,37,NA,NA,0.2,NA,7,NA,0,0,6,NA,NA,FantasySharks,13157,@DEN,0.6,0,0,0.1,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mooney, Darnell",WR,CHI,NA,6.3,3.6,47,NA,NA,0.1,NA,1,NA,0,0,5.7,NA,NA,FantasySharks,14974,@TBB,0.7,0.1,0.1,0,0,0,0,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osborn, K.J.",WR,MIN,NA,5.2,3.1,36,NA,NA,0.3,NA,0,NA,0,0,5.7,NA,NA,FantasySharks,14977,@PHI,0.7,0.2,0.1,0.1,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boyd, Tyler",WR,CIN,NA,4.6,3.2,40,NA,NA,0.2,NA,1,NA,0,0,5.6,NA,NA,FantasySharks,12650,BAL,0.6,0.1,0.1,0,0,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Rondale",WR,ARI,NA,7.7,5,48,NA,NA,0.1,NA,1,NA,0,0,5.3,NA,NA,FantasySharks,15283,NYG,0.9,0,0,0.1,0,0,0,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peoples-Jones, Donovan",WR,CLE,NA,5,2.8,41,NA,NA,0.2,NA,0,NA,0,0,5.1,NA,NA,FantasySharks,14857,@PIT,0.6,0.1,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slayton, Darius",WR,NYG,NA,5.2,3,43,NA,NA,0.2,NA,-0.4,NA,0,0.1,5.1,NA,NA,FantasySharks,14122,@ARI,0.3,0,0,0.1,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Josh",WR,DET,NA,4.9,2.8,39,NA,NA,0.2,NA,0,NA,0,0,5,NA,NA,FantasySharks,13168,SEA,0.9,0.1,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooks, Brandin",WR,DAL,NA,5.7,3.3,36,NA,NA,0.2,NA,0,NA,0,0,4.9,NA,NA,FantasySharks,11674,NYJ,0.7,0.1,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell, Parris",WR,NYG,NA,4.9,3.2,36,NA,NA,0.2,NA,1,NA,0,0,4.7,NA,NA,FantasySharks,14112,@ARI,0.5,0.1,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bourne, Kendrick",WR,NEP,NA,4.2,2.7,33,NA,NA,0.2,NA,3,NA,0,0,4.7,NA,NA,FantasySharks,13418,MIA,0.5,0.1,0.1,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollins, Mack",WR,ATL,NA,5.2,2.9,33,NA,NA,0.2,NA,3,NA,0,0,4.6,NA,NA,FantasySharks,13289,GBP,0.6,0.1,0,0.1,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woods, Robert",WR,HOU,NA,5.6,3.4,38,NA,NA,0.1,NA,0,NA,0,0,4.5,NA,NA,FantasySharks,11228,IND,0.8,0.1,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thielen, Adam",WR,CAR,NA,4.9,3,33,NA,NA,0.2,NA,1,NA,0,0,4.5,NA,NA,FantasySharks,11938,NOS,0.8,0.1,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
