team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
CLE,0.8,NA,2.3,NA,0.5,0.8,0.1,20.7,NA,NA,NA,331.4,NA,9.35,NA,FleaFlicker,0507,2335,DST,Cleveland Browns,NA,NA,NA,NA,@LARSun 4:25 PM,5,NA,D/ST9,0,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.8,NA,2.3,NA,0.5,0.8,0.2,19.4,NA,NA,NA,326.4,NA,9.32,NA,FleaFlicker,0528,2356,DST,Los Angeles Rams,NA,NA,NA,NA,CLESun 4:25 PM,10,NA,D/ST30,0,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,NA,2.5,NA,0.5,0.7,0.1,28.4,NA,NA,NA,380.6,NA,9.2,NA,FleaFlicker,0515,2354,DST,Seattle Seahawks,NA,NA,NA,NA,@DALL 35-41,5,9.2,D/ST23,0,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,NA,2.4,NA,0.5,0.8,0.2,22.5,NA,NA,NA,348.2,NA,9.19,NA,FleaFlicker,0522,2338,DST,Detroit Lions,NA,NA,NA,NA,@NOSun 1:00 PM,9,NA,D/ST17,0,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.7,NA,2.3,NA,0.5,0.8,0.1,23.8,NA,NA,NA,364.8,NA,9.18,NA,FleaFlicker,0506,2334,DST,Cincinnati Bengals,NA,NA,NA,NA,@JACMon 8:15 PM,7,NA,D/ST13,0,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.7,NA,2.3,NA,0.5,0.7,0.1,21.9,NA,NA,NA,336,NA,9.04,NA,FleaFlicker,0508,2358,DST,Tennessee Titans,NA,NA,NA,NA,INDSun 1:00 PM,7,NA,D/ST28,0,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.8,NA,2.2,NA,0.6,0.7,0.1,26.4,NA,NA,NA,403.7,NA,8.84,NA,FleaFlicker,0520,2359,DST,Washington Commanders,NA,NA,NA,NA,MIASun 1:00 PM,14,NA,D/ST16,0,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.8,NA,2.1,NA,0.5,0.7,0.1,24.7,NA,NA,NA,369.8,NA,8.62,NA,FleaFlicker,0529,2347,DST,New Orleans Saints,NA,NA,NA,NA,DETSun 1:00 PM,11,NA,D/ST8,0,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.7,NA,2.3,NA,0.5,0.6,0.2,22.2,NA,NA,NA,316.4,NA,8.59,NA,FleaFlicker,0527,2332,DST,Carolina Panthers,NA,NA,NA,NA,@TBSun 4:05 PM,7,NA,D/ST32,0,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.8,NA,2,NA,0.5,0.7,0.1,22.9,NA,NA,NA,363.6,NA,8.5,NA,FleaFlicker,0523,2339,DST,Green Bay Packers,NA,NA,NA,NA,KCSun 8:20 PM,6,NA,D/ST18,0,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
