team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
BUF,0.9,0,3,42.2,1.2,1.7,0.2,17,17,0,126,306,306,12.4,12.4,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.1,0,4.2,42.8,1,1.4,0.2,21,21,0,92,300,300,11.6,11.6,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,1.2,0,2.5,42,0.7,0.9,0.2,20.5,20.5,0,101,334,334,11.5,11.5,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,0,3.5,46,0.9,1.2,0.2,22.5,22.5,0,173,371,371,10.5,10.5,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.6,0,2.5,39.7,0.7,1,0.2,21.3,21.3,0,146,295,295,10.3,10.3,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.8,0,1.5,48.3,0.6,0.8,0.2,17.5,17.5,0,105,313,313,9.5,9.5,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1,0.1,2.5,45.9,0.6,0.8,0.2,27,27,0,144,355,355,9.1,9.1,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1.7,0,2.8,44,0.7,1,0.2,28.2,28.2,0,131,368,368,8.8,8.8,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.5,0,3,43.4,1,1.4,0.1,24.4,24.4,0,147,358,358,8.6,8.6,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,0,3.4,40.6,0.6,0.8,0.1,21.7,21.7,0,108,306,306,8.6,8.6,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.8,0,1.4,38.3,0.4,0.5,0.1,23.1,23.1,0,99,297,297,8.4,8.4,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,0,3,41.5,0.6,0.8,0.1,22.1,22.1,0,89,313,313,8,8,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.6,0,2.4,43.7,0.7,0.9,0.1,22.6,22.6,0,124,334,334,7.6,7.6,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.7,0,1.6,44.2,0.6,0.8,0.2,22.5,22.5,0,101,333,333,7.4,7.4,CBS,0526,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,0,1.9,45.8,0.9,1.3,0.2,28.4,28.4,0,129,390,390,6.9,6.9,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,1.8,45.8,0.6,0.8,0.1,26.9,26.9,0,123,347,347,6.8,6.8,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.7,0,1.3,46.5,0.8,1.1,0.2,29,29,0,119,411,411,5.5,5.5,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.8,0,1.7,45.1,0.7,0.9,0.1,31.9,31.9,0,144,442,442,5.3,5.3,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.7,NA,0.6,0.8,0.2,18.1,NA,NA,NA,323,NA,8.6,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,3.4,NA,0.5,0.8,0.2,17.5,NA,NA,NA,322.2,NA,8.4,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.9,NA,0.5,0.6,0.2,16.4,NA,NA,NA,325.1,NA,7.5,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.5,NA,0.5,0.8,0.2,17,NA,NA,NA,315.8,NA,7.4,NA,FantasyPros,0531,8020,Baltimore Ravens,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.8,NA,0.5,0.5,0.1,24.7,NA,NA,NA,338,NA,7.3,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.6,0.8,0.2,18.6,NA,NA,NA,344.6,NA,7.3,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.9,0.2,18.4,NA,NA,NA,336.1,NA,7.1,NA,FantasyPros,0504,8180,New England Patriots,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.2,NA,0.5,0.6,0.2,19.3,NA,NA,NA,318.7,NA,6.9,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.1,NA,0.6,1,0.2,20.7,NA,NA,NA,335.6,NA,6.9,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.4,NA,0.6,0.8,0.2,19.9,NA,NA,NA,348.8,NA,6.8,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3,NA,0.5,0.8,0.2,22.6,NA,NA,NA,356.6,NA,6.8,NA,FantasyPros,0512,8150,Kansas City Chiefs,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.5,0.9,0.2,21.8,NA,NA,NA,346.9,NA,6.7,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.1,NA,0.5,0.7,0.2,21.7,NA,NA,NA,336.2,NA,6.5,NA,FantasyPros,0505,8210,New York Jets,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.7,NA,0.6,1,0.2,21.2,NA,NA,NA,354.8,NA,6.4,NA,FantasyPros,0510,8240,Pittsburgh Steelers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2.2,NA,0.5,0.7,0.2,21.2,NA,NA,NA,357.9,NA,6.3,NA,FantasyPros,0523,8110,Green Bay Packers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.7,0.2,21.4,NA,NA,NA,341.8,NA,6.3,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.7,0.2,22,NA,NA,NA,334.5,NA,6.2,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.6,0.8,0.1,25.9,NA,NA,NA,377,NA,6.1,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,0.7,0.2,22.3,NA,NA,NA,326.9,NA,5.9,NA,FantasyPros,0506,8060,Cincinnati Bengals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.7,NA,0.5,0.7,0.1,26.2,NA,NA,NA,366.8,NA,5.9,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.5,0.7,0.2,21.1,NA,NA,NA,351.3,NA,5.9,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.8,0.2,21.4,NA,NA,NA,319.5,NA,5.9,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.5,0.9,0.1,22.8,NA,NA,NA,372.6,NA,5.8,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.1,NA,0.6,0.9,0.1,26.4,NA,NA,NA,393.1,NA,5.6,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.4,0.6,0.1,24.1,NA,NA,NA,344.4,NA,5.6,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.9,NA,0.6,0.9,0.1,28.3,NA,NA,NA,396.4,NA,5.5,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2,NA,0.6,0.7,0.1,26,NA,NA,NA,347.1,NA,5.4,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,1.9,NA,0.5,0.5,0.2,22.8,NA,NA,NA,355.4,NA,5.3,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,0,3.7,NA,0.8,NA,0.1,17.3,NA,NA,NA,237.1,NA,13.9,NA,FantasySharks,0520,NA,"Commanders, Washington",D,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.2,0.1,3,NA,0.7,NA,0.2,17.7,NA,NA,NA,326.6,NA,13.1,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.9,0,2.7,NA,0.2,NA,0.2,16.9,NA,NA,NA,296.4,NA,12.6,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,1,0.2,2.6,NA,0.2,NA,0.2,15.8,NA,NA,NA,280.3,NA,12.4,NA,FantasySharks,0505,NA,"Jets, New York",D,@DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.9,0,3.2,NA,0.5,NA,0.2,19.7,NA,NA,NA,309.1,NA,12.1,NA,FantasySharks,0522,NA,"Lions, Detroit",D,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,0.1,3.3,NA,0.7,NA,0,15,NA,NA,NA,305.4,NA,11.7,NA,FantasySharks,0531,NA,"Ravens, Baltimore",D,@PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.7,0,3,NA,0.9,NA,0.3,21,NA,NA,NA,333,NA,11.7,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.7,0,3.1,NA,0.7,NA,0.1,18.4,NA,NA,NA,304.3,NA,11.6,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",D,@MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,0,2.9,NA,0.6,NA,0.3,21,NA,NA,NA,330,NA,11.6,NA,FantasySharks,0510,NA,"Steelers, Pittsburgh",D,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.9,0.2,3,NA,0.5,NA,0.3,21,NA,NA,NA,300,NA,11.6,NA,FantasySharks,0504,NA,"Patriots, New England",D,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1,0,2.5,NA,0.5,NA,0.2,20.9,NA,NA,NA,349,NA,11.4,NA,FantasySharks,0506,NA,"Bengals, Cincinnati",D,@ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,1,0,2.7,NA,0.3,NA,0.3,23,NA,NA,NA,333,NA,11.1,NA,FantasySharks,0523,NA,"Packers, Green Bay",D,@LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.6,0.1,3.3,NA,0.8,NA,0.2,24.2,NA,NA,NA,327.2,NA,11.1,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,3.1,NA,0.5,NA,0.2,23.3,NA,NA,NA,320.2,NA,10.8,NA,FantasySharks,0519,NA,"Cardinals, Arizona",D,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.9,0,2.3,NA,0.4,NA,0.3,23.9,NA,NA,NA,304.3,NA,10.8,NA,FantasySharks,0511,NA,"Broncos, Denver",D,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1,0.1,2.1,NA,0.6,NA,0.2,21.7,NA,NA,NA,317,NA,10.5,NA,FantasySharks,0532,NA,"Texans, Houston",D,@ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,1.2,0,1.7,NA,0.4,NA,0,17.2,NA,NA,NA,338.4,NA,10,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.7,0.1,2.7,NA,0.6,NA,0.1,22.5,NA,NA,NA,309.5,NA,9.9,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,2,NA,0.9,NA,0.2,22.6,NA,NA,NA,379.1,NA,9.8,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.6,0,2.6,NA,0.4,NA,0,18.8,NA,NA,NA,317.1,NA,9.8,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,@IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.9,0,1,NA,0.3,NA,0,22.3,NA,NA,NA,265.7,NA,8.9,NA,FantasySharks,0521,NA,"Bears, Chicago",D,@WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.9,0,1.7,NA,0.6,NA,0.4,23,NA,NA,NA,415,NA,8.8,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,@SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.6,0,1.1,NA,0.3,NA,0.1,20.7,NA,NA,NA,321.9,NA,8.3,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0,2.1,NA,0.2,NA,0,22,NA,NA,NA,333.1,NA,8.2,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,1.9,NA,0.2,NA,0.1,27,NA,NA,NA,398.2,NA,7.3,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,@DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.4,0,1.8,NA,0.2,NA,0.1,24.8,NA,NA,NA,351.6,NA,6.3,NA,FantasySharks,0513,NA,"Raiders, Las Vegas",D,GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.5,0,1.9,NA,0.3,NA,0.2,29.5,NA,NA,NA,423.4,NA,5.6,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.2,0,1.6,NA,0.2,NA,0.1,33.6,NA,NA,NA,421.4,NA,3.6,NA,FantasySharks,0517,NA,"Giants, New York",D,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.9,NA,3.7,NA,0.6,0.8,0.2,18.1,NA,NA,NA,323,NA,12.35,NA,FleaFlicker,0520,2359,Washington Commanders,DST,CHIThu 8:15 PM,14,D/ST13,0,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.9,NA,3.4,NA,0.5,0.8,0.2,17.5,NA,NA,NA,322.2,NA,12,NA,FleaFlicker,0503,2344,Miami Dolphins,DST,NYGSun 1:00 PM,10,D/ST12,0,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,NA,3.8,NA,0.5,0.5,0.1,24.7,NA,NA,NA,338,NA,11.73,NA,FleaFlicker,0521,2333,Chicago Bears,DST,@WASThu 8:15 PM,13,NA,0,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,NA,3.1,NA,0.6,1,0.1,20.7,NA,NA,NA,335.6,NA,11.49,NA,FleaFlicker,0502,2341,Indianapolis Colts,DST,TENSun 1:00 PM,11,D/ST20,0,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,NA,2.9,NA,0.5,0.9,0.1,21.8,NA,NA,NA,346.9,NA,10.93,NA,FleaFlicker,0518,2351,Philadelphia Eagles,DST,@LARSun 4:05 PM,10,D/ST4,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.9,NA,3,NA,0.5,0.8,0.1,22.6,NA,NA,NA,356.6,NA,10.86,NA,FleaFlicker,0512,2343,Kansas City Chiefs,DST,@MINSun 4:25 PM,10,D/ST11,0,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.7,NA,2.8,NA,0.6,1,0.1,21.2,NA,NA,NA,354.8,NA,10.62,NA,FleaFlicker,0510,2352,Pittsburgh Steelers,DST,BALSun 1:00 PM,6,D/ST9,0,83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,NA,3.1,NA,0.5,0.7,0.1,21.7,NA,NA,NA,336.2,NA,10.41,NA,FleaFlicker,0505,2349,New York Jets,DST,@DENSun 4:25 PM,7,D/ST6,0,77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.8,NA,2.9,NA,0.5,0.6,0.2,16.4,NA,NA,NA,325.1,NA,10.19,NA,FleaFlicker,0522,2338,Detroit Lions,DST,CARSun 1:00 PM,9,D/ST16,0,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,NA,2.5,NA,0.5,0.8,0.2,17,NA,NA,NA,315.8,NA,10.02,NA,FleaFlicker,0531,2330,Baltimore Ravens,DST,@PITSun 1:00 PM,13,D/ST7,0,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.8,NA,2.5,NA,0.6,0.9,0.2,18.4,NA,NA,NA,336.1,NA,9.87,NA,FleaFlicker,0504,2346,New England Patriots,DST,NOSun 1:00 PM,11,D/ST10,0,76%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.8,NA,2.4,NA,0.6,0.8,0.2,18.6,NA,NA,NA,344.6,NA,9.79,NA,FleaFlicker,0501,2331,Buffalo Bills,DST,JACSun 9:30 AM,13,D/ST3,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,NA,2.6,NA,0.6,0.7,0.2,21.4,NA,NA,NA,341.8,NA,9.72,NA,FleaFlicker,0508,2358,Tennessee Titans,DST,@INDSun 1:00 PM,7,D/ST23,0,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,NA,2.5,NA,0.6,0.7,0.2,22,NA,NA,NA,334.5,NA,9.58,NA,FleaFlicker,0511,2337,Denver Broncos,DST,NYJSun 4:25 PM,9,D/ST18,0,54%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.9,NA,2.3,NA,0.6,0.8,0.1,25.9,NA,NA,NA,377,NA,9.55,NA,FleaFlicker,0509,2342,Jacksonville Jaguars,DST,@BUFSun 9:30 AM,9,D/ST14,0,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
