player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Fairbairn, Ka'imi",K,HOU,NA,2,2.2,NA,0.7,NA,0.6,NA,0.4,NA,0.3,NA,1.8,1.8,8.3,NA,NA,FantasySharks,12860,NA,NA,NA,NA,NA,TEN,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.6,1.9,NA,0.3,NA,0.5,NA,0.4,NA,0.3,NA,3.1,3.2,7.8,NA,NA,FantasySharks,13832,NA,NA,NA,NA,NA,@BAL,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,TBB,NA,1.7,1.9,NA,0.5,NA,0.6,NA,0.2,NA,0.4,NA,2.2,2.2,7.7,NA,NA,FantasySharks,14717,NA,NA,NA,NA,NA,NOS,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zuerlein, Greg",K,NYJ,NA,1.9,2.2,NA,0.4,NA,0.5,NA,0.6,NA,0.4,NA,1.2,1.2,7.6,NA,NA,FantasySharks,10868,NA,NA,NA,NA,NA,@CLE,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.4,1.6,NA,0.5,NA,0.3,NA,0.3,NA,0.3,NA,2.6,2.6,7.4,NA,NA,FantasySharks,13303,NA,NA,NA,NA,NA,ARI,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Anders",K,GBP,NA,1.8,2.1,NA,0.4,NA,0.9,NA,0.4,NA,0.2,NA,2.2,2.5,7.3,NA,NA,FantasySharks,16339,NA,NA,NA,NA,NA,@MIN,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.6,1.9,NA,0.4,NA,0.6,NA,0.3,NA,0.3,NA,2.7,2.7,7.3,NA,NA,FantasySharks,13354,NA,NA,NA,NA,NA,CIN,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,1.8,2.2,NA,0.4,NA,0.6,NA,0.4,NA,0.3,NA,1.9,1.9,7.3,NA,NA,FantasySharks,12437,NA,NA,NA,NA,NA,PIT,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badgley, Mike",K,DET,NA,1.3,1.5,NA,0.3,NA,0.6,NA,0.3,NA,0.1,NA,3.2,3.4,7.2,NA,NA,FantasySharks,13980,NA,NA,NA,NA,NA,@DAL,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",K,PIT,NA,1.7,2,NA,0.4,NA,0.5,NA,0.4,NA,0.4,NA,1.6,1.7,7.2,NA,NA,FantasySharks,11936,NA,NA,NA,NA,NA,@SEA,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",K,LAC,NA,1.5,1.6,NA,0.4,NA,0.5,NA,0.4,NA,0.2,NA,2,2,7.1,NA,NA,FantasySharks,15979,NA,NA,NA,NA,NA,@DEN,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,TEN,NA,1.7,1.8,NA,0.6,NA,0.5,NA,0.4,NA,0.2,NA,1.7,1.9,7.1,NA,NA,FantasySharks,8851,NA,NA,NA,NA,NA,@HOU,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havrisik, Lucas",K,LAR,NA,1.9,2.4,NA,0.9,NA,0.4,NA,0.3,NA,0.3,NA,2.1,2.2,7,NA,NA,FantasySharks,16043,NA,NA,NA,NA,NA,@NYG,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,1.7,2,NA,0.6,NA,0.4,NA,0.5,NA,0.3,NA,1.5,1.6,6.9,NA,NA,FantasySharks,13403,NA,NA,NA,NA,NA,@CHI,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.7,2,NA,0.4,NA,0.6,NA,0.5,NA,0.3,NA,1.3,1.5,6.8,NA,NA,FantasySharks,13719,NA,NA,NA,NA,NA,@JAC,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,DEN,NA,1.7,1.9,NA,0.6,NA,0.6,NA,0.3,NA,0.2,NA,1.9,2,6.8,NA,NA,FantasySharks,12956,NA,NA,NA,NA,NA,LAC,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.4,1.7,NA,0.3,NA,0.4,NA,0.3,NA,0.3,NA,2.3,2.3,6.5,NA,NA,FantasySharks,15368,NA,NA,NA,NA,NA,@KCC,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,IND,NA,1.7,2.2,NA,0.5,NA,0.4,NA,0.4,NA,0.3,NA,1.9,2,6.3,NA,NA,FantasySharks,14244,NA,NA,NA,NA,NA,LVR,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.3,1.6,NA,0.2,NA,0.6,NA,0.3,NA,0.2,NA,2.5,2.6,5.9,NA,NA,FantasySharks,14983,NA,NA,NA,NA,NA,NEP,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,JAC,NA,1.5,2,NA,0.1,NA,0.4,NA,0.6,NA,0.3,NA,1.9,1.9,5.9,NA,NA,FantasySharks,11947,NA,NA,NA,NA,NA,CAR,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.4,1.8,NA,0.4,NA,0.5,NA,0.2,NA,0.2,NA,2.2,2.4,5.7,NA,NA,FantasySharks,13898,NA,NA,NA,NA,NA,GBP,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.2,1.5,NA,0.3,NA,0.3,NA,0.4,NA,0.2,NA,1.9,2.2,5.5,NA,NA,FantasySharks,14600,NA,NA,NA,NA,NA,SFO,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",K,NEP,NA,1.4,1.8,NA,0.4,NA,0.4,NA,0.4,NA,0.2,NA,1.9,2,5.3,NA,NA,FantasySharks,16292,NA,NA,NA,NA,NA,@BUF,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",K,NOS,NA,1.2,1.7,NA,0.3,NA,0.3,NA,0.3,NA,0.3,NA,1.9,1.9,4.8,NA,NA,FantasySharks,16444,NA,NA,NA,NA,NA,@TBB,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,12.29,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,NA,@HOUSun 1:00 PM,NA,NA,7,K28,2/1,2/2,66%,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,10.82,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,NA,NOSun 1:00 PM,NA,NA,5,K24,2/2,2/2,29%,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.6,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,NA,@BALSun 1:00 PM,NA,NA,0,K9,2/2,2/2,74%,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.47,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,NA,@SEASun 4:05 PM,NA,NA,6,K26,2/1,2/2,36%,NA,NA,NA,NA,NA,NA,NA
OUTRiley Patterson,K,CLE,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,10.47,NA,16587,FleaFlicker,15369,NA,NA,NA,NA,NA,NYJThu 8:15 PM,NA,NA,5,K16,2/2,3/3,14%,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.45,NA,8663,FleaFlicker,10976,NA,NA,NA,NA,NA,MIASun 1:00 PM,NA,NA,3,K1,2/1,2/2,92%,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.42,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,NA,ATLSun 1:00 PM,NA,NA,3,K22,2/1,2/2,25%,NA,NA,NA,NA,NA,NA,NA
OUTDustin Hopkins,K,CLE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,10.28,NA,9416,FleaFlicker,11387,NA,NA,NA,NA,NA,NYJThu 8:15 PM,NA,NA,5,K13,2/1,2/2,74%,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.19,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,NA,LVSun 1:00 PM,NA,NA,1,K8,2/1,2/2,70%,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,10.19,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,NA,@WASSun 1:00 PM,NA,NA,9,K4,2/1,3/3,54%,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,10.18,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,NA,ARISun 1:00 PM,NA,NA,0,K7,2/2,3/3,87%,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,10.13,NA,15626,FleaFlicker,14983,NA,NA,NA,NA,NA,NESun 1:00 PM,NA,NA,3,K3,2/2,3/3,71%,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,10.04,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,NA,CINSun 4:25 PM,NA,NA,0,K2,2/1,3/3,89%,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10.03,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,NA,PITSun 4:05 PM,NA,NA,5,K15,2/2,2/2,72%,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.62,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,NA,SFSun 1:00 PM,NA,NA,4,NA,2/1,1/1,9%,NA,NA,NA,NA,NA,NA,NA
Lucas Havrisik,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.6,NA,17574,FleaFlicker,16043,NA,NA,NA,NA,NA,@NYGSun 1:00 PM,NA,NA,0,K30,2/2,2/2,6%,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.54,NA,14050,FleaFlicker,13980,NA,NA,NA,NA,NA,@DALSat 8:15 PM,NA,NA,9,K25,2/1,2/2,4%,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.4,9.36,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,NA,DETSat 8:15 PM,NA,NA,7,K10,2/1,3/3,76%,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.04,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,NA,LACSun 4:25 PM,NA,NA,9,K21,2/2,2/2,28%,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.03,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,NA,@TBSun 1:00 PM,NA,NA,1,K17,2/1,2/2,26%,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,JAC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.01,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,NA,CARSun 1:00 PM,NA,NA,9,K12,2/1,2/2,70%,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.92,NA,4221,FleaFlicker,8930,NA,NA,NA,NA,NA,@PHISun 1:00 PM,NA,NA,4,K18,2/1,1/1,14%,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,8.8,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,NA,@JACSun 1:00 PM,NA,NA,7,K29,2/1,1/1,6%,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,8.72,NA,13324,FleaFlicker,13403,NA,NA,NA,NA,NA,@CHISun 1:00 PM,NA,NA,1,K5,2/2,1/1,65%,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,8.46,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,NA,TENSun 1:00 PM,NA,NA,7,K23,2/1,2/2,12%,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,K,GB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,8.23,NA,17790,FleaFlicker,16339,NA,NA,NA,NA,NA,@MINSun 8:20 PM,NA,NA,6,K27,2/2,2/2,8%,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,8.15,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,NA,@DENSun 4:25 PM,NA,NA,5,K14,2/1,2/2,24%,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,8.14,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,NA,@KCSun 4:25 PM,NA,NA,7,K11,2/2,2/2,65%,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,6.25,NA,14337,FleaFlicker,13898,NA,NA,NA,NA,NA,GBSun 8:20 PM,NA,NA,3,K20,1/2,2/2,27%,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,6.12,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,NA,@INDSun 1:00 PM,NA,NA,3,K6,1/1,2/2,47%,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,5.78,NA,8608,FleaFlicker,10868,NA,NA,NA,NA,NA,@CLEThu 8:15 PM,NA,NA,7,K19,1/1,1/1,25%,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,NYG,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,4.81,NA,4715,FleaFlicker,8742,NA,NA,NA,NA,NA,LARSun 1:00 PM,NA,NA,3,NA,1/1,1/1,2%,NA,NA,NA,NA,NA,NA,NA
OUTCade York,K,NYG,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,4.71,NA,16929,FleaFlicker,15882,NA,NA,NA,NA,NA,LARSun 1:00 PM,NA,NA,3,NA,0/0,1/1,2%,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,NE,NA,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,4.44,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,NA,@BUFSun 1:00 PM,NA,NA,1,NA,1/1,1/1,4%,NA,NA,NA,NA,NA,NA,NA
IRGraham Gano,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,NA,LARSun 1:00 PM,NA,NA,3,NA,0/0,0/0,18%,NA,NA,NA,NA,NA,NA,NA
IRRandy Bullock,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,8478,FleaFlicker,10862,NA,NA,NA,NA,NA,LARSun 1:00 PM,NA,NA,3,NA,0/0,0/0,2%,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2.12,2.31,NA,0.82,NA,0.68,NA,0.51,NA,0.2,NA,3.14,NA,10.72,NA,jake-elliott,NumberFire,13303,NA,NA,NA,NA,NA,NYG,0.02,NA,NA,NA,NA,NA,NA,6.49,14.95,#19,1,10.74,10.74,10.74
Harrison Butker,K,KC,NA,1.77,1.98,NA,0.38,NA,0.64,NA,0.54,NA,0.23,NA,3.34,NA,9.81,NA,harrison-butker,NumberFire,13354,NA,NA,NA,NA,NA,LV,0.03,NA,NA,NA,NA,NA,NA,4.69,14.93,#17,2,9.8,9.8,9.8
Greg Zuerlein,K,NYJ,NA,1.94,2.06,NA,0.43,NA,0.65,NA,0.69,NA,0.18,NA,2.56,NA,9.5,NA,greg-zuerlein,NumberFire,10868,NA,NA,NA,NA,NA,WSH,0.02,NA,NA,NA,NA,NA,NA,4.26,14.74,#32,3,9.52,9.52,9.52
Tyler Bass,K,BUF,NA,1.69,2.17,NA,0.54,NA,0.59,NA,0.45,NA,0.05,NA,3.88,NA,9.47,NA,tyler-bass,NumberFire,14983,NA,NA,NA,NA,NA,LAC,0.05,NA,NA,NA,NA,NA,NA,5.6,13.34,#30,4,9.47,9.47,9.47
Brandon Aubrey,K,DAL,NA,1.62,1.93,NA,0.32,NA,0.61,NA,0.51,NA,0.19,NA,3.21,NA,9.14,NA,brandon-aubrey,NumberFire,16414,NA,NA,NA,NA,NA,MIA,0.05,NA,NA,NA,NA,NA,NA,5.6,12.68,#3,5,9.14,9.14,9.14
Riley Patterson,K,DET,NA,1.69,2.22,NA,0.66,NA,0.55,NA,0.31,NA,0.13,NA,3.47,NA,9.09,NA,riley-patterson,NumberFire,15369,NA,NA,NA,NA,NA,MIN,0.03,NA,NA,NA,NA,NA,NA,4.17,14.01,#10,6,9.08,9.08,9.08
Cairo Santos,K,CHI,NA,1.72,1.9,NA,0.42,NA,0.72,NA,0.52,NA,0.14,NA,2.84,NA,9.05,NA,cairo-santos,NumberFire,11945,NA,NA,NA,NA,NA,ARI,0,NA,NA,NA,NA,NA,NA,5.75,12.35,#31,7,9.04,9.04,9.04
Younghoe Koo,K,ATL,NA,2.01,2.32,NA,0.75,NA,0.72,NA,0.5,NA,0.07,NA,2.17,NA,9.01,NA,younghoe-koo,NumberFire,13403,NA,NA,NA,NA,NA,IND,0.02,NA,NA,NA,NA,NA,NA,4.66,13.36,#14,8,8.99,8.99,8.99
Nick Folk,K,TEN,NA,1.86,2,NA,0.57,NA,0.66,NA,0.55,NA,0.15,NA,2.33,NA,8.96,NA,nick-folk,NumberFire,8851,NA,NA,NA,NA,NA,SEA,0,NA,NA,NA,NA,NA,NA,5.62,12.3,#27,9,8.97,8.97,8.97
Jason Sanders,K,MIA,NA,1.72,2.24,NA,0.65,NA,0.56,NA,0.43,NA,0.04,NA,3.07,NA,8.89,NA,jason-sanders,NumberFire,13832,NA,NA,NA,NA,NA,DAL,0.09,NA,NA,NA,NA,NA,NA,4.7,13.08,#6,10,8.89,8.89,8.89
Jake Moody,K,SF,NA,1.79,2.14,NA,0.57,NA,0.52,NA,0.53,NA,0.16,NA,2.55,NA,8.77,NA,jake-moody,NumberFire,16286,NA,NA,NA,NA,NA,BAL,0,NA,NA,NA,NA,NA,NA,4.08,13.46,#2,11,8.74,8.74,8.74
Evan McPherson,K,CIN,NA,1.93,2.25,NA,0.54,NA,0.64,NA,0.46,NA,0.25,NA,2.08,NA,8.7,NA,evan-mcpherson,NumberFire,15368,NA,NA,NA,NA,NA,PIT,0,NA,NA,NA,NA,NA,NA,3.58,13.82,#13,12,8.71,8.71,8.71
Wil Lutz,K,DEN,NA,1.92,2.31,NA,0.6,NA,0.72,NA,0.4,NA,0.16,NA,2.26,NA,8.67,NA,wil-lutz,NumberFire,12956,NA,NA,NA,NA,NA,NE,0.02,NA,NA,NA,NA,NA,NA,3.36,13.98,#12,13,8.68,8.68,8.68
Anders Carlson,K,GB,NA,1.67,2.11,NA,0.39,NA,0.59,NA,0.43,NA,0.2,NA,2.85,NA,8.62,NA,anders-carlson,NumberFire,16339,NA,NA,NA,NA,NA,CAR,0.04,NA,NA,NA,NA,NA,NA,4.9,12.34,#25,14,8.63,8.63,8.63
Matt Prater,K,ARI,NA,1.78,1.92,NA,0.44,NA,0.46,NA,0.74,NA,0.18,NA,1.75,NA,8.53,NA,matt-prater,NumberFire,8930,NA,NA,NA,NA,NA,CHI,0.06,NA,NA,NA,NA,NA,NA,5.13,11.93,#15,15,8.49,8.49,8.49
Dustin Hopkins,K,CLE,NA,1.79,2.05,NA,0.37,NA,0.61,NA,0.57,NA,0.24,NA,1.92,NA,8.51,NA,dustin-hopkins,NumberFire,11387,NA,NA,NA,NA,NA,HOU,0.05,NA,NA,NA,NA,NA,NA,4.27,12.75,#18,16,8.49,8.49,8.49
Eddy Pineiro,K,CAR,NA,1.87,2.15,NA,0.53,NA,0.33,NA,0.63,NA,0.26,NA,2.02,NA,8.47,NA,eddy-pineiro,NumberFire,13719,NA,NA,NA,NA,NA,GB,0.02,NA,NA,NA,NA,NA,NA,3.4,13.54,#24,17,8.48,8.48,8.48
Chase McLaughlin,K,TB,NA,1.73,2.13,NA,0.54,NA,0.61,NA,0.39,NA,0.16,NA,2.52,NA,8.43,NA,chase-mclaughlin,NumberFire,14717,NA,NA,NA,NA,NA,JAC,0.02,NA,NA,NA,NA,NA,NA,4.4,12.46,#16,18,8.39,8.39,8.39
Chris Boswell,K,PIT,NA,1.59,1.84,NA,0.48,NA,0.46,NA,0.6,NA,0.13,NA,2.4,NA,8.3,NA,chris-boswell,NumberFire,11936,NA,NA,NA,NA,NA,CIN,0,NA,NA,NA,NA,NA,NA,3.96,12.64,#26,19,8.27,8.27,8.27
Jason Myers,K,SEA,NA,1.78,2.1,NA,0.65,NA,0.45,NA,0.58,NA,0.08,NA,2.13,NA,8.16,NA,jason-myers,NumberFire,12437,NA,NA,NA,NA,NA,TEN,0,NA,NA,NA,NA,NA,NA,4.38,11.94,#23,20,8.15,8.15,8.15
Cameron Dicker,K,LAC,NA,1.78,1.93,NA,0.47,NA,0.68,NA,0.41,NA,0.17,NA,2.09,NA,8.14,NA,cameron-dicker,NumberFire,15979,NA,NA,NA,NA,NA,BUF,0.04,NA,NA,NA,NA,NA,NA,4.13,12.15,#11,21,8.15,8.15,8.15
Ka'imi Fairbairn,K,HOU,NA,1.75,1.93,NA,0.54,NA,0.49,NA,0.44,NA,0.2,NA,2.06,NA,8.06,NA,ka-imi-fairbairn,NumberFire,12860,NA,NA,NA,NA,NA,CLE,0.05,NA,NA,NA,NA,NA,NA,4.59,11.53,#1,22,8.06,8.06,8.06
Brandon McManus,K,JAC,NA,1.58,1.76,NA,0.65,NA,0.58,NA,0.37,NA,0.14,NA,2.16,NA,8.03,NA,brandon-mcmanus,NumberFire,11947,NA,NA,NA,NA,NA,TB,0,NA,NA,NA,NA,NA,NA,4.71,11.35,#21,23,8.03,8.03,8.03
Lucas Havrisik,K,LA,NA,1.52,2.05,NA,0.53,NA,0.42,NA,0.42,NA,0.09,NA,2.82,NA,8,NA,lucas-havrisik,NumberFire,16043,NA,NA,NA,NA,NA,NO,0.07,NA,NA,NA,NA,NA,NA,4.82,11.18,#5,24,8.01,8.01,8.01
Blake Grupe,K,NO,NA,1.6,2.04,NA,0.56,NA,0.48,NA,0.44,NA,0.11,NA,2.28,NA,7.7,NA,blake-grupe,NumberFire,16444,NA,NA,NA,NA,NA,LA,0,NA,NA,NA,NA,NA,NA,4.24,11.16,#20,25,7.71,7.71,7.71
Matt Gay,K,IND,NA,1.64,2.03,NA,0.44,NA,0.55,NA,0.39,NA,0.19,NA,1.92,NA,7.49,NA,matt-gay,NumberFire,14244,NA,NA,NA,NA,NA,ATL,0.02,NA,NA,NA,NA,NA,NA,3.94,11.04,#9,26,7.46,7.46,7.46
Joey Slye,K,WSH,NA,1.53,1.99,NA,0.41,NA,0.41,NA,0.48,NA,0.27,NA,1.73,NA,7.47,NA,joey-slye,NumberFire,14600,NA,NA,NA,NA,NA,NYJ,0,NA,NA,NA,NA,NA,NA,3.51,11.43,#4,27,7.46,7.46,7.46
Greg Joseph,K,MIN,NA,1.44,2.08,NA,0.53,NA,0.37,NA,0.37,NA,0.09,NA,2.73,NA,7.42,NA,greg-joseph,NumberFire,13898,NA,NA,NA,NA,NA,DET,0.02,NA,NA,NA,NA,NA,NA,3.7,11.14,#22,28,7.42,7.42,7.42
Justin Tucker,K,BAL,NA,1.35,1.66,NA,0.37,NA,0.59,NA,0.28,NA,0.17,NA,2.49,NA,7.31,NA,justin-tucker,NumberFire,10976,NA,NA,NA,NA,NA,SF,0,NA,NA,NA,NA,NA,NA,2.83,11.79,#7,29,7.34,7.34,7.34
Mason Crosby,K,NYG,NA,1.52,1.81,NA,0.42,NA,0.54,NA,0.51,NA,0.06,NA,1.9,NA,7.11,NA,mason-crosby,NumberFire,8742,NA,NA,NA,NA,NA,PHI,0,NA,NA,NA,NA,NA,NA,3.27,10.95,#28,30,7.12,7.12,7.12
Daniel Carlson,K,LV,NA,1.29,1.58,NA,0.49,NA,0.39,NA,0.29,NA,0.13,NA,1.5,NA,6.01,NA,daniel-carlson,NumberFire,13718,NA,NA,NA,NA,NA,KC,0.02,NA,NA,NA,NA,NA,NA,3.6,8.42,#8,31,6.01,6.01,6.01
Chad Ryland,K,NE,NA,1.1,1.5,NA,0.3,NA,0.3,NA,0.32,NA,0.14,NA,1.96,NA,5.81,NA,chad-ryland,NumberFire,16292,NA,NA,NA,NA,NA,DEN,0.02,NA,NA,NA,NA,NA,NA,2.4,9.22,#29,32,5.8,5.8,5.8
