player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
Dustin Hopkins,CLE,2,2,2.1,10.06,9416,FleaFlicker,K,11387,CINSun 1:00 PM,2.1,NA,NA,NA,NA,NA,NA,5,K20,2/2,2/2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,NYJ,2,2.2,2,10.01,8608,FleaFlicker,K,10868,BUFMon 8:15 PM,2,NA,NA,NA,NA,NA,NA,7,K13,2/2,2/2,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,IND,2,1.9,2,10,14848,FleaFlicker,K,14244,JACSun 1:00 PM,2,NA,NA,NA,NA,NA,NA,1,K14,2/1,2/2,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,WAS,2,1.9,1.9,9.91,15366,FleaFlicker,K,14600,ARISun 1:00 PM,1.9,NA,NA,NA,NA,NA,NA,4,K32,2/1,1/1,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,JAC,2,2.1,2.5,9.55,9754,FleaFlicker,K,11947,@INDSun 1:00 PM,2.5,NA,NA,NA,NA,NA,NA,9,K9,2/2,2/2,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,ATL,2,2.1,2.5,9.48,13324,FleaFlicker,K,13403,CARSun 1:00 PM,2.5,NA,NA,NA,NA,NA,NA,1,K6,2/2,2/2,87%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,2,2.1,2.4,9.44,15626,FleaFlicker,K,14983,@NYJMon 8:15 PM,2.4,NA,NA,NA,NA,NA,NA,3,K2,2/2,2/2,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,DET,2,1.9,2.4,9.42,16587,FleaFlicker,K,15369,@KCThu 8:20 PM,2.4,NA,NA,NA,NA,NA,NA,9,K19,2/1,2/2,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,DEN,2,2.1,2.4,9.41,12611,FleaFlicker,K,12956,LVSun 4:25 PM,2.4,NA,NA,NA,NA,NA,NA,9,K15,2/2,2/2,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,LV,2,2,2.3,9.29,13947,FleaFlicker,K,13718,@DENSun 4:25 PM,2.3,NA,NA,NA,NA,NA,NA,3,K5,2/1,2/2,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,NYG,2,2,2.2,9.19,6304,FleaFlicker,K,9694,DALSun 8:20 PM,2.2,NA,NA,NA,NA,NA,NA,3,K11,2/1,2/2,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,LAR,2,1.9,2.2,9.17,10038,FleaFlicker,K,13909,@SEASun 4:25 PM,2.2,NA,NA,NA,NA,NA,NA,0,K25,2/1,2/2,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA
