player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
"Zuerlein, Greg",NYJ,1.9,2.3,1.8,7.6,NA,FantasySharks,K,10868,BUF,1.9,0,0.4,0.7,0.5,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",PHI,1.4,1.6,2.9,7.4,NA,FantasySharks,K,13303,@NEP,3,0,0.3,0.6,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",HOU,1.7,1.8,1.4,7.2,NA,FantasySharks,K,12860,@BAL,1.5,0,0.5,0.5,0.4,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Anders",GBP,1.5,1.8,2.8,7.1,NA,FantasySharks,K,16339,@CHI,2.9,0,0.7,0.5,0.2,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",DEN,1.6,1.9,1.9,7,NA,FantasySharks,K,12956,LVR,2,0,0.4,0.3,0.5,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moody, Jake",SFO,1.5,1.8,2.6,6.9,NA,FantasySharks,K,16286,@PIT,2.7,0,0.7,0.3,0.4,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",MIA,1.6,2,2.3,6.9,NA,FantasySharks,K,13832,@LAC,2.5,0,0.3,0.5,0.6,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",ATL,1.6,1.8,1.6,6.7,NA,FantasySharks,K,13403,CAR,1.7,0,0.4,0.4,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",CLE,1.6,1.9,2.2,6.7,NA,FantasySharks,K,11387,CIN,2.3,0,0.3,0.7,0.4,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",TEN,1.5,1.7,2,6.5,NA,FantasySharks,K,8851,@NOS,2.2,0,0.5,0.4,0.4,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",NOS,1.3,1.5,2,5.9,NA,FantasySharks,K,16444,TEN,2.2,0,0.5,0.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",CHI,1.4,1.5,1.6,5.8,NA,FantasySharks,K,11945,GBP,1.8,0,0.4,0.4,0.5,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,TEN,2,2.1,1.8,11.79,4780,FleaFlicker,K,8851,@NOSun 1:00 PM,1.8,NA,NA,NA,NA,NA,NA,7,K16,2/2,1/1,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,BAL,2,2,3,11.04,8663,FleaFlicker,K,10976,HOUSun 1:00 PM,3,NA,NA,NA,NA,NA,NA,3,K1,2/2,3/3,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,2,2.2,2.5,10.48,14337,FleaFlicker,K,13898,TBSun 1:00 PM,2.5,NA,NA,NA,NA,NA,NA,3,K12,2/2,2/2,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,MIA,2,1.9,2.5,10.45,13977,FleaFlicker,K,13832,@LACSun 4:25 PM,2.5,NA,NA,NA,NA,NA,NA,0,K7,2/1,2/2,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,SEA,2,2.4,2.4,10.44,11124,FleaFlicker,K,12437,LARSun 4:25 PM,2.4,NA,NA,NA,NA,NA,NA,5,K10,2/2,2/2,77%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,CHI,2,2.1,2.2,10.24,10888,FleaFlicker,K,11945,GBSun 4:25 PM,2.2,NA,NA,NA,NA,NA,NA,3,K22,2/2,2/2,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,TB,2,1.9,2.1,10.15,15412,FleaFlicker,K,14717,@MINSun 1:00 PM,2.1,NA,NA,NA,NA,NA,NA,5,NA,2/1,2/2,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,2,2,2.1,10.09,10779,FleaFlicker,K,11936,SFSun 1:00 PM,2.1,NA,NA,NA,NA,NA,NA,6,K17,2/1,2/2,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA
