player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_tgt,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Clyde Edwards-Helaire,KC,2,7,0.1,0,0,0,NA,1.3,17070,FFToday,RB,14803,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Evans,LAR,2,8,0,0,0,0,NA,0.8,18514,FFToday,RB,16163,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker,SEA,19.1,81.4,0.9,2,15.7,0.1,0.1,15.61,16890,FleaFlicker,RB,15711,ARISun 4:05 PM,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,RB3,1,97.1,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,SF,14.3,64.5,0.7,3.4,28.4,0.2,0.1,14.55,12892,FleaFlicker,RB,13130,@MINMon 8:15 PM,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,9,NA,RB1,0.9,92.9,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,LV,20,78,0.6,3.6,27.4,0.1,0.1,14.36,14673,FleaFlicker,RB,14073,@CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,3,NA,RB8,0.7,105.4,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,MIA,14.8,68.5,0.6,2.9,23.2,0.1,0.1,13.63,11455,FleaFlicker,RB,12447,@PHISun 8:20 PM,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,0,NA,RB16,0.8,91.8,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,LAC,13.6,57.7,0.5,4.9,37.4,0.2,0.1,13.29,13325,FleaFlicker,RB,13404,@KCSun 4:25 PM,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,NA,RB6,0.7,95.1,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,NYG,18.1,74.1,0.5,3.2,22,0.1,0.1,12.93,13778,FleaFlicker,RB,13604,WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,3,NA,RB14,0.6,96.1,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,JAC,17.2,73.8,0.4,2.9,22,0.1,0.1,12.68,16241,FleaFlicker,RB,15253,@NOW 31-24,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,9,12.68,RB5,0.5,95.8,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,KC,15.1,68.5,0.5,2.5,19,0.1,0.1,12.4,17029,FleaFlicker,RB,15749,LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,0,NA,RB13,0.6,87.4,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
