player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_tgt,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
"Moss, Zack",IND,10,47,0.5,1.8,13,0.1,0,9.4,NA,FantasySharks,RB,14798,CLE,0.2,0.2,0,0,0,0.1,2.3,0.4,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Jaleel",DEN,10,45,0.3,2.5,17,0.2,0,9.3,NA,FantasySharks,RB,16390,GBP,0.2,0.1,0,0,0,0,3,0.3,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris, Najee",PIT,14.1,54,0.2,2,12,0.1,0.1,8.5,NA,FantasySharks,RB,15254,@LAR,0.2,0,0,0,0,0,2.8,0.3,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunt, Kareem",CLE,10,45,0.4,1.7,12,0,0,8.3,NA,FantasySharks,RB,13138,@IND,0.2,0.2,0,0,0,0,2.3,0.3,0.1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allgeier, Tyler",ATL,11.5,47,0.4,0.9,6,0,0,8,NA,FantasySharks,RB,15712,@TBB,0.2,0.2,0,0,0,0,1.3,0.1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Javonte",DEN,11,49,0.1,2.6,15,0.1,0,7.9,NA,FantasySharks,RB,15256,GBP,0.1,0,0,0,0,0,3.5,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Ezekiel",NEP,10.4,44,0.4,1.9,9,0,0.1,7.4,NA,FantasySharks,RB,12625,BUF,0.3,0.1,0,0,0,0,2.6,0.2,0,0,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Rachaad",TBB,11.8,42,0.1,3.6,22,0.1,0.2,7.4,NA,FantasySharks,RB,15721,ATL,0.1,0,0,0,0,0,4,0.5,0.1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Craig",DET,10,45,0.3,1.4,11,0,0.1,7.3,NA,FantasySharks,RB,14727,@BAL,0.3,0,0,0,0,0,1.7,0.2,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edwards, Gus",BAL,10.5,46,0.3,0.6,3,0,0,6.9,NA,FantasySharks,RB,13850,DET,0.3,0,0,0,0,0,0.9,0.1,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibson, Antonio",WAS,7,30,0.1,2.7,23,0.1,0.1,6.5,NA,FantasySharks,RB,14852,@NYG,0.1,0,0,0,0,0,3.7,0.3,0.1,0.1,24,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell, Elijah",SFO,8,38,0.3,0.8,5,0,0,6.2,NA,FantasySharks,RB,15263,@MIN,0.1,0.1,0.1,0,0,0,1,0.2,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason, Jordan",SFO,8.5,40,0.3,0.1,2,0,0,6.2,NA,FantasySharks,RB,15972,@MIN,0.1,0.1,0.1,0,0,0,0.3,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akers, Cam",MIN,8,38,0.2,1.2,7,0,0,5.7,NA,FantasySharks,RB,14799,SFO,0.2,0,0,0,0,0,1.4,0.2,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKinnon, Jerick",KCC,3.4,14,0,2.4,20,0.4,0,5.5,NA,FantasySharks,RB,11761,LAC,0,0,0,0,0,0,3.2,0.7,0.1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foreman, D'Onta",CHI,10,45,0.1,0.9,4,0,0.1,5.4,NA,FantasySharks,RB,13134,LVR,0.1,0,0,0,0,0,1.1,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murray, Latavius",BUF,6.3,27,0.3,1.2,8,0,0,5.2,NA,FantasySharks,RB,11390,@NEP,0.3,0,0,0,0,0,1.6,0.2,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Jeffery",MIA,5.1,24,0.3,1.3,11,0.1,0.1,5.1,NA,FantasySharks,RB,14017,@PHI,0.2,0,0,0,0,0,1.9,0.3,0,0,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Jamaal",NOS,8.1,30,0.3,0.5,3,0,0.2,4.8,NA,FantasySharks,RB,13139,JAC,0.3,0,0,0,0,0,0.6,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gainwell, Kenneth",PHI,6.1,26,0.1,1.7,11,0,0,4.8,NA,FantasySharks,RB,15255,MIA,0.1,0,0,0,0,0,2.3,0.3,0,0,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren, Jaylen",PIT,5.3,23,0.1,2.4,18,0,0,4.4,NA,FantasySharks,RB,15742,@LAR,0.1,0,0,0,0,0,2.9,0.2,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Justice",BAL,6,29,0.2,1.3,4,0,0.1,4.1,NA,FantasySharks,RB,14086,DET,0.1,0.1,0,0,0,0,1.5,0.2,0,0,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Joshua",LAC,7.2,27,0.1,0.8,5,0,0,4,NA,FantasySharks,RB,14807,@KCC,0.1,0,0,0,0,0,1.4,0.1,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Cordarrelle",ATL,4.8,20,0.2,1,6,0,0,4,NA,FantasySharks,RB,11225,@TBB,0.2,0.1,0,0,0,0,1.4,0.2,0,0,16,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott, Boston",PHI,3.8,16,0.3,0.5,3,0,0,3.8,NA,FantasySharks,RB,13814,MIA,0.2,0.1,0,0,0,0,0.5,0,0,0,18,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breida, Matt",NYG,7,22,0.1,1.4,8,0,0,3.8,NA,FantasySharks,RB,13378,WAS,0.1,0,0,0,0,0,1.7,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perine, Samaje",DEN,3.7,16,0.1,1.9,16,0,0.2,3.3,NA,FantasySharks,RB,13133,GBP,0.1,0,0,0,0,0,2.6,0.3,0.1,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Darrynton",CHI,5,25,0.1,0.1,1,0,0,3.2,NA,FantasySharks,RB,14808,LVR,0.1,0,0,0,0,0,0.4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edwards-Helaire, Clyde",KCC,4.5,15,0.1,1,6,0,0,3.1,NA,FantasySharks,RB,14803,LAC,0.1,0,0,0,0,0,1.2,0.1,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charbonnet, Zach",SEA,4.5,20,0,1.4,9,0,0,2.9,NA,FantasySharks,RB,16169,ARI,0,0,0,0,0,0,1.9,0.2,0,0,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strong Jr., Pierre",CLE,2.8,16,0.2,0.4,2,0,0,2.7,NA,FantasySharks,RB,15733,@IND,0.2,0,0,0,0,0,0.6,0,0,0,20,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miller, Kendre",NOS,5.6,18,0,1.2,10,0,0,2.7,NA,FantasySharks,RB,16171,JAC,0,0,0,0,0,0,1.3,0.1,0,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahmed, Salvon",MIA,2.5,12,0.1,0.8,6,0,0,2.6,NA,FantasySharks,RB,14811,@PHI,0.1,0,0,0,0,0,1.2,0.1,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homer, Travis",CHI,5.2,20,0,1,6,0,0.2,2.6,NA,FantasySharks,RB,14083,LVR,0,0,0,0,0,0,1.2,0.1,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Sean",TBB,5.4,16,0,1.1,5,0,0,2.5,NA,FantasySharks,RB,16166,ATL,0,0,0,0,0,0,1.4,0.2,0,0,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bigsby, Tank",JAC,3,10,0.2,0.5,3,0,0.1,2.1,NA,FantasySharks,RB,16164,@NOS,0.2,0,0,0,0,0,0.9,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Damien",ARI,3.4,13,0,0.8,5,0,0,1.8,NA,FantasySharks,RB,11886,@SEA,0,0,0,0,0,0,0.9,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freeman, Royce",LAR,4,14,0,0.6,4,0,0,1.8,NA,FantasySharks,RB,13617,PIT,0,0,0,0,0,0,1,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ham, C.J.",MIN,0.4,1,0.2,1,8,0,0,1.8,NA,FantasySharks,RB,12923,SFO,0.2,0,0,0,0,0,1.2,0.2,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaughn, Ke'Shawn",TBB,3.3,10,0.1,0.5,3,0,0,1.8,NA,FantasySharks,RB,14810,ATL,0,0,0,0,0,0,0.6,0.1,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gordon, Melvin",BAL,2.5,9,0,0.7,8,0,0,1.7,NA,FantasySharks,RB,12151,DET,0,0,0,0,0,0,1,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Zamir",LVR,2.1,9,0,1.2,8,0,0.1,1.6,NA,FantasySharks,RB,15714,@CHI,0,0,0,0,0,0,1.5,0.1,0,0,9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gilliam, Reggie",BUF,1.9,7,0.1,0.5,4,0,0,1.6,NA,FantasySharks,RB,15103,@NEP,0.1,0,0,0,0,0,0.6,0.1,0,0,13,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clement, Corey",ARI,1.4,5,0.1,0.4,4,0,0,1.5,NA,FantasySharks,RB,13136,@SEA,0.1,0,0,0,0,0,0.6,0,0,0,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juszczyk, Kyle",SFO,0.3,1,0,1.2,13,0,0,1.5,NA,FantasySharks,RB,11367,@MIN,0,0,0,0,0,0,1.4,0.1,0.1,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolden, Brandon",LVR,1.7,7,0,0.6,4,0.1,0,1.4,NA,FantasySharks,RB,10932,@CHI,0,0,0,0,0,0,0.7,0.1,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rodriguez, Chris",WAS,3.2,14,0,0.1,0,0,0,1.4,NA,FantasySharks,RB,16174,@NYG,0,0,0,0,0,0,0.3,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas, DeeJay",SEA,1.9,8,0,0.8,5,0,0,1.2,NA,FantasySharks,RB,14815,ARI,0,0,0,0,0,0,1.1,0.1,0,0,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abdullah, Ameer",LVR,0.4,2,0,1.1,8,0,0,1.2,NA,FantasySharks,RB,12155,@CHI,0,0,0,0,0,0,1.7,0.3,0,0,17,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brightwell, Gary",NYG,1.7,5,0,0.5,5,0,0,1.1,NA,FantasySharks,RB,15462,WAS,0,0,0,0,0,0,0.8,0.1,0,0,17,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Emanuel",GBP,2.6,9,0,0.3,2,0,0,1.1,NA,FantasySharks,RB,16432,@DEN,0,0,0,0,0,0,0.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McFarland, Anthony",PIT,0.9,3,0.1,0.5,3,0,0,1,NA,FantasySharks,RB,14804,@LAR,0.1,0,0,0,0,0,0.5,0.3,0,0,15,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell, Keaton",BAL,1.6,7,0,0.5,4,0,0.1,1,NA,FantasySharks,RB,16178,DET,0,0,0,0,0,0,0.7,0.1,0,0,5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis-Price, Tyrion",SFO,3.3,9,0,0.1,0.1,0,0,0.9,NA,FantasySharks,RB,15746,@MIN,0,0,0,0,0,0,0.2,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandler, Ty",MIN,1.4,5,0,0.4,3,0,0,0.8,NA,FantasySharks,RB,15723,SFO,0,0,0,0,0,0,0.4,0,0,0,21,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montgomery, Ty",NEP,0.7,2,0,0.8,4,0,0,0.8,NA,FantasySharks,RB,12261,BUF,0,0,0,0,0,0,1.7,0.3,0,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Keith",ATL,0.3,2,0,0.3,6,0,0,0.7,NA,FantasySharks,RB,12040,@TBB,0,0,0,0,0,0,0.3,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingold, Alec",MIA,0.6,1,0,0.5,4,0,0,0.7,NA,FantasySharks,RB,14420,@PHI,0,0,0,0,0,0,0.8,0.1,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spiller, Isaiah",LAC,2.3,5,0,0.4,2,0,0,0.7,NA,FantasySharks,RB,15709,@KCC,0,0,0,0,0,0,0.4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Igwebuike, Godwin",PIT,0.6,1,0.1,0.3,2,0,0,0.6,NA,FantasySharks,RB,14011,@LAR,0.1,0,0,0,0,0,0.3,0.2,0,0,26,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demercado, Emari",ARI,1,3,0,0.5,2,0,0,0.5,NA,FantasySharks,RB,16385,@SEA,0,0,0,0,0,0,0.6,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Howell, Buddy",LAR,1.6,4,0,0.1,1,0,0,0.5,NA,FantasySharks,RB,13916,PIT,0,0,0,0,0,0,0.2,0.1,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricard, Patrick",BAL,0.2,0,0,0.3,3,0,0,0.3,NA,FantasySharks,RB,13455,DET,0,0,0,0,0,0,0.4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, D'Ernest",JAC,0.7,2,0,0.3,1,0,0,0.3,NA,FantasySharks,RB,14331,@NOS,0,0,0,0,0,0,0.5,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nwangwu, Kene",MIN,0.3,1,0,0.1,1,0,0,0.3,NA,FantasySharks,RB,15414,SFO,0,0,0,0,0,0,0.1,0,0,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sermon, Trey",IND,0.6,1,0,0.2,1,0,0,0.2,NA,FantasySharks,RB,15257,CLE,0,0,0,0,0,0,0.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burton, Michael",DEN,0.9,2,0,0.1,0,0,0,0.2,NA,FantasySharks,RB,12325,GBP,0,0,0,0,0,0,0.1,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penny, Rashaad",PHI,0.2,1,0,0,0.1,0,0,0.1,NA,FantasySharks,RB,13608,MIA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Jakob",LVR,0,0,0,0.4,1,0,0,0.1,NA,FantasySharks,RB,14359,@CHI,0,0,0,0,0,0,0.5,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feaster, Tavien",ARI,0.2,0,0,0,0,0,0,0.1,NA,FantasySharks,RB,14819,@SEA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,SF,14,70,1,3,22,0.1,NA,15.8,15950,FFToday,RB,13130,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,LV,21,81,0.6,4,25,0.1,NA,14.8,16611,FFToday,RB,14073,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,LAC,17,67,0.5,5,36,0.2,NA,14.5,14936,FFToday,RB,13404,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker,SEA,19,83,0.6,3,19,0.1,NA,14.4,18234,FFToday,RB,15711,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,MIA,15,78,0.6,2,19,0.1,NA,13.9,14679,FFToday,RB,12447,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,ATL,14,68,0.3,5,38,0.2,NA,13.6,18630,FFToday,RB,16161,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,PHI,15,73,0.4,4,29,0.1,NA,13.2,17220,FFToday,RB,14797,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,NYG,18,79,0.4,3,22,0.1,NA,13.1,16319,FFToday,RB,13604,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,NO,18,70,0.3,4,31,0.2,NA,13.1,15924,FFToday,RB,13132,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,JAC,17,75,0.4,3,23,0.1,NA,12.8,17561,FFToday,RB,15253,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,GB,16,70,0.3,3,26,0.1,NA,12,15916,FFToday,RB,13319,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,DET,15,64,0.4,3,21,0.1,NA,11.5,18522,FFToday,RB,16162,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,KC,14,61,0.4,3,20,0.1,NA,11.1,18172,FFToday,RB,15749,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,TB,15,58,0.3,3,21,0.1,NA,10.3,18240,FFToday,RB,15721,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,CLE,13,59,0.2,4,22,0.1,NA,9.9,18075,FFToday,RB,15713,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,WAS,12,56,0.3,2,16,0.1,NA,9.6,18194,FFToday,RB,15716,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,BUF,12,55,0.2,3,21,0.1,NA,9.4,18046,FFToday,RB,15715,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,NE,14,54,0.3,2,16,0.1,NA,9.4,17716,FFToday,RB,15259,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
