team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NYG,0.5,0,1.8,NA,0.3,NA,0.2,29,NA,NA,NA,384.7,NA,6.4,NA,FantasySharks,0517,NA,"Giants, New York",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,0,2,NA,0.1,NA,0.1,29.4,NA,NA,NA,395.1,NA,5.9,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.6,0,1.5,NA,0.2,NA,0.2,41.5,NA,NA,NA,526,NA,4,NA,FantasySharks,0511,NA,"Broncos, Denver",D,@KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.9,NA,3.9,NA,0.6,0.7,0.1,18.7,NA,NA,NA,323.1,NA,12.55,NA,FleaFlicker,0526,2329,Atlanta Falcons,DST,WASSun 1:00 PM,11,NA,D/ST20,0,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,NA,3.8,NA,0.6,0.9,0.2,20.7,NA,NA,NA,324.2,NA,12.37,NA,FleaFlicker,0524,2345,Minnesota Vikings,DST,@CHISun 1:00 PM,13,NA,D/ST28,0,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.8,NA,3.4,NA,0.5,0.8,0.2,17.4,NA,NA,NA,327.6,NA,11.56,NA,FleaFlicker,0512,2343,Kansas City Chiefs,DST,DENW 19-8,10,11.56,D/ST11,0,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.9,NA,3.1,NA,0.5,0.8,0.2,13.9,NA,NA,NA,319.2,NA,11.4,NA,FleaFlicker,0501,2331,Buffalo Bills,DST,NYGSun 8:20 PM,13,NA,D/ST7,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,NA,3,NA,0.6,0.8,0.2,18.5,NA,NA,NA,306.4,NA,11.17,NA,FleaFlicker,0518,2351,Philadelphia Eagles,DST,@NYJSun 4:25 PM,10,NA,D/ST6,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1.1,NA,2.9,NA,0.6,0.7,0.2,17,NA,NA,NA,303.3,NA,11.07,NA,FleaFlicker,0530,2355,San Francisco 49ers,DST,@CLESun 1:00 PM,9,NA,D/ST1,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,NA,2.9,NA,0.6,0.7,0.2,18.4,NA,NA,NA,321.9,NA,10.64,NA,FleaFlicker,0531,2330,Baltimore Ravens,DST,@TENSun 9:30 AM,13,NA,D/ST5,0,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
