player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Jonathan Mingo,WR,CAR,NA,3.3,3.3,45.6,NA,NA,0.2,0.1,0.8,NA,0,0,5.82,NA,17656,FleaFlicker,16197,@ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR66,0.2,46.4,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Moore,WR,CLE,NA,3.1,3.1,42.1,NA,NA,0.2,0.4,2.1,NA,0,0,5.78,NA,16265,FleaFlicker,15288,CINSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR44,0.2,44.3,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims,WR,DEN,NA,3.1,3.1,43.2,NA,NA,0.2,0.1,0.7,NA,0,0.1,5.65,NA,17631,FleaFlicker,16189,LVSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,WR65,0.2,43.8,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,JAC,NA,3.8,3.8,41.6,NA,NA,0.2,0.1,0.5,NA,0,0,5.57,NA,12937,FleaFlicker,13176,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,WR60,0.2,42.1,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,WAS,NA,2.7,2.7,30.8,NA,NA,0.1,1.8,9.8,NA,0.1,0,5.4,NA,12930,FleaFlicker,13157,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,WR70,0.2,40.7,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVante Parker,WR,NE,NA,3.1,3.1,41.9,NA,NA,0.2,0,0,NA,0,0,5.37,NA,11170,FleaFlicker,12176,PHISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR75,0.2,41.9,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,CHI,NA,3.1,3.1,40.6,NA,NA,0.2,0.1,0.6,NA,0,0,5.36,NA,15658,FleaFlicker,14974,GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR56,0.2,41.2,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Gallup,WR,DAL,NA,3,3,39.1,NA,NA,0.2,0,0,NA,0,0,5.33,NA,13788,FleaFlicker,13646,@NYGSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR62,0.2,39.1,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Boyd,WR,CIN,NA,3.2,3.2,40.3,NA,NA,0.2,0.1,0.7,NA,0,0,5.21,NA,12051,FleaFlicker,12650,@CLESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR57,0.2,41,73%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,NA,2.8,2.8,38.5,NA,NA,0.2,0.1,0.6,NA,0,0,5.2,NA,17606,FleaFlicker,16185,LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR40,0.2,39.1,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,NO,NA,2.7,2.7,38.1,NA,NA,0.1,0.2,2.2,NA,0,0,5.15,NA,17243,FleaFlicker,16080,TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR71,0.2,40.3,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan Peoples-Jones,WR,CLE,NA,2.7,2.7,40.5,NA,NA,0.2,0,0,NA,0,0.1,5.03,NA,15642,FleaFlicker,14857,CINSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR64,0.2,40.5,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,NA,2.8,2.8,40,NA,NA,0.2,0,0,NA,0,0,4.94,NA,16842,FleaFlicker,15768,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR69,0.2,40.1,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,NA,2.5,2.5,38.8,NA,NA,0.2,0,0,NA,0,0.1,4.92,NA,16248,FleaFlicker,15293,HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR46,0.2,38.8,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,NE,NA,3,3,37.5,NA,NA,0.1,0.3,2.2,NA,0,0,4.89,NA,13364,FleaFlicker,13418,PHISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR97,0.2,39.7,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K.J. Osborn,WR,MIN,NA,2.9,2.9,33.6,NA,NA,0.2,0.2,0.8,NA,0,0,4.8,NA,15695,FleaFlicker,14977,TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR68,0.2,34.4,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,NA,2.7,2.7,40.3,NA,NA,0.1,0,0.1,NA,0,0.1,4.78,NA,14833,FleaFlicker,14122,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR76,0.1,40.5,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Hodgins,WR,NYG,NA,3,3,35.2,NA,NA,0.2,0,0.1,NA,0,0.1,4.74,NA,15625,FleaFlicker,14849,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR74,0.2,35.2,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rondale Moore,WR,ARI,NA,3.6,3.6,36.8,NA,NA,0.1,0.8,3.4,NA,0,0,4.7,NA,16327,FleaFlicker,15283,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,WR67,0.1,40.2,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,LV,NA,3.7,3.7,37.3,NA,NA,0.2,0,0.2,NA,0,0.1,4.68,NA,14836,FleaFlicker,14123,@DENSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR79,0.2,37.6,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecole Hardman,WR,NYJ,NA,2.6,2.6,31.6,NA,NA,0.2,0.5,3.1,NA,0,0.1,4.61,NA,14725,FleaFlicker,14113,BUFMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR84,0.2,34.7,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,2.4,2.4,35.3,NA,NA,0.1,0.5,2.3,NA,0,0,4.56,NA,16326,FleaFlicker,15301,@SEASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,WR110,0.1,37.6,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Jones,WR,DET,NA,2.6,2.6,34.2,NA,NA,0.2,0,0,NA,0,0,4.54,NA,8429,FleaFlicker,10738,@KCW 21-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4.54,WR92,0.2,34.2,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Woods,WR,HOU,NA,3.5,3.5,35.8,NA,NA,0.1,0.2,1.2,NA,0,0,4.52,NA,9338,FleaFlicker,11228,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR83,0.1,37,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parris Campbell,WR,NYG,NA,2.8,2.8,32,NA,NA,0.1,0.2,2.3,NA,0,0,4.29,NA,14692,FleaFlicker,14112,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR78,0.1,34.3,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Reynolds,WR,DET,NA,2.5,2.5,33,NA,NA,0.2,0,0.1,NA,0,0,4.24,NA,13029,FleaFlicker,13168,@KCW 21-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4.24,WR93,0.2,33,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,NA,2.4,2.4,33.6,NA,NA,0.1,0.1,0.7,NA,0,0,4.19,NA,17593,FleaFlicker,16188,MIASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR49,0.1,34.4,79%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,DEN,NA,2.3,2.3,30.5,NA,NA,0.2,0.1,0.7,NA,0,0,4.08,NA,15544,FleaFlicker,14833,LVSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,WR34,0.2,31.2,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Palmer,WR,LAC,NA,2.6,2.6,31.7,NA,NA,0.1,0,0.1,NA,0,0,3.95,NA,16292,FleaFlicker,15319,MIASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR82,0.1,31.8,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,ATL,NA,2.3,2.3,27.8,NA,NA,0.2,0.1,1,NA,0,0,3.82,NA,13008,FleaFlicker,13289,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR96,0.2,28.8,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrace Marshall,WR,CAR,NA,2.1,2.1,30.7,NA,NA,0.1,0,0,NA,0,0,3.77,NA,16313,FleaFlicker,15308,@ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR90,0.1,30.7,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,NA,2.3,2.3,30.9,NA,NA,0.1,0.1,0.5,NA,0,0,3.72,NA,17671,FleaFlicker,16206,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,WR98,0.1,31.4,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,2.2,2.2,29.9,NA,NA,0.1,0.1,0.3,NA,0,0,3.58,NA,17779,FleaFlicker,16211,@SEASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,WR94,0.1,30.2,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Robinson,WR,PIT,NA,2.4,2.4,28.1,NA,NA,0.1,0,0,NA,0,0,3.57,NA,10305,FleaFlicker,11678,SFSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,WR88,0.1,28.1,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Dell,WR,HOU,NA,2.1,2.1,29.2,NA,NA,0.1,0.1,0.4,NA,0,0,3.56,NA,17627,FleaFlicker,16204,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR89,0.1,29.6,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Skowronek,WR,LAR,NA,2.3,2.3,26.7,NA,NA,0.1,0,0.5,NA,0,0,3.48,NA,16526,FleaFlicker,15491,@SEASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,WR125,0.1,27.2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Claypool,WR,CHI,NA,1.8,1.8,25,NA,NA,0.1,0.2,1.9,NA,0,0,3.37,NA,15597,FleaFlicker,14841,GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR81,0.1,26.9,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laviska Shenault,WR,CAR,NA,2.2,2.2,22.2,NA,NA,0.1,0.8,4.3,NA,0,0,3.35,NA,15558,FleaFlicker,14838,@ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR103,0.1,26.5,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,WR,DET,NA,1.9,1.9,23.4,NA,NA,0.1,0.2,1.5,NA,0,0,3.23,NA,12441,FleaFlicker,13066,@KCW 21-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3.23,WR124,0.1,24.9,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,NA,1.4,1.4,24.1,NA,NA,0.1,0.1,0.4,NA,0,0,3.17,NA,17633,FleaFlicker,16194,DETL 20-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.17,WR77,0.1,24.5,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richie James,WR,KC,NA,1.9,1.9,24.3,NA,NA,0.1,0,0.1,NA,0,0.1,3.12,NA,14009,FleaFlicker,13724,DETL 20-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.12,WR91,0.1,24.4,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,NYG,NA,2,2,22.9,NA,NA,0.1,0.2,1,NA,0,0,3.03,NA,12058,FleaFlicker,12658,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR100,0.1,23.9,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,TEN,NA,1.7,1.7,23.2,NA,NA,0.1,0,0,NA,0,0,3.02,NA,16192,FleaFlicker,15109,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR107,0.1,23.2,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,HOU,NA,2.1,2.1,23.7,NA,NA,0.1,0,0,NA,0,0,2.95,NA,13120,FleaFlicker,13172,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR119,0.1,23.7,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samori Toure,WR,GB,NA,1.9,1.9,22.1,NA,NA,0.1,0,0.3,NA,0,0,2.88,NA,17054,FleaFlicker,15841,@CHISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,22.4,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalin Hyatt,WR,NYG,NA,1.5,1.5,23.4,NA,NA,0.1,0.1,0.5,NA,0,0,2.87,NA,17648,FleaFlicker,16183,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR80,0.1,23.8,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah McKenzie,WR,IND,NA,1.8,1.8,19,NA,NA,0.1,0.5,2.7,NA,0,0,2.83,NA,13080,FleaFlicker,13313,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR105,0.1,21.7,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randall Cobb,WR,NYJ,NA,1.7,1.7,22,NA,NA,0.1,0,0.1,NA,0,0,2.82,NA,7401,FleaFlicker,10308,BUFMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,WR116,0.1,22.1,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,NA,1.5,1.5,22.7,NA,NA,0.1,0.1,0.4,NA,0,0,2.77,NA,17622,FleaFlicker,16187,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR87,0.1,23.1,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,LAR,NA,1.8,1.8,20.3,NA,NA,0.1,0,0,NA,0,0,2.61,NA,12106,FleaFlicker,12785,@SEASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,20.3,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braxton Berrios,WR,MIA,NA,1.2,1.2,13.2,NA,NA,0.1,0.3,2.8,NA,0.1,0,2.46,NA,13909,FleaFlicker,13638,@LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,WR106,0.1,15.9,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,NA,1.3,1.3,19.5,NA,NA,0.1,0.1,0.4,NA,0,0,2.45,NA,16947,FleaFlicker,15761,@NYJMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR99,0.1,19.9,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Palmer,WR,TB,NA,1.5,1.5,19.4,NA,NA,0.1,0,0.3,NA,0,0,2.43,NA,17767,FleaFlicker,16199,@MINSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,WR112,0.1,19.7,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,NA,1.4,1.4,17.1,NA,NA,0.1,0.3,2.4,NA,0,0,2.39,NA,14935,FleaFlicker,14108,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,WR113,0.1,19.6,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justyn Ross,WR,KC,NA,1,1,17.9,NA,NA,0.1,0.1,0.3,NA,0,0,2.36,NA,17266,FleaFlicker,15763,DETL 20-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.36,WR101,0.1,18.2,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,TEN,NA,1.3,1.3,18.2,NA,NA,0.1,0,0.2,NA,0,0,2.32,NA,12153,FleaFlicker,12773,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,18.4,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deonte Harty,WR,BUF,NA,1.4,1.4,18.7,NA,NA,0.1,0.2,1.2,NA,0,0,2.29,NA,15154,FleaFlicker,14558,@NYJMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR111,0.1,19.9,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWan'Dale Robinson,WR,NYG,NA,1.6,1.6,18.9,NA,NA,0.1,0.1,0.4,NA,0,0,2.27,NA,16869,FleaFlicker,15757,DALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR86,0.1,19.3,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,NA,1.3,1.3,17.4,NA,NA,0.1,0,0,NA,0,0,2.2,NA,15751,FleaFlicker,14860,@PITSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,WR118,0.1,17.4,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quez Watkins,WR,PHI,NA,1.2,1.2,18,NA,NA,0.1,0,0,NA,0,0,2.14,NA,15667,FleaFlicker,14992,@NESun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,WR104,0.1,18,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,WAS,NA,0.7,0.7,12.1,NA,NA,0.1,0.1,0.9,NA,0,0,2.08,NA,16309,FleaFlicker,15292,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.1,13.1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,NA,1.3,1.3,15.9,NA,NA,0.1,0,0.3,NA,0,0,1.96,NA,17724,FleaFlicker,16342,PHISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,WR128,0.1,16.2,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Johnson,WR,DEN,NA,1,1,14.5,NA,NA,0.1,0,0.2,NA,0,0,1.93,NA,17347,FleaFlicker,15987,LVSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,14.7,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,KC,NA,1.4,1.4,13.5,NA,NA,0.1,0,0,NA,0,0,1.89,NA,13851,FleaFlicker,13776,DETL 20-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.89,NA,0.1,13.5,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Agnew,WR,JAC,NA,1,1,10.1,NA,NA,0.1,0.4,3.5,NA,0,0,1.81,NA,13024,FleaFlicker,13308,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,13.6,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,PHI,NA,1,1,14.6,NA,NA,0.1,0,0.1,NA,0,0,1.77,NA,15107,FleaFlicker,14592,@NESun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,14.7,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrick Wilson,WR,MIA,NA,1.2,1.2,13.4,NA,NA,0.1,0,0,NA,0,0,1.76,NA,13915,FleaFlicker,13652,@LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,13.4,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Sherfield,WR,BUF,NA,1,1,13.9,NA,NA,0.1,0,0,NA,0,0,1.75,NA,14106,FleaFlicker,13893,@NYJMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,WR122,0.1,14,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,NA,6.47,90.31,NA,NA,0.64,0.62,3.8,NA,0.03,NA,13.38,NA,tyreek-hill,NumberFire,12801,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,21.2,#19,36,1,16.61,8800,1.89,19.88,8200,2.42,16.61,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,NA,7.07,92.92,NA,NA,0.61,0.27,1.53,NA,0.02,NA,13.24,NA,justin-jefferson,NumberFire,14836,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,21.01,#16,38,2,16.76,9500,1.76,20.31,8800,2.31,16.76,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,6.79,88.06,NA,NA,0.62,0.24,1.41,NA,0.01,NA,12.63,NA,ja-marr-chase,NumberFire,15281,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,20.19,#22,42,3,15.98,8500,1.88,19.46,8100,2.4,15.98,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,6.32,81.66,NA,NA,0.53,0.29,1.61,NA,0.01,NA,11.6,NA,ceedee-lamb,NumberFire,14832,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,18.79,#28,50,4,14.75,NA,NA,17.91,NA,NA,14.75,NA,NA,NA,NA,NA,NA
