player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Jamal Agnew,WR,JAC,NA,NA,1.52,14.57,NA,NA,0.08,0.53,2.82,NA,0.02,NA,2.23,NA,jamal-agnew,NumberFire,13308,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,6.13,#9,206,88,2.98,4500,0.66,3.8,3000,1.27,2.98,10,0.3,NA
Jalen Reagor,WR,NE,NA,NA,1.43,16.37,NA,NA,0.11,0,0,NA,0,NA,2.22,NA,jalen-reagor,NumberFire,14839,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,6.11,#15,207,89,2.93,4200,0.7,3.69,3000,1.23,2.93,10,0.29,NA
DeVante Parker,WR,NE,NA,NA,1.26,17.02,NA,NA,0.08,0,0,NA,0,NA,2.21,NA,devante-parker,NumberFire,12176,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68,6.1,#15,208,90,2.81,5000,0.56,3.44,3000,1.15,2.81,11,0.26,NA
Calvin Austin III,WR,PIT,NA,NA,1.18,13.7,NA,NA,0.07,0.57,2.86,NA,0.02,NA,2.2,NA,calvin-austin-iii,NumberFire,15777,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68,6.08,#16,209,91,2.75,4500,0.61,3.36,3000,1.12,2.75,10,0.28,NA
Derius Davis,WR,LAC,NA,NA,1.06,14,NA,NA,0.08,0.51,2.56,NA,0.01,NA,2.2,NA,derius-davis,NumberFire,16299,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68,6.08,#10,209,91,2.69,4900,0.55,3.24,3100,1.05,2.69,10,0.27,NA
Parris Campbell,WR,NYG,NA,NA,1.68,19.26,NA,NA,0.05,0,0,NA,0,NA,2.19,NA,parris-campbell,NumberFire,14112,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69,6.07,#4,211,93,3.03,4600,0.66,3.89,3000,1.3,3.03,10,0.3,NA
Tyler Scott,WR,CHI,NA,NA,1.3,13.61,NA,NA,0.07,0.63,3.29,NA,0.02,NA,2.17,NA,tyler-scott,NumberFire,16205,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,6.04,#28,212,94,2.84,4900,0.58,3.51,3000,1.17,2.84,10,0.28,NA
Treylon Burks,WR,TEN,NA,NA,1.29,15.79,NA,NA,0.06,0.28,1.43,NA,0.01,NA,2.11,NA,treylon-burks,NumberFire,15752,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74,5.96,#21,215,95,2.75,5200,0.53,3.41,3600,0.95,2.75,13,0.21,NA
Byron Pringle,WR,WSH,NA,NA,1.3,15.96,NA,NA,0.09,0,0,NA,0,NA,2.09,NA,byron-pringle,NumberFire,13863,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76,5.94,#12,216,96,2.75,4900,0.56,3.42,3000,1.14,2.75,10,0.28,NA
Jalen Tolbert,WR,DAL,NA,NA,1.24,14.14,NA,NA,0.11,0,0,NA,0,NA,2.05,NA,jalen-tolbert,NumberFire,15788,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78,5.88,#19,217,97,2.65,4800,0.55,3.29,3300,1,2.65,10,0.27,NA
