id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,bye,opp,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,two_pts
14059,18232,QB,Daniel Jones,NYG,23.2,15.4,165.7,0.8,0.6,5.7,33.5,0.2,FantasyPros,0.2,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13113,16398,QB,Deshaun Watson,CLE,23.5,14.9,185.6,0.8,0.6,4,20.1,0.1,FantasyPros,0.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15694,23499,QB,Malik Willis,TEN,29.6,18.1,134.7,0.6,0.6,4.7,13.4,0.1,FantasyPros,0.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10697,11174,QB,Ryan Tannehill,TEN,0,0,107,0.6,0.3,0,5.4,0,FantasyPros,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13416,16841,QB,PJ Walker,CLE,7.8,4.6,49.3,0.2,0.2,1.4,5.9,0.1,FantasyPros,0,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10413,10007,QB,Tyrod Taylor,NYG,7.5,4.8,37.8,0.2,0.1,1.5,4.9,0.1,FantasyPros,0,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16158,20086,QB,Dorian Thompson-Robinson,CLE,0,0,19.5,0,0.2,0,0.2,0,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15696,24027,QB,Bailey Zappe,NE,0,0,10.8,0,0,0,0,0,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16313,20073,QB,Sean Clifford,GB,0,0,7.6,0,0,0,0.2,0,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16159,24330,QB,Aidan O'Connell,LV,0,0,9.6,0,0.1,0,0,0,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14789,19297,QB,Tyler Huntley,BAL,0,0,5.7,0,0,0,0.3,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16160,25227,QB,Clayton Tune,ARI,0,0,6.5,0,0,0,0.1,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11640,12088,QB,Teddy Bridgewater,DET,0,0,7.6,0,0,0,0,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13592,17236,QB,Sam Darnold,SF,0,0,5.5,0,0,0,0,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13879,17869,QB,Kyle Allen,BUF,0,0,6.3,0,0,0,0,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12616,15642,QB,Jacoby Brissett,WAS,0,0,5.7,0,0,0,0,0,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12140,13891,QB,Jameis Winston,NO,0,0,8,0,0.1,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10313,9907,QB,Andy Dalton,CAR,0,0,6.3,0,0,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13115,16381,QB,Mitch Trubisky,PIT,0,0,5.5,0,0,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10262,9858,QB,Blaine Gabbert,KC,0,0,6.4,0,0,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15252,22799,QB,Davis Mills,HOU,0,0,7.1,0,0,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12476,13932,QB,Taylor Heinicke,ATL,0,0,6,0,0,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14358,18557,QB,Jake Browning,CIN,0,0,6.6,0,0.1,0,0,0,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
