player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds,two_pts
Ezekiel Elliott,RB,NE,1,9.7,40.1,4.1,0.3,1.4,1,6.2,6.2,6.2,0,0.1,5.6,5.6,2060769,CBS,12625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,CLE,1,10.3,36.4,3.5,0.4,1.6,1.2,8.5,8.5,7.1,0,0,5.4,5.4,2079567,CBS,13138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,DEN,1,5.8,27.2,4.7,0.2,2.7,2.3,22.2,22.2,9.7,0,0.2,4.8,4.8,2131148,CBS,13133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordarrelle Patterson,RB,ATL,1,6.9,31.2,4.5,0.2,1.2,1,7.2,7.2,7.2,0.1,0,4.8,4.8,1996183,CBS,11225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Gibson,RB,WAS,1,4.9,18.7,3.8,0.1,3.7,3.1,25.3,25.3,8.2,0.2,0.1,4.6,4.6,2960976,CBS,14852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Ernest Johnson,RB,JAC,1,6.4,30,4.7,0.1,1,0.9,12.2,12.2,13.6,0,0,4.6,4.6,3117165,CBS,14331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Freeman,RB,LAR,1,7.4,32.8,4.4,0.2,0.5,0.3,2.1,2.1,7,0,0,4.2,4.2,2139588,CBS,13617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,1,8.4,34.3,4.1,0.2,1.7,1.3,9.3,9.3,7.2,0,0,4.2,4.2,2964236,CBS,15717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,1,9.1,33.6,3.7,0.2,1.2,0.9,6.1,6.1,6.8,0,0,4.2,4.2,2975590,CBS,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Wilson,RB,MIA,1,5.9,29.1,4.9,0.2,1.9,1.4,12.8,12.8,9.1,0,0,4.2,4.2,2925161,CBS,14017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miles Sanders,RB,CAR,1,8.7,28.4,3.3,0.2,3.3,2.3,12.7,12.7,5.5,0,0.1,4,4,2251305,CBS,14079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,ARI,1,6.3,25.1,4,0.1,2.1,1.6,10,10,6.3,0,0,3.6,3.6,2804075,CBS,15258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,1,6.1,29.7,4.9,0.1,3.3,2.4,15.4,15.4,6.4,0,0,3.6,3.6,3122588,CBS,16165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clyde Edwards-Helaire,RB,KC,1,5,20.9,4.2,0.2,0.7,0.6,3.8,3.8,6.3,0,0,3.2,3.2,2804554,CBS,14803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,DAL,1,6.2,25.6,4.1,0.1,0.5,0.4,3,3,7.5,0.1,0,3.2,3.2,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,1,4.3,24.6,5.7,0.1,1.7,1.5,8.1,8.1,5.4,0.1,0,3.2,3.2,26725939,CBS,16390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaal Williams,RB,NO,1,6.3,20.2,3.2,0.1,1,0.8,4.4,4.4,5.5,0,0,2.6,2.6,2001287,CBS,13139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pierre Strong Jr.,RB,CLE,1,4.4,21.2,4.8,0.1,0.2,0.2,1.8,1.8,9,0,0,2.6,2.6,2819247,CBS,15733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,1,3.8,14.5,3.8,0.1,1.7,1.3,10,10,7.7,0,0,2.6,2.6,2964372,CBS,16385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Sermon,RB,IND,1,6,21.6,3.6,0.1,0.6,0.3,2.2,2.2,7.3,0,0,2.6,2.6,2804142,CBS,15257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,SF,1,6.2,25.5,4.1,0.1,0.9,0.7,2.7,2.7,3.9,0,0,2.6,2.6,2819876,CBS,15263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Kelley,RB,LAC,1,6.7,21.2,3.2,0.1,0.9,0.6,2.8,2.8,4.7,0,0,2.6,2.6,2183195,CBS,14807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalvin Cook,RB,NYJ,1,5.6,21.6,3.9,0.1,1.4,1,6.4,6.4,6.4,0,0.1,2.4,2.4,2130893,CBS,13128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,FB,SF,1,0.5,1.5,3,0,1.7,1.4,12.2,12.2,8.7,0.2,0,2.2,2.2,1683145,CBS,11367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Luepke,RB,DAL,1,0.7,3,4.3,0.3,0.7,0.5,3.5,3.5,7,0,0,1.8,1.8,2969438,CBS,16391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Scott,RB,PHI,1,3.8,15.2,4,0.1,0.3,0.2,1.4,1.4,7,0,0,1.6,1.6,2079334,CBS,13814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Edmonds,RB,TB,1,5.4,17.9,3.3,0.1,1.9,1.4,8.3,8.3,5.9,0,0,1.6,1.6,2137507,CBS,13726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashaad Penny,RB,PHI,1,2.2,10.2,4.6,0.1,0.1,0.1,0.5,0.5,5,0,0,1.6,1.6,2144893,CBS,13608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,SF,1,2.1,12,5.7,0.1,0,0,0.2,0.2,0,0,0,1.6,1.6,2967536,CBS,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PHI,1,4.5,15.9,3.5,0.1,1.7,1.4,7.8,7.8,5.6,0,0.1,1.4,1.4,2968948,CBS,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Bawden,RB,NYJ,1,0.7,2.5,3.6,0.2,0.7,0.6,4.7,4.7,7.8,0,0,1.2,1.2,2131912,CBS,13838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,JAC,1,3.8,13,3.4,0.1,0.5,0.2,2.3,2.3,11.5,0,0.3,1,1,3162021,CBS,16164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trayveon Williams,RB,CIN,1,2.8,11.5,4.1,0,0.2,0.2,0.5,0.5,2.5,0,0,1,1,2222046,CBS,14076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny McIntosh,RB,SEA,1,1.7,7.2,4.2,0.1,0.3,0.2,2,2,10,0,0,0.6,0.6,3121460,CBS,16170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JaMycal Hasty,RB,NE,1,1.8,7.8,4.3,0.1,1,0.6,3.9,3.9,6.5,0,0,0.6,0.6,2189504,CBS,14821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,1,2,7.3,3.7,0.1,0.3,0.2,2.2,2.2,11,0,0,0.6,0.6,3122473,CBS,15730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Blackshear,RB,CAR,1,1.8,4.5,2.5,0.1,0.4,0.4,3.7,3.7,9.3,0,0,0.6,0.6,2870476,CBS,15973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Godwin Igwebuike,RB,PIT,1,1.3,6.8,5.2,0.1,0.3,0.2,1.9,1.9,9.5,0,0,0.6,0.6,2071750,CBS,14011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,1,1.8,6.9,3.8,0.1,0.4,0.3,1.9,1.9,6.3,0,0,0.6,0.6,2010409,CBS,13148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deneric Prince,RB,KC,1,1.8,8.3,4.6,0.1,0.4,0.3,2.4,2.4,8,0,0,0.6,0.6,2964540,CBS,16380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Evans,RB,LAR,1,1.8,6.5,3.6,0.1,0.1,0.1,0.7,0.7,7,0,0,0.6,0.6,3162483,CBS,16163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeeJay Dallas,RB,SEA,1,7.2,29.1,4,0.1,1.8,1.6,9.2,9.2,5.8,0,1.1,0.4,0.4,2804094,CBS,14815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,16,70,NA,1,6,5,42,NA,NA,0,NA,NA,NA,3117251,ESPN,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,DAL,NA,15,71,NA,0,5,4,28,NA,NA,0,NA,NA,NA,3916148,ESPN,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,LAC,NA,15,58,NA,1,6,4,37,NA,NA,0,NA,NA,NA,3068267,ESPN,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne Jr.,RB,JAC,NA,16,69,NA,1,4,3,30,NA,NA,0,NA,NA,NA,4239996,ESPN,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,14,53,NA,0,6,5,38,NA,NA,0,NA,NA,NA,3054850,ESPN,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567048,ESPN,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4047365,ESPN,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4242335,ESPN,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
