player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,rush_yds,rush_tds,return_yds,scoring_opp,rush_att,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
"Waller, Darren",TE,NYG,NA,6,4.2,44,NA,NA,0.3,0,6.3,NA,NA,FantasySharks,12263,@MIA,0.7,0.1,0.1,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Engram, Evan",TE,JAC,NA,6,4.8,48,NA,NA,0.2,0,5.9,NA,NA,FantasySharks,13189,@BUF,0.5,0,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goedert, Dallas",TE,PHI,NA,6.3,4.4,49,NA,NA,0.2,0,5.7,NA,NA,FantasySharks,13674,@LAR,0.9,0.1,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferguson, Jake",TE,DAL,NA,5.9,3.8,35,NA,NA,0.4,0,5.7,NA,NA,FantasySharks,15799,@SFO,1.9,0.3,0,0,0,0,0,0,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kmet, Cole",TE,CHI,NA,5.2,3.6,38,NA,NA,0.3,0,5.7,NA,NA,FantasySharks,14867,@WAS,0.8,0.1,0.1,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ertz, Zach",TE,ARI,NA,7.6,5.2,43,NA,NA,0.2,0,5.4,NA,NA,FantasySharks,11247,CIN,1.1,0.2,0,0,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schultz, Dalton",TE,HOU,NA,5.2,3.2,33,NA,NA,0.3,0,5.3,NA,NA,FantasySharks,13772,@ATL,1.1,0.2,0.1,0,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Taysom",TE,NOS,NA,1.4,0.8,8,NA,NA,0.2,0,5.1,NA,NA,FantasySharks,13424,@NEP,0.4,0.1,0,0,0,0,0,24,0.2,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higbee, Tyler",TE,LAR,NA,6.6,4.3,43,NA,NA,0.1,0,5.1,NA,NA,FantasySharks,12678,PHI,0.8,0.1,0,0,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Juwan",TE,NOS,NA,3.1,2,21,NA,NA,0.3,0,4.6,NA,NA,FantasySharks,14861,@NEP,0.4,0.1,0.1,0,0,0,0,6,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conklin, Tyler",TE,NYJ,NA,6,4,39,NA,NA,0.1,0,4.2,NA,NA,FantasySharks,13675,@DEN,0.3,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okonkwo, Chigoziem",TE,TEN,NA,3.8,2.9,30,NA,NA,0.2,0,4.2,NA,NA,FantasySharks,15889,@IND,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pitts, Kyle",TE,ATL,NA,5.8,2.9,36,NA,NA,0.1,0,4.1,NA,NA,FantasySharks,15329,HOU,0.7,0.1,0,0,0,0,0,-0.4,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington, Darnell",TE,PIT,NA,3.5,2.3,24,NA,NA,0.2,0,4,NA,NA,FantasySharks,16216,BAL,0.7,0.1,0.1,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas, Logan",TE,WAS,NA,5,3.1,30,NA,NA,0.1,0,3.8,NA,NA,FantasySharks,11647,CHI,0.9,0.1,0,0,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smythe, Durham",TE,MIA,NA,3.4,2.3,26,NA,NA,0.1,0,3.5,NA,NA,FantasySharks,13676,NYG,0.5,0.1,0,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Luke",TE,GBP,NA,3.5,2.6,27,NA,NA,0.1,0,3.4,NA,NA,FantasySharks,16215,@LVR,0.7,0,0,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hurst, Hayden",TE,CAR,NA,3.8,2.6,21,NA,NA,0.2,0,3.3,NA,NA,FantasySharks,13680,@DET,0.7,0.2,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gesicki, Mike",TE,NEP,NA,3.5,2.5,25,NA,NA,0.1,0,3.2,NA,NA,FantasySharks,13672,NOS,0.3,0.1,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzomah, C.J.",TE,NYJ,NA,2.7,1.9,19,NA,NA,0.2,0,3.2,NA,NA,FantasySharks,12317,@DEN,0.3,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Jonnu",TE,ATL,NA,3.6,2.7,30,NA,NA,0,0,3.1,NA,NA,FantasySharks,13193,HOU,0.5,0,0,0,0,0,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hooper, Austin",TE,LVR,NA,3,1.9,24,NA,NA,0.1,0,3,NA,NA,FantasySharks,12677,GBP,0.3,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trautman, Adam",TE,DEN,NA,3,2.3,21,NA,NA,0.1,0,2.9,NA,NA,FantasySharks,14870,NYJ,0.6,0.1,0,0.1,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray, Noah",TE,KCC,NA,2.2,1.6,19,NA,NA,0.1,0,2.6,NA,NA,FantasySharks,15337,@MIN,0.1,0,0,0,0.1,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan, Brevin",TE,HOU,NA,2.6,1.6,16,NA,NA,0.2,0,2.6,NA,NA,FantasySharks,15330,@ATL,0.4,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alie-Cox, Mo",TE,IND,NA,2.2,1.3,15,NA,NA,0.2,0,2.6,NA,NA,FantasySharks,13246,TEN,0.4,0.1,0.1,0,0.1,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Likely, Isaiah",TE,BAL,NA,3.2,1.8,19,NA,NA,0.1,0,2.6,NA,NA,FantasySharks,15798,@PIT,0.5,0.1,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kincaid, Dalton",TE,BUF,NA,3.8,3.3,22,NA,NA,0.1,0,2.5,NA,NA,FantasySharks,16213,JAC,0.4,0,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith Jr., Irv",TE,CIN,NA,3.7,2.7,20,NA,NA,0.1,0,2.4,NA,NA,FantasySharks,14141,@ARI,0.5,0.1,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oliver, Josh",TE,MIN,NA,2.1,1.7,12,NA,NA,0.2,0,2.3,NA,NA,FantasySharks,14209,KCC,0.5,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quitoriano, Teagan",TE,HOU,NA,2.1,1.3,16,NA,NA,0.1,0,2.3,NA,NA,FantasySharks,15905,@ATL,0.3,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Granson, Kylen",TE,IND,NA,3.6,2.1,18,NA,NA,0.1,0,2.3,NA,NA,FantasySharks,15419,TEN,0.6,0.1,0,0,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deguara, Josiah",TE,GBP,NA,2.6,2.1,19,NA,NA,0.1,0,2.2,NA,NA,FantasySharks,14876,@LVR,0.3,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bates, John",TE,WAS,NA,2.4,1.6,17,NA,NA,0.1,0,2.1,NA,NA,FantasySharks,15344,CHI,0.3,0,0.1,0,0,0,0,0.1,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wright, Brock",TE,DET,NA,1.9,1.4,15,NA,NA,0.1,0,2,NA,NA,FantasySharks,15626,CAR,0.2,0.1,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremble, Tommy",TE,CAR,NA,1.9,1.1,12,NA,NA,0.1,0,1.9,NA,NA,FantasySharks,15332,@DET,0.4,0.1,0,0.1,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell, James",TE,DET,NA,1.1,1.1,10,NA,NA,0.1,0,1.9,NA,NA,FantasySharks,15909,CAR,0.1,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McBride, Trey",TE,ARI,NA,2.8,1.9,17,NA,NA,0,0,1.8,NA,NA,FantasySharks,15794,CIN,0,0,0,0,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pruitt, MyCole",TE,ATL,NA,1.3,0.7,6,NA,NA,0.2,0,1.8,NA,NA,FantasySharks,12309,HOU,0.6,0.2,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesco, Trevon",TE,TEN,NA,2.3,1.4,15,NA,NA,0,0,1.7,NA,NA,FantasySharks,14231,@IND,0.2,0,0,0,0,0,0,-0.1,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonyan, Robert",TE,CHI,NA,2.3,1.3,12,NA,NA,0.1,0,1.7,NA,NA,FantasySharks,13427,@WAS,0.3,0,0,0.1,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellinger, Daniel",TE,NYG,NA,2.3,1.7,13,NA,NA,0,0,1.6,NA,NA,FantasySharks,15873,@MIA,0.2,0,0,0,0,0,0,0.1,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schoonmaker, Luke",TE,DAL,NA,1.5,0.5,3,NA,NA,0.2,0,1.4,NA,NA,FantasySharks,16221,@SFO,0.7,0.2,0,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallory, Will",TE,IND,NA,2,0.8,14,NA,NA,0,0,1.4,NA,NA,FantasySharks,16220,TEN,0,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Brycen",TE,LAR,NA,1.3,0.9,13,NA,NA,0,0,1.3,NA,NA,FantasySharks,14868,PHI,0.1,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heyward, Connor",TE,PIT,NA,1.7,1,10,NA,NA,0,0,1.3,NA,NA,FantasySharks,15800,BAL,0.2,0,0,0,0,0,0,1,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woods, Jelani",TE,IND,NA,1.3,0.6,10,NA,NA,0.1,0,1.3,NA,NA,FantasySharks,15840,TEN,0.1,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mundt, Johnny",TE,MIN,NA,1.4,1.3,11,NA,NA,0,0,1.2,NA,NA,FantasySharks,13940,KCC,0.2,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas, Ian",TE,CAR,NA,2,1.2,11,NA,NA,0,0,1.2,NA,NA,FantasySharks,13678,@DET,0.4,0,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreau, Foster",TE,NOS,NA,1.3,0.9,10,NA,NA,0,0,1.2,NA,NA,FantasySharks,14239,@NEP,0.1,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilcox, Mitchell",TE,CIN,NA,1.9,1.5,10,NA,NA,0,0,1.1,NA,NA,FantasySharks,15563,@ARI,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruckert, Jeremy",TE,NYJ,NA,0.8,0.8,10,NA,NA,0,0,1,NA,NA,FantasySharks,15796,@DEN,0.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoll, Jack",TE,PHI,NA,1.3,1,10,NA,NA,0,0,1,NA,NA,FantasySharks,15541,@LAR,0.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hendershot, Peyton",TE,DAL,NA,0.9,0.5,3,NA,NA,0,0,0.9,NA,NA,FantasySharks,16000,@SFO,0.1,0,0,0,0,0,0,0,0.1,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Julian",TE,MIA,NA,1.5,0.8,9,NA,NA,0,0,0.9,NA,NA,FantasySharks,16425,NYG,0.4,0,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kraft, Tucker",TE,GBP,NA,1.9,1.5,8,NA,NA,0,0,0.9,NA,NA,FantasySharks,16222,@LVR,0.5,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graham, Jimmy",TE,NOS,NA,0.6,0.4,2,NA,NA,0.1,0,0.9,NA,NA,FantasySharks,9925,@NEP,0.1,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayer, Michael",TE,LVR,NA,1.6,0.9,7,NA,NA,0,0,0.9,NA,NA,FantasySharks,16212,GBP,0.2,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lewis, Marcedes",TE,CHI,NA,0.5,0.4,4,NA,NA,0.1,0,0.9,NA,NA,FantasySharks,8269,@WAS,0.1,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manhertz, Chris",TE,DEN,NA,1.3,0.8,8,NA,NA,0,0,0.8,NA,NA,FantasySharks,12955,NYJ,0.3,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bell, Blake",TE,KCC,NA,1.2,0.8,5,NA,NA,0,0,0.7,NA,NA,FantasySharks,12213,@MIN,0.3,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Farrell, Luke",TE,JAC,NA,1,0.8,7,NA,NA,0,0,0.7,NA,NA,FantasySharks,15335,@BUF,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yeboah, Kenny",TE,NYJ,NA,0.5,0.5,6,NA,NA,0,0,0.6,NA,NA,FantasySharks,15339,@DEN,0.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cager, Lawrence",TE,NYG,NA,0.9,0.6,5,NA,NA,0,0,0.5,NA,NA,FantasySharks,15041,@MIA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long, Hunter",TE,LAR,NA,0.6,0.4,5,NA,NA,0,0,0.5,NA,NA,FantasySharks,15334,PHI,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turner, Cole",TE,WAS,NA,1,0.4,5,NA,NA,0,0,0.5,NA,NA,FantasySharks,15803,CHI,0.2,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woerner, Charlie",TE,SFO,NA,0.5,0.2,5,NA,NA,0,0,0.5,NA,NA,FantasySharks,14984,DAL,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample, Drew",TE,CIN,NA,1.1,0.9,4,NA,NA,0,0,0.4,NA,NA,FantasySharks,14146,@ARI,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adkins, Nate",TE,DEN,NA,1,0.5,3,NA,NA,0,0,0.3,NA,NA,FantasySharks,16474,NYJ,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strange, Brenton",TE,JAC,NA,0.9,0.6,3,NA,NA,0,0,0.3,NA,NA,FantasySharks,16269,@BUF,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morris, Quintin",TE,BUF,NA,0.4,0.2,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15341,JAC,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kolar, Charlie",TE,BAL,NA,0.9,0.4,3,NA,NA,0,0,0.3,NA,NA,FantasySharks,15795,@PIT,0.3,0,0,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Pharaoh",TE,NEP,NA,0.5,0.3,3,NA,NA,0,0,0.3,NA,NA,FantasySharks,13994,NOS,0.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okwuegbunam, Albert",TE,PHI,NA,0.2,0.1,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,14873,@LAR,0,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whyle, Josh",TE,TEN,NA,1.1,0.4,2,NA,NA,0,0,0.2,NA,NA,FantasySharks,16312,@IND,0.2,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sokol, Matt",TE,NEP,NA,0.2,0.1,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,15213,NOS,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kroft, Tyler",TE,MIA,NA,0.2,0.1,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,12212,NYG,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sullivan, Stephen",TE,CAR,NA,0.3,0.1,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,15026,@DET,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calcaterra, Grant",TE,PHI,NA,0.2,0,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,15804,@LAR,0.2,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaim, Geoff",TE,ARI,NA,0.5,0.3,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,12378,CIN,0.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,NA,NA,5,63,NA,NA,0.7,NA,10.5,NA,13217,FFToday,11244,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,NA,NA,6,65,NA,NA,0.5,NA,9.5,NA,16268,FFToday,13671,PIT,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,NA,NA,5,57,NA,NA,0.4,NA,8.1,NA,16600,FFToday,14138,KC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,JAC,NA,NA,5,55,NA,NA,0.3,NA,7.3,NA,15862,FFToday,13189,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,NA,NA,4,54,NA,NA,0.3,NA,7.2,NA,18573,FFToday,16214,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Waller,TE,NYG,NA,NA,4,53,NA,NA,0.3,NA,7.1,NA,15340,FFToday,12263,MIA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,NA,NA,4,49,NA,NA,0.3,NA,6.7,NA,15605,FFToday,12678,PHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,NA,NA,4,48,NA,NA,0.3,NA,6.6,NA,15929,FFToday,13299,DAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,NA,NA,4,46,NA,NA,0.3,NA,6.4,NA,17140,FFToday,14867,WAS,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,NA,NA,4,45,NA,NA,0.3,NA,6.3,NA,18072,FFToday,15799,SF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
