team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
CIN,1,0,2.7,NA,0.6,NA,0.1,20.2,NA,NA,NA,338.4,NA,11.3,NA,FantasySharks,0506,NA,D,"Bengals, Cincinnati",NA,NA,NA,NA,@KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.8,0,2.2,NA,0.5,NA,0.2,19,NA,NA,NA,317.3,NA,10.9,NA,FantasySharks,0529,NA,D,"Saints, New Orleans",NA,NA,NA,NA,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,1.4,NA,0.2,NA,0.2,18.3,NA,NA,NA,217.8,NA,10.9,NA,FantasySharks,0527,NA,D,"Panthers, Carolina",NA,NA,NA,NA,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.4,0,2.7,NA,0.8,NA,0.1,19.1,NA,NA,NA,305.6,NA,10.8,NA,FantasySharks,0523,NA,D,"Packers, Green Bay",NA,NA,NA,NA,@MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,0,3,NA,0.5,NA,0.2,22.8,NA,NA,NA,346,NA,10.8,NA,FantasySharks,0515,NA,D,"Seahawks, Seattle",NA,NA,NA,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1.4,0,2,NA,0.3,NA,0.1,21.4,NA,NA,NA,311.9,NA,10.2,NA,FantasySharks,0521,NA,D,"Bears, Chicago",NA,NA,NA,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.6,0.1,2.2,NA,0.4,NA,0.3,22,NA,NA,NA,348.9,NA,10.2,NA,FantasySharks,0516,NA,D,"Cowboys, Dallas",NA,NA,NA,NA,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.8,0.1,2.8,NA,0.7,NA,0,20.3,NA,NA,NA,361.2,NA,9.9,NA,FantasySharks,0525,NA,D,"Buccaneers, Tampa Bay",NA,NA,NA,NA,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,0.1,2.6,NA,0.4,NA,0.1,19.7,NA,NA,NA,356.1,NA,9.9,NA,FantasySharks,0510,NA,D,"Steelers, Pittsburgh",NA,NA,NA,NA,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.5,0.1,2.4,NA,0.5,NA,0.1,19.8,NA,NA,NA,326.9,NA,9.7,NA,FantasySharks,0526,NA,D,"Falcons, Atlanta",NA,NA,NA,NA,@CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.7,0,2.7,NA,0.5,NA,0.2,23.9,NA,NA,NA,352.6,NA,9.5,NA,FantasySharks,0503,NA,D,"Dolphins, Miami",NA,NA,NA,NA,@BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.4,0,2.6,NA,0.4,NA,0.1,24.8,NA,NA,NA,342.5,NA,9.1,NA,FantasySharks,0518,NA,D,"Eagles, Philadelphia",NA,NA,NA,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.6,0,2.2,NA,0.4,NA,0.1,22.6,NA,NA,NA,334.5,NA,8.9,NA,FantasySharks,0504,NA,D,"Patriots, New England",NA,NA,NA,NA,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.6,0,2.5,NA,0.6,NA,0.1,21.7,NA,NA,NA,360.2,NA,8.4,NA,FantasySharks,0524,NA,D,"Vikings, Minnesota",NA,NA,NA,NA,GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,2.2,NA,0.2,NA,0,24.7,NA,NA,NA,327,NA,8.1,NA,FantasySharks,0519,NA,D,"Cardinals, Arizona",NA,NA,NA,NA,@PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.8,0.1,1.8,NA,0.3,NA,0,28.6,NA,NA,NA,395.3,NA,6.2,NA,FantasySharks,0522,NA,D,"Lions, Detroit",NA,NA,NA,NA,@DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.7,0,1.3,NA,0.4,NA,0.2,31.9,NA,NA,NA,473.1,NA,5.6,NA,FantasySharks,0517,NA,D,"Giants, New York",NA,NA,NA,NA,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.3,0,1.7,NA,0.5,NA,0,37.5,NA,NA,NA,472.3,NA,3.3,NA,FantasySharks,0520,NA,D,"Commanders, Washington",NA,NA,NA,NA,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0,0,0,NA,0.6,NA,0,83.3,NA,NA,NA,433.7,NA,1.3,NA,FantasySharks,0514,NA,D,"Chargers, Los Angeles",NA,NA,NA,NA,@DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.9,NA,3.4,NA,0.6,0.8,0.2,12.5,NA,NA,NA,284.5,NA,12.08,NA,FleaFlicker,0507,2335,DST,Cleveland Browns,NA,NA,NA,NA,NYJThu 8:15 PM,5,D/ST9,0,73%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
