player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds,two_pts
Myles Gaskin,RB,MIN,NA,0.81,3.28,NA,0.02,NA,0.42,2.6,NA,NA,0.02,NA,0.8,NA,myles-gaskin,NumberFire,14081,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.79,4.39,#8,301,89,1.02,1.24,1.02,NA,NA
Reggie Gilliam,RB,BUF,NA,0.27,1.13,NA,0.01,NA,0.55,4.13,NA,NA,0.03,NA,0.75,NA,reggie-gilliam,NumberFire,15103,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.83,4.33,#29,304,90,1.04,1.32,1.04,NA,NA
Rashaad Penny,RB,PHI,NA,0.63,2.98,NA,0.02,NA,0.23,1.58,NA,NA,0.01,NA,0.65,NA,rashaad-penny,NumberFire,13608,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.89,4.19,#24,312,91,0.75,0.87,0.75,NA,NA
Jaleel McLaughlin,RB,DEN,NA,0.58,2.39,NA,0.01,NA,0.23,1.67,NA,NA,0.01,NA,0.57,NA,jaleel-mclaughlin,NumberFire,16390,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95,4.09,#7,321,92,0.64,0.76,0.64,NA,NA
Michael Burton,RB,DEN,NA,0.58,2.36,NA,0.01,NA,0.23,1.67,NA,NA,0.01,NA,0.57,NA,michael-burton,NumberFire,12325,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95,4.09,#7,321,92,0.64,0.75,0.64,NA,NA
D'Ernest Johnson,RB,JAC,NA,0.52,2.27,NA,0.01,NA,0.27,1.9,NA,NA,0.01,NA,0.56,NA,d-ernest-johnson,NumberFire,14331,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95,4.07,#23,324,94,0.67,0.81,0.67,NA,NA
Craig Reynolds,RB,DET,NA,0.28,1.21,NA,0.01,NA,0.25,2.19,NA,NA,0.02,NA,0.49,NA,craig-reynolds,NumberFire,14727,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,3.98,#31,331,95,0.65,0.77,0.65,NA,NA
Jason Cabinda,RB,DET,NA,0.28,1.21,NA,0.01,NA,0.25,2.01,NA,NA,0.02,NA,0.48,NA,jason-cabinda,NumberFire,13906,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01,3.97,#31,332,96,0.63,0.75,0.63,NA,NA
Ty Johnson,RB,BUF,NA,0.27,1.15,NA,0.01,NA,0.26,2,NA,NA,0.02,NA,0.44,NA,ty-johnson,NumberFire,14095,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,3.91,#29,335,97,0.63,0.76,0.63,NA,NA
Jordan Mason,RB,SF,NA,0.3,1.31,NA,0.01,NA,0.23,1.71,NA,NA,0.01,NA,0.43,NA,jordan-mason,NumberFire,15972,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.04,3.9,#17,337,98,0.54,0.65,0.54,NA,NA
Tyrion Davis-Price,RB,SF,NA,0.3,1.27,NA,0.01,NA,0.23,1.7,NA,NA,0.01,NA,0.42,NA,tyrion-davis-price,NumberFire,15746,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.89,#17,338,99,0.53,0.65,0.53,NA,NA
Brandon Bolden,RB,LV,NA,0.26,1.15,NA,0.01,NA,0.24,2.02,NA,NA,0.01,NA,0.42,NA,brandon-bolden,NumberFire,10932,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.89,#20,338,99,0.56,0.68,0.56,NA,NA
Chase Brown,RB,CIN,NA,0.25,1.04,NA,0.01,NA,0.27,1.9,NA,NA,0.01,NA,0.41,NA,chase-brown,NumberFire,16181,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.87,#3,341,101,0.55,0.68,0.55,NA,NA
Ke'Shawn Vaughn,RB,TB,NA,0.26,1.14,NA,0.01,NA,0.25,1.87,NA,NA,0.01,NA,0.41,NA,ke-shawn-vaughn,NumberFire,14810,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.87,#25,341,101,0.55,0.67,0.55,NA,NA
Julius Chestnut,RB,TEN,NA,0.29,1.29,NA,0.01,NA,0.22,1.7,NA,NA,0.01,NA,0.4,NA,julius-chestnut,NumberFire,15965,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#32,344,103,0.53,0.64,0.53,NA,NA
Pierre Strong Jr.,RB,CLE,NA,0.32,1.39,NA,0.01,NA,0.21,1.57,NA,NA,0.01,NA,0.4,NA,pierre-strong-jr,NumberFire,15733,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#27,344,103,0.52,0.63,0.52,NA,NA
John Lovett,RB,MIA,NA,0.25,1.04,NA,0.01,NA,0.25,1.82,NA,NA,0.01,NA,0.4,NA,john-lovett,NumberFire,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#10,344,103,0.53,0.66,0.53,NA,NA
JaMycal Hasty,RB,JAC,NA,0.26,1.09,NA,0.01,NA,0.27,1.78,NA,NA,0.01,NA,0.4,NA,jamycal-hasty,NumberFire,14821,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#23,344,103,0.54,0.68,0.54,NA,NA
Nick Bellore,RB,SEA,NA,0.25,1.05,NA,0,NA,0.26,1.96,NA,NA,0.01,NA,0.4,NA,nick-bellore,NumberFire,10514,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#16,344,103,0.49,0.62,0.49,NA,NA
Raheem Blackshear,RB,CAR,NA,0.28,1.17,NA,0.01,NA,0.23,1.71,NA,NA,0.01,NA,0.38,NA,raheem-blackshear,NumberFire,15973,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#12,350,108,0.52,0.64,0.52,NA,NA
Adam Prentice,RB,NO,NA,0.29,1.23,NA,0.01,NA,0.23,1.53,NA,NA,0.01,NA,0.38,NA,adam-prentice,NumberFire,15650,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#21,350,108,0.51,0.63,0.51,NA,NA
Giovanni Ricci,RB,CAR,NA,0.28,1.17,NA,0.01,NA,0.23,1.73,NA,NA,0.01,NA,0.38,NA,giovanni-ricci,NumberFire,15054,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#12,350,108,0.53,0.64,0.53,NA,NA
Dare Ogunbowale,RB,HOU,NA,0.28,1.12,NA,0.01,NA,0.24,1.72,NA,NA,0.01,NA,0.38,NA,dare-ogunbowale,NumberFire,13148,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#11,350,108,0.52,0.64,0.52,NA,NA
Khari Blasingame,RB,CHI,NA,0.34,1.42,NA,0.01,NA,0.18,1.33,NA,NA,0.01,NA,0.37,NA,khari-blasingame,NumberFire,14552,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.82,#19,355,112,0.49,0.58,0.49,NA,NA
Jakob Johnson,RB,LV,NA,0.26,1.12,NA,0.01,NA,0.25,1.65,NA,NA,0.01,NA,0.37,NA,jakob-johnson,NumberFire,14359,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.82,#20,355,112,0.52,0.65,0.52,NA,NA
Patrick Ricard,RB,BAL,NA,0.3,1.26,NA,0.01,NA,0.22,1.38,NA,NA,0.01,NA,0.37,NA,patrick-ricard,NumberFire,13455,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.82,#14,355,112,0.49,0.6,0.49,NA,NA
Zach Evans,RB,LA,NA,0.26,1.05,NA,0,NA,0.25,1.69,NA,NA,0.01,NA,0.36,NA,zach-evans,NumberFire,16163,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.09,3.81,#6,363,115,0.46,0.58,0.46,NA,NA
Ronnie Rivers,RB,LA,NA,0.26,1.05,NA,0,NA,0.25,1.68,NA,NA,0.01,NA,0.36,NA,ronnie-rivers,NumberFire,15726,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.09,3.81,#6,363,115,0.46,0.58,0.46,NA,NA
Taiwan Jones,RB,NYG,NA,0,0,NA,0,NA,0.24,1.91,NA,NA,0.01,NA,0.25,NA,taiwan-jones,NumberFire,10368,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.16,3.66,#9,416,117,0.35,0.48,0.35,NA,NA
Kirk Merritt,RB,NO,NA,0,0,NA,0,NA,0.23,1.57,NA,NA,0.01,NA,0.23,NA,kirk-merritt,NumberFire,15046,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18,3.64,#21,424,118,0.33,0.45,0.33,NA,NA
Travis Homer,RB,CHI,NA,0,0,NA,0,NA,0.19,1.43,NA,NA,0.01,NA,0.21,NA,travis-homer,NumberFire,14083,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19,3.61,#19,425,119,0.3,0.39,0.3,NA,NA
Keith Smith,RB,ATL,NA,0,0,NA,0,NA,0.2,1.43,NA,NA,0.01,NA,0.2,NA,keith-smith-1,NumberFire,12040,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2,3.6,#13,427,120,0.3,0.4,0.3,NA,NA
Christian McCaffrey,RB,SF,NA,NA,66.03,NA,0.48,NA,4.27,39.16,NA,NA,0.21,NA,18.93,NA,2557997,NFL,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,LAC,NA,NA,57.71,NA,0.56,NA,4.53,40.04,NA,NA,0.17,0.03,18.63,NA,2559169,NFL,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,CIN,NA,NA,72.53,NA,0.48,NA,3.99,30.5,NA,NA,0.11,0.03,17.77,NA,2557976,NFL,13131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,TEN,NA,NA,89.73,NA,0.57,NA,2.3,24.26,NA,NA,0.1,0.11,17.62,NA,2556075,NFL,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Nick Chubb,RB,CLE,NA,NA,93.56,NA,0.55,NA,2.09,17.48,NA,NA,0.1,0.07,17.01,NA,2561021,NFL,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
