player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Detroit Lions,2.7,0.8,0.6,0.7,0.1,NA,21.8,341.4,9.66,2338,FleaFlicker,DST,0522,DET,@BALSun 1:00 PM,9,D/ST19,0,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks,2.4,0.8,0.6,0.7,0.2,NA,19.4,306.4,9.56,2354,FleaFlicker,DST,0515,SEA,ARISun 4:05 PM,5,D/ST22,0,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,2.2,0.9,0.6,0.9,0.1,NA,25,405,9.48,2351,FleaFlicker,DST,0518,PHI,MIASun 8:20 PM,10,D/ST4,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,2.5,0.8,0.5,0.7,0.2,NA,19.2,307.4,9.41,2356,FleaFlicker,DST,0528,LAR,PITSun 4:05 PM,10,D/ST26,0,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,2.3,0.8,0.5,0.7,0.2,NA,20.5,334,9.19,2333,FleaFlicker,DST,0521,CHI,LVSun 1:00 PM,13,NA,0,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Saints,2.5,0.8,0.5,0.6,0.2,NA,20.4,328.6,9.15,2347,FleaFlicker,DST,0529,NO,JACThu 8:15 PM,11,D/ST5,0,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals,2.5,0.8,0.4,0.6,0.1,NA,25.9,354.1,9.09,2328,FleaFlicker,DST,0519,ARI,@SEASun 4:05 PM,14,D/ST28,0,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,2.2,0.8,0.5,0.8,0.2,NA,20.7,343.7,9.04,2330,FleaFlicker,DST,0531,BAL,DETSun 1:00 PM,13,D/ST6,0,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,2.3,0.6,0.5,0.8,0.1,NA,25.5,358.6,8.98,2345,FleaFlicker,DST,0524,MIN,SFMon 8:15 PM,13,D/ST27,0,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders,2.2,0.9,0.5,0.5,0.2,NA,17.5,306.3,8.69,2350,FleaFlicker,DST,0513,LV,@CHISun 1:00 PM,13,D/ST30,0,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,2.1,0.8,0.5,0.7,0.1,NA,21.5,313.6,8.66,2329,FleaFlicker,DST,0526,ATL,@TBSun 1:00 PM,11,D/ST24,0,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers,2,0.7,0.6,0.9,0.1,NA,27.4,393.8,8.64,2353,FleaFlicker,DST,0514,LAC,@KCSun 4:25 PM,5,D/ST20,0,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,2,0.8,0.5,0.7,0.1,NA,23.4,361,8.44,2337,FleaFlicker,DST,0511,DEN,GBSun 4:25 PM,9,D/ST15,0,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New England Patriots,1.7,0.8,0.6,0.8,0.1,NA,24.6,363.1,8.05,2346,FleaFlicker,DST,0504,NE,BUFSun 1:00 PM,11,D/ST17,0,63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington D/ST,4.42,0.62,0.39,NA,0.18,NA,18.75,295.89,9.25,washington-dst,NumberFire,D,0520,WSH,NYG,NA,NA,NA,NA,2.81,15.69,#31,1,9.25,4600,2.01,9.25,3500,2.64,9.25,NA,NA,NA
New York Giants D/ST,4.02,0.76,0.56,NA,0.16,NA,20.75,318.86,8.85,new-york-giants-dst,NumberFire,D,0517,NYG,WSH,NA,NA,NA,NA,2.49,15.21,#25,2,8.81,3400,2.59,8.81,3000,2.94,8.81,12,0.73,NA
Buffalo D/ST,2.46,0.78,0.48,NA,0.21,NA,16.5,295.15,8.57,buffalo-dst,NumberFire,D,0501,BUF,NE,NA,NA,NA,NA,2.27,14.87,#32,3,8.52,5000,1.7,8.52,4200,2.03,8.52,23,0.37,NA
Indianapolis D/ST,4.06,0.65,0.55,NA,0.17,NA,21,329.9,8.56,indianapolis-dst,NumberFire,D,0502,IND,CLE,NA,NA,NA,NA,2.26,14.86,#29,4,8.55,3800,2.25,8.55,3400,2.51,8.55,16,0.53,NA
Seattle D/ST,2.31,0.91,0.59,NA,0.2,NA,18.5,305.23,8.24,seattle-dst,NumberFire,D,0515,SEA,ARI,NA,NA,NA,NA,2,14.48,#11,5,8.24,4900,1.68,8.24,3200,2.58,8.24,20,0.41,NA
Cleveland D/ST,2.5,0.74,0.67,NA,0.19,NA,18.5,324.34,8.21,cleveland-dst,NumberFire,D,0507,CLE,IND,NA,NA,NA,NA,1.98,14.44,#17,6,8.19,4500,1.82,8.19,3300,2.48,8.19,14,0.59,NA
Tampa Bay D/ST,3.05,0.65,0.38,NA,0.19,NA,18,305.94,8.14,tampa-bay-dst,NumberFire,D,0525,TB,ATL,NA,NA,NA,NA,1.92,14.36,#27,7,8.12,4000,2.03,8.12,3600,2.26,8.12,20,0.41,NA
San Francisco D/ST,2.64,0.64,0.58,NA,0.2,NA,18.5,333.75,8.03,san-francisco-dst,NumberFire,D,0530,SF,MIN,NA,NA,NA,NA,1.83,14.23,#19,8,8.01,4800,1.67,8.01,3500,2.29,8.01,18,0.45,NA
New Orleans D/ST,2.67,0.68,0.5,NA,0.18,NA,19,327.2,7.75,new-orleans-dst,NumberFire,D,0529,NO,JAC,NA,NA,NA,NA,1.61,13.89,#13,9,7.71,4800,1.61,7.71,3200,2.41,7.71,19,0.41,NA
Las Vegas D/ST,1.94,0.81,0.42,NA,0.2,NA,17.25,292.08,7.7,las-vegas-d-st,NumberFire,D,0513,LV,CHI,NA,NA,NA,NA,1.57,13.83,#30,10,7.65,4700,1.63,7.65,3800,2.01,7.65,12,0.64,NA
Atlanta D/ST,2.22,0.9,0.6,NA,0.17,NA,20.5,308.34,7.49,atlanta-dst,NumberFire,D,0526,ATL,TB,NA,NA,NA,NA,1.4,13.58,#12,11,7.44,3600,2.07,7.44,2800,2.66,7.44,11,0.68,NA
Green Bay D/ST,3.25,0.54,0.5,NA,0.17,NA,21.75,325.88,7.26,green-bay-dst,NumberFire,D,0523,GB,DEN,NA,NA,NA,NA,1.22,13.3,#20,12,7.26,3900,1.86,7.26,3700,1.96,7.26,14,0.52,NA
Chicago D/ST,2.27,0.88,0.44,NA,0.17,NA,20.25,342.21,7.23,chicago-dst,NumberFire,D,0521,CHI,LV,NA,NA,NA,NA,1.2,13.26,#22,13,7.19,3700,1.94,7.19,2900,2.48,7.19,11,0.65,NA
Jacksonville D/ST,2.47,0.64,0.53,NA,0.17,NA,20.5,325.45,7.08,jacksonville-dst,NumberFire,D,0509,JAC,NO,NA,NA,NA,NA,1.08,13.08,#23,14,7.03,4300,1.63,7.03,3300,2.13,7.03,17,0.41,NA
Los Angeles Rams D/ST,2.45,0.73,0.38,NA,0.18,NA,20.25,304.55,7.05,los-angeles-rams-d-st,NumberFire,D,0528,LA,PIT,NA,NA,NA,NA,1.05,13.05,#21,15,7.03,4300,1.63,7.03,3900,1.8,7.03,11,0.64,NA
Baltimore D/ST,2.2,0.65,0.43,NA,0.18,NA,19.75,334.97,6.88,baltimore-dst,NumberFire,D,0531,BAL,DET,NA,NA,NA,NA,0.92,12.84,#3,16,6.91,4100,1.69,6.91,2500,2.76,6.91,15,0.46,NA
