player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jake Elliott,K,PHI,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.7,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.7,NA,17575,FantasyPros,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.6,NA,13029,FantasyPros,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.6,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.5,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.5,NA,19760,FantasyPros,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.5,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6.4,NA,17533,FantasyPros,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.3,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.3,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,6.3,NA,13274,FantasyPros,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.3,NA,17647,FantasyPros,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.3,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,1.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.2,NA,24549,FantasyPros,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,5.9,NA,9443,FantasyPros,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,NA,1.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,5.7,NA,11339,FantasyPros,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,3.4,3.7,NA,0.8,NA,1.1,NA,0.9,NA,0.6,NA,7.5,3.6,19,NA,NA,FantasySharks,13403,ARI,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,NEP,NA,2,2.3,NA,0.5,NA,0.5,NA,0.6,NA,0.3,NA,2.1,2.3,8.6,NA,NA,FantasySharks,8851,MIA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,2.1,2.5,NA,0.7,NA,0.6,NA,0.4,NA,0.4,NA,1.7,1.7,8.2,NA,NA,FantasySharks,10976,PIT,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",K,LAC,NA,1.9,2,NA,0.8,NA,0.6,NA,0.5,NA,0,NA,2.2,2.2,8.1,NA,NA,FantasySharks,15979,LAR,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maher, Brett",K,DAL,NA,1.6,1.8,NA,0.5,NA,0.3,NA,0.3,NA,0.4,NA,2.8,3,8.1,NA,NA,FantasySharks,13909,@TEN,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.9,2,NA,0.2,NA,0.9,NA,0.7,NA,0.1,NA,1.7,1.8,8.1,NA,NA,FantasySharks,13719,@TBB,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.7,2,NA,0.4,NA,0.5,NA,0.3,NA,0.3,NA,3.1,3.3,8.1,NA,NA,FantasySharks,13354,DEN,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,LAR,NA,1.7,1.9,NA,0.3,NA,0.6,NA,0.3,NA,0.4,NA,2.1,2.2,7.7,NA,NA,FantasySharks,14244,@LAC,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby, Mason",K,GBP,NA,1.7,2,NA,0.7,NA,0.7,NA,0.3,NA,0.1,NA,2.8,3,7.7,NA,NA,FantasySharks,8742,MIN,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,1.8,2.1,NA,0.5,NA,0.6,NA,0.4,NA,0.4,NA,1.7,1.8,7.5,NA,NA,FantasySharks,13718,SFO,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",K,ARI,NA,1.7,1.9,NA,0.3,NA,0.6,NA,0.4,NA,0.5,NA,1.8,1.9,7.5,NA,NA,FantasySharks,8930,@ATL,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gould, Robbie",K,SFO,NA,1.6,1.8,NA,0.6,NA,0.4,NA,0.4,NA,0.2,NA,2.6,2.7,7.3,NA,NA,FantasySharks,8153,@LVR,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.6,1.8,NA,0.3,NA,0.4,NA,0.5,NA,0.3,NA,2.3,2.5,7.2,NA,NA,FantasySharks,15368,BUF,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",K,JAC,NA,1.8,2.1,NA,0.4,NA,0.7,NA,0.7,NA,0.1,NA,1.8,1.8,7.1,NA,NA,FantasySharks,15369,@HOU,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.6,1.8,NA,0.1,NA,0.5,NA,0.5,NA,0.4,NA,1.4,1.5,7.1,NA,NA,FantasySharks,9694,IND,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.5,1.7,NA,0.4,NA,0.5,NA,0.5,NA,0.1,NA,2.6,2.8,7,NA,NA,FantasySharks,14983,@CIN,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.5,1.8,NA,0.4,NA,0.4,NA,0.4,NA,0.3,NA,2.2,2.5,7,NA,NA,FantasySharks,13898,@GBP,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,IND,NA,1.8,2.3,NA,0.4,NA,0.4,NA,0.6,NA,0.4,NA,1.4,1.4,6.9,NA,NA,FantasySharks,14717,@NYG,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.7,2,NA,0.5,NA,0.3,NA,0.5,NA,0.3,NA,1.4,1.7,6.9,NA,NA,FantasySharks,14600,CLE,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,1.6,1.8,NA,0.5,NA,0.4,NA,0.4,NA,0.3,NA,1.3,1.4,6.9,NA,NA,FantasySharks,12860,JAC,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,1.4,1.6,NA,0.4,NA,0.5,NA,0.2,NA,0.3,NA,2.3,2.4,6.8,NA,NA,FantasySharks,12437,NYJ,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badgley, Mike",K,DET,NA,1.5,1.9,NA,0.3,NA,0.5,NA,0.6,NA,0.1,NA,2.3,2.4,6.6,NA,NA,FantasySharks,13980,CHI,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.2,1.4,NA,0.4,NA,0.4,NA,0.2,NA,0.1,NA,2.9,2.9,6.2,NA,NA,FantasySharks,13303,NOS,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",K,PIT,NA,1.6,2.2,NA,0.3,NA,0.4,NA,0.6,NA,0.4,NA,1.5,1.5,6.2,NA,NA,FantasySharks,11936,@BAL,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
