player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Zuerlein, Greg",K,NYJ,NA,1.5,1.9,NA,0.3,NA,0.6,NA,0.4,NA,0.3,NA,1.6,1.7,6.2,NA,NA,FantasySharks,10868,@SEA,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.4,1.8,NA,0.3,NA,0.4,NA,0.6,NA,0.1,NA,2.1,2.3,6.1,NA,NA,FantasySharks,13832,@NEP,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Succop, Ryan",K,TBB,NA,1.6,2,NA,0.5,NA,0.4,NA,0.5,NA,0.1,NA,1.8,1.9,6,NA,NA,FantasySharks,9686,CAR,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,NOS,NA,1.3,1.6,NA,0.4,NA,0.5,NA,0.3,NA,0.1,NA,1.9,2,5.7,NA,NA,FantasySharks,12956,@PHI,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,DEN,NA,1.4,1.9,NA,0.3,NA,0.2,NA,0.5,NA,0.5,NA,1.4,1.5,5.7,NA,NA,FantasySharks,11947,@KCC,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.4,1.6,NA,0.4,NA,0.4,NA,0.4,NA,0.1,NA,1.6,1.8,5.7,NA,NA,FantasySharks,11945,@DET,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York, Cade",K,CLE,NA,1.3,1.8,NA,0.3,NA,0.4,NA,0.4,NA,0.2,NA,1.8,1.9,5.1,NA,NA,FantasySharks,15882,@WAS,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bullock, Randy",K,TEN,NA,1.1,1.4,NA,0.3,NA,0.5,NA,0.3,NA,0,NA,2.2,2.2,5,NA,NA,FantasySharks,10862,DAL,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bertolet, Taylor",K,LAC,NA,0.2,0.2,NA,0.2,NA,0,NA,0,NA,0,NA,0.2,0.2,0.8,NA,NA,FantasySharks,13900,LAR,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,11.9,NA,4780,FleaFlicker,8851,MIASun 1:00 PM,NA,NA,0,K10,2/2,1/1,84%,NA,NA,NA,NA,NA,NA,NA
