season,week,id,pos,FantasySharks,NumberFire,FantasyPros,FleaFlicker,CBS,FFToday,NFL,FantasySharks_ERROR_LAG_1,NumberFire_ERROR_LAG_1,FantasyPros_ERROR_LAG_1,FleaFlicker_ERROR_LAG_1,CBS_ERROR_LAG_1,FFToday_ERROR_LAG_1,NFL_ERROR_LAG_1,avg_type,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,first_name,last_name,team,position,age,exp
2022,2,15796,TE,,,,,,,,,,,,,,,average,2.52,0.9758073580374355,0.05259999999999998,1.899,3.1409999999999996,-6.160357142857144,-5.9465,-8.057049999999998,296,297,322,63,15,Jeremy,Ruckert,NYJ,TE,22,-2
2022,2,15798,TE,,,,,,,,,,,,,,,average,4.213642857142857,1.5857189671745568,0.2378214285714284,1.7254,5.1365,-4.4667142857142865,-6.120100000000001,-6.061549999999999,243,307,262,38,13,Isaiah,Likely,BAL,TE,22,-2
2022,2,15799,TE,,,,,,,,,,,,,,,average,1.86,0.2810990335569773,0.05333333333333323,1.63075,2.17325,-6.8203571428571435,-6.21475,-9.024799999999999,324,311,359,77,16,Jake,Ferguson,DAL,TE,23,-2
2022,2,15800,TE,,,,,,,,,,,,,,,average,0.6000000000000001,NA,0.06850000000000012,0.6000000000000001,0.6000000000000001,-8.080357142857144,-7.2455,-10.598049999999999,382,384,431,105,17,Connor,Heyward,PIT,TE,23,-2
2022,2,15802,TE,,,,,,,,,,,,,,,average,2.5220000000000002,1.2067186913278505,0.002000000000000224,0.7130000000000001,3.3812500000000005,-6.1583571428571435,-7.1325,-7.816799999999998,295,375,314,62,15,Cade,Otton,TBB,TE,23,-2
2022,2,15804,TE,,,,,,,,,,,,,,,average,1.71,0,0.04559999999999986,1.71,1.71,-6.970357142857144,-6.1355,-9.488049999999998,329,308,390,80,16,Grant,Calcaterra,PHI,TE,24,-2
2022,2,15840,TE,,,,,,,,,,,,,,,average,1.3766666666666667,0.5953430383680769,0.027666666666666728,0.791,1.7990000000000004,-7.303690476190477,-7.0545,-9.399049999999999,343,365,382,87,16,Jelani,Woods,IND,TE,24,-2
2022,2,15873,TE,,,,,,,,,,,,,,,average,4.216464285714286,1.4985811722298878,0.0028214285714289744,2.903225,6.401224999999998,-4.4638928571428576,-4.942275,-4.796825,242,253,233,37,12,Daniel,Bellinger,NYG,TE,22,-2
2022,2,15889,TE,,,,,,,,,,,,,,,average,0.8219684684684685,0.1958767959686105,0.0019684684684684317,0.6930999999999999,1.015214864864865,-7.858388674388675,-7.1524,-10.182835135135134,369,376,415,98,17,Chigoziem,Okonkwo,TEN,TE,23,-2
2022,2,15909,TE,,,,,,,,,,,,,,,average,1.9700000000000002,NA,0.010000000000000009,1.9700000000000002,1.9700000000000002,-6.710357142857143,-5.875500000000001,-9.228049999999998,314,292,371,72,15,James,Mitchell,DET,TE,23,-2
2022,2,15929,TE,,,,,,,,,,,,,,,average,1.9600000000000002,0.24248711305964277,0.013800000000000034,1.8200000000000003,2.1980000000000004,-6.720357142857144,-6.0255,-9.000049999999998,315,302,358,73,15,Ko,Kieft,TBB,TE,24,-2
2022,2,15990,TE,,,,,,,,,,,,,,,average,1.72,0.33941125496954283,0.010000000000000009,1.504,1.936,-6.960357142857144,-6.3415,-9.262049999999999,327,316,374,79,16,Armani,Rogers,WAS,TE,25,-2
2022,2,15991,TE,,,,,,,,,,,,,,,average,0.5,0.14142135623730956,0.020000000000000018,0.41000000000000003,0.5900000000000001,-8.180357142857144,-7.4355,-10.608049999999999,386,396,432,107,17,Tanner,Conner,MIA,TE,24,-2
2022,2,16000,TE,,,,,,,,,,,,,,,average,1.53,NA,0.07333333333333347,1.53,1.53,-7.1503571428571435,-6.3155,-9.66805,336,315,394,83,16,Peyton,Hendershot,DAL,TE,23,-2
2022,2,16036,TE,,,,,,,,,,,,,,,average,0.76,NA,0.039999999999999925,0.76,0.76,-7.920357142857144,-7.085500000000001,-10.438049999999999,378,369,424,103,17,Jake,Tonges,CHI,TE,23,-2
2022,2,8269,TE,,,,,,,,,,,,,,,average,2.333916666666667,1.051960938755174,0.02391666666666703,0.8297500000000001,3.3091875,-6.346440476190477,-7.015750000000001,-7.888862499999998,302,358,316,66,15,Marcedes,Lewis,GBP,TE,38,14
2022,2,10261,WR,,,,,,,,,,,,,,,average,7.822547619047619,1.4960924062688234,0.03980952380952285,5.666383333333333,9.253499999999999,-4.199049309664696,-4.366216666666667,-5.8719,233,237,260,65,11,A.J.,Green,ARI,WR,34,9
2022,2,10308,WR,,,,,,,,,,,,,,,average,6.683214285714286,1.3841676156070253,0.0596983193277314,4.73495,8.3271,-5.338382642998028,-5.29765,-6.798299999999999,263,263,284,77,12,Randall,Cobb,GBP,WR,32,9
2022,2,10738,WR,,,,,,,,,,,,,,,average,9.520642857142857,1.1588404662379008,0.1510714285714272,7.705350000000001,10.301,-2.500954071569458,-2.3272499999999994,-4.824399999999999,198,187,236,53,10,Marvin,Jones,JAC,WR,32,8
2022,2,11228,WR,,,,,,,,,,,,,,,average,12.334216591415553,3.152843902698531,0.106587912373314,9.454,17.0042612979362,0.3126196627032378,-0.5785999999999998,1.8788612979362007,94,119,73,34,7,Robert,Woods,TEN,WR,30,7
2022,2,11239,WR,,,,,,,,,,,,,,,average,3.3731666666666666,0.9009598030249,0.05336666666666634,2.2105,4.156750000000001,-8.648430262045649,-7.822100000000001,-10.968649999999998,402,417,447,110,14,Marquise,Goodwin,SEA,WR,32,7
2022,2,11670,WR,,,,,,,,,,,,,,,average,6.828547619047619,0.7036391430632564,0.0020238095238092058,6.4023,7.904999999999999,-5.193049309664696,-3.6303,-7.2204,259,220,293,74,12,Sammy,Watkins,GBP,WR,29,6
2022,2,11671,WR,,,,,,,,,,,,,,,average,16.91202380952381,1.7589833249071996,0.29478571428571243,15.145,19.507116666666665,4.890426880811495,5.112399999999999,4.381716666666666,29,23,40,9,4,Mike,Evans,TBB,WR,29,6
2022,2,11674,WR,,,,,,,,,,,,,,,average,15.909404761904762,1.7860126701500492,0.17387371077463065,14.403,18.54868333333333,3.887807833192447,4.3704,3.4232833333333303,37,31,49,12,5,Brandin,Cooks,HOU,WR,29,6
2022,2,11675,WR,,,,,,,,,,,,,,,average,22.268642857142858,1.255867386652405,0.19271428571428473,20.726000000000003,23.78375,10.247045928430543,10.693400000000002,8.658350000000002,4,2,7,2,1,Davante,Adams,LVR,WR,30,6
2022,2,11678,WR,,,,,,,,,,,,,,,average,12.961357142857143,3.356097916657152,0.29204761904761867,8.8457,17.54405,0.9397602141448278,-1.1868999999999996,2.4186499999999995,78,147,65,29,7,Allen,Robinson,LAR,WR,29,6
2022,2,11680,WR,,,,,,,,,,,,,,,average,11.246258984258985,1.556308370229113,0.07318755568755542,8.9922,12.9094,-0.7753379444533302,-1.0404,-2.2159999999999993,130,136,172,42,8,Jarvis,Landry,NOS,WR,30,6
2022,2,11938,WR,,,,,,,,,,,,,,,average,13.679214285714286,2.116909104038694,0.1325937456198325,11.253300000000001,16.484050000000003,1.6576173570019712,1.2207000000000008,1.3586500000000044,72,72,83,27,6,Adam,Thielen,MIN,WR,32,6
2022,2,12175,WR,,,,,,,,,,,,,,,average,12.00607142857143,1.1447903166290405,0.06452380952381098,10.186850000000002,12.9058,-0.015525500140885384,0.1542500000000011,-2.2196,105,97,173,38,8,Amari,Cooper,CLE,WR,28,5
2022,2,12176,WR,,,,,,,,,,,,,,,average,9.36957142857143,0.7187066757128989,0.029070228100851025,8.5145,10.309000000000001,-2.6520255001408852,-1.5181000000000004,-4.816399999999998,199,161,235,54,10,DeVante,Parker,NEP,WR,29,5
2022,2,12181,WR,,,,,,,,,,,,,,,average,6.2523333333333335,0.6922480287681095,0.1443571428571424,5.182300000000001,6.698,-5.769263595378981,-4.8503,-8.427399999999999,280,244,334,80,12,Nelson,Agholor,NEP,WR,29,5
2022,2,12184,WR,,,,,,,,,,,,,,,average,5.738452380952381,0.6364251629965916,0.1541904761904762,5.0425,6.677350000000001,-6.2831445477599335,-4.9901,-8.448049999999999,301,255,335,86,13,Jamison,Crowder,BUF,WR,29,5
2022,2,12186,WR,,,,,,,,,,,,,,,average,19.338666666666665,1.4084291091693453,1.3720289261836527,17.5569,21.150166666666664,7.31706973795435,7.524299999999998,6.024766666666665,12,11,24,5,3,Stefon,Diggs,BUF,WR,29,5
2022,2,12187,WR,,,,,,,,,,,,,,,average,12.021596928712315,1.266519874591323,0.00700169061707534,10.403348027613413,13.583776923076922,0,0.37074802761341275,-1.5416230769230772,103,91,156,36,8,Tyler,Lockett,SEA,WR,30,5
2022,2,12188,WR,,,,,,,,,,,,,,,average,1.9492500000000001,0.6966507374574435,0.006750000000000034,1.3382500000000002,2.7573,-10.072346928712314,-8.69435,-12.368099999999998,464,461,469,133,15,Phillip,Dorsett,HOU,WR,29,5
2022,2,12197,WR,,,,,,,,,,,,,,,average,5.584261904761905,1.8196423434116131,0.037561904761904685,4.1732000000000005,8.416399999999998,-6.43733502395041,-5.8594,-6.709000000000001,305,291,278,87,13,Breshad,Perriman,TBB,WR,29,5
2022,2,12257,WR,,,,,,,,,,,,,,,average,3.524,0.08804544281222061,0.05286666666666617,3.4436999999999998,3.6239,-8.497596928712316,-6.588900000000001,-11.5015,397,328,458,106,14,Chris,Conley,HOU,WR,30,5
2022,2,12394,WR,,,,,,,,,,,,,,,average,7.736366666666667,1.3605517630726145,0.030533333333333523,6.459233333333334,9.627083333333333,-4.285230262045648,-3.573366666666667,-5.498316666666666,237,217,248,68,11,DeAndre,Carter,LAC,WR,29,5
2022,2,12443,WR,,,,,,,,,,,,,,,average,1.42025,1.0652011938283459,0.0202500000000001,0.43015000000000003,2.34,-10.601346928712315,-9.602450000000001,-12.7854,483,504,474,147,16,Jake,Kumerow,BUF,WR,30,3
2022,2,12464,WR,,,,,,,,,,,,,,,average,1.6390000000000002,0.934795164728616,0.05600000000000027,1.0441,2.2339,-10.382596928712314,-8.9885,-12.891499999999999,478,468,476,142,16,Damiere,Byrd,ATL,WR,29,5
2022,2,12650,WR,,,,,,,,,,,,,,,average,9.149452380952381,1.5214827158932516,0.16330952380952368,7.349216666666667,11.229,-2.872144547759934,-2.6833833333333335,-3.8964,206,195,219,56,10,Tyler,Boyd,CIN,WR,28,4
