player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
"Cook, James",RB,BUF,NA,10,44,NA,0.3,1.6,0.9,10,NA,NA,0,0,7.4,NA,NA,FantasySharks,15715,@DET,0.2,0.1,0,0,0,0,0.3,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hilliard, Dontrell",RB,TEN,NA,5,30,NA,0.3,2.4,1.8,13,NA,NA,0.2,0,7.1,NA,NA,FantasySharks,13871,CIN,0.2,0,0,0,0,0,0.6,0.1,0,7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allgeier, Tyler",RB,ATL,NA,10,48,NA,0.2,1,0.9,7,NA,NA,0.1,0,7,NA,NA,FantasySharks,15712,@WAS,0.2,0,0,0,0,0,0,0,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell, Elijah",RB,SFO,NA,10.6,49,NA,0.2,1.5,1.1,9,NA,NA,0,0,7,NA,NA,FantasySharks,15263,NOS,0.2,0,0,0,0,0,0.2,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drake, Kenyan",RB,BAL,NA,7.6,39,NA,0.2,2.2,1.7,9,NA,NA,0.1,0,6.9,NA,NA,FantasySharks,12630,@JAC,0.2,0,0,0,0,0,0.3,0,0,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKinnon, Jerick",RB,KCC,NA,7,30,NA,0.1,3,2.3,20,NA,NA,0.1,0.1,6,NA,NA,FantasySharks,11761,LAR,0.1,0,0,0,0,0,0.6,0.1,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaskin, Myles",RB,MIA,NA,9.4,28,NA,0.2,2.3,1.6,7,NA,NA,0.1,0.1,5.2,NA,NA,FantasySharks,14081,HOU,0.2,0,0,0,0,0,0.6,0,0,3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hubbard, Chuba",RB,CAR,NA,6.4,25,NA,0.2,1.9,1.4,11,NA,NA,0.1,0,5.1,NA,NA,FantasySharks,15261,DEN,0.1,0.1,0,0,0,0,0.1,0,0,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mack, Marlon",RB,DEN,NA,8.5,31,NA,0.1,2.4,1.9,15,NA,NA,0,0,5,NA,NA,FantasySharks,13234,@CAR,0.1,0,0,0,0,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henderson, Darrell",RB,LAR,NA,6.8,27,NA,0.1,2.2,1.7,10,NA,NA,0,0,4.7,NA,NA,FantasySharks,14087,@KCC,0.1,0,0,0,0,0,0.3,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gainwell, Kenneth",RB,PHI,NA,3.9,17,NA,0.3,2.1,1.4,9,NA,NA,0.1,0,4.6,NA,NA,FantasySharks,15255,GBP,0.2,0.1,0,0,0,0,0.4,0,0,2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mattison, Alexander",RB,MIN,NA,4.9,18,NA,0.2,1.6,1.3,9,NA,NA,0.1,0,4.2,NA,NA,FantasySharks,14223,NEP,0.2,0,0,0,0,0,0.4,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
