player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,two_pts
Demetric Felton,RB,CLE,NA,0,0.7,NA,0,0.2,0.2,2.4,NA,NA,0,0,0.37,NA,16453,FleaFlicker,15270,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,3.1,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Ham,RB,MIN,NA,0,0.8,NA,0,0.3,0.3,1.5,NA,NA,0,0,0.35,NA,12694,FleaFlicker,12923,@GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,2.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,NA,0,2,NA,0,0.2,0.2,0.3,NA,NA,0,0,0.35,NA,16974,FleaFlicker,15713,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB102,0,2.4,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zander Horvath,RB,LAC,NA,0,1,NA,0,0.2,0.2,1.1,NA,NA,0,0,0.33,NA,17034,FleaFlicker,15960,LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,2.1,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Watt,RB,PIT,NA,0,1.1,NA,0,0.2,0.2,0.6,NA,NA,0,0,0.29,NA,12191,FleaFlicker,12823,@BALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,1.6,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trestan Ebner,RB,CHI,NA,0,0.2,NA,0,0.3,0.3,2,NA,NA,0,0,0.28,NA,17011,FleaFlicker,15748,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB87,0,2.1,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakob Johnson,RB,LV,NA,0,0.2,NA,0,0.2,0.2,1.1,NA,NA,0,0,0.19,NA,14649,FleaFlicker,14359,SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,1.3,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Prentice,RB,NO,NA,0,0.6,NA,0,0.2,0.2,0.3,NA,NA,0,0,0.15,NA,16711,FleaFlicker,15650,@PHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,0.9,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khari Blasingame,RB,CHI,NA,0,0.3,NA,0,0.2,0.2,0.8,NA,NA,0,0,0.11,NA,15091,FleaFlicker,14552,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,1,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,17.24,79.57,NA,0.71,NA,5.08,40.59,NA,NA,0.3,NA,18.01,NA,christian-mccaffrey,NumberFire,13130,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,27.23,#31,7,1,20.54,NA,NA,23.14,NA,NA,20.54,NA,NA
Saquon Barkley,RB,NYG,NA,20.24,87.43,NA,0.69,NA,4.38,30.66,NA,NA,0.17,NA,16.87,NA,saquon-barkley,NumberFire,13604,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,25.72,#14,12,2,19.06,NA,NA,21.32,NA,NA,19.06,NA,NA
Austin Ekeler,RB,LAC,NA,15.83,69.78,NA,0.6,NA,4.93,33.97,NA,NA,0.29,NA,15.37,NA,austin-ekeler-1,NumberFire,13404,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01,23.73,#13,17,3,17.84,NA,NA,20.5,NA,NA,17.84,NA,NA
Josh Jacobs,RB,LV,NA,21.7,91.78,NA,0.66,NA,2.77,18.26,NA,NA,0.07,NA,15.14,NA,josh-jacobs,NumberFire,14073,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86,23.42,#2,19,4,16.57,NA,NA,18.07,NA,NA,16.57,NA,NA
James Conner,RB,ARI,NA,19.09,79.25,NA,0.65,NA,3.01,24.86,NA,NA,0.09,NA,14.53,NA,james-conner,NumberFire,13146,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,22.61,#30,22,5,16.04,NA,NA,17.72,NA,NA,16.04,NA,NA
Nick Chubb,RB,CLE,NA,17.9,99.52,NA,0.52,NA,1.08,8.72,NA,NA,0.05,NA,14.16,NA,nick-chubb,NumberFire,13610,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,22.12,#7,26,6,14.72,NA,NA,15.3,NA,NA,14.72,NA,NA
Travis Etienne,RB,JAC,NA,17.13,78.7,NA,0.63,NA,2.65,19.87,NA,NA,0.11,NA,13.87,NA,travis-etienne,NumberFire,15253,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21.74,#26,28,7,15.16,7700,1.97,16.73,6400,2.61,15.16,NA,NA
Kenneth Walker III,RB,SEA,NA,18.31,80.36,NA,0.59,NA,2.18,16.15,NA,NA,0.07,NA,13.62,NA,kenneth-walker-iii,NumberFire,15711,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,21.41,#3,31,8,14.7,NA,NA,15.8,NA,NA,14.7,NA,NA
Alvin Kamara,RB,NO,NA,15.17,64.37,NA,0.41,NA,4.8,39,NA,NA,0.17,NA,13.49,NA,alvin-kamara,NumberFire,13132,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,21.23,#9,32,9,15.88,NA,NA,18.47,NA,NA,15.88,NA,NA
Dalvin Cook,RB,MIN,NA,17.58,81.96,NA,0.51,NA,2.14,14.93,NA,NA,0.09,NA,13.07,NA,dalvin-cook,NumberFire,13128,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,20.68,#19,34,10,14.14,NA,NA,15.33,NA,NA,14.14,NA,NA
Rhamondre Stevenson,RB,NE,NA,14.77,65.87,NA,0.5,NA,3.74,25.13,NA,NA,0.16,NA,12.88,NA,rhamondre-stevenson,NumberFire,15259,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34,20.42,#21,35,11,14.73,NA,NA,16.72,NA,NA,14.73,NA,NA
Brian Robinson,RB,WSH,NA,19.38,84.35,NA,0.52,NA,1.63,10.47,NA,NA,0.07,NA,12.81,NA,brian-robinson,NumberFire,15716,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,20.33,#22,36,12,13.6,NA,NA,14.54,NA,NA,13.6,NA,NA
Joe Mixon,RB,CIN,NA,13.9,57.76,NA,0.44,NA,3.67,30.39,NA,NA,0.19,NA,12.58,NA,joe-mixon,NumberFire,13131,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,20.03,#6,38,13,14.45,NA,NA,16.3,NA,NA,14.45,NA,NA
Tyler Allgeier,RB,ATL,NA,15.99,74.39,NA,0.49,NA,1.65,12.56,NA,NA,0.08,NA,12.12,NA,tyler-allgeier,NumberFire,15712,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,19.42,#23,44,14,12.94,NA,NA,13.78,NA,NA,12.94,NA,NA
David Montgomery,RB,CHI,NA,15.04,62.2,NA,0.53,NA,2.15,18.52,NA,NA,0.13,NA,11.83,NA,david-montgomery,NumberFire,14071,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,19.03,#32,46,15,12.93,NA,NA,14.1,NA,NA,12.93,NA,NA
Aaron Jones,RB,GB,NA,13,63.24,NA,0.4,NA,2.88,19.98,NA,NA,0.2,NA,11.65,NA,aaron-jones,NumberFire,13319,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51,18.79,#20,48,16,13.1,NA,NA,14.69,NA,NA,13.1,NA,NA
Leonard Fournette,RB,TB,NA,13.42,52.12,NA,0.38,NA,3.79,31.54,NA,NA,0.15,NA,11.55,NA,leonard-fournette,NumberFire,13129,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,18.66,#18,49,17,13.46,NA,NA,15.37,NA,NA,13.46,NA,NA
Miles Sanders,RB,PHI,NA,16.08,78.01,NA,0.49,NA,1.12,5.93,NA,NA,0.05,NA,11.51,NA,miles-sanders,NumberFire,14079,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,18.61,#15,50,18,12.05,NA,NA,12.69,NA,NA,12.05,NA,NA
Ezekiel Elliott,RB,DAL,NA,16.75,62.12,NA,0.62,NA,1.71,9.32,NA,NA,0.09,NA,11.42,NA,ezekiel-elliott,NumberFire,12625,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,18.49,#16,53,19,12.26,NA,NA,13.12,NA,NA,12.26,NA,NA
Najee Harris,RB,PIT,NA,16.89,66.6,NA,0.37,NA,2.36,17.61,NA,NA,0.07,NA,10.95,NA,najee-harris,NumberFire,15254,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,17.86,#11,57,20,12.08,NA,NA,13.35,NA,NA,12.08,NA,NA
Cam Akers,RB,LA,NA,15.95,69.39,NA,0.41,NA,1.12,8.25,NA,NA,0.05,NA,10.26,NA,cam-akers,NumberFire,14799,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,16.95,#17,59,21,10.82,NA,NA,11.52,NA,NA,10.82,NA,NA
Cordarrelle Patterson,RB,ATL,NA,11.37,54.03,NA,0.46,NA,1.42,12.19,NA,NA,0.08,NA,9.82,NA,cordarrelle-patterson-1,NumberFire,11225,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,16.36,#23,61,22,10.51,NA,NA,11.26,NA,NA,10.51,NA,NA
Zonovan Knight,RB,NYJ,NA,13.5,58.11,NA,0.43,NA,1.49,10.79,NA,NA,0.07,NA,9.75,NA,zonovan-knight,NumberFire,15727,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,16.27,#28,62,23,10.48,NA,NA,11.31,NA,NA,10.48,NA,NA
Zack Moss,RB,IND,NA,14.57,62.6,NA,0.36,NA,1.46,10.28,NA,NA,0.05,NA,9.51,NA,zack-moss,NumberFire,14798,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07,15.95,#27,64,24,10.24,NA,NA,11.1,NA,NA,10.24,NA,NA
Jerick McKinnon,RB,KC,NA,7.47,31.36,NA,0.21,NA,4.13,35.72,NA,NA,0.27,NA,9.51,NA,jerick-mckinnon,NumberFire,11761,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07,15.95,#8,64,24,11.61,NA,NA,13.71,NA,NA,11.61,NA,NA
Isiah Pacheco,RB,KC,NA,13.34,65.06,NA,0.44,NA,0.56,4.59,NA,NA,0.03,NA,9.5,NA,isiah-pacheco,NumberFire,15749,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,15.94,#8,66,26,9.75,NA,NA,10.2,NA,NA,9.75,NA,NA
Jamaal Williams,RB,DET,NA,13.47,55.29,NA,0.56,NA,0.56,3.82,NA,NA,0.04,NA,9.29,NA,jamaal-williams,NumberFire,13139,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,15.66,#29,68,27,9.61,NA,NA,9.99,NA,NA,9.61,NA,NA
Devin Singletary,RB,BUF,NA,11.34,51.77,NA,0.29,NA,2.13,16.01,NA,NA,0.11,NA,9.07,NA,devin-singletary,NumberFire,14080,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,15.37,#10,71,28,10.1,NA,NA,11.25,NA,NA,10.1,NA,NA
Hassan Haskins,RB,TEN,NA,14.19,56.08,NA,0.25,NA,2.22,16.55,NA,NA,0.06,NA,8.92,NA,hassan-haskins,NumberFire,15720,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,15.17,#4,73,29,10.03,NA,NA,11.25,NA,NA,10.03,NA,NA
A.J. Dillon,RB,GB,NA,11.31,49.08,NA,0.35,NA,1.71,13.41,NA,NA,0.1,NA,8.91,NA,aj-dillon,NumberFire,14805,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,15.16,#20,74,30,9.74,NA,NA,10.64,NA,NA,9.74,NA,NA
D'Onta Foreman,RB,CAR,NA,13.3,57.44,NA,0.37,NA,1.02,7.5,NA,NA,0.04,NA,8.83,NA,d-onta-foreman,NumberFire,13134,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,15.05,#5,75,31,9.32,NA,NA,9.91,NA,NA,9.32,NA,NA
J.K. Dobbins,RB,BAL,NA,11.92,56.65,NA,0.41,NA,0.81,5.04,NA,NA,0.03,NA,8.67,NA,j-k-dobbins,NumberFire,14800,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,14.84,#12,77,32,9.09,NA,NA,9.57,NA,NA,9.09,NA,NA
Raheem Mostert,RB,MIA,NA,10.59,52.07,NA,0.29,NA,1.59,12.27,NA,NA,0.06,NA,8.47,NA,raheem-mostert,NumberFire,12447,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,14.57,#1,79,33,9.29,NA,NA,10.11,NA,NA,9.29,NA,NA
Rachaad White,RB,TB,NA,9.29,41.16,NA,0.25,NA,2.66,20.79,NA,NA,0.12,NA,8.25,NA,rachaad-white,NumberFire,15721,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,14.28,#18,81,34,9.55,NA,NA,10.99,NA,NA,9.55,NA,NA
Royce Freeman,RB,HOU,NA,12.67,52.57,NA,0.35,NA,0.91,6,NA,NA,0.04,NA,8.18,NA,royce-freeman,NumberFire,13617,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,14.19,#25,84,35,8.65,NA,NA,9.12,NA,NA,8.65,NA,NA
Jeff Wilson,RB,MIA,NA,10.34,46.46,NA,0.31,NA,1.55,11.66,NA,NA,0.06,NA,7.89,NA,jeff-wilson,NumberFire,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,13.8,#1,88,36,8.63,NA,NA,9.5,NA,NA,8.63,NA,NA
Malik Davis,RB,DAL,NA,10.75,45.11,NA,0.28,NA,1.73,11.53,NA,NA,0.1,NA,7.8,NA,malik-davis,NumberFire,15738,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,13.68,#16,90,37,8.67,NA,NA,9.61,NA,NA,8.67,NA,NA
Latavius Murray,RB,DEN,NA,9.87,46.06,NA,0.24,NA,1.86,13.38,NA,NA,0.06,NA,7.78,NA,latavius-murray,NumberFire,11390,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,13.66,#24,91,38,8.69,NA,NA,9.62,NA,NA,8.69,NA,NA
Chuba Hubbard,RB,CAR,NA,10.64,46.75,NA,0.31,NA,1.39,9.65,NA,NA,0.06,NA,7.74,NA,chuba-hubbard,NumberFire,15261,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,13.6,#5,92,39,8.44,NA,NA,9.2,NA,NA,8.44,NA,NA
D'Andre Swift,RB,DET,NA,5.13,23.57,NA,0.25,NA,3.49,26.34,NA,NA,0.22,NA,7.66,NA,d-andre-swift,NumberFire,14797,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,13.5,#29,94,40,9.44,NA,NA,11.25,NA,NA,9.44,NA,NA
Michael Carter,RB,NYJ,NA,8.33,36.2,NA,0.26,NA,2.39,18.83,NA,NA,0.11,NA,7.61,NA,michael-carter-ii,NumberFire,15258,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,13.43,#28,95,41,8.8,NA,NA,10.05,NA,NA,8.8,NA,NA
Gus Edwards,RB,BAL,NA,10.35,50.83,NA,0.28,NA,0.2,1.36,NA,NA,0.01,NA,6.85,NA,gus-edwards,NumberFire,13850,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,12.42,#12,107,42,6.96,NA,NA,7.12,NA,NA,6.96,NA,NA
Kenneth Gainwell,RB,PHI,NA,8.34,37,NA,0.31,NA,1.33,8.04,NA,NA,0.06,NA,6.63,NA,kenneth-gainwell,NumberFire,15255,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,12.13,#15,113,43,7.27,NA,NA,7.99,NA,NA,7.27,NA,NA
Dare Ogunbowale,RB,HOU,NA,9.43,40.87,NA,0.29,NA,0.66,5.01,NA,NA,0.03,NA,6.4,NA,dare-ogunbowale,NumberFire,13148,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,11.82,#25,118,44,6.74,NA,NA,7.13,NA,NA,6.74,NA,NA
Damien Harris,RB,NE,NA,7.95,36.33,NA,0.32,NA,0.69,4.9,NA,NA,0.03,NA,6.25,NA,damien-harris,NumberFire,14075,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,11.63,#21,123,45,6.57,NA,NA,6.91,NA,NA,6.57,NA,NA
Khalil Herbert,RB,CHI,NA,7.52,35.15,NA,0.26,NA,1.04,8.04,NA,NA,0.06,NA,6.24,NA,khalil-herbert,NumberFire,15271,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,11.61,#32,124,46,6.7,NA,NA,7.25,NA,NA,6.7,NA,NA
Samaje Perine,RB,CIN,NA,6.34,27.03,NA,0.16,NA,2.04,14.17,NA,NA,0.11,NA,5.73,NA,samaje-perine,NumberFire,13133,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,10.94,#6,132,47,6.76,NA,NA,7.78,NA,NA,6.76,NA,NA
James Cook,RB,BUF,NA,7.09,32.59,NA,0.2,NA,1.16,8.6,NA,NA,0.06,NA,5.64,NA,james-cook,NumberFire,15715,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,10.82,#10,134,48,6.18,NA,NA,6.8,NA,NA,6.18,NA,NA
Kareem Hunt,RB,CLE,NA,7.16,30.38,NA,0.18,NA,1.11,7.98,NA,NA,0.05,NA,5.2,NA,kareem-hunt,NumberFire,13138,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,10.23,#7,145,49,5.73,NA,NA,6.31,NA,NA,5.73,NA,NA
Chase Edmonds,RB,DEN,NA,5.87,25.78,NA,0.11,NA,1.83,14.92,NA,NA,0.08,NA,5.15,NA,chase-edmonds,NumberFire,13726,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,10.17,#24,147,50,6.09,NA,NA,7.02,NA,NA,6.09,NA,NA
Julius Chestnut,RB,TEN,NA,8.51,36.4,NA,0.15,NA,0.83,4.76,NA,NA,0.02,NA,5.04,NA,julius-chestnut,NumberFire,15965,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,10.02,#4,149,51,5.41,NA,NA,5.9,NA,NA,5.41,NA,NA
Deon Jackson,RB,IND,NA,6.09,26.13,NA,0.14,NA,1.73,11.95,NA,NA,0.06,NA,4.94,NA,deon-jackson,NumberFire,15277,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,9.89,#27,151,52,5.77,NA,NA,6.69,NA,NA,5.77,NA,NA
Joshua Kelley,RB,LAC,NA,6.83,28.66,NA,0.2,NA,0.79,5.8,NA,NA,0.04,NA,4.77,NA,joshua-kelley,NumberFire,14807,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,9.66,#13,156,53,5.16,NA,NA,5.62,NA,NA,5.16,NA,NA
Jonathan Williams,RB,WSH,NA,5.37,23.58,NA,0.13,NA,1.65,11.17,NA,NA,0.08,NA,4.6,NA,jonathan-williams,NumberFire,12635,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,9.44,#22,161,54,5.4,NA,NA,6.31,NA,NA,5.4,NA,NA
Jaylen Warren,RB,PIT,NA,5.92,26.26,NA,0.14,NA,1.29,9.43,NA,NA,0.04,NA,4.58,NA,jaylen-warren,NumberFire,15742,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25,9.41,#11,162,55,5.21,NA,NA,5.9,NA,NA,5.21,NA,NA
Marlon Mack,RB,DEN,NA,4.8,21.1,NA,0.11,NA,1.58,13.48,NA,NA,0.07,NA,4.5,NA,marlon-mack,NumberFire,13234,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,9.3,#24,170,56,5.33,NA,NA,6.12,NA,NA,5.33,NA,NA
Kyren Williams,RB,LA,NA,5.05,23.35,NA,0.12,NA,1.09,7.87,NA,NA,0.05,NA,4.1,NA,kyren-williams,NumberFire,15710,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57,8.77,#17,182,57,4.65,NA,NA,5.21,NA,NA,4.65,NA,NA
Tyrion Davis-Price,RB,SF,NA,5.75,24.29,NA,0.16,NA,0.47,3.53,NA,NA,0.03,NA,3.84,NA,tyrion-davis-price,NumberFire,15746,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,8.43,#31,188,58,4.08,NA,NA,4.35,NA,NA,4.08,NA,NA
Justin Jackson,RB,DET,NA,2.95,13.33,NA,0.1,NA,1.39,10.92,NA,NA,0.09,NA,3.54,NA,justin-jackson,NumberFire,13620,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95,8.03,#29,199,59,4.24,NA,NA,4.95,NA,NA,4.24,NA,NA
DeeJay Dallas,RB,SEA,NA,3.77,16.73,NA,0.11,NA,1.01,6.74,NA,NA,0.04,NA,3.15,NA,deejay-dallas,NumberFire,14815,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21,7.51,#3,207,60,3.69,NA,NA,4.23,NA,NA,3.69,NA,NA
Ty Johnson,RB,NYJ,NA,3.74,16.04,NA,0.1,NA,0.72,5.48,NA,NA,0.04,NA,2.9,NA,ty-johnson,NumberFire,14095,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38,7.18,#28,215,61,3.27,NA,NA,3.67,NA,NA,3.27,NA,NA
Alexander Mattison,RB,MIN,NA,3.91,17.11,NA,0.1,NA,0.53,3.86,NA,NA,0.02,NA,2.83,NA,alexander-mattison,NumberFire,14223,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43,7.09,#19,216,62,3.06,NA,NA,3.34,NA,NA,3.06,NA,NA
Jordan Wilkins,RB,IND,NA,3.97,17.9,NA,0.09,NA,0.49,3.34,NA,NA,0.02,NA,2.73,NA,jordan-wilkins,NumberFire,13789,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49,6.95,#27,218,63,2.97,NA,NA,3.24,NA,NA,2.97,NA,NA
Matt Breida,RB,NYG,NA,3.59,16.52,NA,0.1,NA,0.43,3.48,NA,NA,0.02,NA,2.62,NA,matt-breida,NumberFire,13378,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57,6.81,#14,220,64,2.82,NA,NA,3.09,NA,NA,2.82,NA,NA
Snoop Conner,RB,JAC,NA,3.93,17.25,NA,0.12,NA,0,0,NA,NA,0,NA,2.42,NA,snoop-conner,NumberFire,15725,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,6.54,#26,226,65,2.39,NA,NA,2.42,NA,NA,2.39,NA,NA
Avery Williams,RB,ATL,NA,2.13,9.32,NA,0.06,NA,0.95,6.93,NA,NA,0.05,NA,2.24,NA,avery-williams,NumberFire,15454,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82,6.3,#23,227,66,2.68,NA,NA,3.2,NA,NA,2.68,NA,NA
