team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,curr_site_pts,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
DAL,1.1,0,3.3,39.7,0.9,1.2,0.2,19,19,0,121,295,295,14.5,14.5,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1.2,0.1,3.2,38.8,0.7,1,0.2,16.3,16.3,0,88,273,273,14.4,14.4,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1.5,0,2.9,38.8,0.6,0.8,0.2,19.9,19.9,0,123,298,298,14.3,14.3,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,0,2.4,39.4,0.8,1.1,0.2,20.1,20.1,0,96,289,289,13.2,13.2,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,0,2.5,41.3,0.6,0.9,0.2,16.5,16.5,0,85,264,264,12.9,12.9,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.1,0,3.4,44.7,1,1.4,0.2,20.1,20.1,0,108,310,310,12.8,12.8,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1,0,2.5,38.7,0.7,0.9,0.2,20.2,20.2,0,103,320,320,11.1,11.1,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.6,0,2.7,42.5,1,1.4,0.2,18.5,18.5,0,117,325,325,11.1,11.1,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.5,0,3,40,0.9,1.3,0.2,19.6,19.6,0,103,301,301,11,11,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.9,0,2.8,39.2,0.6,0.8,0.2,20.9,20.9,0,99,314,314,11,11,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,0,2.7,41.1,0.7,0.9,0.2,20.1,20.1,0,130,335,335,10.9,10.9,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,1.1,0,2,44.1,0.6,0.9,0.2,20.9,20.9,0,142,366,366,10.6,10.6,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.9,0,1.9,44.7,0.8,1.1,0.2,18.4,18.4,0,122,344,344,10.5,10.5,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.8,0,2.7,42.2,0.7,0.9,0.1,20.8,20.8,0,164,334,334,10.3,10.3,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1.2,0,1.3,42.8,0.7,1,0.2,18.9,18.9,0,110,331,331,10.3,10.3,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,0,2,43.5,0.6,0.8,0.2,19.9,19.9,0,111,303,303,10.2,10.2,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.9,0.1,1.4,42.8,0.8,1.1,0.2,19.6,19.6,0,106,324,324,10.2,10.2,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.9,0,1.8,43,0.6,0.8,0.2,20.9,20.9,0,97,337,337,10,10,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,0,2.6,39.9,0.6,0.9,0.1,22.2,22.2,0,113,279,279,10,10,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,0,2.7,40.9,0.8,1.1,0.2,23.9,23.9,0,90,369,369,9.5,9.5,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1.1,0,2.8,44.9,0.5,0.7,0.2,21.2,21.2,0,104,310,310,9.2,9.2,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1.1,0,1.8,43.5,0.9,1.2,0.2,21.1,21.1,0,154,351,351,9,9,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1.2,0,1.6,41.6,0.9,1.3,0.2,26.6,26.6,0,126,386,386,9,9,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1,0,2.5,42.7,0.6,0.8,0.2,22,22,0,134,367,367,8.9,8.9,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,1,0,2,45.9,0.8,1.1,0.2,22.4,22.4,0,132,310,310,8.8,8.8,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,1.1,0,1.5,44.8,0.8,1.1,0.2,25.7,25.7,0,98,370,370,8.5,8.5,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.8,0,1.9,44.7,0.6,0.8,0.2,25.8,25.8,0,163,384,384,7.9,7.9,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,0,1,45.2,0.9,1.3,0.2,26.7,26.7,0,112,397,397,7.6,7.6,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.9,0,2,45.3,0.3,0.4,0.1,23.5,23.5,0,100,348,348,7,7,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.5,0,2,39.2,0.7,0.9,0.1,21.7,21.7,0,114,320,320,7,7,CBS,0526,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.9,0,2.7,43.3,0.5,0.6,0.2,28.4,28.4,0,90,363,363,6.7,6.7,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,0,1.7,43.5,0.4,0.6,0.1,29.9,29.9,0,114,393,393,4.5,4.5,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.7,1,0.2,19.3,NA,NA,NA,318.8,NA,8.1,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.8,NA,0.6,0.9,0.2,19.9,NA,NA,NA,316.4,NA,8,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,2.7,NA,0.6,0.9,0.2,17.9,NA,NA,NA,309.9,NA,7.6,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,3.1,NA,0.7,0.7,0.2,21.9,NA,NA,NA,304.3,NA,7.6,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,2.3,NA,0.6,0.9,0.2,20,NA,NA,NA,332,NA,7.2,NA,FantasyPros,0515,8260,Seattle Seahawks,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.2,NA,0.6,1,0.2,19.6,NA,NA,NA,334.1,NA,7.2,NA,FantasyPros,0514,8250,Los Angeles Chargers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.5,0.8,0.2,17.5,NA,NA,NA,305.9,NA,7.2,NA,FantasyPros,0507,8070,Cleveland Browns,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.6,0.8,0.2,19.5,NA,NA,NA,330,NA,7.1,NA,FantasyPros,0506,8060,Cincinnati Bengals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.3,NA,0.6,0.8,0.2,26,NA,NA,NA,361.9,NA,7,NA,FantasyPros,0505,8210,New York Jets,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.6,NA,0.7,1.1,0.2,20,NA,NA,NA,337.6,NA,7,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2.7,NA,0.5,0.8,0.2,21.9,NA,NA,NA,319.3,NA,6.8,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.7,NA,0.6,1,0.2,22.6,NA,NA,NA,346.2,NA,6.8,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.5,NA,0.7,1,0.2,22.6,NA,NA,NA,350.8,NA,6.7,NA,FantasyPros,0512,8150,Kansas City Chiefs,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.6,NA,0.6,0.8,0.2,22.6,NA,NA,NA,340.8,NA,6.6,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.8,0.2,21.3,NA,NA,NA,326.3,NA,6.5,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,1,0.2,22.9,NA,NA,NA,331.9,NA,6.4,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.5,NA,0.5,0.8,0.1,23,NA,NA,NA,367.4,NA,6.3,NA,FantasyPros,0504,8180,New England Patriots,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.6,0.9,0.2,23.2,NA,NA,NA,365.4,NA,6.3,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.8,NA,0.6,1,0.2,21.4,NA,NA,NA,336,NA,6.2,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.8,0.2,21.5,NA,NA,NA,336.6,NA,6.2,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.6,0.9,0.2,22,NA,NA,NA,360.8,NA,6.2,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.2,NA,0.6,1,0.2,25.3,NA,NA,NA,366.4,NA,6.2,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,1.8,NA,0.6,1,0.2,21.5,NA,NA,NA,348,NA,6.1,NA,FantasyPros,0531,8020,Baltimore Ravens,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.4,NA,0.5,0.6,0.1,24.9,NA,NA,NA,349.7,NA,6.1,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.6,1.1,0.1,27,NA,NA,NA,376.8,NA,6.1,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,0.9,0.2,20.8,NA,NA,NA,339.9,NA,6,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.6,0.8,0.1,22.5,NA,NA,NA,329,NA,5.9,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.6,0.8,0.1,21.1,NA,NA,NA,325.7,NA,5.9,NA,FantasyPros,0510,8240,Pittsburgh Steelers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.6,0.8,0.1,25.4,NA,NA,NA,376.7,NA,5.6,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2,NA,0.5,0.7,0.1,22.7,NA,NA,NA,352,NA,5.5,NA,FantasyPros,0523,8110,Green Bay Packers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.7,NA,0.6,1,0.1,26.5,NA,NA,NA,386.6,NA,5.2,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.9,NA,0.5,0.7,0.1,28.3,NA,NA,NA,376.6,NA,5.2,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.7,0,3,NA,0.4,NA,0.5,21,NA,NA,NA,304,NA,14.1,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,@NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,0,3.7,NA,0.5,NA,0.1,19,NA,NA,NA,299.5,NA,14,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.3,0,3.2,NA,0.4,NA,0.1,16.5,NA,NA,NA,286.5,NA,14,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.8,0,2.3,NA,0.6,NA,0.3,18.1,NA,NA,NA,295.9,NA,13.7,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",D,@IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.8,0,3.1,NA,0.8,NA,0,14.3,NA,NA,NA,226.8,NA,13,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,@CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,0.9,0,3,NA,0.4,NA,0.1,17.1,NA,NA,NA,284.5,NA,12.7,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,@DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.5,0.1,3.1,NA,0.7,NA,0.1,19.5,NA,NA,NA,292.4,NA,12.5,NA,FantasySharks,0521,NA,"Bears, Chicago",D,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.3,0,2,NA,0.1,NA,0.4,22,NA,NA,NA,299,NA,12.5,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,@WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1.1,0,2.3,NA,0.6,NA,0.1,19.3,NA,NA,NA,295.9,NA,12.5,NA,FantasySharks,0506,NA,"Bengals, Cincinnati",D,@NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1,0,3,NA,0.5,NA,0.2,22.7,NA,NA,NA,295.5,NA,12.4,NA,FantasySharks,0514,NA,"Chargers, Los Angeles",D,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,0,2.7,NA,0.3,NA,0.1,20,NA,NA,NA,292,NA,12.2,NA,FantasySharks,0507,NA,"Browns, Cleveland",D,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.4,0,3.8,NA,0.6,NA,0.2,23.1,NA,NA,NA,380.9,NA,12.1,NA,FantasySharks,0510,NA,"Steelers, Pittsburgh",D,@CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1,0.1,2.4,NA,0.5,NA,0.2,19.5,NA,NA,NA,326.1,NA,11.3,NA,FantasySharks,0532,NA,"Texans, Houston",D,@CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1.2,0,2.8,NA,0.6,NA,0.1,24,NA,NA,NA,348,NA,11.1,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,@ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.9,0,2.7,NA,0.9,NA,0.1,18.7,NA,NA,NA,391.3,NA,11,NA,FantasySharks,0525,NA,"Buccaneers, Tampa Bay",D,GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.7,0.1,2.1,NA,0.5,NA,0.2,19.3,NA,NA,NA,339.2,NA,10.7,NA,FantasySharks,0515,NA,"Seahawks, Seattle",D,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1,0,3.3,NA,0.7,NA,0.1,22,NA,NA,NA,372,NA,10.5,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.9,0,2.1,NA,0.3,NA,0.1,20.7,NA,NA,NA,313.8,NA,10.1,NA,FantasySharks,0504,NA,"Patriots, New England",D,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.4,0,1.9,NA,0.8,NA,0.2,23.5,NA,NA,NA,315.3,NA,9.6,NA,FantasySharks,0519,NA,"Cardinals, Arizona",D,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,0,2.2,NA,0.5,NA,0.2,21,NA,NA,NA,350,NA,9.3,NA,FantasySharks,0531,NA,"Ravens, Baltimore",D,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.6,0,2.1,NA,0.4,NA,0.3,24.7,NA,NA,NA,390.2,NA,9.3,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.4,0,1.8,NA,0.4,NA,0,20.5,NA,NA,NA,340.4,NA,8.6,NA,FantasySharks,0511,NA,"Broncos, Denver",D,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.3,0,1.7,NA,0.2,NA,0,23.3,NA,NA,NA,298.8,NA,8.3,NA,FantasySharks,0513,NA,"Raiders, Las Vegas",D,@TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.2,0.1,2,NA,0.4,NA,0.1,24.3,NA,NA,NA,306.1,NA,7.5,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.9,0.2,1.2,NA,0.5,NA,0.3,28.5,NA,NA,NA,398.5,NA,7.5,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,0,2,NA,0.2,NA,0.1,26,NA,NA,NA,352.6,NA,7.5,NA,FantasySharks,0505,NA,"Jets, New York",D,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.8,0,1.9,NA,0.2,NA,0.1,22.7,NA,NA,NA,388.4,NA,7.3,NA,FantasySharks,0523,NA,"Packers, Green Bay",D,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,1.9,NA,0.2,NA,0,28.3,NA,NA,NA,389.8,NA,5.8,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,@LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.5,0,1.5,NA,0.3,NA,0,27.5,NA,NA,NA,409.1,NA,5.4,NA,FantasySharks,0517,NA,"Giants, New York",D,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.5,0.1,1.2,NA,0.4,NA,0,27.4,NA,NA,NA,444.6,NA,5.3,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
