player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Myers,K,SEA,1,1.6,1.8,0,0,0.3,0.4,0.6,0.7,0.4,0.4,0.3,0.3,2.4,2.5,7.2,7.2,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.6,1.8,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.2,0.2,2.4,2.5,7.2,7.2,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1.7,2,0,0,0.4,0.4,0.5,0.5,0.5,0.7,0.3,0.3,2.1,2.2,7.2,7.2,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.7,2,0,0,0.5,0.6,0.5,0.6,0.4,0.4,0.2,0.2,1.9,2.2,7,7,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.5,1.8,0,0,0.5,0.5,0.5,0.6,0.3,0.5,0.1,0.1,2.4,2.7,6.9,6.9,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.4,1.7,0,0,0.3,0.4,0.5,0.5,0.3,0.5,0.2,0.2,2.7,2.8,6.9,6.9,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.2,0.2,2,2.1,6.8,6.8,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.4,1.7,0,0,0.5,0.5,0.4,0.4,0.4,0.5,0.2,0.2,2.6,2.7,6.8,6.8,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,DET,1,1.3,1.5,0,0,0.4,0.5,0.3,0.4,0.4,0.5,0.2,0.2,2.7,2.8,6.6,6.6,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,PIT,1,1.6,2,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.2,0.2,1.8,1.8,6.6,6.6,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.6,1.9,0,0,0.3,0.3,0.4,0.5,0.5,0.7,0.3,0.3,1.7,1.8,6.5,6.5,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.5,1.6,0,0,0.3,0.3,0.4,0.4,0.5,0.5,0.2,0.2,2,2.2,6.5,6.5,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.5,1.7,0,0,0.3,0.3,0.4,0.5,0.5,0.5,0.2,0.2,2,2.1,6.5,6.5,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAC,1,1.4,1.7,0,0,0.5,0.5,0.4,0.5,0.5,0.6,0.1,0.1,2.3,2.4,6.5,6.5,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.5,1.7,0,0,0.5,0.5,0.4,0.4,0.4,0.5,0.2,0.2,1.6,1.8,6.1,6.1,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,1,1.3,1.4,0,0,0.4,0.4,0.4,0.4,0.3,0.3,0.1,0.1,2.1,2.2,6,6,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.3,1.5,0,0,0.3,0.4,0.4,0.4,0.5,0.5,0.1,0.1,1.7,1.9,5.6,5.6,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,1,1.1,1.3,0,0,0.3,0.3,0.3,0.4,0.4,0.5,0,0,2,2,5.3,5.3,1632503,CBS,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,1,1.3,1.6,0,0,0.3,0.4,0.3,0.4,0.4,0.4,0.2,0.2,1.3,1.4,5.2,5.2,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.1,1.4,0,0,0.2,0.3,0.4,0.5,0.3,0.4,0.2,0.2,1.9,1.9,5.2,5.2,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,1.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,8.4,NA,11465,FantasyPros,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,8.1,NA,17420,FantasyPros,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.9,NA,12378,FantasyPros,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.7,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.7,NA,23901,FantasyPros,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7.4,NA,9549,FantasyPros,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.3,NA,9534,FantasyPros,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.2,NA,16910,FantasyPros,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.2,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.1,NA,14003,FantasyPros,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,6.9,NA,24549,FantasyPros,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.9,NA,17647,FantasyPros,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.9,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,6.9,NA,13731,FantasyPros,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,1.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,6.8,NA,17693,FantasyPros,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.8,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.7,NA,19760,FantasyPros,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA
