player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Dyami Brown,WR,WSH,NA,NA,0.35,4.32,NA,NA,0.02,0,0,NA,0,NA,0.53,NA,dyami-brown,NumberFire,15292,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77,3.83,#7,313,130,0.73,4700,0.16,0.9,3100,0.29,0.73,10,0.07,NA,NA,NA,NA,NA,NA,NA
Cody Hollister,WR,TEN,NA,NA,0.29,3.48,NA,NA,0.02,0,0,NA,0,NA,0.46,NA,cody-hollister,NumberFire,13851,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.81,3.73,#3,320,131,0.59,4800,0.12,0.75,3000,0.25,0.59,10,0.06,NA,NA,NA,NA,NA,NA,NA
Quintez Cephus,WR,DET,NA,NA,0.22,3.32,NA,NA,0.02,0,0,NA,0,NA,0.43,NA,quintez-cephus,NumberFire,14850,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.83,3.69,#28,322,132,0.56,4500,0.12,0.67,3000,0.22,0.56,10,0.06,NA,NA,NA,NA,NA,NA,NA
Rashard Higgins,WR,CAR,NA,NA,0.19,2.73,NA,NA,0.02,0,0,NA,0,NA,0.36,NA,rashard-higgins,NumberFire,12656,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88,3.6,#31,344,133,0.49,NA,NA,0.58,3000,0.19,0.49,10,0.05,NA,NA,NA,NA,NA,NA,NA
Keelan Doss,WR,LAC,NA,NA,0.23,2.79,NA,NA,0.01,0,0,NA,0,NA,0.36,NA,keelan-doss,NumberFire,14317,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88,3.6,#12,344,133,0.45,4500,0.1,0.57,3000,0.19,0.45,10,0.05,NA,NA,NA,NA,NA,NA,NA
Jason Moore,WR,LAC,NA,NA,0.22,2.8,NA,NA,0.01,0,0,NA,0,NA,0.36,NA,jason-moore-1,NumberFire,14545,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88,3.6,#12,344,133,0.45,4600,0.1,0.56,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LA,NA,NA,0.2,2.39,NA,NA,0.02,0,0,NA,0,NA,0.33,NA,tutu-atwell,NumberFire,15301,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,3.56,#16,351,136,0.46,4600,0.1,0.56,3000,0.19,0.46,10,0.05,NA,NA,NA,NA,NA,NA,NA
Tim Jones,WR,JAC,NA,NA,0.21,2.51,NA,NA,0.01,0,0,NA,0,NA,0.32,NA,tim-jones,NumberFire,16005,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,3.54,#23,355,137,0.42,4600,0.09,0.52,3000,0.17,0.42,10,0.04,NA,NA,NA,NA,NA,NA,NA
Danny Gray,WR,SF,NA,NA,0.18,2.26,NA,NA,0.02,0,0,NA,0,NA,0.31,NA,danny-gray,NumberFire,15782,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91,3.53,#19,360,138,0.44,4500,0.1,0.53,3000,0.18,0.44,10,0.04,NA,NA,NA,NA,NA,NA,NA
Tyrie Cleveland,WR,DEN,NA,NA,0.18,2.43,NA,NA,0.01,0,0,NA,0,NA,0.31,NA,tyrie-cleveland,NumberFire,15027,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91,3.53,#10,360,138,0.39,4500,0.09,0.48,3000,0.16,0.39,10,0.04,NA,NA,NA,NA,NA,NA,NA
Jaelon Darden,WR,TB,NA,NA,0.21,2.32,NA,NA,0.01,0,0,NA,0,NA,0.31,NA,jaelon-darden-1,NumberFire,15321,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91,3.53,#24,360,138,0.4,NA,NA,0.5,3000,0.17,0.4,10,0.04,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,NA,NA,0.19,2.08,NA,NA,0.01,0,0,NA,0,NA,0.29,NA,jalen-tolbert,NumberFire,15788,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,3.5,#17,373,141,0.36,4700,0.08,0.46,3200,0.14,0.36,10,0.04,NA,NA,NA,NA,NA,NA,NA
Simi Fehoko,WR,DAL,NA,NA,0.19,2.09,NA,NA,0.01,0,0,NA,0,NA,0.29,NA,simi-fehoko,NumberFire,15303,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,3.5,#17,373,141,0.36,4600,0.08,0.46,3000,0.15,0.36,10,0.04,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,NA,NA,0.21,2.24,NA,NA,0.01,0,0,NA,0,NA,0.29,NA,jalen-nailor,NumberFire,15786,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92,3.5,#5,373,141,0.39,4500,0.09,0.49,3000,0.16,0.39,10,0.04,NA,NA,NA,NA,NA,NA,NA
Penny Hart,WR,SEA,NA,NA,0.21,2.24,NA,NA,0.01,0,0,NA,0,NA,0.28,NA,penny-hart,NumberFire,14316,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93,3.49,#6,376,144,0.39,NA,NA,0.49,3000,0.16,0.39,10,0.04,NA,NA,NA,NA,NA,NA,NA
Andre Roberts,WR,CAR,NA,NA,0.18,2.15,NA,NA,0.01,0,0,NA,0,NA,0.28,NA,andre-roberts,NumberFire,9921,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93,3.49,#31,376,144,0.35,NA,NA,0.45,3000,0.15,0.35,10,0.04,NA,NA,NA,NA,NA,NA,NA
Albert Wilson,WR,LV,NA,NA,0.2,2.04,NA,NA,0.01,0,0,NA,0,NA,0.28,NA,albert-wilson,NumberFire,11890,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.93,3.49,#14,376,144,0.36,4500,0.08,0.46,3000,0.15,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Reagor,WR,MIN,NA,NA,0.21,2.1,NA,NA,0.01,0,0,NA,0,NA,0.27,NA,jalen-reagor,NumberFire,14839,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.94,3.48,#5,382,147,0.36,4600,0.08,0.47,3000,0.16,0.36,10,0.04,NA,NA,NA,NA,NA,NA,NA
Chris Conley,WR,TEN,NA,NA,0.14,1.87,NA,NA,0.01,0,0,NA,0,NA,0.24,NA,chris-conley,NumberFire,12257,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95,3.43,#3,388,148,0.32,4500,0.07,0.39,3000,0.13,0.32,10,0.03,NA,NA,NA,NA,NA,NA,NA
Racey McMath,WR,TEN,NA,NA,0.14,1.71,NA,NA,0.01,0,0,NA,0,NA,0.23,NA,racey-mcmath,NumberFire,15313,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96,3.42,#3,390,149,0.3,4500,0.07,0.37,3000,0.12,0.3,10,0.03,NA,NA,NA,NA,NA,NA,NA
