player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Khalil Herbert,RB,CHI,NA,6.72,31.59,NA,0.18,NA,0.73,5.33,NA,NA,0.02,NA,4.87,NA,khalil-herbert,NumberFire,15271,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,9.79,#1,134,45,5.2,6700,0.78,5.59,5.2,13,0.4,NA,NA
Alexander Mattison,RB,MIN,NA,5.7,25.29,NA,0.14,NA,1.35,10.28,NA,NA,0.06,NA,4.78,NA,alexander-mattison,NumberFire,14223,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,9.67,#11,137,46,5.39,5200,1.04,6.09,5.39,13,0.41,NA,NA
Malcolm Brown,RB,LA,NA,6.94,29.19,NA,0.19,NA,0.72,4.96,NA,NA,0.03,NA,4.69,NA,malcolm-brown,NumberFire,12386,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,9.56,#10,141,47,5.06,5100,0.99,5.44,5.06,10,0.51,NA,NA
J.D. McKissic,RB,WSH,NA,2.05,8.78,NA,0.04,NA,3.3,25.98,NA,NA,0.12,NA,4.45,NA,j-d-mckissic,NumberFire,13108,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,9.24,#17,151,48,6.07,4800,1.26,7.74,6.07,12,0.51,NA,NA
Raheem Blackshear,RB,CAR,NA,6.68,28.29,NA,0.17,NA,0.52,3.9,NA,NA,0.02,NA,4.24,NA,raheem-blackshear,NumberFire,15973,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,8.96,#31,154,49,4.48,4700,0.95,4.81,4.48,10,0.45,NA,NA
Samaje Perine,RB,CIN,NA,2.8,11.75,NA,0.07,NA,2.16,16.9,NA,NA,0.13,NA,4.07,NA,samaje-perine,NumberFire,13133,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59,8.73,#30,161,50,5.15,5000,1.03,6.23,5.15,13,0.4,NA,NA
Kenneth Gainwell,RB,PHI,NA,3.93,18.23,NA,0.17,NA,1.1,7.56,NA,NA,0.05,NA,3.8,NA,kenneth-gainwell,NumberFire,15255,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,8.37,#14,171,51,4.37,5300,0.82,4.96,4.37,10,0.44,NA,NA
Rico Dowdle,RB,DAL,NA,6.04,25.99,NA,0.16,NA,0.26,1.84,NA,NA,0.02,NA,3.71,NA,rico-dowdle,NumberFire,14823,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83,8.25,#18,172,52,3.87,4500,0.86,4.06,3.87,NA,NA,NA,NA
Nyheim Hines,RB,IND,NA,2.34,10.17,NA,0.07,NA,2.24,17.08,NA,NA,0.11,NA,3.67,NA,nyheim-hines,NumberFire,13622,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86,8.2,#20,174,53,4.83,5100,0.95,6,4.83,13,0.37,NA,NA
Dontrell Hilliard,RB,TEN,NA,1.25,6.03,NA,0.04,NA,2.55,20.65,NA,NA,0.09,NA,3.34,NA,dontrell-hilliard,NumberFire,13871,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08,7.76,#28,185,54,4.64,5100,0.91,5.97,4.64,14,0.33,NA,NA
Zack Moss,RB,BUF,NA,4.02,18.19,NA,0.13,NA,0.8,5.3,NA,NA,0.04,NA,3.3,NA,zack-moss,NumberFire,14798,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11,7.71,#16,187,55,3.69,4800,0.77,4.13,3.69,10,0.37,NA,NA
James Cook,RB,BUF,NA,4.29,20.08,NA,0.14,NA,0.53,3.58,NA,NA,0.03,NA,3.28,NA,james-cook,NumberFire,15715,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12,7.68,#16,188,56,3.57,4900,0.73,3.88,3.57,10,0.36,NA,NA
Kenyan Drake,RB,BAL,NA,4.25,18.7,NA,0.11,NA,0.56,3.79,NA,NA,0.03,NA,3.04,NA,kenyan-drake,NumberFire,12630,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29,7.37,#4,191,57,3.29,5400,0.61,3.61,3.29,12,0.27,NA,NA
DeeJay Dallas,RB,SEA,NA,3.4,15.79,NA,0.13,NA,0.76,4.98,NA,NA,0.03,NA,2.98,NA,deejay-dallas,NumberFire,14815,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33,7.29,#25,192,58,3.38,5100,0.66,3.78,3.38,10,0.34,NA,NA
Jaylen Warren,RB,PIT,NA,3.7,15.83,NA,0.07,NA,1.05,7.13,NA,NA,0.03,NA,2.85,NA,jaylen-warren,NumberFire,15742,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41,7.11,#7,197,59,3.32,5800,0.57,3.9,3.32,10,0.33,NA,NA
Matt Breida,RB,NYG,NA,2.82,13.08,NA,0.08,NA,1,7.38,NA,NA,0.04,NA,2.64,NA,matt-breida,NumberFire,13378,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55,6.83,#29,201,60,3.17,5000,0.63,3.72,3.17,10,0.32,NA,NA
Myles Gaskin,RB,MIA,NA,1.67,6.94,NA,0.05,NA,1.34,9.74,NA,NA,0.09,NA,2.53,NA,myles-gaskin,NumberFire,14081,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63,6.69,#32,204,61,3.14,5000,0.63,3.83,3.14,10,0.31,NA,NA
Giovanni Ricci,RB,CAR,NA,0.99,4.21,NA,0.03,NA,1.94,14.88,NA,NA,0.08,NA,2.51,NA,giovanni-ricci,NumberFire,15054,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64,6.66,#31,205,62,3.5,4200,0.83,4.49,3.5,10,0.35,NA,NA
Ty Johnson,RB,NYJ,NA,3.58,15.44,NA,0.08,NA,0.43,3.44,NA,NA,0.02,NA,2.4,NA,ty-johnson,NumberFire,14095,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72,6.52,#9,209,63,2.64,5400,0.49,2.89,2.64,11,0.24,NA,NA
Darrel Williams,RB,ARI,NA,2.8,11.76,NA,0.08,NA,0.55,4.17,NA,NA,0.02,NA,2.23,NA,darrel-williams,NumberFire,13623,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83,6.29,#13,212,64,2.47,5300,0.47,2.74,2.47,10,0.25,NA,NA
Brandon Bolden,RB,LV,NA,1.3,5.58,NA,0.04,NA,1.24,9.73,NA,NA,0.06,NA,2.16,NA,brandon-bolden,NumberFire,10932,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88,6.2,#23,214,65,2.73,4800,0.57,3.36,2.73,10,0.27,NA,NA
Boston Scott,RB,PHI,NA,2.62,11.33,NA,0.1,NA,0.36,2.56,NA,NA,0.02,NA,2.05,NA,boston-scott,NumberFire,13814,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95,6.05,#14,217,66,2.25,4900,0.46,2.45,2.25,10,0.23,NA,NA
Justice Hill,RB,BAL,NA,2.83,12.14,NA,0.05,NA,0.47,3.24,NA,NA,0.03,NA,1.98,NA,justice-hill,NumberFire,14086,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,5.96,#4,221,67,2.21,5100,0.43,2.47,2.21,12,0.18,NA,NA
James Conner,RB,ARI,NA,2.8,11.65,NA,0.12,NA,0,0,NA,NA,0,NA,1.87,NA,james-conner,NumberFire,13146,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07,5.81,#13,233,68,1.85,7000,0.26,1.87,1.85,22,0.08,NA,NA
Ronnie Rivers,RB,LA,NA,2.57,10.6,NA,0.05,NA,0.51,3.66,NA,NA,0.02,NA,1.84,NA,ronnie-rivers,NumberFire,15726,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09,5.77,#10,235,69,2.04,4600,0.44,2.33,2.04,NA,NA,NA,NA
Keaontay Ingram,RB,ARI,NA,2.8,11.9,NA,0.07,NA,0.28,1.9,NA,NA,0.01,NA,1.83,NA,keaontay-ingram,NumberFire,15734,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,5.76,#13,237,70,1.94,5400,0.36,2.11,1.94,10,0.19,NA,NA
Dare Ogunbowale,RB,HOU,NA,1.82,7.56,NA,0.04,NA,0.73,6.07,NA,NA,0.03,NA,1.75,NA,dare-ogunbowale,NumberFire,13148,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15,5.65,#15,239,71,2.11,5100,0.41,2.49,2.11,10,0.21,NA,NA
Andrew Beck,RB,DEN,NA,1.71,7.22,NA,0.03,NA,0.7,5.72,NA,NA,0.03,NA,1.64,NA,andrew-beck,NumberFire,14319,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.23,5.51,#24,243,72,1.96,4300,0.46,2.33,1.96,10,0.2,NA,NA
Deon Jackson,RB,IND,NA,1.17,4.86,NA,0.03,NA,0.68,5.5,NA,NA,0.04,NA,1.41,NA,deon-jackson,NumberFire,15277,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.38,5.2,#20,255,73,1.78,5000,0.36,2.13,1.78,10,0.18,NA,NA
Hassan Haskins,RB,TEN,NA,1.71,7.52,NA,0.04,NA,0.41,3.3,NA,NA,0.02,NA,1.38,NA,hassan-haskins,NumberFire,15720,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,5.16,#28,256,74,1.61,4600,0.35,1.83,1.61,10,0.16,NA,NA
Craig Reynolds,RB,DET,NA,1.34,5.72,NA,0.04,NA,0.53,4.18,NA,NA,0.03,NA,1.36,NA,craig-reynolds,NumberFire,14727,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42,5.14,#19,259,75,1.66,5000,0.33,1.93,1.66,10,0.17,NA,NA
Travis Homer,RB,SEA,NA,1.36,6.08,NA,0.04,NA,0.53,3.86,NA,NA,0.02,NA,1.35,NA,travis-homer,NumberFire,14083,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42,5.12,#25,261,76,1.6,4600,0.35,1.87,1.6,11,0.15,NA,NA
Tyrion Davis-Price,RB,SF,NA,2.05,8.52,NA,0.04,NA,0.23,1.9,NA,NA,0.01,NA,1.33,NA,tyrion-davis-price,NumberFire,15746,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.44,5.1,#6,262,77,1.42,4800,0.3,1.55,1.42,10,0.14,NA,NA
Keith Smith,RB,ATL,NA,1.71,7.17,NA,0.05,NA,0.19,1.26,NA,NA,0.01,NA,1.2,NA,keith-smith-1,NumberFire,12040,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,4.92,#12,271,78,1.28,4500,0.28,1.38,1.28,10,0.13,NA,NA
Alec Ingold,RB,MIA,NA,0.52,2.2,NA,0.02,NA,0.67,5.37,NA,NA,0.05,NA,1.13,NA,alec-ingold,NumberFire,14420,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57,4.83,#32,275,79,1.49,4600,0.32,1.84,1.49,10,0.15,NA,NA
Patrick Ricard,RB,BAL,NA,0.28,1.2,NA,0.01,NA,0.93,6.22,NA,NA,0.05,NA,1.09,NA,patrick-ricard,NumberFire,13455,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,4.78,#4,280,80,1.55,4500,0.34,2.02,1.55,10,0.16,NA,NA
D'Ernest Johnson,RB,CLE,NA,0.59,2.62,NA,0.02,NA,0.66,4.77,NA,NA,0.03,NA,0.98,NA,d-ernest-johnson,NumberFire,14331,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67,4.63,#8,288,81,1.35,4600,0.29,1.69,1.35,10,0.14,NA,NA
Zamir White,RB,LV,NA,1.69,7.09,NA,0.05,NA,0,0,NA,NA,0,NA,0.97,NA,zamir-white,NumberFire,15714,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68,4.62,#23,289,82,0.99,4700,0.21,1,0.99,10,0.1,NA,NA
Tony Jones Jr.,RB,SEA,NA,0.95,4.05,NA,0.03,NA,0.26,1.83,NA,NA,0.01,NA,0.8,NA,tony-jones-jr,NumberFire,14828,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.79,4.39,#25,300,83,0.94,4600,0.2,1.08,0.94,10,0.09,NA,NA
Gary Brightwell,RB,NYG,NA,0.94,3.95,NA,0.03,NA,0.23,1.55,NA,NA,0.01,NA,0.75,NA,gary-brightwell,NumberFire,15462,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.83,4.33,#29,305,84,0.89,4600,0.19,1.01,0.89,10,0.09,NA,NA
Trestan Ebner,RB,CHI,NA,0.67,2.86,NA,0.01,NA,0.34,2.55,NA,NA,0.01,NA,0.68,NA,trestan-ebner,NumberFire,15748,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87,4.23,#1,311,85,0.81,5300,0.15,0.99,0.81,10,0.08,NA,NA
Chris Evans,RB,CIN,NA,0.25,1.1,NA,0.01,NA,0.27,2.24,NA,NA,0.02,NA,0.47,NA,chris-evans,NumberFire,15275,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01,3.95,#30,326,86,0.65,4600,0.14,0.78,0.65,10,0.07,NA,NA
Trayveon Williams,RB,CIN,NA,0.25,1.11,NA,0.01,NA,0.27,2.13,NA,NA,0.02,NA,0.45,NA,trayveon-williams,NumberFire,14076,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,3.93,#30,329,87,0.64,4500,0.14,0.77,0.64,10,0.06,NA,NA
C.J. Ham,RB,MIN,NA,0.25,1.08,NA,0.01,NA,0.28,2.24,NA,NA,0.01,NA,0.45,NA,c-j-ham-1,NumberFire,12923,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,3.93,#11,329,87,0.59,4500,0.13,0.73,0.59,10,0.06,NA,NA
Justin Jackson,RB,DET,NA,0.27,1.19,NA,0.01,NA,0.26,1.99,NA,NA,0.01,NA,0.44,NA,justin-jackson,NumberFire,13620,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,3.91,#19,331,89,0.57,4700,0.12,0.7,0.57,10,0.06,NA,NA
Trey Sermon,RB,PHI,NA,0.33,1.42,NA,0.01,NA,0.24,1.68,NA,NA,0.01,NA,0.44,NA,trey-sermon,NumberFire,15257,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,3.91,#14,331,89,0.55,4600,0.12,0.67,0.55,10,0.06,NA,NA
Jason Cabinda,RB,DET,NA,0.27,1.15,NA,0.01,NA,0.26,1.93,NA,NA,0.01,NA,0.43,NA,jason-cabinda,NumberFire,13906,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.04,3.9,#19,333,91,0.56,4500,0.12,0.69,0.56,10,0.06,NA,NA
Corey Clement,RB,ARI,NA,0.28,1.19,NA,0.01,NA,0.28,1.96,NA,NA,0.01,NA,0.42,NA,corey-clement,NumberFire,13136,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.89,#13,335,92,0.56,4500,0.12,0.71,0.56,NA,NA,NA,NA
Jonathan Ward,RB,ARI,NA,0.28,1.2,NA,0.01,NA,0.28,1.91,NA,NA,0.01,NA,0.42,NA,jonathan-ward,NumberFire,15042,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.89,#13,335,92,0.57,4500,0.13,0.71,0.57,10,0.06,NA,NA
Ty'Son Williams,RB,ARI,NA,0.28,1.21,NA,0.01,NA,0.28,1.91,NA,NA,0.01,NA,0.42,NA,ty-son-williams,NumberFire,15040,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.89,#13,335,92,0.55,4500,0.12,0.7,0.55,NA,NA,NA,NA
Jordan Mason,RB,SF,NA,0.29,1.23,NA,0.01,NA,0.23,1.9,NA,NA,0.01,NA,0.41,NA,jordan-mason,NumberFire,15972,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.05,3.87,#6,338,95,0.55,4600,0.12,0.66,0.55,10,0.06,NA,NA
Dwayne Washington,RB,NO,NA,0.28,1.16,NA,0.01,NA,0.25,1.7,NA,NA,0.01,NA,0.4,NA,dwayne-washington,NumberFire,12845,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#26,339,96,0.53,4500,0.12,0.66,0.53,10,0.05,NA,NA
Phillip Lindsay,RB,IND,NA,0.29,1.27,NA,0.01,NA,0.22,1.49,NA,NA,0.01,NA,0.4,NA,phillip-lindsay,NumberFire,13614,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06,3.86,#20,339,96,0.51,4800,0.11,0.62,0.51,NA,NA,NA,NA
Jonathan Williams,RB,WSH,NA,0.29,1.25,NA,0.01,NA,0.24,1.85,NA,NA,0.01,NA,0.39,NA,jonathan-williams,NumberFire,12635,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.07,3.85,#17,341,98,0.53,4500,0.12,0.66,0.53,10,0.05,NA,NA
Tory Carter,RB,TEN,NA,0.31,1.37,NA,0.01,NA,0.2,1.67,NA,NA,0.01,NA,0.39,NA,tory-carter,NumberFire,15588,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.07,3.85,#28,341,98,0.52,4500,0.12,0.62,0.52,10,0.05,NA,NA
Demetric Felton,RB,CLE,NA,0.3,1.26,NA,0.01,NA,0.22,1.66,NA,NA,0.01,NA,0.38,NA,demetric-felton,NumberFire,15270,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#8,344,100,0.5,4600,0.11,0.62,0.5,10,0.05,NA,NA
Ameer Abdullah,RB,LV,NA,0.26,1.04,NA,0.01,NA,0.24,1.57,NA,NA,0.01,NA,0.38,NA,ameer-abdullah,NumberFire,12155,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.84,#23,344,100,0.5,4800,0.1,0.62,0.5,10,0.05,NA,NA
Derek Watt,RB,PIT,NA,0.25,1.04,NA,0.01,NA,0.26,1.92,NA,NA,0.01,NA,0.37,NA,derek-watt,NumberFire,12823,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08,3.82,#7,347,102,0.55,4500,0.12,0.68,0.55,10,0.06,NA,NA
Benny Snell Jr.,RB,PIT,NA,0.25,1,NA,0.01,NA,0.26,1.74,NA,NA,0.01,NA,0.35,NA,benny-snell-jr,NumberFire,14072,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,3.8,#7,353,103,0.52,4800,0.11,0.65,0.52,10,0.05,NA,NA
Khari Blasingame,RB,CHI,NA,0.34,1.43,NA,0.01,NA,0.17,1.32,NA,NA,0.01,NA,0.35,NA,khari-blasingame,NumberFire,14552,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,3.8,#1,353,103,0.46,4500,0.1,0.56,0.46,10,0.05,NA,NA
Darrynton Evans,RB,CHI,NA,0.34,1.43,NA,0.01,NA,0.17,1.3,NA,NA,0.01,NA,0.35,NA,darrynton-evans,NumberFire,14808,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,3.8,#1,353,103,0.48,4600,0.1,0.56,0.48,NA,NA,NA,NA
Taiwan Jones,RB,BUF,NA,0,0,NA,0,NA,0.28,2.16,NA,NA,0.02,NA,0.31,NA,taiwan-jones,NumberFire,10368,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.12,3.74,#16,366,106,0.46,4500,0.1,0.61,0.46,10,0.05,NA,NA
Troy Hairston,RB,HOU,NA,0,0,NA,0,NA,0.25,2.04,NA,NA,0.01,NA,0.26,NA,troy-hairston,NumberFire,16025,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.16,3.68,#15,390,107,0.39,4500,0.09,0.51,0.39,10,0.04,NA,NA
Kevin Harris,RB,NE,NA,0.45,1.91,NA,0.01,NA,0,0,NA,NA,0,NA,0.25,NA,kevin-harris,NumberFire,15719,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.16,3.66,#5,393,108,0.25,4600,0.05,0.25,0.25,10,0.03,NA,NA
Jordan Howard,RB,NO,NA,0.28,1.13,NA,0.01,NA,0,0,NA,NA,0,NA,0.18,NA,jordan-howard,NumberFire,12634,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.21,3.57,#26,398,109,0.17,4500,0.04,0.17,0.17,NA,NA,NA,NA
Pierre Strong Jr.,RB,NE,NA,0.3,1.27,NA,0.01,NA,0,0,NA,NA,0,NA,0.17,NA,pierre-strong-jr,NumberFire,NA,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.22,3.56,#5,399,110,0.19,4600,0.04,0.19,0.19,10,0.02,NA,NA
Salvon Ahmed,RB,MIA,NA,0.26,1.09,NA,0.01,NA,0,0,NA,NA,0,NA,0.16,NA,salvon-ahmed,NumberFire,14811,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.22,3.54,#32,400,111,0.17,4500,0.04,0.17,0.17,10,0.02,NA,NA
Kene Nwangwu,RB,MIN,NA,0.25,1.09,NA,0.01,NA,0,0,NA,NA,0,NA,0.14,NA,kene-nwangwu,NumberFire,15414,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.24,3.52,#11,401,112,0.17,4600,0.04,0.17,0.17,10,0.02,NA,NA
Christian McCaffrey,RB,SF,NA,NA,62.7,NA,0.37,NA,5.1,45.16,NA,NA,0.25,NA,19.67,NA,2557997,NFL,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Alvin Kamara,RB,NO,NA,NA,74.74,NA,0.41,NA,4.24,38.79,NA,NA,0.19,0.03,19.13,NA,2558019,NFL,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,CIN,NA,NA,81.25,NA,0.56,NA,3.61,28.99,NA,NA,0.19,0.03,19.07,NA,2557976,NFL,13131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,TEN,NA,NA,98.02,NA,0.69,NA,2.33,21.91,NA,NA,0.09,0.06,19,NA,2556075,NFL,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Saquon Barkley,RB,NYG,NA,NA,85.39,NA,0.52,NA,3.3,28.04,NA,NA,0.13,0.04,18.46,NA,2560968,NFL,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leonard Fournette,RB,TB,NA,NA,57.9,NA,0.44,NA,4.51,38.34,NA,NA,0.22,NA,18.09,NA,2557973,NFL,13129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,LV,NA,NA,82.99,NA,0.63,NA,3.13,24.1,NA,NA,0.09,0.1,17.96,NA,2562377,NFL,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
