player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Mike Badgley,K,DET,1,1.4,1.6,0,0,0.4,0.5,0.4,0.4,0.5,0.6,0.1,0.1,2.4,2.5,6.6,6.6,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.6,1.8,0,0,0.3,0.3,0.6,0.7,0.5,0.6,0.1,0.1,1.6,1.8,6.4,6.4,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.5,1.6,0,0,0.3,0.3,0.4,0.4,0.5,0.6,0.2,0.2,1.9,2.1,6.4,6.4,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.5,1.8,0,0,0.5,0.5,0.4,0.4,0.4,0.6,0.2,0.2,1.8,2,6.3,6.3,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.4,1.5,0,0,0.3,0.3,0.4,0.4,0.4,0.5,0.2,0.2,1.8,1.9,6,6,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,1,1.1,1.3,0,0,0.3,0.3,0.3,0.3,0.4,0.5,0,0,2,2.1,5.3,5.3,1632503,CBS,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,1,1.1,1.2,0,0,0.4,0.4,0.3,0.4,0.3,0.3,0.1,0.1,1.9,1.9,5.2,5.2,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.1,1.3,0,0,0.2,0.2,0.3,0.3,0.4,0.5,0.2,0.2,1.4,1.5,4.7,4.7,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1,1.2,0,0,0.2,0.2,0.3,0.3,0.3,0.4,0.1,0.1,1.4,1.5,4.4,4.4,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodrigo Blankenship,K,ARI,NA,2.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,8.8,NA,19469,FantasyPros,14912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,1.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8.5,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,8.3,NA,16910,FantasyPros,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
