player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,curr_site_pts,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Riley Patterson,K,JAC,1,1.5,1.8,0,0,0.4,0.4,0.5,0.6,0.5,0.6,0.1,0.1,2.3,2.3,6.8,6.8,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.5,1.8,0,0,0.4,0.4,0.4,0.4,0.4,0.7,0.3,0.3,2.3,2.4,6.8,6.8,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.7,1.9,0,0,0.4,0.4,0.5,0.5,0.6,0.6,0.2,0.2,1.7,2,6.8,6.8,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.6,1.8,0,0,0.5,0.5,0.4,0.4,0.4,0.5,0.2,0.2,1.9,2.2,6.7,6.7,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.4,1.7,0,0,0.3,0.3,0.4,0.4,0.5,0.7,0.2,0.2,2.2,2.3,6.4,6.4,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,1,1.3,1.5,0,0,0.3,0.3,0.4,0.4,0.5,0.6,0.1,0.1,2.2,2.4,6.1,6.1,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,1,1.3,1.6,0,0,0.3,0.3,0.5,0.5,0.4,0.6,0.1,0.1,2,2.1,5.9,5.9,1632503,CBS,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.5,1.7,0,0,0.3,0.3,0.4,0.4,0.4,0.6,0.3,0.3,1.4,1.6,5.9,5.9,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.3,1.5,0,0,0.3,0.3,0.5,0.5,0.4,0.5,0.1,0.1,1.7,1.8,5.6,5.6,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.2,1.5,0,0,0.3,0.3,0.3,0.4,0.4,0.5,0.2,0.2,2,2.1,5.6,5.6,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
