id,pos,fantasy_sharks_pts,number_fire_pts,fantasy_pros_pts,flea_flicker_pts,cbs_pts,nfl_pts,avg_type,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,first_name,last_name,team,position,age,exp,season,week
15296,WR,0.010000000000000002,0.42700000000000005,2.25,NA,NA,2.573,average,1.315,1.2843101909845094,0.026999999999999913,0.07254999999999998,2.5245499999999996,-11.5845,-10.41745,-11.840450000000002,566,610,522,184,17,Anthony,Schwartz,CLE,WR,22,-1,2022,1
15297,WR,0.4,1.689,1.52,NA,NA,NA,average,1.203,0.7005333682273814,0,0.5120000000000001,1.6721000000000001,-11.6965,-9.978,-12.692900000000002,570,583,564,188,17,Amari,Rodgers,GBP,WR,23,-1,2022,1
15298,WR,NA,1.012,1.43,NA,NA,NA,average,1.221,0.2955706345359768,0.018000000000000016,1.0329,1.4090999999999998,-11.6785,-9.4571,-12.955900000000002,569,545,576,187,17,Shi,Smith,CAR,WR,24,-1,2022,1
15301,WR,NA,0.566,2.0700000000000003,NA,NA,NA,average,1.318,1.0634885989045677,0.0030000000000001137,0.6412000000000001,1.9948000000000001,-11.5815,-9.8488,-12.370200000000002,565,572,555,183,17,Tutu,Atwell,LAR,WR,23,-1,2022,1
15302,WR,3.6,1.967,3.52,3.52,NA,1.901,average,2.9016,0.8842054625481568,0.0985999999999998,1.9142000000000001,3.584,-9.9979,-8.575800000000001,-10.781000000000002,506,511,490,146,15,D'Wayne,Eskridge,SEA,WR,25,-1,2022,1
15303,WR,2.99,NA,2.9,NA,NA,NA,average,2.9450000000000003,0.0636396103067895,0.043400000000000105,2.9045,2.9855,-9.9545,-7.5855,-11.379500000000002,504,445,510,145,15,Simi,Fehoko,DAL,WR,25,-1,2022,1
15304,WR,NA,0.7070000000000001,0.6200000000000001,NA,NA,NA,average,0.6635000000000001,0.06151828996322961,0.0034999999999999476,0.6243500000000001,0.7026500000000001,-12.235999999999999,-9.86565,-13.662350000000002,598,574,602,213,17,Frank,Darby,FA,WR,25,-1,2022,1
15308,WR,3.2,2.954,3.4400000000000004,3.4400000000000004,NA,NA,average,3.2585,0.23239836488237187,0.08916666666666684,2.9909,3.4400000000000004,-9.641,-7.4991,-10.925,487,437,496,139,15,Terrace,Marshall,CAR,WR,22,-1,2022,1
15313,WR,NA,0.96,0.8200000000000001,NA,NA,NA,average,0.89,0.09899494936611658,0.021333333333333315,0.8270000000000001,0.953,-12.0095,-9.663,-13.412000000000003,588,559,595,206,17,Racey,McMath,TEN,WR,23,-1,2022,1
15317,WR,NA,0.592,0.45,NA,NA,NA,average,0.521,0.10040916292848971,0.0010000000000000009,0.4571,0.5849,-12.378499999999999,-10.0329,-13.780100000000003,606,589,607,221,17,Marquez,Stevenson,BUF,WR,24,-1,2022,1
15319,WR,6.8,4.9510000000000005,8.02,8.02,NA,8.567,average,7.2716,1.449642818076232,0.26393333333333313,5.3208,8.4576,-5.6278999999999995,-5.1692,-5.907400000000003,304,302,317,90,12,Josh,Palmer,LAC,WR,23,-1,2022,1
15321,WR,NA,0.596,0.5,NA,NA,NA,average,0.548,0.06788225099390854,0.0030000000000001137,0.5048,0.5912,-12.3515,-9.9852,-13.773800000000001,603,584,606,218,17,Jaelon,Darden,TBB,WR,23,-1,2022,1
15326,WR,1.6,0.493,0.79,NA,NA,1.373,average,1.064,0.5111731604847813,0.0024999999999999467,0.53755,1.56595,-11.8355,-9.95245,-12.799050000000001,579,581,571,197,17,Dax,Milne,WAS,WR,23,-1,2022,1
15434,WR,NA,1.2480000000000002,1.37,NA,NA,1.94,average,1.5193333333333334,0.369379660151088,0.002666666666666817,1.2602000000000002,1.883,-11.380166666666666,-9.229800000000001,-12.482000000000003,554,533,559,172,17,Ihmir,Smith-Marsette,CHI,WR,23,-1,2022,1
15478,WR,0.30000000000000004,1.342,1.1099999999999999,NA,NA,NA,average,0.9173333333333333,0.5470661142250847,0.0033333333333332993,0.3810000000000001,1.3188,-11.982166666666666,-10.109,-13.046200000000002,584,601,581,202,17,Mike,Strachan,IND,WR,25,-1,2022,1
15491,WR,1.71,3.325,3.6300000000000003,3.6300000000000003,NA,4.591,average,3.3772,1.0468293557213613,0.015866666666666696,2.033,4.3988,-9.5223,-8.457,-9.966200000000002,476,507,466,133,15,Ben,Skowronek,LAR,WR,25,-1,2022,1
15528,WR,NA,1.4929999999999999,1.27,NA,NA,NA,average,1.3815,0.1576848122046,0.0028333333333332433,1.28115,1.48185,-11.518,-9.20885,-12.883150000000002,560,532,574,178,17,Kristian,Wilkerson,NEP,WR,25,0,2022,1
15529,WR,NA,0.42600000000000005,NA,NA,NA,NA,average,0.42600000000000005,NA,0.009000000000000008,0.42600000000000005,0.42600000000000005,-12.4735,-10.064,-13.939000000000002,618,596,619,233,17,Easop,Winston,FA,WR,26,0,2022,1
15535,WR,NA,0.978,0.8300000000000001,NA,NA,NA,average,0.904,0.10465180361560897,0.0034999999999999476,0.8374,0.9706,-11.9955,-9.6526,-13.394400000000003,586,558,593,204,17,Mason,Kinsey,FA,WR,24,0,2022,1
15589,WR,NA,1.113,NA,NA,NA,NA,average,1.113,NA,0.016000000000000014,1.113,1.113,-11.7865,-9.377,-13.252000000000002,575,540,587,193,17,Cody,White,FA,WR,24,0,2022,1
15751,WR,10,10.786,11.32,11.32,NA,8.474,average,10.353333333333333,1.215998081138837,0.052666666666667084,8.725866666666667,11.32,-2.5461666666666662,-1.7641333333333336,-3.0450000000000017,220,194,233,56,9,Drake,London,ATL,WR,21,-2,2022,1
15752,WR,7.000000000000001,9.556000000000001,7.28,7.28,NA,2.982,average,6.792933333333334,2.388707767810872,0.07120000000000015,3.732266666666667,9.047466666666665,-6.106566666666666,-6.757733333333333,-5.317533333333337,319,362,303,95,12,Treylon,Burks,TEN,WR,22,-2,2022,1
15753,WR,5.2,9.706000000000001,8.21,8.21,NA,8.092,average,7.8836,1.6415964181247475,0.1236000000000006,5.7783999999999995,9.4068,-5.015899999999999,-4.711600000000001,-4.9582000000000015,285,284,290,80,11,Garrett,Wilson,NYJ,WR,22,-2,2022,1
15754,WR,4.4,8.693999999999999,9.78,9.78,NA,8.187000000000001,average,8.1682,2.217653534707349,0.1382000000000012,5.157400000000001,9.78,-4.731299999999999,-5.332599999999999,-4.585000000000003,276,311,276,76,11,Chris,Olave,NOS,WR,22,-2,2022,1
15755,WR,4.5,8.738,9.13,9.120000000000001,NA,8.407,average,7.979,1.967827990450385,0.058999999999999275,5.2814,9.128000000000002,-4.9205,-5.208600000000001,-5.237,280,304,300,78,11,Jahan,Dotson,WAS,WR,22,-2,2022,1
15756,WR,3.2,4.698,NA,NA,NA,NA,average,3.9490000000000003,1.0592459582174483,0.18659999999999988,3.2749,4.6231,-8.9505,-7.2151,-9.741900000000001,452,407,448,120,15,Jameson,Williams,DET,WR,21,-2,2022,1
15757,WR,NA,7.623000000000001,6.890000000000001,6.890000000000001,NA,2.715,average,6.0295000000000005,2.2365205863871087,0.11950000000000038,3.3412499999999996,7.513050000000001,-6.869999999999999,-7.148750000000001,-6.851950000000001,354,393,356,99,13,Wan'Dale,Robinson,NYG,WR,21,-2,2022,1
15758,WR,3.41,3.2070000000000003,6.3100000000000005,5.71,NA,13.877,average,6.502800000000001,4.343737987033749,0.1698000000000004,3.2476000000000003,12.363599999999998,-6.396699999999999,-7.2424,-2.001400000000004,331,410,208,97,12,David,Bell,CLE,WR,22,-2,2022,1
15759,WR,3.7,NA,NA,NA,NA,NA,average,3.7,NA,0.04700000000000015,3.7,3.7,-9.1995,-6.79,-10.665000000000003,461,369,486,124,15,John,Metchie,HOU,WR,22,-2,2022,1
15761,WR,0.8,NA,2.06,NA,NA,1.796,average,1.552,0.6644937922960605,0.007000000000000117,0.8996000000000002,2.0336,-11.3475,-9.5904,-12.331400000000002,552,554,553,170,16,Khalil,Shakir,BUF,WR,22,-2,2022,1
15762,WR,7.2,8.309000000000001,9.6,9.6,NA,8.359,average,8.586933333333334,1.0224640009962858,0.01810000000000045,7.408466666666667,9.6,-4.312566666666665,-3.081533333333333,-4.765000000000002,264,248,281,69,11,George,Pickens,PIT,WR,21,-2,2022,1
15766,WR,2.9,8.735,5.7700000000000005,5.7700000000000005,NA,3.243,average,5.2836,2.3574843159605536,0.08243333333333336,2.9685999999999995,8.142,-7.6159,-7.521400000000001,-6.2230000000000025,390,440,333,114,13,Skyy,Moore,KCC,WR,22,-2,2022,1
15767,WR,1.5000000000000002,3.657,3.79,3.79,NA,2.004,average,2.9482,1.10775096479308,0.0031999999999996476,1.6008,3.79,-9.9513,-8.8892,-10.575000000000003,503,521,484,144,15,Velus,Jones,CHI,WR,25,-2,2022,1
15768,WR,5,5.416,7.2700000000000005,7.2700000000000005,NA,9.042,average,6.7996,1.6297100355584733,0.0066666666666659324,5.0832,8.6876,-6.0999,-5.4068000000000005,-5.677400000000002,318,315,311,94,12,Alec,Pierce,IND,WR,22,-2,2022,1
15779,WR,0.28,5.221,5.04,5.04,NA,2.118,average,3.5398,2.2346948785013137,0.010999999999999677,0.6476,5.1848,-9.3597,-9.8424,-9.180200000000003,469,570,432,130,15,Romeo,Doubs,GBP,WR,22,-2,2022,1
15780,WR,NA,NA,1.27,NA,NA,1.502,average,1.3860000000000001,0.164048773235279,0.0045000000000001705,1.2816,1.4904,-11.5135,-9.208400000000001,-12.874600000000003,559,531,573,177,17,Erik,Ezukanma,MIA,WR,22,-2,2022,1
15782,WR,0.41000000000000003,NA,2.17,NA,NA,1.8220000000000003,average,1.4673333333333334,0.9320629449416672,0.021333333333333204,0.5512000000000001,2.1352,-11.432166666666667,-9.9388,-12.229800000000001,557,579,549,175,17,Danny,Gray,SFO,WR,23,-2,2022,1
15786,WR,NA,NA,1.1800000000000002,NA,NA,1.396,average,1.288,0.15273506473629408,0.0043333333333333,1.1908,1.3852,-11.6115,-9.2992,-12.979800000000003,567,536,577,185,17,Jalen,Nailor,MIN,WR,23,-2,2022,1
15788,WR,11.1,8.962,8.36,8.36,NA,9.752,average,9.306799999999999,1.1538540635626329,0.11279999999999824,8.36,10.8304,-3.5927000000000007,-2.130000000000001,-3.534600000000003,249,211,242,64,10,Jalen,Tolbert,DAL,WR,23,-2,2022,1
15789,WR,1.1,4.82,5.13,4.53,NA,3.1870000000000003,average,3.7534,1.658094629386393,0.027566666666666517,1.5174,5.0680000000000005,-9.1461,-8.9726,-9.297,456,525,434,122,15,Christian,Watson,GBP,WR,23,-2,2022,1
15792,WR,0.2,NA,NA,NA,NA,1.33,average,0.765,0.7990306627407987,0.02200000000000002,0.25650000000000006,1.2735,-12.1345,-10.2335,-13.091500000000002,594,604,582,210,17,Michael,Woods,CLE,WR,22,-2,2022,1
15900,WR,0.5,NA,2.85,NA,NA,2.699,average,1.983,1.290432873108865,0.04833333333333356,0.7099000000000002,2.8249000000000004,-10.9165,-9.780100000000001,-11.540100000000002,543,567,514,161,16,Montrell,Washington,DEN,WR,24,-2,2022,1
15901,WR,0.8,NA,3.36,NA,NA,1.644,average,1.9346666666666665,1.304517279814006,0.004666666666666375,0.8844000000000001,3.1883999999999997,-10.964833333333333,-9.6056,-11.176600000000002,544,556,504,162,16,Kyle,Philips,TEN,WR,23,-2,2022,1
15941,WR,0.2,NA,1.44,NA,NA,1.592,average,1.0773333333333333,0.7635845292653154,3.333333333332966e-4,0.3240000000000001,1.5768,-11.822166666666666,-10.166,-12.788200000000002,577,602,570,195,17,Dareke,Young,SEA,WR,23,-2,2022,1
15981,WR,NA,NA,3,3,NA,2.0380000000000003,average,2.6793333333333336,0.5554109589604198,0.048583333333333645,2.1342000000000003,3,-10.220166666666666,-8.3558,-11.365000000000002,526,504,509,149,16,KaVontae,Turpin,DAL,WR,26,-2,2022,1
15983,WR,0.5,NA,3.93,3.93,NA,2.163,average,2.63075,1.646712558402346,0.18441666666666645,0.7494499999999998,3.93,-10.26875,-9.74055,-10.435000000000002,527,565,481,150,16,Dennis,Houston,DAL,WR,23,-2,2022,1
15993,WR,NA,NA,2.41,NA,NA,2.178,average,2.294,0.16404877323527917,0.026000000000000245,2.1896,2.3984,-10.6055,-8.3004,-11.966600000000001,537,500,530,155,16,Lance,McCutcheon,LAR,WR,23,-2,2022,1
15995,WR,NA,NA,2.39,NA,NA,2.132,average,2.261,0.18243354954612925,0.08424999999999994,2.1449,2.3771000000000004,-10.6385,-8.3451,-11.987900000000002,539,503,534,157,16,DJ,Turner,LVR,WR,25,-1,2022,1
15996,WR,0.2,NA,NA,NA,NA,NA,average,0.2,NA,0,0.2,0.2,-12.6995,-10.290000000000001,-14.165000000000003,623,608,623,237,18,Jalen,Virgil,DEN,WR,24,-2,2022,1
16001,WR,0.4,NA,NA,NA,NA,NA,average,0.4,NA,0.11499999999999999,0.4,0.4,-12.4995,-10.09,-13.965000000000002,621,600,621,235,18,Jared,Bernhardt,ATL,WR,25,-2,2022,1
16005,WR,0.5,NA,0.9600000000000001,NA,NA,1.1460000000000001,average,0.8686666666666667,0.33254373145998917,0.03166666666666673,0.546,1.1274000000000002,-12.030833333333334,-9.944,-13.237600000000002,589,580,586,207,17,Tim,Jones,JAC,WR,24,-1,2022,1
9075,WR,NA,NA,NA,NA,8.03,NA,average,8.03,NA,0.05099999999999927,8.03,8.03,-4.8695,-2.460000000000001,-6.335000000000003,278,225,338,77,11,DeSean,Jackson,FA,WR,36,12,2022,1
9200,WR,NA,NA,0.5,NA,NA,NA,average,0.5,NA,0.0010000000000000009,0.5,0.5,-12.3995,-9.99,-13.865000000000002,610,586,616,225,17,Matt,Slater,NEP,WR,37,12,2022,1
9918,WR,NA,NA,NA,NA,9.59,NA,average,9.59,NA,0.038000000000000256,9.59,9.59,-3.3095,-0.9000000000000004,-4.775000000000002,241,152,282,62,10,Emmanuel,Sanders,FA,WR,35,10,2022,1
9921,WR,0.1,0.922,0.71,NA,NA,NA,average,0.5773333333333334,0.42675676132116913,0.029333333333333322,0.16100000000000006,0.9008,-12.322166666666666,-10.329,-13.464200000000002,602,609,598,217,17,Andre,Roberts,CAR,WR,34,10,2022,1
9988,WR,NA,NA,NA,NA,13.41,NA,average,13.41,NA,0.1039999999999992,13.41,13.41,0.5105000000000004,2.92,-0.9550000000000018,79,43,159,30,7,Antonio,Brown,FA,WR,34,10,2022,1
