data_src,id,src_id,player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,site_pts,rec_tgt,games,two_pts,fumbles_lost,pos,bye,na,week_4_opp,week_4_fpts,na1,rank_draft,rank_ppr,na2,na3,na4,misc_td,misc_yd,na5,na6,availability_percent_own,rush_avg,rec_yds_g,rec_avg,site_fppg,tm,...37,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rec_50_yds,rec_100_yds,kick_ret_yds,...48,site_ci_low,site_ci_high,opp_team,opp_team_rank,ranks_ovr,ranks_pos,...55,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NumberFire,12629,devontae-booker,Devontae Booker,NYG,1.49,5.94,0.03,0.56,3.75,0.02,1.24,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,4.98,NO,#5,298,84,1.53,4600,0.33,1.82,1.53,10,0.15,NA
NumberFire,13326,alex-armah,Alex Armah,NO,0.81,3.41,0.02,0.64,5.17,0.04,1.21,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,4.94,NYG,#27,299,85,1.52,4500,0.34,1.85,1.52,10,0.15,NA
NumberFire,12823,derek-watt,Derek Watt,PIT,0.7,2.95,0.02,0.81,6.18,0.04,1.21,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,4.94,GB,#25,299,85,1.66,4500,0.37,2.07,1.66,10,0.17,NA
NumberFire,12912,jalen-richard,Jalen Richard,LV,0.69,3.16,0.02,0.7,6.04,0.03,1.2,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,4.92,LAC,#17,301,87,1.53,4500,0.34,1.9,1.53,11,0.14,NA
NumberFire,13234,marlon-mack,Marlon Mack,IND,1.09,4.78,0.03,0.43,3.39,0.02,1.13,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57,4.83,MIA,#18,304,88,1.33,4600,0.29,1.55,1.33,10,0.13,NA
NumberFire,12040,keith-smith-1,Keith Smith,ATL,0.78,3.27,0.02,0.67,4.35,0.03,1.1,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59,4.79,WSH,#31,305,89,1.38,4500,0.31,1.72,1.38,10,0.14,NA
NumberFire,14072,benny-snell-jr,Benny Snell Jr.,PIT,0.99,4.01,0.02,0.56,3.99,0.02,1.05,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62,4.72,GB,#25,309,90,1.3,4500,0.29,1.59,1.3,10,0.13,NA
NumberFire,12923,c-j-ham-1,C.J. Ham,MIN,0.58,2.38,0.01,0.61,4.96,0.03,1.01,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.65,4.67,CLE,#13,316,91,1.26,4500,0.28,1.57,1.26,10,0.13,NA
NumberFire,14815,deejay-dallas,DeeJay Dallas,SEA,0.76,3.13,0.02,0.52,3.6,0.03,0.97,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68,4.62,SF,#16,318,92,1.21,4600,0.26,1.48,1.21,10,0.12,NA
NumberFire,15096,gabe-nabers,Gabe Nabers,LAC,0.57,2.47,0.02,0.58,3.84,0.04,0.95,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.69,4.59,LV,#14,320,93,1.26,4500,0.28,1.56,1.26,10,0.13,NA
